Name,Position,Duration,Game,Tournament,Match Date,Stage,Umpire 1,Third Umpire,Instant Replay Official,Umpire 2,Camera Angle,Year,Search Event,Club,Chukka,Shot At Goal,Shot At Goal Outcome,General Field Area,Location,Player,Team,Set Play,Throw-in Outcome,Chukka Length,Assist Outcome,Assist,Knock-in Player 2,Penalty Block,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Goal,Penalties,Penalty Outcome,Highlight Reel
Throw-in (15),4829233,20000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 5,,,,,Joaquin Avendano,Patagones,Throw-in,Patagones win throw-in,,,,,,,,,,,,,,
Shot At Goal (15),4880400,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 5,Shot At Goal,Goal,Attacking 30,85;17,Sugar Erskine,Coca-Cola,,,,,,,,,,,,,,,,
Goal Coca-Cola (5),4881666,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 5,,,Attacking 30,71;6,Sugar Erskine,Coca-Cola,,,,,,,,,,,,,Goal Coca-Cola,,,
Assist (5),4897366,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 5,,,,,Miguel Novillo Astrada,Coca-Cola,,,,Successful,Miguel Novillo Astrada,,,,,,,,,,,
Foul Received (21),4935033,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 5,,,Attacking Half,63;131,Benjamin Avendano,Patagones,,,,,,,,Foul Received,Dangerous Use of Mallet,Penalty 30 yards,,,,,,
Foul (21),4935033,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 5,,,Defending Half,79;170,Miguel Novillo Astrada,Coca-Cola,,,,,,,,Foul,Dangerous Use of Mallet,Penalty 30 yards,36;159,121;158,,,,
Throw-in (16),4939366,20000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 5,,,,,Benjamin Avendano,Patagones,Throw-in,Patagones win throw-in,,,,,,,,,,,,,,
Goal Patagones (9),4998233,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 5,,,,,Santi Toccalino,Patagones,,,,,,,,,,,,,Goal Patagones,,,
Penalty 30 yards (4),5016900,15000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 5,,,,,Santi Toccalino,Patagones,,,,,,,,,,,,,,Penalty 30 yards,Goal,
Throw-in (17),5050966,20000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 5,,,,,Miguel Novillo Astrada,Coca-Cola,Throw-in,Coca-Cola win throw-in,,,,,,,,,,,,,,
Shot At Goal (16),5083966,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 5,Shot At Goal,Goal,Attacking 60,94;53,Sugar Erskine,Coca-Cola,,,,,,,,,,,,,,,,
Goal Coca-Cola (6),5088333,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 5,,,Attacking 30,74;4,Sugar Erskine,Coca-Cola,,,,,,,,,,,,,Goal Coca-Cola,,,
Assist (6),5103933,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 5,,,,,Will Johnston,Coca-Cola,,,,Successful,Will Johnston,,,,,,,,,,,
Throw-in (18),5293466,20000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,,,,,Will Johnston,Coca-Cola,Throw-in,Coca-Cola win throw-in,,,,,,,,,,,,,,
Chukka Length (5),5296066,792872,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,,,,,,Team,,,Chukka Length,,,,,,,,,,,,,
Foul Received (22),5302233,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,,,Defending Half,3;190,Miguel Novillo Astrada,Coca-Cola,,,,,,,,Foul Received,Right of Way,Penalty 5,,,,,,
Foul (22),5302233,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,,,Attacking Half,142;125,Santi Toccalino,Patagones,,,,,,,,Foul,Right of Way,Penalty 5,140;116,49;145,,,,
Penalty 5 (13),5351300,30000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,,,,,Miguel Novillo Astrada,Coca-Cola,Penalty 5,,,,,,,,,,,,,,,
Foul Received (23),5372900,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,,,Attacking 60,55;54,Santiago Wulff,Patagones,,,,,,,,Foul Received,Crossing,Penalty 30 yards,,,,,,
Foul (23),5372900,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,,,Defending 60,91;239,Sugar Erskine,Coca-Cola,,,,,,,,Foul,Crossing,Penalty 30 yards,121;179,32;204,,,,
Goal Patagones (10),5408100,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,,,,,Santi Toccalino,Patagones,,,,,,,,,,,,,Goal Patagones,,,
Penalty 30 yards (5),5426766,15000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,,,,,Santi Toccalino,Patagones,,,,,,,,,,,,,,Penalty 30 yards,Goal,
Shot At Goal (17),5453700,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,Shot At Goal,Wide,Attacking Half,137;112,Santi Toccalino,Patagones,,,,,,,,,,,,,,,,
Throw-in (19),5459033,20000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,,,,,Benjamin Avendano,Patagones,Throw-in,Patagones win throw-in,,,,,,,,,,,,,,
Knock In (7),5499966,40000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,,,,,Miguel Novillo Astrada,Coca-Cola,Knock In,,,,,Sugar Erskine,,,,,,,,,,
Shot At Goal (18),5527033,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,Shot At Goal,Goal,Attacking 30,72;34,Santiago Wulff,Patagones,,,,,,,,,,,,,,,,
Goal Patagones (11),5527966,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,,,Attacking 30,73;6,Santiago Wulff,Patagones,,,,,,,,,,,,,Goal Patagones,,,
Yellow Card (2),5614666,10000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,,,,,Miguel Novillo Astrada,Coca-Cola,,,,,,,,Yellow Card,Improper Procedure,Penalty 5B,,,,,,
Shot At Goal (19),5650366,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,Shot At Goal,Wide,Attacking 30,84;25,Santi Toccalino,Patagones,,,,,,,,,,,,,,,,
Penalty 5b (4),5665500,30000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,,,,,Santi Toccalino,Patagones,Penalty 5b,,,,,,,,,,,,,,,
Knock In (8),5698866,40000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,,,,,Miguel Novillo Astrada,Coca-Cola,Knock In,,,,,Sugar Erskine,,,,,,,,,,
Foul (24),5715633,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,,,Attacking Half,119;113,Santi Toccalino,Patagones,,,,,,,,Foul,Blocking,Penalty 5B,30;111,114;117,,,,
Foul Received (24),5715633,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,,,Defending Half,35;183,Sugar Erskine,Coca-Cola,,,,,,,,Foul Received,Blocking,Penalty 5B,,,,,,
Penalty 5b (5),5794183,30000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,,,,,Miguel Novillo Astrada,Coca-Cola,Penalty 5b,,,,,,,,,,,,,,,
Foul Received (25),5817866,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,,,Attacking 60,61;44,Joaquin Avendano,Patagones,,,,,,,,Foul Received,Right of Way,Penalty 30 yards,,,,,,
Foul (25),5817866,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,,,Defending 60,84;257,Will Johnston,Coca-Cola,,,,,,,,Foul,Right of Way,Penalty 30 yards,30;202,129;204,,,,
Penalty 30 yards (6),5865000,15000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,,,,,Santi Toccalino,Patagones,,,,,,,,,,,,,,Penalty 30 yards,Wide,
Shot At Goal (20),5878133,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,Shot At Goal,Goal,Attacking 60,38;52,Joaquin Avendano,Patagones,,,,,,,,,,,,,,,,
Goal Patagones (12),5880333,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,,,Attacking 30,79;6,Joaquin Avendano,Patagones,,,,,,,,,,,,,Goal Patagones,,,
Knock In (9),5884533,40000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,,,,,Miguel Novillo Astrada,Coca-Cola,Knock In,,,,,,,,,,,,,,,
Assist (7),5896033,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,,,,,Santi Toccalino,Patagones,,,,Successful,Santi Toccalino,,,,,,,,,,,
Shot At Goal (21),5922533,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,Shot At Goal,Goal,Attacking 60,80;40,Gillian Johnston,Coca-Cola,,,,,,,,,,,,,,,,
Goal Coca-Cola (7),5925333,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,,,Attacking 30,80;4,Gillian Johnston,Coca-Cola,,,,,,,,,,,,,Goal Coca-Cola,,,Goals
Throw-in (20),5936066,20000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,,,,,Gillian Johnston,Coca-Cola,Throw-in,Coca-Cola win throw-in,,,,,,,,,,,,,,
Throw-in (21),5982100,20000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,,,,,Santi Toccalino,Patagones,Throw-in,Patagones win throw-in,,,,,,,,,,,,,,
Knock In (10),6032733,40000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 6,,,,,Miguel Novillo Astrada,Coca-Cola,Knock In,,,,,,,,,,,,,,,
Yellow Card (3),1704533,10000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 2,,,,,Benjamin Avendano,Patagones,,,,,,,,Yellow Card,Dangerous Riding,Penalty 5B,,,,,,
Game Length,143900,5945100,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,,,,,,,Team,,,Game Length,,,,,,,,,,,,,
Injury Time,2590000,129866,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 3,,,,,,Team,,,Injury Time,,,,,,,,,,,,,
Chukka Length (6),2720700,205266,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 3,,,,,,Team,,,Chukka Length,,,,,,,,,,,,,
