Name,Position,Duration,Chukka,Team,Player,Foul,Foul Outcome,Foul Type,Umpire Focal,Umpire Trailing,Location,General Field Area,Goal,Set Play,Throw-in Outcome,Tournament,Country,Umpire 2,Umpire 1,Search Event,Club,Stage,Match Date,Game,Instant Replay Official,Camera Angle,Third Umpire,Tournament Handicap,Penalties,Year,Penalty Outcome,Shot At Goal,Shot At Goal Outcome,Knock-in Player 2,Penalty Block,Assist,Assist Outcome,Highlight Reel,Collision
Shot At Goal (15),4777333,35000,Chukka 4,Palm Beach Equine,Gringo Colombres,,,,,,71;21,Attacking 30,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,Shot At Goal,Miss Hit,,,,,,
Assist (9),4793166,25000,Chukka 4,Palm Beach Equine,Costi Caset,,,,,,,,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,Costi Caset,Unsuccessful,,
Free Hit (1),5089933,20000,Chukka 5,Tamera,Luis Escobar,,,,,,,,,Free Hit,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul (17),5090133,25000,Chukka 5,Palm Beach Equine,Gringo Colombres,Foul,Penalty 30 yards,Dangerous Riding,142;197,90;183,93;248,Defending 60,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul Received (17),5090133,25000,Chukka 5,Tamera,Diego Cavanagh,Foul Received,Penalty 30 yards,Dangerous Riding,,,58;52,Attacking 60,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Goal Tamera (6),5220833,35000,Chukka 5,Tamera,Lucas Escobar,,,,,,74;1,Attacking 30,Goal Tamera,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Penalty 30 yards (4),5238300,15000,Chukka 5,Tamera,Lucas Escobar,,,,,,,,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,Penalty 30 yards,2021,Goal,,,,,,,,
Yellow Card (2),5244100,10000,Chukka 5,Palm Beach Equine,Gringo Colombres,Yellow Card,Penalty 5B,Dangerous Riding,,,,,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul Received (18),5290033,25000,Chukka 5,Palm Beach Equine,Costi Caset,Foul Received,Penalty 5,Blocking,,,79;184,Defending Half,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul (18),5290033,25000,Chukka 5,Tamera,Diego Cavanagh,Foul,Penalty 5,Blocking,82;145,53;107,66;111,Attacking Half,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Penalty 5b (4),5311400,30000,Chukka 5,Tamera,Luis Escobar,,,,,,,,,Penalty 5b,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Penalty 5 (6),5328637,30000,Chukka 5,Palm Beach Equine,Robbie Bilbao,,,,,,,,,Penalty 5,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul Received (19),5345700,25000,Chukka 5,Palm Beach Equine,Costi Caset,Foul Received,Penalty 30 yards,Riding Into Shot,,,110;68,Attacking 60,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul (19),5345700,25000,Chukka 5,Tamera,Diego Cavanagh,Foul,Penalty 30 yards,Riding Into Shot,37;230,58;192,37;229,Defending 60,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Goal Palm Beach Equine (6),5386300,35000,Chukka 5,Palm Beach Equine,Costi Caset,,,,,,76;1,Attacking 30,Goal Palm Beach Equine,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Penalty 30 yards (5),5403900,15000,Chukka 5,Palm Beach Equine,Costi Caset,,,,,,,,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,Penalty 30 yards,2021,Goal,,,,,,,,
Throw-in (11),5434000,20000,Chukka 5,Palm Beach Equine,Costi Caset,,,,,,,,,Throw-in,Palm Beach Equine win throw-in,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Non Call (3),5450100,20000,Chukka 5,Team,,Non Call,,Right of Way,,,,,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Shot At Goal (16),5452700,35000,Chukka 5,Tamera,Diego Cavanagh,,,,,,130;98,Attacking Half,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,Shot At Goal,Wide,,,,,,
Assist (10),5474491,25000,Chukka 5,Tamera,Lucas Escobar,,,,,,,,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,Lucas Escobar,Unsuccessful,,
Knock In (10),5504583,40000,Chukka 5,Palm Beach Equine,Robbie Bilbao,,,,,,,,,Knock In,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,Gringo Colombres,,,,,
Non Call (4),5519133,20000,Chukka 5,Team,,Non Call,,Turning,,,,,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul (20),5554466,25000,Chukka 5,Palm Beach Equine,Costi Caset,Foul,Penalty 5,Dangerous Riding,127;98,101;136,106;97,Attacking Half,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul Received (20),5554466,25000,Chukka 5,Tamera,Alejandro Poma,Foul Received,Penalty 5,Dangerous Riding,,,39;213,Defending Half,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Penalty 5 (7),5640200,30000,Chukka 5,Tamera,Luis Escobar,,,,,,,,,Penalty 5,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Shot At Goal (17),5643333,35000,Chukka 5,Tamera,Alejandro Poma,,,,,,77;16,Attacking 30,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,Shot At Goal,Blocked,,,,,,
Shot Block (2),5669566,10000,Chukka 5,Palm Beach Equine,Robbie Bilbao,,,,,,,,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,Shot Block,,,,
Foul Received (21),5688933,25000,Chukka 5,Palm Beach Equine,Gringo Colombres,Foul Received,Penalty 5B,Riding Into Shot,,,46;203,Defending Half,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul (21),5688933,25000,Chukka 5,Tamera,Luis Escobar,Foul,Penalty 5B,Riding Into Shot,37;56,64;90,101;106,Attacking Half,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Penalty 5b (5),5739350,30000,Chukka 5,Palm Beach Equine,Gringo Colombres,,,,,,,,,Penalty 5b,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Shot At Goal (18),5777866,35000,Chukka 5,Palm Beach Equine,Robbie Bilbao,,,,,,79;15,Attacking 30,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,Shot At Goal,Goal,,,,,,
Goal Palm Beach Equine (7),5780066,35000,Chukka 5,Palm Beach Equine,Robbie Bilbao,,,,,,74;2,Attacking 30,Goal Palm Beach Equine,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Assist (11),5795066,25000,Chukka 5,Palm Beach Equine,Gringo Colombres,,,,,,,,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,Gringo Colombres,Successful,,
Throw-in (12),5893433,20000,Chukka 5,Palm Beach Equine,Gringo Colombres,,,,,,,,,Throw-in,Palm Beach Equine win throw-in,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Throw-in (13),6193300,20000,Chukka 6,Tamera,Diego Cavanagh,,,,,,,,,Throw-in,Tamera win throw-in,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul Received (22),6208300,25000,Chukka 6,Palm Beach Equine,Costi Caset,Foul Received,Penalty 5,Reaching,,,109;217,Defending Half,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul (22),6208300,25000,Chukka 6,Tamera,Diego Cavanagh,Foul,Penalty 5,Reaching,66;94,31;66,41;71,Attacking 60,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Penalty 5 (8),6249033,30000,Chukka 6,Palm Beach Equine,Gringo Colombres,,,,,,,,,Penalty 5,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Shot At Goal (19),6260033,35000,Chukka 6,Palm Beach Equine,Costi Caset,,,,,,78;9,Attacking 30,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,Shot At Goal,Goal,,,,,,
Goal Palm Beach Equine (8),6260966,35000,Chukka 6,Palm Beach Equine,Costi Caset,,,,,,76;1,Attacking 30,Goal Palm Beach Equine,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,Goals,
Assist (12),6275966,25000,Chukka 6,Palm Beach Equine,Gringo Colombres,,,,,,,,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,Gringo Colombres,Successful,,
Throw-in (14),6318000,20000,Chukka 6,Palm Beach Equine,Robbie Bilbao,,,,,,,,,Throw-in,Palm Beach Equine win throw-in,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Shot At Goal (20),6343100,35000,Chukka 6,Palm Beach Equine,Robbie Bilbao,,,,,,63;25,Attacking 30,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,Shot At Goal,Short,,,,,,
Assist (13),6359300,25000,Chukka 6,Palm Beach Equine,Costi Caset,,,,,,,,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,Costi Caset,Unsuccessful,,
Non Call (5),6380000,20000,Chukka 6,Team,,Non Call,,Right of Way,,,,,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul Received (23),6416666,25000,Chukka 6,Palm Beach Equine,Gringo Colombres,Foul Received,Penalty 30 yards,Dangerous Riding,,,37;84,Attacking Half,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul (23),6416666,25000,Chukka 6,Tamera,Luis Escobar,Foul,Penalty 30 yards,Dangerous Riding,119;243,65;267,114;215,Defending Half,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Yellow Card (3),6590600,10000,Chukka 6,Tamera,Luis Escobar,Yellow Card,Penalty 30 yards,Dangerous Riding,,,,,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Goal Palm Beach Equine (9),6644200,35000,Chukka 6,Palm Beach Equine,Costi Caset,,,,,,76;2,Attacking 30,Goal Palm Beach Equine,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Penalty 30 yards (6),6661566,15000,Chukka 6,Palm Beach Equine,Costi Caset,,,,,,,,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,Penalty 30 yards,2021,Goal,,,,,,,,
Throw-in (15),6694666,20000,Chukka 6,Palm Beach Equine,Gringo Colombres,,,,,,,,,Throw-in,Palm Beach Equine win throw-in,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Shot At Goal (21),6719133,35000,Chukka 6,Palm Beach Equine,Gringo Colombres,,,,,,117;20,Attacking 30,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,Shot At Goal,Wide,,,,,,
Knock In (11),6854266,40000,Chukka 6,Tamera,Diego Cavanagh,,,,,,,,,Knock In,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Shot At Goal (22),6959704,35000,Chukka 6,Palm Beach Equine,Costi Caset,,,,,,113;38,Attacking 30,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,Shot At Goal,Wide,,,,,,
Assist (14),6976566,25000,Chukka 6,Palm Beach Equine,Robbie Bilbao,,,,,,,,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,Robbie Bilbao,Unsuccessful,,
Knock In (12),7007323,40000,Chukka 6,Tamera,Luis Escobar,,,,,,,,,Knock In,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
