Name,Position,Duration,Tournament,Stage,Game,Match Date,Umpire 1,Umpire 2,Year,Search Event,Camera Angle,Third Umpire,Club,Chukka,Set Play,Instant Replay Official,Player,Team,Throw-in Outcome,Chukka Length,Shot At Goal,Shot At Goal Outcome,Location,General Field Area,Goal,Highlight Reel,Assist Outcome,Assist,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Penalty Block,Knock-in Player 2,Collision
Foul (12),4580833,25000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 5,,Kevin Fawcett,Benjamin Avendano,Patagones,,,,,145;183,Defending Half,,,,,Foul,Dangerous Use of Mallet,Penalty 5,1;168,72;190,,,,,
Foul Received (12),4580833,25000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 5,,Kevin Fawcett,Santino Magrini,Stable Door Polo,,,,,10;126,Attacking Half,,,,,Foul Received,Dangerous Use of Mallet,Penalty 5,,,,,,,
Penalty 5 (5),4651600,30000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 5,Penalty 5,Kevin Fawcett,Santiago Wulff,Patagones,,,,,,,,,,,,,,,,,,,,
Collision (1),4656266,15000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 5,,Kevin Fawcett,Joaquin Avendano,Patagones,,,,,,,,,,,,,,,,,,,,Collision
Shot At Goal (18),4780200,35000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 5,,Kevin Fawcett,Robert Orthwein,Stable Door Polo,,,Shot At Goal,Goal,57;25,Attacking 30,,,,,,,,,,,,,,
Goal Stable Door Polo (4),4781866,35000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 5,,Kevin Fawcett,Robert Orthwein,Stable Door Polo,,,,,74;8,Attacking 30,Goal Stable Door Polo,,,,,,,,,,,,,
Throw-in (17),4796124,20000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 5,Throw-in,Kevin Fawcett,Santino Magrini,Stable Door Polo,Stable Door Polo win throw-in,,,,,,,,,,,,,,,,,,,
Chukka Length (5),5335100,632666,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 6,,Kevin Fawcett,,Team,,Chukka Length,,,,,,,,,,,,,,,,,,
Throw-in (18),5335100,20000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 6,Throw-in,Kevin Fawcett,Benjamin Avendano,Patagones,Patagones win throw-in,,,,,,,,,,,,,,,,,,,
Knock In (5),5370500,40000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 6,Knock In,Kevin Fawcett,Matias Magrini,Stable Door Polo,,,,,,,,,,,,,,,,,,,,
Shot At Goal (19),5380166,35000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 6,,Kevin Fawcett,Matias Magrini,Stable Door Polo,,,Shot At Goal,Wide,94;24,Attacking 30,,,,,,,,,,,,,,
Knock In (6),5423966,40000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 6,Knock In,Kevin Fawcett,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,,,
Free Hit (2),5460866,20000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 6,Free Hit,Kevin Fawcett,Matias Magrini,Stable Door Polo,,,,,,,,,,,,,,,,,,,,
Knock In (7),5483866,40000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 6,Knock In,Kevin Fawcett,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,,,
Shot At Goal (20),5484966,35000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 6,,Kevin Fawcett,Tomas Garcia Del Rio,Patagones,,,Shot At Goal,Deflected,89;39,Attacking 60,,,,,,,,,,,,,,
Knock In (8),5578700,40000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 6,Knock In,Kevin Fawcett,Matias Magrini,Stable Door Polo,,,,,,,,,,,,,,,,,,,Santino Magrini,
Shot At Goal (21),5582600,35000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 6,,Kevin Fawcett,Robert Orthwein,Stable Door Polo,,,Shot At Goal,Goal,72;27,Attacking 30,,,,,,,,,,,,,,
Goal Stable Door Polo (5),5583433,35000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 6,,Kevin Fawcett,Robert Orthwein,Stable Door Polo,,,,,71;4,Attacking 30,Goal Stable Door Polo,,,,,,,,,,,,,
Throw-in (19),5645466,20000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 6,Throw-in,Kevin Fawcett,Santino Magrini,Stable Door Polo,Stable Door Polo win throw-in,,,,,,,,,,,,,,,,,,,
Shot At Goal (22),5715266,35000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 6,,Kevin Fawcett,Tomas Garcia Del Rio,Patagones,,,Shot At Goal,Wide,130;53,Attacking 60,,,,,,,,,,,,,,
Knock In (9),5760333,40000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 6,Knock In,Kevin Fawcett,Santino Magrini,Stable Door Polo,,,,,,,,,,,,,,,,,,,Matias Magrini,
Foul (13),5780233,25000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 6,,Kevin Fawcett,Robert Orthwein,Stable Door Polo,,,,,128;59,Attacking 60,,,,,Foul,Crossing,Penalty 5,62;131,142;81,,,,,
Foul Received (13),5780233,25000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 6,,Kevin Fawcett,Tomas Garcia Del Rio,Patagones,,,,,15;242,Defending 60,,,,,Foul Received,Crossing,Penalty 5,,,,,,,
Penalty 5 (6),5891833,30000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 6,Penalty 5,Kevin Fawcett,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,,,
