Name,Position,Duration,Game,Search Event,Umpire 2,Camera Angle,Club,Umpire 1,Instant Replay Official,Year,Stage,Match Date,Tournament,Third Umpire,Team,Chukka Length,Chukka,Set Play,Throw-in Outcome,Player,Foul,General Field Area,Location,Foul Type,Foul Outcome,Umpire Trailing,Umpire Focal,Penalties,Penalty Outcome,Shot At Goal,Shot At Goal Outcome,Goal,Collision,Knock-in Player 2,Highlight Reel,Assist Outcome,Assist,Penalty Block
Goal Dutta Corp (17),6136600,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 5,,,Lucas Diaz Alberdi,,Attacking 30,75;4,,,,,,,,,Goal Dutta Corp,,,Goals,,,
Foul (26),6195466,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 5,,,Facundo Obregon,Foul,Defending Half,58;166,Right of Way,Penalty 60 yards,106;134,21;136,,,,,,,,,,,
Foul Received (25),6195466,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 5,,,David Stirling,Foul Received,Attacking Half,87;131,Right of Way,Penalty 60 yards,,,,,,,,,,,,,
Throw-in (25),6196500,20000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 5,Throw-in,Las Monjitas win throw-in,David Stirling,,,,,,,,,,,,,,,,,,
Shot At Goal (15),6259500,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 5,,,Bautista Panelo,,Attacking 30,89;18,,,,,,,Shot At Goal,Goal,,,,,,,
Goal Las Monjitas (6),6261300,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 5,,,Bautista Panelo,,Attacking 30,73;4,,,,,,,,,Goal Las Monjitas,,,,,,
Penalty 60 yards (4),6275200,15000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 5,,,Francisco Elizalde,,,,,,,,Penalty 60 yards,Blocked,,,,,,,,,
Penalty Block (1),6284866,10000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 5,,,Mariano Obregon,,,,,,,,,,,,,,,,,,Penalty Block
Throw-in (26),6315513,20000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 5,Throw-in,Las Monjitas win throw-in,David Stirling,,,,,,,,,,,,,,,,,,
Chukka Length (7),6554700,642333,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Team,Chukka Length,Chukka 6,,,,,,,,,,,,,,,,,,,,,
Throw-in (27),6554700,20000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 6,Throw-in,Dutta Corp win throw-in,Mariano Obregon,,,,,,,,,,,,,,,,,,
Foul (27),6570266,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 6,,,Facundo Obregon,Foul,Defending Half,105;234,Right of Way,Penalty 30 yards,124;166,22;198,,,,,,,,,,,
Foul Received (26),6570300,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 6,,,David Stirling,Foul Received,Attacking Half,37;76,Right of Way,Penalty 30 yards,,,,,,,,,,,,,
Penalty 30 yards (7),6623626,15000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 6,,,Francisco Elizalde,,,,,,,,Penalty 30 yards,Wide,,,,,,,,,
Knock In (6),6648500,40000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 6,Knock In,,Facundo Obregon,,,,,,,,,,,,,,,,,,
Shot At Goal (16),6728766,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 6,,,Francisco Elizalde,,Attacking 60,123;57,,,,,,,Shot At Goal,Goal,,,,,,,
Goal Las Monjitas (7),6730900,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 6,,,Francisco Elizalde,,Attacking 30,81;8,,,,,,,,,Goal Las Monjitas,,,,,,
Free Hit,6753233,20000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 6,Free Hit,,Francisco Elizalde,,,,,,,,,,,,,,,,,,
Throw-in (28),6786661,20000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 6,Throw-in,Las Monjitas win throw-in,Francisco Elizalde,,,,,,,,,,,,,,,,,,
Shot At Goal (17),6808066,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 6,,,Francisco Elizalde,,Attacking 30,79;18,,,,,,,Shot At Goal,Goal,,,,,,,
Goal Las Monjitas (8),6808200,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 6,,,Francisco Elizalde,,Attacking 30,75;6,,,,,,,,,Goal Las Monjitas,,,,,,
Assist (6),6824033,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 6,,,David Stirling,,,,,,,,,,,,,,,,Successful,David Stirling,
Shot At Goal (18),6850866,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 6,,,Francisco Elizalde,,Attacking 30,62;21,,,,,,,Shot At Goal,Goal,,,,,,,
Goal Las Monjitas (9),6853800,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 6,,,Francisco Elizalde,,Attacking 30,80;4,,,,,,,,,Goal Las Monjitas,,,Goals,,,
Throw-in (29),6865200,20000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 6,Throw-in,Las Monjitas win throw-in,Bautista Panelo,,,,,,,,,,,,,,,,,,
Assist (7),6869900,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 6,,,Bautista Panelo,,,,,,,,,,,,,,,,Successful,Bautista Panelo,
Throw-in (30),6914166,20000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 6,Throw-in,Las Monjitas win throw-in,Bautista Panelo,,,,,,,,,,,,,,,,,,
Foul (28),6922066,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 6,,,Timmy Dutta,Foul,Defending 60,44;261,Crossing,Penalty 40 yards,130;245,14;201,,,,,,,,,,,
Foul Received (27),6922066,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 6,,,Francisco Elizalde,Foul Received,Attacking 30,119;38,Crossing,Penalty 40 yards,,,,,,,,,,,,,
Goal Las Monjitas (10),6950833,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 6,,,Francisco Elizalde,,Attacking 30,75;6,,,,,,,,,Goal Las Monjitas,,,,,,
Penalty 40 yards (1),6969200,15000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 6,,,Francisco Elizalde,,,,,,,,Penalty 40 yards,Goal,,,,,,,,,
Throw-in (31),7003461,20000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 6,Throw-in,Dutta Corp win throw-in,Lucaz Diaz Alberdi,,,,,,,,,,,,,,,,,,
Shot At Goal (19),7022166,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 6,,,Mariano Obregon,,Attacking 30,78;26,,,,,,,Shot At Goal,Goal,,,,,,,
Goal Dutta Corp (18),7024366,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 6,,,Mariano Obregon,,Attacking 30,76;3,,,,,,,,,Goal Dutta Corp,,,,,,
Shot At Goal (20),7077800,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 6,,,Lucaz Diaz Alberdi,,Attacking 30,69;17,,,,,,,Shot At Goal,Goal,,,,,,,
Goal Dutta Corp (19),7079866,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 6,,,Lucaz Diaz Alberdi,,Attacking 30,76;4,,,,,,,,,Goal Dutta Corp,,,,,,
Throw-in (32),7080500,20000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 6,Throw-in,Dutta Corp win throw-in,Mariano Obregon,,,,,,,,,,,,,,,,,,
