Name,Position,Duration,Stage,Third Umpire,Instant Replay Official,Umpire 1,Umpire 2,Match Date,Search Event,Year,Camera Angle,Chukka,Shot At Goal,Club,Tournament,Game,Shot At Goal Outcome,Location,General Field Area,Player,Team,Goal,Highlight Reel,Set Play,Throw-in Outcome,Chukka Length,Knock-in Player 2,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Assist Outcome,Assist,Collision
Foul Received (10),3594100,25000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 4,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,53;249,Defending 60,Agustin Obregon,Daily Racing Form,,,,,,,Foul Received,Reaching,Penalty 5B,,,,,,,
Penalty 5b (1),3675766,30000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 4,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Jared Zenni,Daily Racing Form,,,Penalty 5b,,,,,,,,,,,,,
Foul (11),3703900,25000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 4,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,41;9,Attacking 30,Lucas Escobar,Pilot,,,,,,,Foul,Right of Way,Penalty 5,77;106,7;24,,,,,
Foul Received (11),3703900,25000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 4,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,113;288,Defending 30,Costi Caset,Daily Racing Form,,,,,,,Foul Received,Right of Way,Penalty 5,,,,,,,
Penalty 5 (6),3742084,30000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 4,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Jared Zenni,Daily Racing Form,,,Penalty 5,,,,,,,,,,,,,
Shot At Goal (18),3752333,35000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 4,Shot At Goal,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,Goal,66;20,Attacking 30,Alfonso Pieres,Pilot,,,,,,,,,,,,,,,,
Goal Pilot (7),3754366,35000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 4,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Alfonso Pieres,Pilot,Goal Pilot,,,,,,,,,,,,,,,
Assist (8),3769366,25000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 4,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,Successful,Gonzalito Pieres,
Goal Pilot (8),3806033,35000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 4,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Gonzalito Pieres,Pilot,Goal Pilot,Goals,,,,,,,,,,,,,,
Shot At Goal (19),3806033,35000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 4,Shot At Goal,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,Goal,80;20,Attacking 30,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,,,
Throw-in (12),3813166,20000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 4,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Gonzalito Pieres,Pilot,,,Throw-in,Pilot win throw-in,,,,,,,,,,,,
Throw-in (13),3865033,20000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 4,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Agustin Obregon,Daily Racing Form,,,Throw-in,Daily Racing Farm win throw-in,,,,,,,,,,,,
Free Hit (1),4203866,20000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Jared Zenni,Daily Racing Form,,,Free Hit,,,,,,,,,,,,,
Chukka Length (5),4206733,598949,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,,Team,,,,,Chukka Length,,,,,,,,,,,
Shot At Goal (20),4231100,35000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,Shot At Goal,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,Goal,93;56,Attacking 60,Costi Caset,Daily Racing Form,,,,,,,,,,,,,,,,
Goal Daily Racing Farm (3),4232366,35000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Costi Caset,Daily Racing Form,Goal Daily Racing Farm,,,,,,,,,,,,,,,
Assist (9),4243066,25000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Agustin Obregon,Daily Racing Form,,,,,,,,,,,,,,Successful,Agustin Obregon,
Non Call (3),4243700,20000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,,Team,,,,,,,Non Call,Shading,,,,,,,,
Throw-in (14),4293233,20000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Agustin Obregon,Daily Racing Form,,,Throw-in,Daily Racing Farm win throw-in,,,,,,,,,,,,
Foul (12),4308300,25000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,103;15,Attacking 30,Agustin Obregon,Daily Racing Form,,,,,,,Foul,Reaching,Penalty 5,100;65,7;17,,,,,
Foul Received (12),4308300,25000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,51;284,Defending 30,Gonzalo de la Fuente,Pilot,,,,,,,Foul Received,Reaching,Penalty 5,,,,,,,
Penalty 5 (7),4350600,30000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Gonzalito Pieres,Pilot,,,Penalty 5,,,,,,,,,,,,,
Non Call (4),4362533,20000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,,Team,,,,,,,Non Call,Riding Into Shot,,,,,,,,
Shot At Goal (21),4380066,35000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,Shot At Goal,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,Goal,78;15,Attacking 30,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,,,
Goal Pilot (9),4381166,35000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Gonzalito Pieres,Pilot,Goal Pilot,,,,,,,,,,,,,,,
Foul (13),4429466,25000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,30;159,Defending Half,Unknown,Daily Racing Form,,,,,,,Foul,Unknown,Penalty 5,10;139,78;157,,,,,
Foul Received (13),4429466,25000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,107;142,Attacking Half,Unknown,Pilot,,,,,,,Foul Received,Unknown,Penalty 5,,,,,,,
Throw-in (15),4437566,20000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Unknown,Pilot,,,Throw-in,Pilot win throw-in,,,,,,,,,,,,
Shot At Goal (22),4456300,35000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,Shot At Goal,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,Goal,78;111,Attacking Half,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,,,
Goal Pilot (10),4460933,35000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Gonzalito Pieres,Pilot,Goal Pilot,Goals,,,,,,,,,,,,,,
Penalty 5 (8),4473733,30000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Gonzalito Pieres,Pilot,,,Penalty 5,,,,,,,,,,,,,
Throw-in (16),4521766,20000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Costi Caset,Daily Racing Form,,,Throw-in,Daily Racing Farm win throw-in,,,,,,,,,,,,
Foul (14),4531900,25000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,12;199,Defending Half,Lucas Escobar,Pilot,,,,,,,Foul,Turning,Penalty 5,6;189,78;199,,,,,
Foul Received (14),4531900,25000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,133;107,Attacking Half,Agustin Obregon,Daily Racing Form,,,,,,,Foul Received,Turning,Penalty 5,,,,,,,
Shot At Goal (23),4557233,35000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,Shot At Goal,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,Goal,134;107,Attacking Half,Jared Zenni,Daily Racing Form,,,,,,,,,,,,,,,,
Goal Daily Racing Farm (4),4563166,35000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Jared Zenni,Daily Racing Form,Goal Daily Racing Farm,,,,,,,,,,,,,,,
Penalty 5 (9),4582400,30000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Jared Zenni,Daily Racing Form,,,Penalty 5,,,,,,,,,,,,,
Throw-in (17),4619133,20000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Gonzalo de la Fuente,Pilot,,,Throw-in,Pilot win throw-in,,,,,,,,,,,,
Foul (15),4633833,25000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,52;112,Attacking Half,Jared Zenni,Daily Racing Form,,,,,,,Foul,Riding Into Shot,Penalty 5,1;120,80;156,,,,,
Foul Received (15),4633833,25000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,99;188,Defending Half,Lucas Escobar,Pilot,,,,,,,Foul Received,Riding Into Shot,Penalty 5,,,,,,,
Penalty 5 (10),4674181,30000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Gonzalito Pieres,Pilot,,,Penalty 5,,,,,,,,,,,,,
Shot At Goal (24),4722426,35000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,Shot At Goal,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,Wide,3;68,Attacking 60,Unknown,Pilot,,,,,,,,,,,,,,,,
Free Hit (2),4747426,20000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Unknown,Pilot,,,Free Hit,,,,,,,,,,,,,
Knock In (9),4756266,40000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Jared Zenni,Daily Racing Form,,,Knock In,,,Agustin Obregon,,,,,,,,,,
Foul (16),4774900,25000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,135;101,Attacking Half,Alfonso Pieres,Pilot,,,,,,,Foul,Right of Way,Penalty 5,139;109,127;224,,,,,
Foul Received (16),4774900,25000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 5,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,14;203,Defending Half,Jared Zenni,Daily Racing Form,,,,,,,Foul Received,Right of Way,Penalty 5,,,,,,,
Penalty 5 (11),5015500,30000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 6,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Jared Zenni,Daily Racing Form,,,Penalty 5,,,,,,,,,,,,,
Shot At Goal (25),5016500,35000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 6,Shot At Goal,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,Wide,48;39,Attacking 60,Agustin Obregon,Daily Racing Form,,,,,,,,,,,,,,,,
Chukka Length (6),5018100,608633,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 6,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,,Team,,,,,Chukka Length,,,,,,,,,,,
Knock In (10),5059439,40000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 6,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Gonzalito Pieres,Pilot,,,Knock In,,,Alfonso Pieres,,,,,,,,,,
Foul (17),5085066,25000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 6,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,71;61,Attacking 60,Gonzalito Pieres,Pilot,,,,,,,Foul,Right of Way,Penalty 5,125;129,64;139,,,,,
Foul Received (17),5085066,25000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 6,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,76;230,Defending 60,Costi Caset,Daily Racing Form,,,,,,,Foul Received,Right of Way,Penalty 5,,,,,,,
Penalty 5 (12),5131836,30000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 6,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Jared Zenni,Daily Racing Form,,,Penalty 5,,,,,,,,,,,,,
Shot At Goal (26),5133600,35000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 6,Shot At Goal,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,Wide,61;24,Attacking 30,Jared Zenni,Daily Racing Form,,,,,,,,,,,,,,,,
Knock In (11),5180303,40000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 6,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Gonzalito Pieres,Pilot,,,Knock In,,,Gonzalo de la Fuente,,,,,,,,,,
Shot At Goal (27),5180500,35000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 6,Shot At Goal,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,Wide,57;15,Attacking 30,Gonzalo de la Fuente,Pilot,,,,,,,,,,,,,,,,
Assist (10),5195500,25000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 6,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,Unsuccessful,Gonzalito Pieres,
Knock In (12),5226166,40000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 6,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Agustin Obregon,Daily Racing Form,,,Knock In,,,Jared Zenni,,,,,,,,,,
Shot At Goal (28),5243200,35000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 6,Shot At Goal,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,Goal,91;27,Attacking 30,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,,,
Goal Pilot (11),5245566,35000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 6,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Gonzalito Pieres,Pilot,Goal Pilot,,,,,,,,,,,,,,,
Throw-in (18),5306666,20000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 6,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Jared Zenni,Daily Racing Form,,,Throw-in,Daily Racing Farm win throw-in,,,,,,,,,,,,
Foul (18),5316800,25000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 6,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,40;198,Defending Half,Alfonso Pieres,Pilot,,,,,,,Foul,Blocking,Penalty 30 yards,73;166,76;175,,,,,
Foul Received (18),5316800,25000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 6,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,103;106,Attacking Half,Agustin Obregon,Daily Racing Form,,,,,,,Foul Received,Blocking,Penalty 30 yards,,,,,,,
Goal Daily Racing Farm (5),5365800,35000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 6,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Jared Zenni,Daily Racing Form,Goal Daily Racing Farm,,,,,,,,,,,,,,,
Penalty 30 yards (3),5383091,15000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 6,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Jared Zenni,Daily Racing Form,,,,,,,,,,,,Penalty 30 yards,Goal,,,
Throw-in (19),5420761,20000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 6,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Gonzalito Pieres,Pilot,,,Throw-in,Pilot win throw-in,,,,,,,,,,,,
Foul (19),5459666,25000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 6,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,73;243,Defending 60,Lucas Escobar,Pilot,,,,,,,Foul,Blocking,Penalty 30 yards,53;217,128;248,,,,,
Foul Received (19),5459666,25000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 6,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,76;58,Attacking 60,Agustin Obregon,Daily Racing Form,,,,,,,Foul Received,Blocking,Penalty 30 yards,,,,,,,
Goal Daily Racing Farm (6),5500933,35000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 6,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Jared Zenni,Daily Racing Form,Goal Daily Racing Farm,,,,,,,,,,,,,,,
Penalty 30 yards (4),5518966,15000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 6,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Jared Zenni,Daily Racing Form,,,,,,,,,,,,Penalty 30 yards,Goal,,,
Throw-in (20),5552273,20000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 6,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Jim Zenni,Daily Racing Form,,,Throw-in,Daily Racing Farm win throw-in,,,,,,,,,,,,
Non Call (5),5577200,20000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 6,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,,Team,,,,,,,Non Call,Reaching,,,,,,,,
