Name,Position,Duration,Match Date,Umpire 1,Game,Stage,Tournament,Instant Replay Official,Search Event,Camera Angle,Umpire 2,Third Umpire,Year,Team,Chukka Length,Club,Chukka,Player,Set Play,Throw-in Outcome,Location,General Field Area,Shot At Goal,Shot At Goal Outcome,Goal,Assist Outcome,Assist,Foul,Foul Outcome,Foul Type,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Knock-in Player 2,Highlight Reel,Penalty Block,Collision
Foul (6),4596267,25000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Patagones,,International Polo Club,Chukka 5,Geronimo Obregon,,,21;120,Attacking Half,,,,,,Foul,Penalty 5B,Right of Way,10;109,136;104,,,,,,
Foul Received (6),4596267,25000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 5,Costi Caset,,,136;170,Defending Half,,,,,,Foul Received,Penalty 5B,Right of Way,,,,,,,,
Penalty 5b (1),4695258,30000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 5,Tomas Collingwood,Penalty 5b,,,,,,,,,,,,,,,,,,,
Shot At Goal (7),4697733,35000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Patagones,,International Polo Club,Chukka 5,Santiago Toccalino,,,81;22,Attacking 30,Shot At Goal,Goal,,,,,,,,,,,,,,
Goal Patagones (7),4700700,35000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Patagones,,International Polo Club,Chukka 5,Santiago Toccalino,,,76;7,Attacking 30,,,Goal Patagones,,,,,,,,,,,,,
Shot At Goal (8),4739333,35000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Patagones,,International Polo Club,Chukka 5,Geronimo Obregon,,,69;42,Attacking 60,Shot At Goal,Blocked,,,,,,,,,,,,,,
Throw-in (8),4754833,20000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Patagones,,International Polo Club,Chukka 5,Geronimo Obregon,Throw-in,Patagones win throw-in,,,,,,,,,,,,,,,,,,
Shot Block,4768967,10000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 5,Jared Zenni,,,,,,,,,,,,,,,,,,,Shot Block,
Safety 60,4820433,15000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Patagones,,International Polo Club,Chukka 5,Santiago Toccalino,,,,,,,,,,,,,,,Safety 60,Wide,,,,
Knock In (3),4842500,40000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 5,Tomas Collingwood,Knock In,,,,,,,,,,,,,,,,,,,
Collision,4857233,15000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Patagones,,International Polo Club,Chukka 5,Santiago Toccalino,,,,,,,,,,,,,,,,,,,,Collision
Injury Time,4857233,54233,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Team,Injury Time,International Polo Club,Chukka 5,,,,,,,,,,,,,,,,,,,,,
Throw-in (9),4906567,20000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 5,Tomas Collingwood,Throw-in,Daily Racing Form win throw-in,,,,,,,,,,,,,,,,,,
Shot At Goal (9),4973833,35000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Patagones,,International Polo Club,Chukka 5,Geronimo Obregon,,,41;27,Attacking 30,Shot At Goal,Wide,,,,,,,,,,,,,,
Assist,4990567,25000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Patagones,,International Polo Club,Chukka 5,Santiago Toccalino,,,,,,,,Unsuccessful,Santiago Toccalino,,,,,,,,,,,
Shot At Goal (10),5009700,35000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Patagones,,International Polo Club,Chukka 5,Geronimo Obregon,,,121;7,Attacking 30,Shot At Goal,Wide,,,,,,,,,,,,,,
Knock In (4),5017867,40000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 5,Tomas Collingwood,Knock In,,,,,,,,,,,,,,,,,,,
Shot At Goal (11),5037833,35000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Patagones,,International Polo Club,Chukka 5,Geronimo Obregon,,,82;27,Attacking 30,Shot At Goal,Goal,,,,,,,,,,,,,,
Goal Patagones (8),5039800,35000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Patagones,,International Polo Club,Chukka 5,Geronimo Obregon,,,73;4,Attacking 30,,,Goal Patagones,,,,,,,,,,,Goals,,
Knock In (5),5052767,40000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 5,Tomas Collingwood,Knock In,,,,,,,,,,,,,,,,,,,
Throw-in (10),5189158,20000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 5,Jared Zenni,Throw-in,Daily Racing Form win throw-in,,,,,,,,,,,,,,,,,,
Shot At Goal (12),5475933,35000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Patagones,,International Polo Club,Chukka 6,Tomas Garcia del Rio,,,123;43,Attacking 60,Shot At Goal,Wide,,,,,,,,,,,,,,
Throw-in (11),5484600,20000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Patagones,,International Polo Club,Chukka 6,Tomas Garcia del Rio,Throw-in,Patagones win throw-in,,,,,,,,,,,,,,,,,,
Chukka Length (5),5485963,1004137,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Team,Chukka Length,International Polo Club,Chukka 6,,,,,,,,,,,,,,,,,,,,,
Knock In (6),5526833,40000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 6,Tomas Collingwood,Knock In,,,,,,,,,,,,,,,,,,,
Foul (7),5574067,25000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Patagones,,International Polo Club,Chukka 6,Santiago Toccalino,,,143;256,Defending 60,,,,,,Foul,Penalty 30 yards,Reaching,41;221,105;220,,,,,,
Foul Received (7),5574067,25000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 6,Agustin Obregon,,,7;36,Attacking 30,,,,,,Foul Received,Penalty 30 yards,Reaching,,,,,,,,
Goal Daily Racing Form (6),5632733,35000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 6,Jared Zenni,,,,,,,Goal Daily Racing Form,,,,,,,,,,,,,
Penalty 30 yards (1),5651000,15000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 6,Jared Zenni,,,,,,,,,,,,,,,Penalty 30 yards,Goal,,,,
Throw-in (12),5684984,20000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Patagones,,International Polo Club,Chukka 6,Santiago Toccalino,Throw-in,Patagones win throw-in,,,,,,,,,,,,,,,,,,
Foul (8),5698123,25000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 6,Agustin Obregon,,,144;217,Defending Half,,,,,,Foul,Penalty 60 yards,Cross/High Hook,80;198,142;181,,,,,,
Foul Received (8),5698123,25000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Patagones,,International Polo Club,Chukka 6,Geronimo Obregon,,,10;66,Attacking 60,,,,,,Foul Received,Penalty 60 yards,Cross/High Hook,,,,,,,,
Injury Time (1),5737064,97068,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Team,Injury Time,International Polo Club,Chukka 6,,,,,,,,,,,,,,,,,,,,,
Penalty 60 yards (1),5826413,15000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Patagones,,International Polo Club,Chukka 6,Santiago Toccalino,,,,,,,,,,,,,,,Penalty 60 yards,Wide,,,,
Injury Time (2),5875686,66599,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Team,Injury Time,International Polo Club,Chukka 6,,,,,,,,,,,,,,,,,,,,,
Knock In (7),5940438,40000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 6,Tomas Collingwood,Knock In,,,,,,,,,,,,,,,,Agustin Obregon,,,
Non Call (1),5971695,20000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Team,,International Polo Club,Chukka 6,,,,,,,,,,,Non Call,,Riding Into Shot,,,,,,,,
Foul (9),6053027,25000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 6,Jared Zenni,,,69;25,Attacking 30,,,,,,Foul,Penalty 5,Dangerous Riding,73;116,144;90,,,,,,
Foul Received (9),6053027,25000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Patagones,,International Polo Club,Chukka 6,Gonzalo Avendano,,,80;271,Defending 30,,,,,,Foul Received,Penalty 5,Dangerous Riding,,,,,,,,
Penalty 5 (2),6193041,30000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Patagones,,International Polo Club,Chukka 6,Tomas Garcia del Rio,Penalty 5,,,,,,,,,,,,,,,,,,,
Foul (10),6210268,25000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Patagones,,International Polo Club,Chukka 6,Gonzalo Avendano,,,112;95,Attacking Half,,,,,,Foul,Penalty 5,Riding Into Shot,12;192,139;133,,,,,,
Foul Received (10),6210268,25000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 6,Agustin Obregon,,,16;198,Defending Half,,,,,,Foul Received,Penalty 5,Riding Into Shot,,,,,,,,
Penalty 5 (3),6307210,30000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 6,Tomas Collingwood,Penalty 5,,,,,,,,,,,,,,,,,,,
Free Hit (1),6353835,20000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Patagones,,International Polo Club,Chukka 6,Tomas Garcia del Rio,Free Hit,,,,,,,,,,,,,,,,,,,
Foul (11),6359633,25000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Patagones,,International Polo Club,Chukka 6,Gonzalo Avendano,,,24;92,Attacking Half,,,,,,Foul,Penalty 5,Riding Into Shot,59;107,130;108,,,,,,
Foul Received (11),6359633,25000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 6,Costi Caset,,,133;199,Defending Half,,,,,,Foul Received,Penalty 5,Riding Into Shot,,,,,,,,
Penalty 5 (4),6394325,30000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 6,Tomas Collingwood,Penalty 5,,,,,,,,,,,,,,,,,,,
Shot At Goal (13),6440637,35000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 6,Costi Caset,,,39;33,Attacking 30,Shot At Goal,Miss Hit,,,,,,,,,,,,,,
Shot At Goal (14),6444951,35000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 6,Jared Zenni,,,71;18,Attacking 30,Shot At Goal,Goal,,,,,,,,,,,,,,
Goal Daily Racing Form (7),6446603,35000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 6,Jared Zenni,,,,,,,Goal Daily Racing Form,,,,,,,,,,,,,
Assist (1),6464473,25000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 6,Tomas Collingwood,,,,,,,,Successful,Tomas Collingwood,,,,,,,,,,,
