Name,Position,Duration,Camera Angle,Match Date,Umpire 1,Search Event,Stage,Tournament,Third Umpire,Club,Umpire 2,Instant Replay Official,Game,Team,Year,Chukka Length,Chukka,Set Play,Throw-in Outcome,Player,Foul,Location,General Field Area,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Knock-in Player 2,Shot At Goal,Shot At Goal Outcome,Assist Outcome,Assist,Penalty Block,Goal,Highlight Reel
Throw-in (15),5110533,20000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 5,Throw-in,Park Place win throw-in,Joaquin Panelo,,,,,,,,,,,,,,,,,
Shot At Goal (27),5110800,35000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 5,,,Alfredo Bigatti,,72;25,Attacking 30,,,,,,,,Shot At Goal,Blocked,,,,,
Foul Received (8),5128366,25000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 5,,,Juan Britos,Foul Received,82;13,Attacking 30,Right of Way,Penalty 1,,,,,,,,,,,,
Foul (8),5128466,25000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Pilot,2020,,Chukka 5,,,Gonzalito Pieres,Foul,69;289,Defending 30,Right of Way,Penalty 1,59;244,139;209,,,,,,,,,,
Shot Block (3),5137500,10000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Pilot,2020,,Chukka 5,,,Gonzalito Pieres,,,,,,,,,,,,,,,Shot Block,,
Injury Time,5179833,121566,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Team,2020,Injury Time,Chukka 5,,,,,,,,,,,,,,,,,,,,
Goal Park Place (4),5271766,35000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 5,,,Juan Britos,,79;7,Attacking 30,,,,,,,,,,,,,Goal Park Place,
Chukka Length (6),5296766,284366,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Team,2020,Chukka Length,Chukka 5,,,,,,,,,,,,,,,,,,,,
Penalty 1,5296766,10000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 5,,,Juan Britos,,,,,,,,Penalty 1,Goal,,,,,,,,
Penalty 5b,5366266,30000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 5,Penalty 5b,,Juan Britos,,,,,,,,,,,,,,,,,
Shot At Goal (28),5370033,35000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 5,,,Alfredo Bigatti,,78;21,Attacking 30,,,,,,,,Shot At Goal,Goal,,,,,
Goal Park Place (5),5371533,35000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 5,,,Alfredo Bigatti,,73;7,Attacking 30,,,,,,,,,,,,,Goal Park Place,
Throw-in (16),5503866,20000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 5,Throw-in,Park Place win throw-in,Alfredo Bigatti,,,,,,,,,,,,,,,,,
Shot At Goal (29),5517100,35000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Pilot,2020,,Chukka 5,,,Facundo Pieres,,90;42,Attacking 60,,,,,,,,Shot At Goal,Goal,,,,,
Goal Pilot (10),5521533,35000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Pilot,2020,,Chukka 5,,,Facundo Pieres,,77;7,Attacking 30,,,,,,,,,,,,,Goal Pilot,
Chukka Length (5),5761200,692333,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Team,2020,Chukka Length,Chukka 6,,,,,,,,,,,,,,,,,,,,
Throw-in (17),5761200,20000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 6,Throw-in,Park Place win throw-in,Joaquin Panelo,,,,,,,,,,,,,,,,,
Foul (9),5819333,25000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 6,,,Andrey Borodin,Foul,69;284,Defending 30,Right of Way,Penalty 1,37;233,136;234,,,,,,,,,,
Foul Received (9),5819333,25000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Pilot,2020,,Chukka 6,,,Gonzalito Pieres,Foul Received,81;20,Attacking 30,Right of Way,Penalty 1,,,,,,,,,,,,
Goal Pilot (11),5873400,35000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Pilot,2020,,Chukka 6,,,Gonzalito Pieres,,78;7,Attacking 30,,,,,,,,,,,,,Goal Pilot,
Penalty 1 (1),5898400,10000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Pilot,2020,,Chukka 6,,,Gonzalito Pieres,,,,,,,,Penalty 1,Goal,,,,,,,,
Penalty 5b (1),5959133,30000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Pilot,2020,,Chukka 6,Penalty 5b,,Facundo Pieres,,,,,,,,,,,,,,,,,
Knock In (17),5985700,40000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 6,Knock In,,Alfredo Bigatti,,,,,,,,,,Juan Britos,,,,,,,
Shot At Goal (30),6011700,35000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 6,,,Alfredo Bigatti,,78;29,Attacking 30,,,,,,,,Shot At Goal,Blocked,,,,,
Shot At Goal (31),6030266,35000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 6,,,Juan Britos,,54;12,Attacking 30,,,,,,,,Shot At Goal,Wide,,,,,
Shot Block (4),6039900,10000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Pilot,2020,,Chukka 6,,,Facundo Pieres,,,,,,,,,,,,,,,Shot Block,,
Knock In (18),6074300,40000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Pilot,2020,,Chukka 6,Knock In,,Facundo Pieres,,,,,,,,,,Curtis Pilot,,,,,,,
Shot At Goal (32),6101850,35000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 6,,,Alfredo Bigatti,,95;51,Attacking 60,,,,,,,,Shot At Goal,Goal,,,,,
Goal Park Place (6),6105900,35000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 6,,,Alfredo Bigatti,,73;6,Attacking 30,,,,,,,,,,,,,Goal Park Place,Goals
Assist (13),6122433,25000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 6,,,Juan Britos,,,,,,,,,,,,,Successful,Juan Britos,,,
Shot At Goal (33),6158533,35000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 6,,,Joaquin Panelo,,118;27,Attacking 30,,,,,,,,Shot At Goal,Wide,,,,,
Throw-in (18),6159633,20000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 6,Throw-in,Park Place win throw-in,Alfredo Bigatti,,,,,,,,,,,,,,,,,
Shot At Goal (34),6187033,35000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 6,,,Juan Britos,,118;65,Attacking 60,,,,,,,,Shot At Goal,Goal,,,,,
Goal Park Place (7),6190133,35000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 6,,,Juan Britos,,74;7,Attacking 30,,,,,,,,,,,,,Goal Park Place,
Knock In (19),6201500,40000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Pilot,2020,,Chukka 6,Knock In,,Facundo Pieres,,,,,,,,,,,,,,,,,
Throw-in (19),6245033,20000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 6,Throw-in,Park Place win throw-in,Juan Britos,,67;124,,,,,,,,,,,,,,,
Foul (10),6245685,25000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 6,,,Alfredo Bigatti,Foul,70;124,Attacking Half,Right of Way,Penalty 5,15;129,128;157,,,,,,,,,,
Foul Received (10),6245685,25000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Pilot,2020,,Chukka 6,,,Curtis Pilot,Foul Received,80;174,Defending Half,Right of Way,Penalty 5,,,,,,,,,,,,
Shot At Goal (35),6300566,35000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Pilot,2020,,Chukka 6,,,Gonzalito Pieres,,123;29,Attacking 30,,,,,,,,Shot At Goal,Wide,,,,,
Penalty 5 (1),6301433,30000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Pilot,2020,,Chukka 6,Penalty 5,,Facundo Pieres,,,,,,,,,,,,,,,,,
Knock In (20),6340500,40000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 6,Knock In,,Juan Britos,,,,,,,,,,Alfredo Bigatti,,,,,,,
