Name,Position,Duration,Camera Angle,Chukka,Club,Game,General Field Area,Goal,Instant Replay Official,Location,Match Date,Player,Search Event,Stage,Team,Third Umpire,Tournament,Umpire 1,Umpire 2,Year,Shot At Goal,Shot At Goal Outcome,Set Play,Throw-in Outcome,Assist,Assist Outcome,Highlight Reel,Foul,Foul Outcome,Foul Type,Penalties,Penalty Outcome,Knock-in Player 2,Collision,Chukka Length
Goal Tonkawa,0,35000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,Goal Tonkawa,Unknown,78;3,February 09. 2020,Sapo Caset,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,
Shot At Goal,0,35000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,,Unknown,76;18,February 09. 2020,Sapo Caset,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,Shot At Goal,Goal,,,,,,,,,,,,,
Throw-in,174,20000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Matt Coppola,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Throw-in,Tonkawa win throw-in,,,,,,,,,,,
Assist,10634,25000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Matt Coppola,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Matt Coppola,Successful,,,,,,,,,
Throw-in (1),57773,20000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Ignatius Du Plessis,Search LiveStream,Group,Santa Clara,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Throw-in,Tonkawa win throw-in,,,,,,,,,,,
Shot At Goal (1),74302,35000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,,Unknown,73;17,February 09. 2020,Ignacio Toccalino,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,Shot At Goal,Goal,,,,,,,,,,,,,
Goal Tonkawa (1),76058,35000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,Goal Tonkawa,Unknown,74;3,February 09. 2020,Ignacio Toccalino,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,
Assist (1),91058,25000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Jeff Hildebrand,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Jeff Hildebrand,Successful,,,,,,,,,
Throw-in (2),135023,20000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Matias Magrini,Search LiveStream,Group,Santa Clara,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Throw-in,Santa Clara win throw-in,,,,,,,,,,,
Shot At Goal (2),161984,35000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,,Unknown,76;13,February 09. 2020,Ignacio Toccalino,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,Shot At Goal,Goal,,,,,,,,,,,,,
Goal Tonkawa (2),163267,35000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,Goal Tonkawa,Unknown,72;3,February 09. 2020,Ignacio Toccalino,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,Goals,,,,,,,,
Shot At Goal (3),207429,35000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,,Unknown,71;21,February 09. 2020,Matt Coppola,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,Shot At Goal,Goal,,,,,,,,,,,,,
Goal Tonkawa (3),209185,35000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,Goal Tonkawa,Unknown,76;2,February 09. 2020,Matt Coppola,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,Goals,,,,,,,,
Throw-in (3),217236,20000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Matt Coppola,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Throw-in,Tonkawa win throw-in,,,,,,,,,,,
Shot At Goal (4),254731,35000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,,Unknown,77;17,February 09. 2020,Sapo Caset,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,Shot At Goal,Goal,,,,,,,,,,,,,
Goal Tonkawa (4),256757,35000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,Goal Tonkawa,Unknown,73;2,February 09. 2020,Sapo Caset,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,
Throw-in (4),265855,20000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Ignacio Toccalino,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Throw-in,Tonkawa win throw-in,,,,,,,,,,,
Assist (2),273648,25000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Jeff Hildebrand,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Jeff Hildebrand,Successful,,,,,,,,,
Throw-in (5),319538,20000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Luis Escobar,Search LiveStream,Group,Santa Clara,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Throw-in,Santa Clara win throw-in,,,,,,,,,,,
Foul,336164,25000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,Defending 30,,Unknown,57;280,February 09. 2020,Sapo Caset,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,Foul,Penalty 30 yards,Dangerous Riding,,,,,
Foul Received,336164,25000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,,Unknown,94;20,February 09. 2020,Matias Magrini,Search LiveStream,Group,Santa Clara,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,Foul Received,Penalty 30 yards,Dangerous Riding,,,,,
Goal Santa Clara,338325,35000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,Goal Santa Clara,Unknown,75;3,February 09. 2020,Luis Escobar,Search LiveStream,Group,Santa Clara,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,
Penalty 30 yards Spot,360793,10000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Luis Escobar,Search LiveStream,Group,Santa Clara,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,Penalty 30 yards Spot,Goal,,,
Throw-in (6),393239,20000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Sapo Caset,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Throw-in,Tonkawa win throw-in,,,,,,,,,,,
Non Call,414478,20000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,,Search LiveStream,Group,Team,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,Non Call,,Right of Way,,,,,
Foul (1),419926,25000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,,Unknown,129;18,February 09. 2020,Matt Coppola,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,Foul,Penalty 5,Reaching,,,,,
Foul Received (1),419926,25000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,Defending 30,,Unknown,19;281,February 09. 2020,Ignatius Du Plessis,Search LiveStream,Group,Santa Clara,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,Foul Received,Penalty 5,Reaching,,,,,
Penalty 5,455903,30000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Luis Escobar,Search LiveStream,Group,Santa Clara,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Penalty 5,,,,,,,,,,,,
Shot At Goal (5),489040,35000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,,Unknown,94;20,February 09. 2020,Henry Porter,Search LiveStream,Group,Santa Clara,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,Shot At Goal,Miss Hit,,,,,,,,,,,,,
Throw-in (7),504485,20000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Henry Porter,Search LiveStream,Group,Santa Clara,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Throw-in,Santa Clara win throw-in,,,,,,,,,,,
Knock In,531719,40000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Sapo Caset,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Knock In,,,,,,,,,,Ignacio Toccalino,,
Foul (2),584552,25000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,Defending Half,,Unknown,146;198,February 09. 2020,Matias Magrini,Search LiveStream,Group,Santa Clara,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,Foul,Penalty 5B,Dangerous Riding,,,,,
Foul Received (2),584552,25000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,Attacking Half,,Unknown,8;92,February 09. 2020,Sapo Caset,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,Foul Received,Penalty 5B,Dangerous Riding,,,,,
Shot At Goal (6),638813,35000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,,Unknown,68;21,February 09. 2020,Matt Coppola,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,Shot At Goal,Wide,,,,,,,,,,,,,
Assist (3),655805,25000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Sapo Caset,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Sapo Caset,Unsuccessful,,,,,,,,,
Penalty 5b,656858,30000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Sapo Caset,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Penalty 5b,,,,,,,,,,,,
Knock In (1),682268,40000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Luis Escobar,Search LiveStream,Group,Santa Clara,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Knock In,,,,,,,,,,Matias Magrini,,
Non Call (1),706423,20000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,,Search LiveStream,Group,Team,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,Non Call,,Crossing,,,,,
Foul (3),718962,25000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,Defending 30,,Unknown,76;288,February 09. 2020,Sapo Caset,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,Foul,Penalty 30 yards,Blocking,,,,,
Foul Received (3),718962,25000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,,Unknown,77;12,February 09. 2020,Ignatius Du Plessis,Search LiveStream,Group,Santa Clara,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,Foul Received,Penalty 30 yards,Blocking,,,,,
Foul (4),730882,25000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,,Unknown,71;30,February 09. 2020,Matias Magrini,Search LiveStream,Group,Santa Clara,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,Foul,Penalty 5,Technical,,,,,
Shot At Goal (7),737402,35000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,,Unknown,60;21,February 09. 2020,Ignacio Toccalino,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,Shot At Goal,Wide,,,,,,,,,,,,,
Penalty 5 (1),747412,30000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Sapo Caset,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Penalty 5,,,,,,,,,,,,
Assist (4),755036,25000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Sapo Caset,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Sapo Caset,Unsuccessful,,,,,,,,,
Knock In (2),784200,40000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Luis Escobar,Search LiveStream,Group,Santa Clara,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Knock In,,,,,,,,,,Ignatius Du Plessis,,
Knock In (3),825796,40000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Sapo Caset,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Knock In,,,,,,,,,,,,
Foul (5),831057,25000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,Attacking Half,,Unknown,62;112,February 09. 2020,Matias Magrini,Search LiveStream,Group,Santa Clara,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,Foul,Penalty 60 yards,Crossing,,,,,
Foul Received (5),831057,25000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,Defending Half,,Unknown,78;185,February 09. 2020,Sapo Caset,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,Foul Received,Penalty 60 yards,Crossing,,,,,
Goal Tonkawa (5),875932,35000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,Goal Tonkawa,Unknown,78;3,February 09. 2020,Sapo Caset,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,
Penalty 60 yards,893434,15000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Sapo Caset,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,Penalty 60 yards,Wide,,,
Throw-in (8),928989,20000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Ignatius Du Plessis,Search LiveStream,Group,Santa Clara,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Throw-in,Santa Clara win throw-in,,,,,,,,,,,
Foul (6),987886,25000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,Attacking Half,,Unknown,9;88,February 09. 2020,Matt Coppola,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,Foul,Penalty 5,Right of Way,,,,,
Foul Received (6),987886,25000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,Defending Half,,Unknown,145;190,February 09. 2020,Matias Magrini,Search LiveStream,Group,Santa Clara,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,Foul Received,Penalty 5,Right of Way,,,,,
Penalty 5 (2),1029096,30000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Luis Escobar,Search LiveStream,Group,Santa Clara,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Penalty 5,,,,,,,,,,,,
Foul (7),1040861,25000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,Attacking Half,,Unknown,109;88,February 09. 2020,Luis Escobar,Search LiveStream,Group,Santa Clara,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,Foul,Penalty 5B,Crossing,,,,,
Foul Received (7),1040861,25000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,Defending 60,,Unknown,40;239,February 09. 2020,Sapo Caset,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,Foul Received,Penalty 5B,Crossing,,,,,
Collision,1050232,15000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,Defending 60,,Unknown,43;240,February 09. 2020,Ignacio Toccalino,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,Collision,
Foul (8),1056424,25000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,Attacking Half,,Unknown,116;99,February 09. 2020,Ignacio Toccalino,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,Foul,Penalty 5,Dangerous Riding,,,,,
Foul Received (8),1056424,25000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,Defending Half,,Unknown,26;195,February 09. 2020,Ignatius Du Plessis,Search LiveStream,Group,Santa Clara,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,Foul Received,Penalty 5,Dangerous Riding,,,,,
Penalty 5b (1),1057692,30000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Sapo Caset,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Penalty 5b,,,,,,,,,,,,
Penalty 5 (3),1088315,30000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Luis Escobar,Search LiveStream,Group,Santa Clara,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Penalty 5,,,,,,,,,,,,
Shot At Goal (8),1094174,35000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,,Unknown,60;18,February 09. 2020,Sapo Caset,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,Shot At Goal,Goal,,,,,,,,,,,,,
Goal Tonkawa (6),1097314,35000,Live,Chukka 2,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,Goal Tonkawa,Unknown,76;3,February 09. 2020,Sapo Caset,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,
Throw-in (9),1135894,20000,Live,Chukka 3,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Sapo Caset,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Throw-in,Tonkawa win throw-in,,,,,,,,,,,
