Name,Position,Duration,Third Umpire,Search Event,Camera Angle,Stage,Year,Umpire 2,Instant Replay Official,Club,Umpire 1,Game,Match Date,Set Play,Chukka,Tournament,Throw-in Outcome,Player,Team,Chukka Length,Shot At Goal,Shot At Goal Outcome,Location,General Field Area,Knock-in Player 2,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Goal,Highlight Reel,Assist Outcome,Assist,Penalties,Penalty Outcome,Penalty Block
Throw-in,326466,20000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,Throw-in,Chukka 1,Ylvisaker Cup,Palm Beach Equine win throw-in,Gringo Colombres,Palm Beach Equine,,,,,,,,,,,,,,,,,,
Chukka Length,329866,535266,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 1,Ylvisaker Cup,,,Team,Chukka Length,,,,,,,,,,,,,,,,,
Shot At Goal,346666,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 1,Ylvisaker Cup,,Scott Swerdlin,Palm Beach Equine,,Shot At Goal,Wide,144;77,Attacking Half,,,,,,,,,,,,,
Knock In,401133,40000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,Knock In,Chukka 1,Ylvisaker Cup,,Miguel Novillo Astrada,Coca-Cola,,,,,,Will Johnston,,,,,,,,,,,,
Foul,421566,25000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 1,Ylvisaker Cup,,Gonzalo Ferrari,Palm Beach Equine,,,,2;88,Attacking Half,,Foul,Blocking,Penalty 5,4;99,85;72,,,,,,,
Foul Received,421566,25000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 1,Ylvisaker Cup,,Sugar Erskine,Coca-Cola,,,,146;215,Defending Half,,Foul Received,Blocking,Penalty 5,,,,,,,,,
Shot At Goal (1),463466,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 1,Ylvisaker Cup,,Miguel Novillo Astrada,Coca-Cola,,Shot At Goal,Goal,94;101,Attacking Half,,,,,,,,,,,,,
Goal Coca-Cola,467866,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 1,Ylvisaker Cup,,Miguel Novillo Astrada,Coca-Cola,,,,,,,,,,,,Goal Coca-Cola,Goals,,,,,
Penalty 5,468700,30000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,Penalty 5,Chukka 1,Ylvisaker Cup,,Miguel Novillo Astrada,Coca-Cola,,,,,,,,,,,,,,,,,,
Throw-in (1),520233,20000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,Throw-in,Chukka 1,Ylvisaker Cup,Coca-Cola win throw-in,Miguel Novillo Astrada,Coca-Cola,,,,,,,,,,,,,,,,,,
Foul (1),524933,25000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 1,Ylvisaker Cup,,Gillian Johnston,Coca-Cola,,,,87;118,Attacking Half,,Foul,Right of Way,Penalty 5,77;138,77;133,,,,,,,
Foul Received (1),524933,25000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 1,Ylvisaker Cup,,Gringo Colombres,Palm Beach Equine,,,,108;181,Defending Half,,Foul Received,Right of Way,Penalty 5,,,,,,,,,
Shot At Goal (2),555433,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 1,Ylvisaker Cup,,Lucas Diaz Alberdi,Palm Beach Equine,,Shot At Goal,Goal,76;121,Attacking Half,,,,,,,,,,,,,
Goal Palm Beach Equine,559300,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 1,Ylvisaker Cup,,Lucas Diaz Alberdi,Palm Beach Equine,,,,,,,,,,,,Goal Palm Beach Equine,Goals,,,,,
Penalty 5 (1),563333,30000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,Penalty 5,Chukka 1,Ylvisaker Cup,,Gringo Colombres,Palm Beach Equine,,,,,,,,,,,,,,,,,,
Assist,574300,25000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 1,Ylvisaker Cup,,Gringo Colombres,Palm Beach Equine,,,,,,,,,,,,,,Successful,Gringo Colombres,,,
Throw-in (2),614100,20000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,Throw-in,Chukka 1,Ylvisaker Cup,Coca-Cola win throw-in,Will Johnston,Coca-Cola,,,,,,,,,,,,,,,,,,
Shot At Goal (3),633633,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 1,Ylvisaker Cup,,Gonzalo Ferrari,Palm Beach Equine,,Shot At Goal,Goal,86;15,Attacking 30,,,,,,,,,,,,,
Goal Palm Beach Equine (1),634433,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 1,Ylvisaker Cup,,Gonzalo Ferrari,Palm Beach Equine,,,,,,,,,,,,Goal Palm Beach Equine,,,,,,
Shot At Goal (4),688866,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 1,Ylvisaker Cup,,Gillian Johnston,Coca-Cola,,Shot At Goal,Short,91;24,Attacking 30,,,,,,,,,,,,,
Throw-in (3),699166,20000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,Throw-in,Chukka 1,Ylvisaker Cup,Coca-Cola win throw-in,Miguel Novillo Astrada,Coca-Cola,,,,,,,,,,,,,,,,,,
Assist (1),703866,25000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 1,Ylvisaker Cup,,Miguel Novillo Astrada,Coca-Cola,,,,,,,,,,,,,,Unsuccessful,Miguel Novillo Astrada,,,
Shot At Goal (5),802100,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 1,Ylvisaker Cup,,Will Johnston,Coca-Cola,,Shot At Goal,Goal,85;22,Attacking 30,,,,,,,,,,,,,
Goal Coca-Cola (1),803700,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 1,Ylvisaker Cup,,Will Johnston,Coca-Cola,,,,,,,,,,,,Goal Coca-Cola,,,,,,
Shot At Goal (6),1015866,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 2,Ylvisaker Cup,,Gonzalo Ferrari,Palm Beach Equine,,Shot At Goal,Goal,81;29,Attacking 30,,,,,,,,,,,,,
Goal Palm Beach Equine (2),1020100,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 2,Ylvisaker Cup,,Gonzalo Ferrari,Palm Beach Equine,,,,,,,,,,,,Goal Palm Beach Equine,,,,,,
Chukka Length (1),1020733,674600,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 2,Ylvisaker Cup,,,Team,Chukka Length,,,,,,,,,,,,,,,,,
Throw-in (4),1021166,20000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,Throw-in,Chukka 2,Ylvisaker Cup,Coca-Cola win throw-in,Unknown,Coca-Cola,,,,,,,,,,,,,,,,,,
Assist (2),1035100,25000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 2,Ylvisaker Cup,,Lucas Diaz Alberdi,Palm Beach Equine,,,,,,,,,,,,,,Successful,Lucas Diaz Alberdi,,,
Throw-in (5),1075233,20000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,Throw-in,Chukka 2,Ylvisaker Cup,Coca-Cola win throw-in,Gillian Johnston,Coca-Cola,,,,,,,,,,,,,,,,,,
Foul (2),1094233,25000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 2,Ylvisaker Cup,,Gringo Colombres,Palm Beach Equine,,,,21;288,Defending 30,,Foul,Reaching,Penalty 30 yards,75;240,76;285,,,,,,,
Foul Received (2),1094233,25000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 2,Ylvisaker Cup,,Miguel Novillo Astrada,Coca-Cola,,,,129;12,Attacking 30,,Foul Received,Reaching,Penalty 30 yards,,,,,,,,,
Goal Coca-Cola (2),1155600,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 2,Ylvisaker Cup,,Miguel Novillo Astrada,Coca-Cola,,,,,,,,,,,,Goal Coca-Cola,,,,,,
Penalty 30 yards,1173820,15000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 2,Ylvisaker Cup,,Miguel Novillo Astrada,Coca-Cola,,,,,,,,,,,,,,,,Penalty 30 yards,Goal,
Throw-in (6),1215200,20000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,Throw-in,Chukka 2,Ylvisaker Cup,Coca-Cola win throw-in,Miguel Novillo Astrada,Coca-Cola,,,,,,,,,,,,,,,,,,
Non Call,1239766,20000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 2,Ylvisaker Cup,,,Team,,,,,,,Non Call,Riding Into Shot,,,,,,,,,,
Shot At Goal (7),1245333,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 2,Ylvisaker Cup,,Sugar Erskine,Coca-Cola,,Shot At Goal,Short,11;57,Attacking 60,,,,,,,,,,,,,
Assist (3),1260090,25000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 2,Ylvisaker Cup,,Miguel Novillo Astrada,Coca-Cola,,,,,,,,,,,,,,Unsuccessful,Miguel Novillo Astrada,,,
Foul (3),1279800,25000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 2,Ylvisaker Cup,,Will Johnston,Coca-Cola,,,,102;112,Attacking Half,,Foul,Riding Into Shot,Reversed Call,128;109,26;153,,,,,,,
Foul Received (3),1279800,25000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 2,Ylvisaker Cup,,Gringo Colombres,Palm Beach Equine,,,,38;193,Defending Half,,Foul Received,Riding Into Shot,Reversed Call,,,,,,,,,
Throw-in (7),1399766,20000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,Throw-in,Chukka 2,Ylvisaker Cup,Palm Beach Equine win throw-in,Gringo Colombres,Palm Beach Equine,,,,,,,,,,,,,,,,,,
Foul (4),1404433,25000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 2,Ylvisaker Cup,,Lucas Diaz Alberdi,Palm Beach Equine,,,,10;195,Defending Half,,Foul,Turning,Reversed Call,23;152,78;172,,,,,,,
Foul Received (4),1405166,25000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 2,Ylvisaker Cup,,Will Johnston,Coca-Cola,,,,131;111,Attacking Half,,Foul Received,Turning,Reversed Call,,,,,,,,,
Shot At Goal (8),1436666,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 2,Ylvisaker Cup,,Gonzalo Ferrari,Palm Beach Equine,,Shot At Goal,Goal,83;9,Attacking 30,,,,,,,,,,,,,
Goal Palm Beach Equine (3),1439666,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 2,Ylvisaker Cup,,Gonzalo Ferrari,Palm Beach Equine,,,,,,,,,,,,Goal Palm Beach Equine,,,,,,
Throw-in (8),1446100,20000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,Throw-in,Chukka 2,Ylvisaker Cup,Palm Beach Equine win throw-in,Gringo Colombres,Palm Beach Equine,,,,,,,,,,,,,,,,,,
Assist (4),1454666,25000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 2,Ylvisaker Cup,,Gringo Colombres,Palm Beach Equine,,,,,,,,,,,,,,Successful,Gringo Colombres,,,
Shot At Goal (9),1482600,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 2,Ylvisaker Cup,,Lucas Diaz Alberdi,Palm Beach Equine,,Shot At Goal,Blocked,8;118,Attacking Half,,,,,,,,,,,,,
Throw-in (9),1497333,20000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,Throw-in,Chukka 2,Ylvisaker Cup,Palm Beach Equine win throw-in,Lucas Diaz Alberdi,Palm Beach Equine,,,,,,,,,,,,,,,,,,
Shot Block,1513933,10000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 2,Ylvisaker Cup,,Miguel Novillo Astrada,Coca-Cola,,,,,,,,,,,,,,,,,,Shot Block
Shot At Goal (10),1546933,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 2,Ylvisaker Cup,,Sugar Erskine,Coca-Cola,,Shot At Goal,Wide,128;22,Attacking 30,,,,,,,,,,,,,
Assist (5),1566233,25000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 2,Ylvisaker Cup,,Miguel Novillo Astrada,Coca-Cola,,,,,,,,,,,,,,Unsuccessful,Miguel Novillo Astrada,,,
Knock In (1),1591733,40000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,Knock In,Chukka 2,Ylvisaker Cup,,Gringo Colombres,Palm Beach Equine,,,,,,,,,,,,,,,,,,
Non Call (1),1639433,20000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 2,Ylvisaker Cup,,,Team,,,,,,,Non Call,Reaching,,,,,,,,,,
Foul (5),1667266,25000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 2,Ylvisaker Cup,,Miguel Novillo Astrada,Coca-Cola,,,,53;88,Attacking Half,,Foul,Right of Way,Penalty 60 yards,59;112,135;80,,,,,,,
Foul Received (5),1667266,25000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 2,Ylvisaker Cup,,Gonzalo Ferrari,Palm Beach Equine,,,,107;238,Defending 60,,Foul Received,Right of Way,Penalty 60 yards,,,,,,,,,
Penalty 60 yards,1962466,15000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 3,Ylvisaker Cup,,Gringo Colombres,Palm Beach Equine,,,,,,,,,,,,,,,,Penalty 60 yards,Short,
Foul (6),1964500,25000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 3,Ylvisaker Cup,,Gringo Colombres,Palm Beach Equine,,,,60;83,Attacking Half,,Foul,Right of Way,Penalty 60 yards,53;90,99;31,,,,,,,
Foul Received (6),1964500,25000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 3,Ylvisaker Cup,,Sugar Erskine,Coca-Cola,,,,100;226,Defending 60,,Foul Received,Right of Way,Penalty 60 yards,,,,,,,,,
Chukka Length (2),1970700,614432,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 3,Ylvisaker Cup,,,Team,Chukka Length,,,,,,,,,,,,,,,,,
Penalty 60 yards (1),2053866,15000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 3,Ylvisaker Cup,,Miguel Novillo Astrada,Coca-Cola,,,,,,,,,,,,,,,,Penalty 60 yards,Blocked,
Penalty Block,2061666,10000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 3,Ylvisaker Cup,,Gonzalo Ferrari,Palm Beach Equine,,,,,,,,,,,,,,,,,,Penalty Block
Shot At Goal (11),2089266,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 3,Ylvisaker Cup,,Sugar Erskine,Coca-Cola,,Shot At Goal,Miss Hit,62;36,Attacking 30,,,,,,,,,,,,,
Shot At Goal (12),2124033,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 3,Ylvisaker Cup,,Sugar Erskine,Coca-Cola,,Shot At Goal,Goal,94;61,Attacking 60,,,,,,,,,,,,,
Goal Coca-Cola (3),2129800,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 3,Ylvisaker Cup,,Sugar Erskine,Coca-Cola,,,,,,,,,,,,Goal Coca-Cola,,,,,,
Shot At Goal (13),2179466,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 3,Ylvisaker Cup,,Lucas Diaz Alberdi,Palm Beach Equine,,Shot At Goal,Blocked,64;92,Attacking Half,,,,,,,,,,,,,
Throw-in (10),2187482,20000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,Throw-in,Chukka 3,Ylvisaker Cup,Palm Beach Equine win throw-in,Gonzalo Ferrari,Palm Beach Equine,,,,,,,,,,,,,,,,,,
Assist (6),2199566,25000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 3,Ylvisaker Cup,,Gonzalo Ferrari,Palm Beach Equine,,,,,,,,,,,,,,Unsuccessful,Gonzalo Ferrari,,,
Shot Block (1),2209566,10000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 3,Ylvisaker Cup,,Miguel Novillo Astrada,Coca-Cola,,,,,,,,,,,,,,,,,,Shot Block
Shot At Goal (14),2213666,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 3,Ylvisaker Cup,,Gringo Colombres,Palm Beach Equine,,Shot At Goal,Goal,79;33,Attacking 30,,,,,,,,,,,,,
Goal Palm Beach Equine (4),2214933,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 3,Ylvisaker Cup,,Gringo Colombres,Palm Beach Equine,,,,,,,,,,,,Goal Palm Beach Equine,,,,,,
Goal Palm Beach Equine (5),2274300,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 3,Ylvisaker Cup,,Gonzalo Ferrari,Palm Beach Equine,,,,,,,,,,,,Goal Palm Beach Equine,,,,,,
Shot At Goal (15),2274300,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 3,Ylvisaker Cup,,Gonzalo Ferrari,Palm Beach Equine,,Shot At Goal,Goal,72;31,Attacking 30,,,,,,,,,,,,,
Throw-in (11),2274566,20000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,Throw-in,Chukka 3,Ylvisaker Cup,Palm Beach Equine win throw-in,Gonzalo Ferrari,Palm Beach Equine,,,,,,,,,,,,,,,,,,
Throw-in (12),2335900,20000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,Throw-in,Chukka 3,Ylvisaker Cup,Coca-Cola win throw-in,Will Johnston,Coca-Cola,,,,,,,,,,,,,,,,,,
Foul (7),2359400,25000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 3,Ylvisaker Cup,,Gringo Colombres,Palm Beach Equine,,,,104;292,Defending 30,,Foul,Blocking,Penalty 30 yards,80;216,137;262,,,,,,,
Foul Received (7),2391400,25000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 3,Ylvisaker Cup,,Sugar Erskine,Coca-Cola,,,,51;4,Attacking 30,,Foul Received,Blocking,Penalty 30 yards,,,,,,,,,
