Name,Position,Duration,Assist,Assist Outcome,Camera Angle,Chukka,Chukka Length,Club,Game,Instant Replay Official,Match Date,Player,Search Event,Stage,Team,Third Umpire,Tournament,Umpire 1,Umpire 2,Year,Collision,Foul,Foul Outcome,Foul Type,General Field Area,Location,Umpire Focal,Umpire Trailing,Goal,Highlight Reel,Knock-in Player 2,Set Play,Penalties,Penalty Outcome,Shot At Goal,Shot At Goal Outcome,Throw-in Outcome,Penalty Block
Shot Block (1),4253066,10000,,,Live,Chukka 4,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Mariano Gonzalez,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,Shot Block
Throw-in,4126366,20000,,,Live,Chukka 4,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Inaki Laprida,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,Throw-in,,,,,Equuleus win throw-in,
Throw-in (1),4231366,20000,,,Live,Chukka 4,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Gonzalo Avendano,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,Throw-in,,,,,Patagones win throw-in,
Assist (3),4976066,25000,Inaki Laprida,Unsuccessful,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Inaki Laprida,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,
Assist (4),5363766,25000,Geronimo Obregon,Successful,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Geronimo Obregon,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,
Chukka Length (5),4660150,854733,,,Live,Chukka 5,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,,Search Livestream,Group,Team,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,
Foul (4),4685166,25000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Magoo Laprida,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,Foul,Penalty 5,Improper Procedure,Attacking 30,143;17,146;25,93;62,,,,,,,,,,
Foul (5),4777900,25000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Geronimo Obregon,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,Foul,Penalty 5,Right of Way,Attacking Half,39;130,61;203,110;183,,,,,,,,,,
Foul (6),4842033,25000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Geronimo Obregon,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,Foul,Penalty 5,Cross/High Hook,Attacking 60,55;75,30;92,78;126,,,,,,,,,,
Foul (7),5091733,25000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Inaki Laprida,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,Foul,Penalty 40 yards,Turning,Defending 60,86;262,36;57,105;106,,,,,,,,,,
Foul (8),5266500,25000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Magoo Laprida,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,Foul,Penalty 5,Right of Way,Attacking Half,114;133,69;116,93;174,,,,,,,,,,
Foul (9),5414400,25000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Gonzalo Avendano,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,Foul,Penalty 5,Crossing,Attacking Half,89;126,46;131,91;102,,,,,,,,,,
Foul Received (4),4685166,25000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Tomas Garcia del Rio,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,Foul Received,Penalty 5,Improper Procedure,Defending 30,5;283,,,,,,,,,,,,
Foul Received (5),4777900,25000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Tomas Garcia del Rio,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,Foul Received,Penalty 5,Right of Way,Defending Half,113;167,,,,,,,,,,,,
Foul Received (6),4842033,25000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Magoo Laprida,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,Foul Received,Penalty 5,Cross/High Hook,Defending Half,96;229,,,,,,,,,,,,
Foul Received (7),5091733,25000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Santiago Toccalino,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,Foul Received,Penalty 40 yards,Turning,Attacking 30,55;38,,,,,,,,,,,,
Foul Received (8),5266500,25000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Geronimo Obregon,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,Foul Received,Penalty 5,Right of Way,Defending Half,21;167,,,,,,,,,,,,
Foul Received (9),5414400,25000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Mariano Gonzalez,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,Foul Received,Penalty 5,Crossing,Defending Half,61;174,,,,,,,,,,,,
Goal Patagones (1),5212366,35000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Tomas Garcia del Rio,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,Goal Patagones,,,,,,,,,
Goal Patagones (2),5311633,35000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Santiago Toccalino,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,Attacking 30,71;4,,,Goal Patagones,,,,,,,,,
Goal Patagones (3),5357533,35000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Santiago Toccalino,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,Attacking 30,71;8,,,Goal Patagones,Goals,,,,,,,,
Goal Patagones (4),5465500,35000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Tomas Garcia del Rio,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,Attacking 30,76;7,,,Goal Patagones,,,,,,,,,
Knock In (4),4769466,40000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Tomas Garcia del Rio,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,Santiago Toccalino,Knock In,,,,,,
Knock In (5),5079600,40000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Tomas Garcia del Rio,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,Geronimo Obregon,Knock In,,,,,,
Non Call,4915933,20000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,,Search Live stream,Group,Team,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,Non Call,,Right of Way,,,,,,,,,,,,,,
Non Call (1),5323200,20000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,,Search Live stream,Group,Team,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,Non Call,,Dangerous Riding,,,,,,,,,,,,,,
Penalty 5 (2),4655733,30000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Tomas Garcia del Rio,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,Penalty 5,,,,,,
Penalty 5 (3),4719566,30000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Tomas Garcia del Rio,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,Penalty 5,,,,,,
Penalty 5 (4),4830128,30000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Mariano Gonzalez,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,Penalty 5,,,,,,
Penalty 5 (5),4897366,30000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Mariano Gonzalez,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,Penalty 5,,,,,,
Penalty 5 (6),5321700,30000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Tomas Garcia del Rio,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,Penalty 5,,,,,,
Penalty 5 (7),5462000,30000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Mariano Gonzalez,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,Penalty 5,,,,,,
Penalty 40 yards,5227433,15000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Tomas Garcia del Rio,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,,Penalty 40 yards,Goal,,,,
Shot At Goal (9),4720900,35000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Magoo Laprida,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,Attacking 60,145;65,,,,,,,,,Shot At Goal,Wide,,
Shot At Goal (10),4957833,35000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Mariano Gonzalez,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,Attacking 30,54;18,,,,,,,,,Shot At Goal,Wide,,
Shot At Goal (11),5310000,35000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Santiago Toccalino,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,Attacking 30,69;15,,,,,,,,,Shot At Goal,Goal,,
Shot At Goal (12),5356300,35000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Santiago Toccalino,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,Attacking 30,64;17,,,,,,,,,Shot At Goal,Goal,,
Shot At Goal (13),5463366,35000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Tomas Garcia del Rio,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,Attacking 30,73;33,,,,,,,,,Shot At Goal,Goal,,
Throw-in (2),5265933,20000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Tomas Garcia del Rio,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,Throw-in,,,,,Patagones win throw-in,
Throw-in (3),5364966,20000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Geronimo Obregon,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,Throw-in,,,,,Patagones win throw-in,
Throw-in (4),5415933,20000,,,Live,Chukka 5,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Gonzalo Avendano,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,Throw-in,,,,,Patagones win throw-in,
Assist (5),5784300,25000,Santiago Toccalino,Successful,Live,Chukka 6,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Santiago Toccalino,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,
Assist (6),6085933,25000,Mariano Gonzalez,Unsuccessful,Live,Chukka 6,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Mariano Gonzalez,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,
Chukka Length (6),5689916,479057,,,Live,Chukka 6,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,,Search Livestream,Group,Team,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,
Foul (10),5878566,25000,,,Live,Chukka 6,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Inaki Laprida,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,Foul,Penalty 60 yards,Right of Way,Defending Half,118;211,114;185,92;201,,,,,,,,,,
Foul Received (10),5878566,25000,,,Live,Chukka 6,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Geronimo Obregon,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,Foul Received,Penalty 60 yards,Right of Way,Attacking Half,28;99,,,,,,,,,,,,
Free Hit (1),5745300,20000,,,Live,Chukka 6,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Mariano Gonzalez,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,Free Hit,,,,,,
Free Hit (2),6073900,20000,,,Live,Chukka 6,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Tomas Garcia del Rio,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,Free Hit,,,,,,
Goal Equuleus (1),6127600,35000,,,Live,Chukka 6,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Magoo Laprida,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,Attacking 30,72;6,,,Goal Equuleus,,,,,,,,,
Goal Patagones (5),5763900,35000,,,Live,Chukka 6,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Geronimo Obregon,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,Attacking 30,70;6,,,Goal Patagones,Goals,,,,,,,,
Knock In (6),6039133,40000,,,Live,Chukka 6,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Mariano Gonzalez,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,Inaki Laprida,Knock In,,,,,,
Knock In (7),6117333,40000,,,Live,Chukka 6,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Tomas Garcia del Rio,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,Knock In,,,,,,
Penalty 60 yards (1),6015185,15000,,,Live,Chukka 6,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Santiago Toccalino,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,,Penalty 60 yards,Wide,,,,
Shot At Goal (14),5728166,35000,,,Live,Chukka 6,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Mariano Gonzalez,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,Attacking 60,123;48,,,,,,,,,Shot At Goal,Blocked,,
Shot At Goal (15),5760366,35000,,,Live,Chukka 6,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Geronimo Obregon,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,Attacking 30,60;15,,,,,,,,,Shot At Goal,Goal,,
Shot At Goal (16),6073733,35000,,,Live,Chukka 6,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Magoo Laprida,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,Attacking 30,104;21,,,,,,,,,Shot At Goal,Wide,,
Shot At Goal (17),6113600,35000,,,Live,Chukka 6,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Mariano Gonzalez,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,Attacking 30,64;21,,,,,,,,,Shot At Goal,Miss Hit,,
Shot At Goal (18),6126700,35000,,,Live,Chukka 6,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Magoo Laprida,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,Attacking 30,70;15,,,,,,,,,Shot At Goal,Goal,,
Shot Block (2),5755033,10000,,,Live,Chukka 6,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Gonzalo Avendano,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,Shot Block
Throw-in (5),5688866,20000,,,Live,Chukka 6,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Magoo Laprida,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,Throw-in,,,,,Equuleus win throw-in,
Throw-in (6),5819666,20000,,,Live,Chukka 6,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Geronimo Obregon,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,Throw-in,,,,,Patagones win throw-in,
