Name,Position,Duration,Tournament,Game,Search Event,Year,Stage,Match Date,Umpire 2,Umpire 1,Camera Angle,Club,Instant Replay Official,Chukka,Third Umpire,Shot At Goal,Location,General Field Area,Player,Team,Shot At Goal Outcome,Chukka Length,Set Play,Throw-in Outcome,Assist Outcome,Assist,Goal,Foul,Foul Type,Foul Outcome,Umpire Trailing,Umpire Focal,Penalties,Penalty Outcome,Knock-in Player 2,Highlight Reel,Penalty Block
Knock In (11),5276133,40000,USPA Gold Cup,Las Monjitas vs Patagones,Search Livestream,2020,Quarter Final,March 15. 2020,Unknown,Unknown,Live,International Polo Club,Unknown,Chukka 6,Unknown,,,,David Stirling,Las Monjitas,,,Knock In,,,,,,,,,,,,Francisco Elizalde,,
Foul (17),5309100,25000,USPA Gold Cup,Las Monjitas vs Patagones,Search Livestream,2020,Quarter Final,March 15. 2020,Unknown,Unknown,Live,International Polo Club,Unknown,Chukka 6,Unknown,,73;54,Attacking 60,Tomas Garcia del Rio,Patagones,,,,,,,,Foul,Cross/High Hook,Penalty 5B,134;107,58;89,,,,,
Foul Received (17),5309100,25000,USPA Gold Cup,Las Monjitas vs Patagones,Search Livestream,2020,Quarter Final,March 15. 2020,Unknown,Unknown,Live,International Polo Club,Unknown,Chukka 6,Unknown,,74;243,Defending 60,Bautista Panelo,Las Monjitas,,,,,,,,Foul Received,Cross/High Hook,Penalty 5B,,,,,,,
Shot At Goal (30),5413866,35000,USPA Gold Cup,Las Monjitas vs Patagones,Search Livestream,2020,Quarter Final,March 15. 2020,Unknown,Unknown,Live,International Polo Club,Unknown,Chukka 6,Unknown,Shot At Goal,69;24,Attacking 30,David Stirling,Las Monjitas,Wide,,,,,,,,,,,,,,,,
Penalty 5b (1),5418269,30000,USPA Gold Cup,Las Monjitas vs Patagones,Search Livestream,2020,Quarter Final,March 15. 2020,Unknown,Unknown,Live,International Polo Club,Unknown,Chukka 6,Unknown,,,,David Stirling,Las Monjitas,,,Penalty 5b,,,,,,,,,,,,,,
Knock In (12),5458200,40000,USPA Gold Cup,Las Monjitas vs Patagones,Search Livestream,2020,Quarter Final,March 15. 2020,Unknown,Unknown,Live,International Polo Club,Unknown,Chukka 6,Unknown,,,,Santiago Toccalino,Patagones,,,Knock In,,,,,,,,,,,,Tomas Garcia del Rio,,
Shot At Goal (31),5467866,35000,USPA Gold Cup,Las Monjitas vs Patagones,Search Livestream,2020,Quarter Final,March 15. 2020,Unknown,Unknown,Live,International Polo Club,Unknown,Chukka 6,Unknown,Shot At Goal,57;16,Attacking 30,Gonzalo Avendano,Patagones,Goal,,,,,,,,,,,,,,,,
Goal Patagones (8),5469266,35000,USPA Gold Cup,Las Monjitas vs Patagones,Search Livestream,2020,Quarter Final,March 15. 2020,Unknown,Unknown,Live,International Polo Club,Unknown,Chukka 6,Unknown,,79;4,Attacking 30,Gonzalo Avendano,Patagones,,,,,,,Goal Patagones,,,,,,,,,Goals,
Assist (11),5484966,25000,USPA Gold Cup,Las Monjitas vs Patagones,Search Livestream,2020,Quarter Final,March 15. 2020,Unknown,Unknown,Live,International Polo Club,Unknown,Chukka 6,Unknown,,,,Tomas Garcia del Rio,Patagones,,,,,Successful,Tomas Garcia del Rio,,,,,,,,,,,
Shot At Goal (32),5526166,35000,USPA Gold Cup,Las Monjitas vs Patagones,Search Livestream,2020,Quarter Final,March 15. 2020,Unknown,Unknown,Live,International Polo Club,Unknown,Chukka 6,Unknown,Shot At Goal,96;20,Attacking 30,Tomas Garcia del Rio,Patagones,Short,,,,,,,,,,,,,,,,
Shot At Goal (33),5530861,35000,USPA Gold Cup,Las Monjitas vs Patagones,Search Livestream,2020,Quarter Final,March 15. 2020,Unknown,Unknown,Live,International Polo Club,Unknown,Chukka 6,Unknown,Shot At Goal,55;8,Attacking 30,Geronimo Obregon,Patagones,Blocked,,,,,,,,,,,,,,,,
Throw-in (25),5531366,20000,USPA Gold Cup,Las Monjitas vs Patagones,Search Livestream,2020,Quarter Final,March 15. 2020,Unknown,Unknown,Live,International Polo Club,Unknown,Chukka 6,Unknown,,,,David Stirling,Las Monjitas,,,Throw-in,Las Monjitas win throw-in,,,,,,,,,,,,,
Foul (18),5549600,25000,USPA Gold Cup,Las Monjitas vs Patagones,Search Livestream,2020,Quarter Final,March 15. 2020,Unknown,Unknown,Live,International Polo Club,Unknown,Chukka 6,Unknown,,75;285,Defending 30,Bautista Panelo,Las Monjitas,,,,,,,,Foul,Right of Way,Penalty 30 yards,35;238,145;202,,,,,
Foul Received (18),5549600,25000,USPA Gold Cup,Las Monjitas vs Patagones,Search Livestream,2020,Quarter Final,March 15. 2020,Unknown,Unknown,Live,International Polo Club,Unknown,Chukka 6,Unknown,,74;11,Attacking 30,Santiago Toccalino,Patagones,,,,,,,,Foul Received,Right of Way,Penalty 30 yards,,,,,,,
Goal Patagones (9),5591333,35000,USPA Gold Cup,Las Monjitas vs Patagones,Search Livestream,2020,Quarter Final,March 15. 2020,Unknown,Unknown,Live,International Polo Club,Unknown,Chukka 6,Unknown,,76;4,Attacking 30,Tomas Garcia del Rio,Patagones,,,,,,,Goal Patagones,,,,,,,,,,
Penalty 30 yards Spot,5615361,10000,USPA Gold Cup,Las Monjitas vs Patagones,Search Livestream,2020,Quarter Final,March 15. 2020,Unknown,Unknown,Live,International Polo Club,Unknown,Chukka 6,Unknown,,,,Tomas Garcia del Rio,Patagones,,,,,,,,,,,,,Penalty 30 yards Spot,Goal,,,
