Name,Position,Duration,Tournament,Third Umpire,Instant Replay Official,Set Play,Chukka,Match Date,Umpire 2,Club,Game,Camera Angle,Year,Stage,Search Event,Umpire 1,Throw-in Outcome,Player,Team,Chukka Length,Shot At Goal,General Field Area,Location,Shot At Goal Outcome,Goal,Penalty Block,Knock-in Player 2,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Assist Outcome,Assist,Highlight Reel
Foul Received (12),4995366,25000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 5,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Felipe Viana,Park Place,,,Defending Half,18;185,,,,,Foul Received,Reaching,Penalty 60 yards,,,,,,,
Shot At Goal (27),5067833,35000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 5,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Felipe Viana,Park Place,,Shot At Goal,Attacking 30,71;27,Blocked,,,,,,,,,,,,,
Penalty 60 yards (2),5075391,15000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 5,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Juan Britos,Park Place,,,,,,,,,,,,,,Penalty 60 yards,Blocked,,,
Penalty Block,5082733,10000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 5,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Lucas Escobar,Pilot,,,,,,,Penalty Block,,,,,,,,,,,
Foul (13),5087300,25000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 5,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Alfredo Bigatti,Park Place,,,Attacking 30,64;22,,,,,Foul,Right of Way,Penalty 5,76;76,61;3,,,,,
Foul Received (13),5087300,25000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 5,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Gonzalito Pieres,Pilot,,,Defending 30,94;280,,,,,Foul Received,Right of Way,Penalty 5,,,,,,,
Shot Block (2),5092833,10000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 5,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Gonzalito Pieres,Pilot,,,,,,,Shot Block,,,,,,,,,,,
Penalty 5 (8),5124278,30000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,Penalty 5,Chukka 5,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Facundo Pieres,Pilot,,,,,,,,,,,,,,,,,,
Foul (14),5145566,25000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 5,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Facundo Pieres,Pilot,,,Defending Half,75;165,,,,,Foul,Delay of Game,Penalty 5,39;166,125;109,,,,,
Foul Received (14),5145566,25000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 5,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Felipe Viana,Park Place,,,Attacking Half,82;139,,,,,Foul Received,Delay of Game,Penalty 5,,,,,,,
Penalty 5 (9),5190700,30000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,Penalty 5,Chukka 5,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Felipe Viana,Park Place,,,,,,,,,,,,,,,,,,
Shot At Goal (28),5206933,35000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 5,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Facundo Pieres,Pilot,,Shot At Goal,Attacking 30,92;38,Miss Hit,,,,,,,,,,,,,
Throw-in (16),5460533,20000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,Throw-in,Chukka 6,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,Park Place win throw-in,Juan Britos,Park Place,,,,,,,,,,,,,,,,,,
Chukka Length (7),5463200,517000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 6,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,,Team,Chukka Length,,,,,,,,,,,,,,,,,
Shot At Goal (29),5517000,35000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 6,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Facundo Pieres,Pilot,,Shot At Goal,Attacking 30,77;17,Goal,,,,,,,,,,,,,
Goal Pilot (11),5518166,35000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 6,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Facundo Pieres,Pilot,,,Attacking 30,82;3,,Goal Pilot,,,,,,,,,,,,
Throw-in (17),5574250,20000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,Throw-in,Chukka 6,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,Park Place win throw-in,Alfredo Bigatti,Park Place,,,,,,,,,,,,,,,,,,
Foul Received (15),5580766,25000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 6,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Curtis Pilot,Pilot,,,Defending Half,126;185,,,,,Foul Received,Delay of Game,Penalty 5,,,,,,,
Foul (15),5581533,25000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 6,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Alfredo Bigatti,Park Place,,,Attacking Half,66;111,,,,,Foul,Delay of Game,Penalty 5,28;124,85;124,,,,,
Penalty 5 (10),5623141,30000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,Penalty 5,Chukka 6,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Facundo Pieres,Pilot,,,,,,,,,,,,,,,,,,
Shot At Goal (30),5644766,35000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 6,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Curtis Pilot,Pilot,,Shot At Goal,Attacking 30,78;20,Miss Hit,,,,,,,,,,,,,
Assist (10),5661133,25000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 6,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Facundo Pieres,Pilot,,,,,,,,,,,,,,,,Unsuccessful,Facundo Pieres,
Shot At Goal (31),5664366,35000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 6,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Gonzalito Pieres,Pilot,,Shot At Goal,Attacking 60,48;61,Wide,,,,,,,,,,,,,
Assist (11),5684566,25000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 6,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Lucas Escobar,Pilot,,,,,,,,,,,,,,,,Unsuccessful,Lucas Escobar,
Shot At Goal (32),5713333,35000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 6,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Alfredo Bigatti,Park Place,,Shot At Goal,Attacking 30,69;15,Goal,,,,,,,,,,,,,
Goal Park Place (4),5714266,35000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 6,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Alfredo Bigatti,Park Place,,,Attacking 30,71;3,,Goal Park Place,,,,,,,,,,,,
Knock In (12),5715566,40000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,Knock In,Chukka 6,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Juan Britos,Park Place,,,,,,,,Felipe Viana,,,,,,,,,,
Assist (12),5729266,25000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 6,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Felipe Viana,Park Place,,,,,,,,,,,,,,,,Successful,Felipe Viana,
Shot At Goal (33),5768799,35000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 6,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Felipe Viana,Park Place,,Shot At Goal,Attacking 30,74;31,Goal,,,,,,,,,,,,,
Goal Park Place (5),5769733,35000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 6,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Felipe Viana,Park Place,,,Attacking 30,77;3,,Goal Park Place,,,,,,,,,,,,
Throw-in (18),5770700,20000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,Throw-in,Chukka 6,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,Pilot win throw-in,Facundo Pieres,Pilot,,,,,,,,,,,,,,,,,,
Assist (13),5784733,25000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 6,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Juan Britos,Park Place,,,,,,,,,,,,,,,,Successful,Juan Britos,
Throw-in (19),5841733,20000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,Throw-in,Chukka 6,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,Park Place win throw-in,Juan Britos,Park Place,,,,,,,,,,,,,,,,,,
