Name,Position,Duration,Assist,Assist Outcome,Camera Angle,Chukka,Club,Game,Instant Replay Official,Match Date,Player,Search Event,Stage,Team,Third Umpire,Tournament,Umpire 1,Umpire 2,Year,Chukka Length,Foul,Foul Outcome,Foul Type,General Field Area,Location,Umpire Focal,Umpire Trailing,Set Play,Goal,Highlight Reel,Knock-in Player 2,Penalties,Penalty Outcome,Shot At Goal,Shot At Goal Outcome,Penalty Block,Throw-in Outcome
Knock In (11),6220783,40000,,,Live,Chukka 6,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Mariano Gonzalez,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Knock In,,,Inaki Laprida,,,,,,
Non Call,1920283,20000,,,Live,Chukka 2,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,,Search Livestream,Group,Team,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,Non Call,,Right of Way,,,,,,,,,,,,,,
Non Call (1),2714416,20000,,,Live,Chukka 3,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,,Search Livestream,Group,Team,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,Non Call,,Blocking,,,,,,,,,,,,,,
Non Call (2),2826516,20000,,,Live,Chukka 3,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,,Search Livestream,Group,Team,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,Non Call,,Right of Way,,,,,,,,,,,,,,
Non Call (3),3155683,20000,,,Live,Chukka 3,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,,Search Livestream,Group,Team,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,Non Call,,Dangerous Riding,,,,,,,,,,,,,,
Penalty 5,3337516,30000,,,Live,Chukka 3,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Mariano Gonzalez,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Penalty 5,,,,,,,,,
Penalty 5 (1),5970816,30000,,,Live,Chukka 6,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Mariano Gonzalez,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Penalty 5,,,,,,,,,
Penalty 5b,3052583,30000,,,Live,Chukka 3,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Julian de Lusarreta,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Penalty 5b,,,,,,,,,
Penalty 5b (1),4619583,30000,,,Live,Chukka 4,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Julian de Lusarreta,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Penalty 5b,,,,,,,,,
Penalty 5b (2),5862549,30000,,,Live,Chukka 6,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Julian de Lusarreta,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Penalty 5b,,,,,,,,,
Penalty 30 yards,4426016,15000,,,Live,Chukka 4,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Mariano Gonzalez,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,Penalty 30 yards,Goal,,,,
Penalty 30 yards (1),4892783,15000,,,Live,Chukka 5,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Nicolas Pieres,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,Penalty 30 yards,Goal,,,,
Penalty 30 yards (2),5100449,15000,,,Live,Chukka 5,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Mariano Gonzalez,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,Penalty 30 yards,Goal,,,,
Penalty 30 yards (3),5435583,15000,,,Live,Chukka 5,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Nicolas Pieres,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,Penalty 30 yards,Goal,,,,
Penalty 30 yards (4),6202616,15000,,,Live,Chukka 6,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Nicolas Pieres,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,Penalty 30 yards,Wide,,,,
Penalty 30 yards Spot,3255616,10000,,,Live,Chukka 3,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Mariano Gonzalez,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,Penalty 30 yards Spot,Goal,,,,
Penalty 40 yards,2786483,15000,,,Live,Chukka 3,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Nicolas Pieres,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,Penalty 40 yards,Goal,,,,
Penalty 40 yards (1),4211249,15000,,,Live,Chukka 4,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Nicolas Pieres,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,Penalty 40 yards,Goal,,,,
Penalty 60 yards,1091749,15000,,,Live,Chukka 1,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Nicolas Pieres,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,Penalty 60 yards,Wide,,,,
Penalty 60 yards (1),1467494,15000,,,Live,Chukka 1,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Nicolas Pieres,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,Penalty 60 yards,Short,,,,
Penalty 60 yards (2),6427183,15000,,,Live,Chukka 6,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Mariano Gonzalez,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,Penalty 60 yards,Short,,,,
Shot At Goal,851149,35000,,,Live,Chukka 1,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Inaki Laprida,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Attacking Half,116;90,,,,,,,,,Shot At Goal,Wide,,
Shot At Goal (1),923416,35000,,,Live,Chukka 1,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Julian de Lusarreta,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Attacking 30,132;21,,,,,,,,,Shot At Goal,Wide,,
Shot At Goal (2),1118330,35000,,,Live,Chukka 1,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Nicolas Pieres,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Attacking Half,60;83,,,,,,,,,Shot At Goal,Goal,,
Shot At Goal (3),1491483,35000,,,Live,Chukka 1,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Aiden Meeker,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Attacking 30,74;31,,,,,,,,,Shot At Goal,Goal,,
Shot At Goal (4),1792816,35000,,,Live,Chukka 2,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Julian de Lusarreta,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Attacking 30,71;9,,,,,,,,,Shot At Goal,Goal,,
Shot At Goal (5),1857016,35000,,,Live,Chukka 2,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Julian de Lusarreta,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Attacking 30,64;12,,,,,,,,,Shot At Goal,Goal,,
Shot At Goal (6),1917649,35000,,,Live,Chukka 2,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Ignacio Laprida,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Attacking 30,71;21,,,,,,,,,Shot At Goal,Goal,,
Shot At Goal (7),2184583,35000,,,Live,Chukka 2,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Mariano Gonzalez,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Attacking 30,82;15,,,,,,,,,Shot At Goal,Goal,,
Shot At Goal (8),2589649,35000,,,Live,Chukka 3,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Julian de Lusarreta,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Attacking Half,148;90,,,,,,,,,Shot At Goal,Wide,,
Shot At Goal (9),2659849,35000,,,Live,Chukka 3,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Julian de Lusarreta,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Attacking Half,48;92,,,,,,,,,Shot At Goal,Wide,,
Shot At Goal (10),3063616,35000,,,Live,Chukka 3,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Inaki Laprida,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Attacking Half,114;84,,,,,,,,,Shot At Goal,Wide,,
Shot At Goal (11),3355016,35000,,,Live,Chukka 3,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Aiden Meeker,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Attacking 30,84;15,,,,,,,,,Shot At Goal,Goal,,
Shot At Goal (12),4065683,35000,,,Live,Chukka 4,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Aiden Meeker,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Attacking 60,61;75,,,,,,,,,Shot At Goal,Wide,,
Shot At Goal (13),4099049,35000,,,Live,Chukka 4,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Mariano Gonzalez,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Attacking 30,76;25,,,,,,,,,Shot At Goal,Blocked,,
Shot At Goal (14),4228849,35000,,,Live,Chukka 4,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Gillian Johnston,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Attacking 30,86;22,,,,,,,,,Shot At Goal,Short,,
Shot At Goal (15),4244116,35000,,,Live,Chukka 4,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Julian de Lusarreta,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Attacking Half,39;89,,,,,,,,,Shot At Goal,Wide,,
Shot At Goal (16),4605216,35000,,,Live,Chukka 4,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Nicolas Pieres,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Attacking Half,31;98,,,,,,,,,Shot At Goal,Wide,,
Shot At Goal (17),5139483,35000,,,Live,Chukka 5,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Ignacio Laprida,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Attacking 30,69;20,,,,,,,,,Shot At Goal,Short,,
Shot At Goal (18),5183614,35000,,,Live,Chukka 5,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Ignacio Laprida,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Attacking 60,92;43,,,,,,,,,Shot At Goal,Goal,,
Shot At Goal (19),5249549,35000,,,Live,Chukka 5,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Julian de Lusarreta,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Attacking 30,69;18,,,,,,,,,Shot At Goal,Goal,,
Shot At Goal (20),5682016,35000,,,Live,Chukka 6,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Ignacio Laprida,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Attacking Half,55;76,,,,,,,,,Shot At Goal,Wide,,
Shot At Goal (21),5759016,35000,,,Live,Chukka 6,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Mariano Gonzalez,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Attacking 60,20;68,,,,,,,,,Shot At Goal,Wide,,
Shot At Goal (22),5846383,35000,,,Live,Chukka 6,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Nicolas Pieres,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Attacking Half,63;84,,,,,,,,,Shot At Goal,Goal,,
Shot At Goal (23),5979983,35000,,,Live,Chukka 6,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Julian de Lusarreta,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Attacking 30,86;26,,,,,,,,,Shot At Goal,Goal,,
Shot At Goal (24),6211883,35000,,,Live,Chukka 6,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Steve Krueger,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Attacking 30,85;27,,,,,,,,,Shot At Goal,Goal,,
Shot At Goal (25),6442983,35000,,,Live,Chukka 6,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Aiden Meeker,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Attacking 30,80;6,,,,,,,,,Shot At Goal,Goal,,
Shot Block,4124049,10000,,,Live,Chukka 4,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Julian de Lusarreta,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,Shot Block,
Throw-in,831749,20000,,,Live,Chukka 1,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Mariano Gonzalez,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,,,,,,,,,Equuleus win throw-in
Throw-in (1),1183449,20000,,,Live,Chukka 1,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Ignacio Laprida,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,,,,,,,,,Equuleus win throw-in
Throw-in (2),1308316,20000,,,Live,Chukka 1,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Julian de Lusarreta,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,,,,,,,,,Coca-Cola win throw-in
Throw-in (3),1413583,20000,,,Live,Chukka 1,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Steve Krueger,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,,,,,,,,,Coca-Cola win throw-in
Throw-in (4),1553516,20000,,,Live,Chukka 1,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Mariano Gonzalez,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,,,,,,,,,Equuleus win throw-in
Throw-in (5),1803549,20000,,,Live,Chukka 2,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Julian de Lusarreta,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,,,,,,,,,Coca-Cola win throw-in
Throw-in (6),1857049,20000,,,Live,Chukka 2,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Mariano Gonzalez,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,,,,,,,,,Equuleus win throw-in
Throw-in (7),1913416,20000,,,Live,Chukka 2,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Ignacio Laprida,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,,,,,,,,,Equuleus win throw-in
Throw-in (8),1974016,20000,,,Live,Chukka 2,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Inaki Laprida,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,,,,,,,,,Equuleus win throw-in
Throw-in (9),2244783,20000,,,Live,Chukka 2,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Inaki Laprida,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,,,,,,,,,Equuleus win throw-in
Throw-in (10),2819416,20000,,,Live,Chukka 3,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Inaki Laprida,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,,,,,,,,,Equuleus win throw-in
Throw-in (11),3285716,20000,,,Live,Chukka 3,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Julian de Lusarreta,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,,,,,,,,,Coca-Cola win throw-in
Throw-in (12),3991249,20000,,,Live,Chukka 4,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Nicolas Pieres,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,,,,,,,,,Coca-Cola win throw-in
Throw-in (13),4242249,20000,,,Live,Chukka 4,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Julian de Lusarreta,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,,,,,,,,,Coca-Cola win throw-in
Throw-in (14),4458883,20000,,,Live,Chukka 4,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Ignacio Laprida,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,,,,,,,,,Equuleus win throw-in
Throw-in (15),4927916,20000,,,Live,Chukka 5,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Nicolas Pieres,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,,,,,,,,,Coca-Cola win throw-in
Throw-in (16),5132983,20000,,,Live,Chukka 5,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Julian de Lusarreta,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,,,,,,,,,Coca-Cola win throw-in
Throw-in (17),5241649,20000,,,Live,Chukka 5,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Julian de Lusarreta,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,,,,,,,,,Coca-Cola win throw-in
Throw-in (18),5309890,20000,,,Live,Chukka 5,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Ignacio Laprida,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,,,,,,,,,Equuleus win throw-in
Throw-in (19),5666349,20000,,,Live,Chukka 6,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Mariano Gonzalez,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,,,,,,,,,Equuleus win throw-in
Throw-in (20),5907349,20000,,,Live,Chukka 6,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Aiden Meeker,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,,,,,,,,,Equuleus win throw-in
Throw-in (21),6037883,20000,,,Live,Chukka 6,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Ignacio Laprida,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,,,,,,,,,Equuleus win throw-in
Throw-in (22),6367483,20000,,,Live,Chukka 6,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Steve Krueger,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,,,,,,,,,Coca-Cola win throw-in
Yellow Card,3021516,10000,,,Live,Chukka 3,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Inaki Laprida,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,Yellow Card,Penalty 5B,Technical,,,,,,,,,,,,,,
