Name,Position,Duration,Tournament,Game,Stage,Third Umpire,Search Event,Match Date,Instant Replay Official,Umpire 1,Umpire 2,Camera Angle,Year,Club,Chukka Length,Team,Set Play,Chukka,Throw-in Outcome,Player,Foul,Foul Type,Location,General Field Area,Foul Outcome,Umpire Focal,Umpire Trailing,Goal,Penalties,Penalty Outcome,Shot At Goal,Shot At Goal Outcome,Assist Outcome,Assist,Knock-in Player 2,Highlight Reel,Collision,Penalty Block,Fouler
Shot At Goal (19),5249866,35000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 5,,Polito Pieres,,,69;29,Attacking 30,,,,,,,Shot At Goal,Goal,,,,,,,
Goal La Indiana (8),5250833,35000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 5,,Polito Pieres,,,76;3,Attacking 30,,,,Goal La Indiana,,,,,,,,Goals,,,
Knock In (7),5255366,40000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,Knock In,Chukka 5,,Facundo Obregon,,,,,,,,,,,,,,,Mariano Obregon,,,,
Throw-in (17),5308167,20000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,Throw-in,Chukka 5,La Indiana win throw-in,Polito Pieres,,,,,,,,,,,,,,,,,,,
Foul (20),5342866,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 5,,Mariano Obregon,Foul,Riding Into Shot,146;106,Attacking Half,Penalty 5B,71;83,148;121,,,,,,,,,,,,
Foul Received (19),5342866,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 5,,Polito Pieres,Foul Received,Riding Into Shot,4;220,Defending Half,Penalty 5B,,,,,,,,,,,,,,
Challenge (1),5365533,163833,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,Challenge,Team,,Chukka 5,,,,,,,,,,,,,,,,,,,,,
Penalty 5b (6),5526433,30000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,Penalty 5b,Chukka 5,,Santiago Gomez Romero,,,,,,,,,,,,,,,,,,,
Chukka Length (7),5529366,554500,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,Chukka Length,Team,,Chukka 5,,,,,,,,,,,,,,,,,,,,,
Foul Received (20),5562100,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 5,,Polito Pieres,Foul Received,Crossing,148;202,Defending Half,Penalty 60 yards,,,,,,,,,,,,,,
Foul (21),5562966,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 5,,Facundo Obregon,Foul,Crossing,2;109,Attacking Half,Penalty 60 yards,5;120,80;103,,,,,,,,,,,,
Goal La Indiana (9),5656666,35000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 5,,Polito Pieres,,,,,,,,Goal La Indiana,,,,,,,,,,,
Penalty 60 yards (2),5672266,15000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 5,,Polito Pieres,,,,,,,,,Penalty 60 yards,Goal,,,,,,,,,
Throw-in (18),5837200,20000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,Throw-in,Chukka 5,Dutta Corp win throw-in,Facundo Obregon,,,,,,,,,,,,,,,,,,,
Foul Received (21),5847866,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 5,,Facundo Obregon,Foul Received,Crossing,87;29,Attacking 30,Penalty 1,,,,,,,,,,,,,,
Foul (22),5849900,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 5,,Polito Pieres,Foul,Crossing,72;268,Defending 60,Penalty 1,148;251,52;218,,,,,,,,,,,,
Goal Dutta Corp (7),5930533,35000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 5,,Facundo Obregon,,,,,,,,Goal Dutta Corp,,,,,,,,,,,
Penalty 1,5954800,10000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 5,,Facundo Obregon,,,,,,,,,Penalty 1,Goal,,,,,,,,,Polito Pieres
Penalty 5b (7),6011800,30000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,Penalty 5b,Chukka 5,,Facundo Obregon,,,,,,,,,,,,,,,,,,,
Non Call (5),6052600,20000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Team,,Chukka 5,,,Non Call,Riding Into Shot,,,,,,,,,,,,,,,,,
Throw-in (19),6278200,20000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,Throw-in,Chukka 6,La Indiana win throw-in,Polito Pieres,,,,,,,,,,,,,,,,,,,
Chukka Length (8),6281466,1021500,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,Chukka Length,Team,,Chukka 6,,,,,,,,,,,,,,,,,,,,,
Shot At Goal (20),6329366,35000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 6,,Polito Pieres,,,36;47,Attacking 60,,,,,,,Shot At Goal,Blocked,,,,,,,
Non Call (6),6333066,20000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Team,,Chukka 6,,,Non Call,Riding Into Shot,,,,,,,,,,,,,,,,,
Shot Block (1),6357900,10000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 6,,Lucas Diaz Alberdi,,,,,,,,,,,,,,,,,,Shot Block,
Foul (23),6419100,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 6,,Facundo Obregon,Foul,Reaching,107;168,Defending Half,Penalty 40 yards,135;148,70;131,,,,,,,,,,,,
Foul Received (22),6419100,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 6,,Jeff Hall,Foul Received,Reaching,46;134,Attacking Half,Penalty 40 yards,,,,,,,,,,,,,,
Goal La Indiana (10),6483700,35000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 6,,Polito Pieres,,,85;2,Attacking 30,,,,Goal La Indiana,,,,,,,,,,,
Penalty 40 yards (1),6501766,15000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 6,,Polito Pieres,,,,,,,,,Penalty 40 yards,Goal,,,,,,,,,
Foul (24),6528933,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 6,,Jeff Hall,Foul,Riding Into Shot,43;162,Defending Half,Penalty 60 yards,14;162,127;209,,,,,,,,,,,,
Foul Received (23),6528933,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 6,,Mariano Obregon,Foul Received,Riding Into Shot,104;138,Attacking Half,Penalty 60 yards,,,,,,,,,,,,,,
Throw-in (20),6533266,20000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,Throw-in,Chukka 6,Dutta Corp win throw-in,Mariano Obregon,,,,,,,,,,,,,,,,,,,
Shot At Goal (21),6589000,35000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 6,,Lucas Diaz Alberdi,,,70;12,Attacking 30,,,,,,,Shot At Goal,Goal,,,,,,,
Goal Dutta Corp (8),6589633,35000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 6,,Lucas Diaz Alberdi,,,70;2,Attacking 30,,,,Goal Dutta Corp,,,,,,,,,,,
Penalty 60 yards (3),6605400,15000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 6,,Mariano Obregon,,,,,,,,,Penalty 60 yards,Short,,,,,,,,,
Throw-in (21),6641133,20000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,Throw-in,Chukka 6,La Indiana win throw-in,Polito Pieres,,,,,,,,,,,,,,,,,,,
Non Call (7),6642433,20000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Team,,Chukka 6,,,Non Call,Right of Way,,,,,,,,,,,,,,,,,
Foul (25),6659200,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 6,,Polito Pieres,Foul,Right of Way,107;107,Attacking Half,Penalty 5,40;139,141;99,,,,,,,,,,,,
Foul Received (24),6659200,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 6,,Mariano Obregon,Foul Received,Right of Way,37;185,Defending Half,Penalty 5,,,,,,,,,,,,,,
Penalty 5 (3),6699933,30000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,Penalty 5,Chukka 6,,Facundo Obregon,,,,,,,,,,,,,,,,,,,
Foul (26),6721466,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 6,,Michael Bickford,Foul,Dangerous Riding,91;274,Defending 30,Penalty 30 yards,81;184,148;197,,,,,,,,,,,,
Foul Received (25),6721466,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 6,,Timmy Dutta,Foul Received,Dangerous Riding,62;25,Attacking 30,Penalty 30 yards,,,,,,,,,,,,,,
Goal Dutta Corp (9),6822433,35000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 6,,Facundo Obregon,,,79;4,Attacking 30,,,,Goal Dutta Corp,,,,,,,,,,,
Penalty 30 yards (7),6840500,15000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 6,,Facundo Obregon,,,,,,,,,Penalty 30 yards,Goal,,,,,,,,,
Throw-in (22),6874333,20000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,Throw-in,Chukka 6,La Indiana win throw-in,Santiago Gomez Romero,,,,,,,,,,,,,,,,,,,
Collision (1),6878500,15000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 6,,Lucas Diaz Alberdi,,,,,,,,,,,,,,,,,Collision,,
Throw-in (23),6947300,20000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,Throw-in,Chukka 6,Dutta Corp win throw-in,Timmy Dutta,,,,,,,,,,,,,,,,,,,
Shot At Goal (22),6970100,35000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 6,,Lucas Diaz Alberdi,,,58;16,Attacking 30,,,,,,,Shot At Goal,Wide,,,,,,,
Assist (11),6985033,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 6,,Facundo Obregon,,,,,,,,,,,,,Unsuccessful,Facundo Obregon,,,,,
Foul (27),6995766,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 6,,Facundo Obregon,Foul,Technical,18;31,Attacking 30,Penalty 5B,10;20,85;29,,,,,,,,,,,,
Yellow Card (3),7004800,10000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 6,,Facundo Obregon,Yellow Card,Technical,,,Penalty 5B,,,,,,,,,,,,,,
Penalty 5b (8),7123500,30000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,Penalty 5b,Chukka 6,,Jeff Hall,,,,,,,,,,,,,,,,,,,
Shot At Goal (23),7125933,35000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 6,,Polito Pieres,,,52;21,Attacking 30,,,,,,,Shot At Goal,Wide,,,,,,,
Knock In (8),7166300,40000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,Knock In,Chukka 6,,Facundo Obregon,,,,,,,,,,,,,,,Lucas Diaz Alberdi,,,,
Foul (28),7192800,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 6,,Santiago Gomez Romero,Foul,1 Meeting 2,48;186,Defending Half,Penalty 60 yards,6;177,83;197,,,,,,,,,,,,
Foul Received (26),7192800,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 6,,Mariano Obregon,Foul Received,1 Meeting 2,105;122,Attacking Half,Penalty 60 yards,,,,,,,,,,,,,,
Penalty 60 yards (4),7282200,15000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 6,,Mariano Obregon,,,,,,,,,Penalty 60 yards,Wide,,,,,,,,,
