Name,Position,Duration,Umpire 1,Search Event,Match Date,Club,Instant Replay Official,Chukka,Year,Camera Angle,Team,Umpire 2,Tournament Handicap,Third Umpire,Goal,Tournament,Stage,Country,Game,Set Play,Throw-in Outcome,Player,Foul,Location,General Field Area,Foul Type,Foul Outcome,Penalties,Penalty Outcome,Shot At Goal,Shot At Goal Outcome,Highlight Reel,Penalty Block,Assist Outcome,Assist,Knock-in Player 2
Foul (28),3878021,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 6,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Greg Hanson,Foul,95;239,Defending 60,Crossing,Reversed Call,,,,,,,,,
Foul Received (28),3878021,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 6,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Segundo Saravi,Foul Received,53;61,Attacking 60,Crossing,Reversed Call,,,,,,,,,
Foul (29),3894938,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 6,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Jason Crowder,Foul,82;251,Defending 60,Right of Way,Penalty 30 yards,,,,,,,,,
Foul Received (29),3894938,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 6,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Segundo Saravi,Foul Received,75;52,Attacking 60,Right of Way,Penalty 30 yards,,,,,,,,,
Throw-in (26),3895830,20000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 6,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,Throw-in,Antelope  win throw-in,Grant Palmer,,,,,,,,,,,,,,
Goal Antelope  (10),3926519,35000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 6,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",Goal Antelope ,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Grant Palmer,,77;7,Attacking 30,,,,,,,,,,,
Penalty 30 yards (4),3944250,15000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 6,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Grant Palmer,,,,,,Penalty 30 yards,Goal,,,,,,,
Throw-in (27),3987922,20000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 6,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,Throw-in,Rancho Polo/Element 101 win throw-in,Jason Crowder,,,,,,,,,,,,,,
Foul (30),3988999,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 6,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Santi Trotz,Foul,16;179,Defending Half,Riding Into Shot,Penalty 60 yards,,,,,,,,,
Foul Received (30),3988999,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 6,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Jason Crowder,Foul Received,137;104,Attacking Half,Riding Into Shot,Penalty 60 yards,,,,,,,,,
Penalty 60 yards (4),4046815,15000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 6,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Jason Crowder,,,,,,Penalty 60 yards,Blocked,,,,,,,
Foul (31),4064941,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 6,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Segundo Saravi,Foul,98;245,Defending 60,Riding Player Over Right of Way,Penalty 30 yards,,,,,,,,,
Foul Received (31),4064941,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 6,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Rodrigo Salinas,Foul Received,43;45,Attacking 60,Riding Player Over Right of Way,Penalty 30 yards,,,,,,,,,
Goal Rancho Polo/Element 101 (12),4103629,35000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 6,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",Goal Rancho Polo/Element 101,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Jason Crowder,,80;8,Attacking 30,,,,,,,,,,,
Penalty 30 yards (5),4121594,15000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 6,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Jason Crowder,,,,,,Penalty 30 yards,Goal,,,,,,,
Throw-in (28),4155089,20000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 6,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,Throw-in,Antelope  win throw-in,Grant Palmer,,,,,,,,,,,,,,
Foul (32),4230173,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 6,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Geoff Palmar,Foul,26;120,Attacking Half,Right of Way,Penalty 40 yards,,,,,,,,,
Foul Received (32),4230173,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 6,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Torrey Ripinsky,Foul Received,130;171,Defending Half,Right of Way,Penalty 40 yards,,,,,,,,,
Goal Rancho Polo/Element 101 (13),4314606,35000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 6,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",Goal Rancho Polo/Element 101,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Jason Crowder,,73;4,Attacking 30,,,,,,,,,,,
Penalty 40 yards (3),4332371,15000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 6,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Jason Crowder,,,,,,Penalty 40 yards,Goal,,,,,,,
Throw-in (29),4364365,20000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 6,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,Throw-in,Antelope  win throw-in,Grant Palmer,,,,,,,,,,,,,,
Shot At Goal (25),4373365,35000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 6,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Rodrigo Salinas,,82;20,Attacking 30,,,,,Shot At Goal,Goal,,,,,
Goal Rancho Polo/Element 101 (14),4375200,35000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 6,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",Goal Rancho Polo/Element 101,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Rodrigo Salinas,,80;6,Attacking 30,,,,,,,,,,,
