Name,Position,Duration,Tournament,Stage,Game,Year,Match Date,Chukka,Umpire 1,Instant Replay Official,Third Umpire,Camera Angle,Club,Set Play,Umpire 2,Search Event,Throw-in Outcome,Team,Player,Chukka Length,Shot At Goal,Location,General Field Area,Shot At Goal Outcome,Assist Outcome,Assist,Knock-in Player 2,Foul,Foul Type,Foul Outcome,Umpire Trailing,Umpire Focal,Goal,Penalties,Penalty Outcome,Highlight Reel,Penalty Block,Collision
Non Call (5),5553233,20000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 5,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Team,,,,,,,,,,Non Call,Near Side,,,,,,,,,
Foul (14),5564400,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 5,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Jared Zenni,,,5;183,Defending Half,,,,,Foul,Blocking,Penalty 60 yards,90;233,3;180,,,,,,
Foul Received (14),5586093,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 5,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Matias Magrini,,,145;113,Attacking Half,,,,,Foul Received,Blocking,Penalty 60 yards,,,,,,,,
Penalty 60 yards (1),5645066,15000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 5,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Nachi Du Plessis,,,,,,,,,,,,,,,Penalty 60 yards,Blocked,,,
Foul Received (15),5653233,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 5,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Jared Zenni,,,87;274,Defending 30,,,,,Foul Received,Right of Way,Penalty 5,,,,,,,,
Foul (15),5653233,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 5,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Nachi Du Plessis,,,63;26,Attacking 30,,,,,Foul,Right of Way,Penalty 5,111;18,55;53,,,,,,
Penalty Block,5653766,10000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 5,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Tommy Collingwood,,,,,,,,,,,,,,,,,,Penalty Block,
Penalty 5 (2),5695366,30000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 5,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,Penalty 5,George,Search Livestream,,Daily Racing Form,Tommy Collingwood,,,,,,,,,,,,,,,,,,,
Shot At Goal (23),5706600,35000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 5,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Tommy Collingwood,,Shot At Goal,76;20,Attacking 30,Miss Hit,,,,,,,,,,,,,,
Foul (16),5730433,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 5,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Agustin Obregon,,,122;71,Attacking 60,,,,,Foul,Dangerous Riding,Penalty 30 yards,127;103,40;75,,,,,,
Foul Received (16),5730900,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 5,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Nachi Du Plessis,,,16;239,Defending 60,,,,,Foul Received,Dangerous Riding,Penalty 30 yards,,,,,,,,
Collision,5737466,15000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 5,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Nachi Du Plessis,,,,,,,,,,,,,,,,,,,Collision
Injury Time (3),5746961,264705,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 5,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Team,,Injury Time,,,,,,,,,,,,,,,,,,
Yellow Card (1),6011666,10000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 5,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Agustin Obregon,,,,,,,,,Yellow Card,Dangerous Riding,Penalty 30 yards,,,,,,,,
Yellow Card (2),6011666,10000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 5,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Agustin Obregon,,,,,,,,,Yellow Card,Dangerous Riding,Penalty 30 yards,,,,,,,,
Chukka Length (8),6011666,91733,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 5,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Team,,Chukka Length,,,,,,,,,,,,,,,,,,
Goal Santa Clara (6),6054333,35000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 5,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Nachi Du Plessis,,,74;6,Attacking 30,,,,,,,,,,Goal Santa Clara,,,,,
Penalty 30 yards (4),6072700,15000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 5,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Nachi Du Plessis,,,,,,,,,,,,,,,Penalty 30 yards,Goal,,,
Throw-in (17),6315000,20000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 6,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,Throw-in,George,Search Livestream,Daily Racing Form win throw-in,Daily Racing Form,Tommy Collingwood,,,,,,,,,,,,,,,,,,,
Chukka Length (9),6317500,746153,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 6,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Team,,Chukka Length,,,,,,,,,,,,,,,,,,
Foul (17),6335833,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 6,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Matias Magrini,,,14;231,Defending Half,,,,,Foul,Right of Way,Penalty 5,90;216,7;206,,,,,,
Foul Received (17),6336533,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 6,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Jared Zenni,,,139;70,Attacking 60,,,,,Foul Received,Right of Way,Penalty 5,,,,,,,,
Penalty 5 (3),6395466,30000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 6,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,Penalty 5,George,Search Livestream,,Daily Racing Form,Tommy Collingwood,,,,,,,,,,,,,,,,,,,
Foul (18),6402900,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 6,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Luis Escobar,,,15;233,Defending Half,,,,,Foul,Dangerous Riding,Penalty 60 yards,96;251,11;265,,,,,,
Foul Received (18),6403966,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 6,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Costi Caset,,,130;70,Attacking 60,,,,,Foul Received,Dangerous Riding,Penalty 60 yards,,,,,,,,
Penalty 60 yards (2),6487879,15000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 6,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Jared Zenni,,,,,,,,,,,,,,,Penalty 60 yards,Blocked,,,
Penalty Block (1),6496000,10000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 6,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Luis Escobar,,,,,,,,,,,,,,,,,,Penalty Block,
Shot At Goal (24),6499366,35000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 6,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Tommy Collingwood,,Shot At Goal,54;63,Attacking 60,Miss Hit,,,,,,,,,,,,,,
Assist (11),6515127,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 6,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Costi Caset,,,,,,Unsuccessful,Costi Caset,,,,,,,,,,,,
Foul (19),6624066,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 6,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Tommy Collingwood,,,11;235,Defending Half,,,,,Foul,Turning,Penalty 30 yards,91;224,13;172,,,,,,
Foul Received (19),6624066,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 6,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Henry Porter,,,119;74,Attacking 60,,,,,Foul Received,Turning,Penalty 30 yards,,,,,,,,
Goal Santa Clara (7),6767900,35000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 6,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Nachi Du Plessis,,,69;6,Attacking 30,,,,,,,,,,Goal Santa Clara,,,,,
Penalty 30 yards (5),6786333,15000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 6,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Nachi Du Plessis,,,,,,,,,,,,,,,Penalty 30 yards,Goal,,,
Throw-in (18),6820200,20000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 6,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,Throw-in,George,Search Livestream,Santa Clara win throw-in,Santa Clara,Nachi Du Plessis,,,,,,,,,,,,,,,,,,,
Knock In (13),6878961,40000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 6,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,Knock In,George,Search Livestream,,Santa Clara,Matias Magrini,,,,,,,,Nachi Du Plessis,,,,,,,,,,,
Shot At Goal (25),6929666,35000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 6,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Nachi Du Plessis,,Shot At Goal,100;74,Attacking 60,Post,,,,,,,,,,,,,,
Shot At Goal (26),6970966,35000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 6,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Matias Magrini,,Shot At Goal,92;89,Attacking Half,Goal,,,,,,,,,,,,,,
Goal Santa Clara (8),6973433,35000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 6,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Matias Magrini,,,80;6,Attacking 30,,,,,,,,,,Goal Santa Clara,,,Goals,,
Throw-in (19),7030633,20000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 6,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,Throw-in,George,Search Livestream,Daily Racing Form win throw-in,Daily Racing Form,Jared Zenni,,,,,,,,,,,,,,,,,,,
