Name,Position,Duration,Umpire 1,Instant Replay Official,Tournament,Third Umpire,Club,Search Event,Stage,Umpire 2,Camera Angle,Match Date,Game,Year,Team,Chukka,Chukka Length,Set Play,Throw-in Outcome,Player,Foul,General Field Area,Location,Foul Type,Foul Outcome,Umpire Trailing,Umpire Focal,Shot At Goal,Shot At Goal Outcome,Goal,Highlight Reel,Assist Outcome,Assist,Knock-in Player 2,Penalties,Penalty Outcome,Penalty Block,Collision
Chukka Length,616900,669600,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Team,Chukka 1,Chukka Length,,,,,,,,,,,,,,,,,,,,,
Throw-in,617133,20000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 1,,Throw-in,La Indiana win throw-in,Michael Bickford,,,,,,,,,,,,,,,,,,
Foul,629233,25000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 1,,,,Santi Toccalino,Foul,Defending Half,11;171,Right of Way,Penalty 5,88;172,11;201,,,,,,,,,,,
Foul Received,629233,25000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 1,,,,Michael Bickford,Foul Received,Attacking Half,135;129,Right of Way,Penalty 5,,,,,,,,,,,,,
Penalty 5,683266,30000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 1,,Penalty 5,,Santiago Romero,,,,,,,,,,,,,,,,,,
Shot At Goal,671766,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 1,,,,Jeff Hall,,Attacking 30,91;22,,,,,Shot At Goal,Deflected,,,,,,,,,
Shot At Goal (1),700200,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 1,,,,Joaquin Avendano,,Attacking 30,80;17,,,,,Shot At Goal,Goal,,,,,,,,,
Goal Patagones,701600,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 1,,,,Joaquin Avendano,,Attacking 30,78;6,,,,,,,Goal Patagones,Goals,,,,,,,
Assist,717100,25000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 1,,,,Santi Toccalino,,,,,,,,,,,,Successful,Santi Toccalino,,,,,
Throw-in (1),765700,20000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 1,,Throw-in,La Indiana win throw-in,Santiago Romero,,,,,,,,,,,,,,,,,,
Foul (1),787100,25000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 1,,,,Facundo Obregon,Foul,Attacking 60,121;49,Right of Way,Penalty 5B,110;16,73;49,,,,,,,,,,,
Foul Received (1),787100,25000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 1,,,,Santi Toccalino,Foul Received,Defending 60,29;244,Right of Way,Penalty 5B,,,,,,,,,,,,,
Penalty 5b,850700,30000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 1,,Penalty 5b,,Santi Toccalino,,,,,,,,,,,,,,,,,,
Shot At Goal (2),838000,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 1,,,,Santi Toccalino,,Attacking Half,111;83,,,,,Shot At Goal,Short,,,,,,,,,
Shot At Goal (3),867933,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 1,,,,Jeff Hall,,Attacking Half,88;112,,,,,Shot At Goal,Wide,,,,,,,,,
Knock In,918600,40000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 1,,Knock In,,Santiago Wulff,,,,,,,,,,,,,,,,,,
Foul (2),921366,25000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 1,,,,Michael Bickford,Foul,Attacking 60,27;47,Blocking,Penalty 5B,74;94,26;40,,,,,,,,,,,
Foul Received (2),921366,25000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 1,,,,Santiago Wulff,Foul Received,Defending 60,119;247,Blocking,Penalty 5B,,,,,,,,,,,,,
Penalty 5b (1),983866,30000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 1,,Penalty 5b,,Santi Toccalino,,,,,,,,,,,,,,,,,,
Shot At Goal (4),968733,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 1,,,,Santi Toccalino,,Attacking 60,91;74,,,,,Shot At Goal,Deflected,,,,,,,,,
Shot At Goal (5),988666,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 1,,,,Santi Toccalino,,Attacking 60,62;45,,,,,Shot At Goal,Wide,,,,,,,,,
Assist (1),1005566,25000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 1,,,,Santiago Wulff,,,,,,,,,,,,Unsuccessful,Santiago Wulff,,,,,
Knock In (1),1037433,40000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 1,,Knock In,,Jeff Hall,,,,,,,,,,,,,,Santiago Romero,,,,
Foul (3),1060300,25000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 1,,,,Michael Bickford,Foul,Attacking Half,118;81,Reaching,Penalty 60 yards,119;76,28;99,,,,,,,,,,,
Foul Received (3),1060300,25000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 1,,,,Santi Toccalino,Foul Received,Defending Half,45;208,Reaching,Penalty 60 yards,,,,,,,,,,,,,
Penalty 60 yards,1129833,15000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 1,,,,Santi Toccalino,,,,,,,,,,,,,,,Penalty 60 yards,Goal,,
Goal Patagones (1),1111733,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 1,,,,Santi Toccalino,,,,,,,,,,Goal Patagones,,,,,,,,
Throw-in (2),1174300,20000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 1,,Throw-in,Patagones win throw-in,Santi Toccalino,,,,,,,,,,,,,,,,,,
Shot At Goal (6),1156466,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 1,,,,Santi Toccalino,,Attacking Half,73;93,,,,,Shot At Goal,Wide,,,,,,,,,
Knock In (2),1203933,40000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 1,,Knock In,,Santiago Romero,,,,,,,,,,,,,,Facundo Obregon,,,,
Non Call,1243933,20000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Team,Chukka 1,,,,,Non Call,,,Right of Way,,,,,,,,,,,,,,
Shot At Goal (7),1236733,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 1,,,,Santiago Romero,,Attacking 30,71;17,,,,,Shot At Goal,Goal,,,,,,,,,
Goal La Indiana,1237500,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 1,,,,Santiago Romero,,Attacking 30,78;7,,,,,,,Goal La Indiana,,,,,,,,
Assist (2),1253600,25000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 1,,,,Jeff Hall,,,,,,,,,,,,Successful,Jeff Hall,,,,,
Chukka Length (1),1459200,523433,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Team,Chukka 2,Chukka Length,,,,,,,,,,,,,,,,,,,,,
Throw-in (3),1456266,20000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 2,,Throw-in,La Indiana win throw-in,Jeff Hall,,,,,,,,,,,,,,,,,,
Shot At Goal (8),1444466,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 2,,,,Santiago Romero,,Attacking Half,78;80,,,,,Shot At Goal,Short,,,,,,,,,
Shot At Goal (9),1451400,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 2,,,,Santiago Romero,,Attacking 30,94;9,,,,,Shot At Goal,Short,,,,,,,,,
Foul (4),1472933,25000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 2,,,,Facundo Obregon,Foul,Attacking 30,89;20,Right of Way,Penalty 5,105;61,26;54,,,,,,,,,,,
Foul Received (4),1472933,25000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 2,,,,Santiago Wulff,Foul Received,Defending 30,57;277,Right of Way,Penalty 5,,,,,,,,,,,,,
Penalty 5 (1),1509566,30000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 2,,Penalty 5,,Santi Toccalino,,,,,,,,,,,,,,,,,,
Shot At Goal (10),1548933,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 2,,,,Santi Toccalino,,Attacking 60,99;53,,,,,Shot At Goal,Wide,,,,,,,,,
Assist (3),1567966,25000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 2,,,,Santiago Wulff,,,,,,,,,,,,Unsuccessful,Santiago Wulff,,,,,
Knock In (3),1595661,40000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 2,,Knock In,,Santiago Romero,,,,,,,,,,,,,,,,,,
Non Call (1),1600033,20000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Team,Chukka 2,,,,,Non Call,,,Blocking,,,,,,,,,,,,,,
Shot At Goal (11),1604900,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 2,,,,Jeff Hall,,Attacking 30,77;9,,,,,Shot At Goal,Goal,,,,,,,,,
Goal La Indiana (1),1605333,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 2,,,,Jeff Hall,,Attacking 30,79;6,,,,,,,Goal La Indiana,,,,,,,,
Throw-in (4),1666300,20000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 2,,Throw-in,La Indiana win throw-in,Facundo Obregon,,,,,,,,,,,,,,,,,,
Shot At Goal (12),1659666,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 2,,,,Michael Bickford,,Attacking 30,96;22,,,,,Shot At Goal,Wide,,,,,,,,,
Assist (4),1676700,25000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 2,,,,Jeff Hall,,,,,,,,,,,,Unsuccessful,Jeff Hall,,,,,
Knock In (4),1707933,40000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 2,,Knock In,,Santiago Wulff,,,,,,,,,,,,,,Santi Toccalino,,,,
Shot At Goal (13),1713100,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 2,,,,Santiago Wulff,,Attacking 60,39;59,,,,,Shot At Goal,Goal,,,,,,,,,
Goal Patagones (2),1717266,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 2,,,,Santiago Wulff,,Attacking 30,75;8,,,,,,,Goal Patagones,Goals,,,,,,,
Assist (5),1733000,25000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 2,,,,Santi Toccalino,,,,,,,,,,,,Successful,Santi Toccalino,,,,,
Throw-in (5),1777700,20000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 2,,Throw-in,Patagones win throw-in,Santi Toccalino,,,,,,,,,,,,,,,,,,
Foul (5),1803266,25000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 2,,,,Santiago Romero,Foul,Defending 60,137;239,Dangerous Riding,Penalty 5,127;239,71;199,,,,,,,,,,,
Foul Received (5),1803266,25000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 2,,,,Benjamin Avendano,Foul Received,Attacking 60,7;54,Dangerous Riding,Penalty 5,,,,,,,,,,,,,
Penalty 5 (2),1860733,30000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 2,,Penalty 5,,Santi Toccalino,,,,,,,,,,,,,,,,,,
Shot At Goal (14),1836066,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 2,,,,Santi Toccalino,,Attacking Half,12;103,,,,,Shot At Goal,Goal,,,,,,,,,
Goal Patagones (3),1840433,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 2,,,,Santi Toccalino,,Attacking 30,76;8,,,,,,,Goal Patagones,,,,,,,,
Throw-in (6),1895966,20000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 2,,Throw-in,Patagones win throw-in,Benjamin Avendano,,,,,,,,,,,,,,,,,,
Shot At Goal (15),1896633,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 2,,,,Benjamin Avendano,,Attacking 60,89;49,,,,,Shot At Goal,Wide,,,,,,,,,
Knock In (5),1944866,40000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 2,,Knock In,,Santiago Romero,,,,,,,,,,,,,,Jeff Hall,,,,
Foul (6),1952600,25000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 2,,,,Benjamin Avendano,Foul,Attacking Half,87;138,Crossing,Penalty 5,108;81,29;108,,,,,,,,,,,
Foul Received (6),1952600,25000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 2,,,,Santiago Romero,Foul Received,Defending Half,65;163,Crossing,Penalty 5,,,,,,,,,,,,,
Chukka Length (2),2189333,428866,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Team,Chukka 3,Chukka Length,,,,,,,,,,,,,,,,,,,,,
Penalty 5 (3),2199400,30000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 3,,Penalty 5,,Santiago Romero,,,,,,,,,,,,,,,,,,
Shot At Goal (16),2182533,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 3,,,,Facundo Obregon,,Attacking 60,75;45,,,,,Shot At Goal,Wide,,,,,,,,,
Knock In (6),2232266,40000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 3,,Knock In,,Santi Toccalino,,,,,,,,,,,,,,Santiago Wulff,,,,
Free Hit,2263100,20000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 3,,Free Hit,,Santiago Romero,,,,,,,,,,,,,,,,,,
Shot At Goal (17),2272033,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 3,,,,Santiago Wulff,,Attacking Half,93;81,,,,,Shot At Goal,Wide,,,,,,,,,
Knock In (7),2353200,40000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 3,,Knock In,,Santiago Romero,,,,,,,,,,,,,,Facundo Obregon,,,,
Foul (7),2377433,25000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 3,,,,Santiago Romero,Foul,Defending Half,82;177,Right of Way,Penalty 5,139;194,73;167,,,,,,,,,,,
Foul Received (7),2377433,25000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 3,,,,Santi Toccalino,Foul Received,Attacking Half,77;126,Right of Way,Penalty 5,,,,,,,,,,,,,
Penalty 5 (4),2438366,30000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 3,,Penalty 5,,Santi Toccalino,,,,,,,,,,,,,,,,,,
Shot At Goal (18),2462333,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 3,,,,Jeff Hall,,Attacking 30,75;18,,,,,Shot At Goal,Blocked,,,,,,,,,
Shot Block,2488933,10000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 3,,,,Santiago Wulff,,,,,,,,,,,,,,,,,Shot Block,
Non Call (2),2504166,20000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Team,Chukka 3,,,,,Non Call,,,Right of Way,,,,,,,,,,,,,,
Shot At Goal (19),2504833,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 3,,,,Joaquin Avendano,,Attacking 60,94;58,,,,,Shot At Goal,Wide,,,,,,,,,
Knock In (8),2547160,40000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 3,,Knock In,,Facundo Obregon,,,,,,,,,,,,,,,,,,
Injury Time,2618200,46783,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Team,Chukka 3,Injury Time,,,,,,,,,,,,,,,,,,,,,
Chukka Length (3),2664983,125850,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Team,Chukka 3,Chukka Length,,,,,,,,,,,,,,,,,,,,,
Throw-in (7),2666366,20000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 3,,Throw-in,La Indiana win throw-in,Santiago Romero,,,,,,,,,,,,,,,,,,
Foul (8),2670466,25000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 3,,,,Facundo Obregon,Foul,Attacking 30,91;22,Reaching,Penalty 5,138;54,64;45,,,,,,,,,,,
Foul Received (8),2670466,25000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 3,,,,Santi Toccalino,Foul Received,Defending 30,55;276,Reaching,Penalty 5,,,,,,,,,,,,,
Knock In (9),2707300,40000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 3,,Knock In,,Santi Toccalino,,,,,,,,,,,,,,,,,,
Shot At Goal (20),2716066,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 3,,,,Benjamin Avendano,,Attacking Half,65;99,,,,,Shot At Goal,Wide,,,,,,,,,
Knock In (10),2764833,40000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 3,,Knock In,,Santiago Romero,,,,,,,,,,,,,,Facundo Obregon,,,,
Collision,2784533,15000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 3,,,,Santiago Wulff,,,,,,,,,,,,,,,,,,Collision
Injury Time (1),2790833,68600,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Team,Chukka 3,Injury Time,,,,,,,,,,,,,,,,,,,,,
Foul (9),2774533,25000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 3,,,,Santiago Wulff,Foul,Attacking Half,117;92,Dangerous Riding,Penalty 60 yards,127;101,22;113,,,,,,,,,,,
Foul Received (9),2774533,25000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 3,,,,Facundo Obregon,Foul Received,Defending Half,29;192,Dangerous Riding,Penalty 60 yards,,,,,,,,,,,,,
Chukka Length (4),2860000,132833,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Team,Chukka 3,Chukka Length,,,,,,,,,,,,,,,,,,,,,
Penalty 60 yards (1),2910233,15000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 3,,,,Jeff Hall,,,,,,,,,,,,,,,Penalty 60 yards,Wide,,
