Name,Position,Duration,Game,Tournament,Umpire 1,Stage,Match Date,Camera Angle,Club,Instant Replay Official,Umpire 2,Third Umpire,Search Event,Year,Team,Chukka Length,Chukka,Shot At Goal,Location,General Field Area,Player,Shot At Goal Outcome,Goal,Highlight Reel,Set Play,Throw-in Outcome,Knock-in Player 2,Foul,Umpire Focal,Umpire Trailing,Foul Type,Foul Outcome,Penalties,Penalty Outcome,Assist Outcome,Assist,Penalty Block
Game Length,538966,6093342,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Team,Game Length,,,,,,,,,,,,,,,,,,,,,
Shot At Goal,538966,35000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 1,Shot At Goal,53;40,Attacking 60,Luis Escobar,Goal,,,,,,,,,,,,,,,
Goal Santa Clara,544066,35000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 1,,,,Luis Escobar,,Goal Santa Clara,Goals,,,,,,,,,,,,,
Throw-in,556487,20000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 1,,,,Luis Escobar,,,,Throw-in,Santa Clara win throw-in,,,,,,,,,,,
Chukka Length,559466,419884,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Team,Chukka Length,Chukka 1,,,,,,,,,,,,,,,,,,,,
Throw-in (1),596800,20000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 1,,,,Nachi Du Plessis,,,,Throw-in,Santa Clara win throw-in,,,,,,,,,,,
Shot At Goal (1),606266,35000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 1,Shot At Goal,62;85,Attacking Half,Matias Magrini,Wide,,,,,,,,,,,,,,,
Knock In,655500,40000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 1,,,,Jeff Hall,,,,Knock In,,Polito Pieres,,,,,,,,,,
Foul,667500,25000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 1,,107;133,Attacking Half,Luis Escobar,,,,,,,Foul,32;130,131;163,Right of Way,Penalty 40 yards,,,,,
Foul Received,669166,25000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 1,,112;134,Attacking Half,Santiago Gomez Romero,,,,,,,Foul Received,,,Right of Way,Penalty 40 yards,,,,,
Goal La Indiana,750333,35000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 1,,73;1,Attacking 30,Polito Pieres,,Goal La Indiana,,,,,,,,,,,,,,
Penalty 40 yards,767666,15000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 1,,,,Polito Pieres,,,,,,,,,,,,Penalty 40 yards,Goal,,,
Throw-in (2),802766,20000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 1,,,,Luis Escobar,,,,Throw-in,Santa Clara win throw-in,,,,,,,,,,,
Shot At Goal (2),823366,35000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 1,Shot At Goal,70;17,Attacking 30,Jeff Hall,Goal,,,,,,,,,,,,,,,
Goal La Indiana (1),824500,35000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 1,,70;6,Attacking 30,Jeff Hall,,Goal La Indiana,,,,,,,,,,,,,,
Assist,839500,25000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 1,,,,Polito Pieres,,,,,,,,,,,,,,Successful,Polito Pieres,
Throw-in (3),886366,20000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 1,,,,Henry Porter,,,,Throw-in,Santa Clara win throw-in,,,,,,,,,,,
Non Call,912300,20000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Team,,Chukka 1,,,,,,,,,,,Non Call,,,Dangerous Riding,,,,,,
Shot At Goal (3),932433,35000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 1,Shot At Goal,24;85,Attacking Half,Nachi Du Plessis,Wide,,,,,,,,,,,,,,,
Injury Time,979350,62882,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Team,Injury Time,Chukka 1,,,,,,,,,,,,,,,,,,,,
Knock In (1),1038396,40000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 1,,,,Jeff Hall,,,,Knock In,,Polito Pieres,,,,,,,,,,
Foul (1),1040000,25000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 1,,8;63,Attacking 60,Henry Porter,,,,,,,Foul,8;13,80;72,Riding Into Shot,Penalty 60 yards,,,,,
Foul Received (1),1040000,25000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 1,,146;226,Defending Half,Polito Pieres,,,,,,,Foul Received,,,Riding Into Shot,Penalty 60 yards,,,,,
Chukka Length (1),1042233,224533,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Team,Chukka Length,Chukka 1,,,,,,,,,,,,,,,,,,,,
Penalty 60 yards,1144733,15000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 1,,,,Polito Pieres,,,,,,,,,,,,Penalty 60 yards,Wide,,,
Knock In (2),1164500,40000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 1,,,,Matias Magrini,,,,Knock In,,Luis Escobar,,,,,,,,,,
Shot At Goal (4),1167266,35000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 1,Shot At Goal,19;84,Attacking Half,Polito Pieres,Wide,,,,,,,,,,,,,,,
Knock In (3),1213266,40000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 1,,,,Nachi Du Plessis,,,,Knock In,,Nachi Du Plessis,,,,,,,,,,
Foul (2),1246533,25000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 1,,149;145,Attacking Half,Polito Pieres,,,,,,,Foul,71;152,146;167,Technical,Penalty 30 yards,,,,,
Foul Received (2),1246533,25000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 1,,1;158,Defending Half,Nachi Du Plessis,,,,,,,Foul Received,,,Technical,Penalty 30 yards,,,,,
Yellow Card (1),1250900,10000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 1,,,,Polito Pieres,,,,,,,Yellow Card,,,Technical,Penalty 30 yards,,,,,
Goal Santa Clara (1),1461833,35000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 2,,,,Nachi Du Plessis,,Goal Santa Clara,,,,,,,,,,,,,,
Penalty 30 yards,1479900,15000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 2,,,,Nachi Du Plessis,,,,,,,,,,,,Penalty 30 yards,Goal,,,
Chukka Length (2),1487866,521047,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Team,Chukka Length,Chukka 2,,,,,,,,,,,,,,,,,,,,
Throw-in (4),1554600,20000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 2,,,,Matias Magrini,,,,Throw-in,Santa Clara win throw-in,,,,,,,,,,,
Shot At Goal (5),1620133,35000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 2,Shot At Goal,89;20,Attacking 30,Nachi Du Plessis,Goal,,,,,,,,,,,,,,,
Goal Santa Clara (2),1622533,35000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 2,,,,Nachi Du Plessis,,Goal Santa Clara,,,,,,,,,,,,,,
Throw-in (5),1677133,20000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 2,,,,Nachi Du Plessis,,,,Throw-in,Santa Clara win throw-in,,,,,,,,,,,
Shot At Goal (6),1691533,35000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 2,Shot At Goal,64;21,Attacking 30,Luis Escobar,Goal,,,,,,,,,,,,,,,
Non Call (1),1691833,20000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Team,,Chukka 2,,,,,,,,,,,Non Call,,,Right of Way,,,,,,
Goal Santa Clara (3),1694000,35000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 2,,,,Luis Escobar,,Goal Santa Clara,,,,,,,,,,,,,,
Shot At Goal (7),1744366,35000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 2,Shot At Goal,62;63,Attacking 60,Polito Pieres,Wide,,,,,,,,,,,,,,,
Throw-in (6),1753700,20000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 2,,,,Nachi Du Plessis,,,,Throw-in,Santa Clara win throw-in,,,,,,,,,,,
Knock In (4),1788933,40000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 2,,,,Nachi Du Plessis,,,,Knock In,,,,,,,,,,,,
Shot At Goal (8),1791666,35000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 2,Shot At Goal,66;6,Attacking 30,Henry Porter,Goal,,,,,,,,,,,,,,,
Goal Santa Clara (4),1792633,35000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 2,,,,Henry Porter,,Goal Santa Clara,,,,,,,,,,,,,,
Throw-in (7),1860216,20000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 2,,,,Jeff Hall,,,,Throw-in,La Indiana win throw-in,,,,,,,,,,,
Foul (3),1861233,25000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 2,,137;184,Defending Half,Matias Magrini,,,,,,,Foul,130;151,69;190,Riding Into Shot,Reversed Call,,,,,
Foul Received (3),1861233,25000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 2,,21;112,Attacking Half,Michael Bickford,,,,,,,Foul Received,,,Riding Into Shot,Reversed Call,,,,,
Shot At Goal (9),1905133,35000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 2,Shot At Goal,36;89,Attacking Half,Jeff Hall,Wide,,,,,,,,,,,,,,,
Throw-in (8),1916613,20000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 2,,,,Matias Magrini,,,,Throw-in,Santa Clara win throw-in,,,,,,,,,,,
Knock In (5),1955266,40000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 2,,,,Matias Magrini,,,,Knock In,,Nachi Du Plessis,,,,,,,,,,
Shot At Goal (10),1960066,35000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 2,Shot At Goal,130;109,Attacking Half,Henry Porter,Wide,,,,,,,,,,,,,,,
Knock In (6),2219066,40000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 3,,,,Jeff Hall,,,,Knock In,,Polito Pieres,,,,,,,,,,
Chukka Length (3),2221833,129634,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Team,Chukka Length,Chukka 3,,,,,,,,,,,,,,,,,,,,
Non Call (2),2267833,20000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Team,,Chukka 3,,,,,,,,,,,Non Call,,,Riding Into Shot,,,,,,
Foul (4),2327133,25000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 3,,29;74,Attacking 60,Santiago Gomez Romero,,,,,,,Foul,15;108,121;61,Technical,Penalty 5,,,,,
Injury Time (1),2351467,336098,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Team,Injury Time,Chukka 3,,,,,,,,,,,,,,,,,,,,
Penalty 5,2685797,30000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 3,,,,Matias Magrini,,,,Penalty 5,,,,,,,,,,,,
Chukka Length (4),2687566,116847,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Team,Chukka Length,Chukka 3,,,,,,,,,,,,,,,,,,,,
Foul (5),2706900,25000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 3,,72;13,Attacking 30,Nachi Du Plessis,,,,,,,Foul,36;71,85;56,Dangerous Riding,Penalty 5,,,,,
Foul Received (4),2706900,25000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 3,,83;276,Defending 30,Jeff Hall,,,,,,,Foul Received,,,Dangerous Riding,Penalty 5,,,,,
Penalty 5 (1),2749866,30000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 3,,,,Jeff Hall,,,,Penalty 5,,,,,,,,,,,,
Free Hit,2776666,20000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 3,,,,Matias Magrini,,,,Free Hit,,,,,,,,,,,,
Foul (6),2783666,25000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 3,,130;122,Attacking Half,Matias Magrini,,,,,,,Foul,135;72,69;113,Riding Into Shot,Penalty 60 yards,,,,,
Foul Received (5),2784833,25000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 3,,28;165,Defending Half,Santiago Gomez Romero,,,,,,,Foul Received,,,Riding Into Shot,Penalty 60 yards,,,,,
Injury Time (2),2806600,238066,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Team,Injury Time,Chukka 3,,,,,,,,,,,,,,,,,,,,
Goal La Indiana (2),3022566,35000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 3,,78;6,Attacking 30,Polito Pieres,,Goal La Indiana,,,,,,,,,,,,,,
Penalty 60 yards (1),3037700,15000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 3,,,,Polito Pieres,,,,,,,,,,,,Penalty 60 yards,Goal,,,
Chukka Length (5),3044666,369897,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Team,Chukka Length,Chukka 3,,,,,,,,,,,,,,,,,,,,
Throw-in (9),3068600,20000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 3,,,,Henry Porter,,,,Throw-in,Santa Clara win throw-in,,,,,,,,,,,
Foul (7),3073333,25000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 3,,20;109,Attacking Half,Luis Escobar,,,,,,,Foul,12;125,71;126,Blocking,Penalty 60 yards,,,,,
Foul Received (6),3073333,25000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 3,,137;183,Defending Half,Jeff Hall,,,,,,,Foul Received,,,Blocking,Penalty 60 yards,,,,,
Penalty 60 yards (2),3141000,15000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 3,,,,Polito Pieres,,,,,,,,,,,,Penalty 60 yards,Blocked,,,
Penalty Block,3147933,10000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 3,,,,Luis Escobar,,,,,,,,,,,,,,,,Penalty Block
Foul (8),3153666,25000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 3,,91;140,Attacking Half,Matias Magrini,,,,,,,Foul,71;184,10;117,Riding Into Shot,Penalty 5,,,,,
Foul Received (7),3153666,25000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 3,,72;165,Defending Half,Polito Pieres,,,,,,,Foul Received,,,Riding Into Shot,Penalty 5,,,,,
Penalty 5 (2),3226966,30000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 3,,,,Jeff Hall,,,,Penalty 5,,,,,,,,,,,,
Shot At Goal (11),3246600,35000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 3,Shot At Goal,73;17,Attacking 30,Luis Escobar,Goal,,,,,,,,,,,,,,,
Goal Santa Clara (5),3248033,35000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 3,,,,Luis Escobar,,Goal Santa Clara,,,,,,,,,,,,,,
Assist (1),3264600,25000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 3,,,,Matias Magrini,,,,,,,,,,,,,,Successful,Matias Magrini,
Throw-in (10),3305400,20000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 3,,,,Nachi Du Plessis,,,,Throw-in,Santa Clara win throw-in,,,,,,,,,,,
Shot At Goal (12),3315600,35000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 3,Shot At Goal,87;42,Attacking 60,Henry Porter,Wide,,,,,,,,,,,,,,,
Assist (2),3330600,25000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 3,,,,Matias Magrini,,,,,,,,,,,,,,Unsuccessful,Matias Magrini,
Knock In (7),3358183,40000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 3,,,,Jeff Hall,,,,Knock In,,Polito Pieres,,,,,,,,,,
