Name,Position,Duration,Tournament,Match Date,Umpire 1,Game,Third Umpire,Camera Angle,Umpire 2,Club,Stage,Search Event,Instant Replay Official,Year,Chukka,Set Play,Throw-in Outcome,Player,Team,Foul,Foul Type,Chukka Length,Shot At Goal,Shot At Goal Outcome,General Field Area,Location,Goal,Highlight Reel,Foul Outcome,Umpire Focal,Umpire Trailing,Penalty Block,Penalties,Penalty Outcome,Assist Outcome,Assist,Knock-in Player 2
Goal Santa Clara (1),961600,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,,,Matias Magrini,Santa Clara,,,,,,,,Goal Santa Clara,,,,,,,,,,
Assist (1),976600,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,,,Henry Porter,Santa Clara,,,,,,,,,,,,,,,,Successful,Henry Porter,
Shot At Goal (4),1007566,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,,,Henry Porter,Santa Clara,,,,Shot At Goal,Goal,Attacking 30,90;8,,,,,,,,,,,
Goal Santa Clara (2),1009600,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,,,Henry Porter,Santa Clara,,,,,,,,Goal Santa Clara,,,,,,,,,,
Throw-in (3),1019266,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,Throw-in,Santa Clara win throw-in,Nachi Du Plessis,Santa Clara,,,,,,,,,,,,,,,,,,
Assist (2),1024600,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,,,Nachi Du Plessis,Santa Clara,,,,,,,,,,,,,,,,Successful,Nachi Du Plessis,
Shot At Goal (5),1055233,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,,,Henry Porter,Santa Clara,,,,Shot At Goal,Goal,Attacking 30,65;12,,,,,,,,,,,
Goal Santa Clara (3),1056133,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,,,Henry Porter,Santa Clara,,,,,,,,Goal Santa Clara,Goals,,,,,,,,,
Throw-in (4),1067266,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,Throw-in,Santa Clara win throw-in,Henry Porter,Santa Clara,,,,,,,,,,,,,,,,,,
Throw-in (5),1113433,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,Throw-in,Santa Clara win throw-in,Henry Porter,Santa Clara,,,,,,,,,,,,,,,,,,
Foul (1),1166733,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,,,Henry Porter,Santa Clara,Foul,Right of Way,,,,Attacking Half,1;130,,,Penalty 5,14;133,80;93,,,,,,
Foul Received (1),1166733,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,,,Mariano Obregon,Dutta Corp,Foul Received,Right of Way,,,,Defending Half,150;168,,,Penalty 5,,,,,,,,
Shot At Goal (6),1191666,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,,,Luis Escobar,Santa Clara,,,,Shot At Goal,Wide,Attacking 60,55;72,,,,,,,,,,,
Penalty 5,1203600,30000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,Penalty 5,,Facundo Obregon,Dutta Corp,,,,,,,,,,,,,,,,,,
Knock In,1397500,40000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 2,Knock In,,Facundo Obregon,Dutta Corp,,,,,,,,,,,,,,,,,,Mariano Obregon
Chukka Length (1),1400399,524950,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 2,,,,Team,,,Chukka Length,,,,,,,,,,,,,,,
Non Call (1),1453966,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 2,,,,Team,Non Call,Reaching,,,,,,,,,,,,,,,,
Shot At Goal (7),1513733,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 2,,,Henry Porter,Santa Clara,,,,Shot At Goal,Goal,Attacking 30,91;36,,,,,,,,,,,
Goal Santa Clara (4),1515566,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 2,,,Henry Porter,Santa Clara,,,,,,,,Goal Santa Clara,,,,,,,,,,
Throw-in (6),1572600,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 2,Throw-in,Dutta Corp win throw-in,Mariano Obregon,Dutta Corp,,,,,,,,,,,,,,,,,,
Shot At Goal (8),1615664,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 2,,,Matias Magrini,Santa Clara,,,,Shot At Goal,Goal,Attacking 30,82;24,,,,,,,,,,,
Goal Santa Clara (5),1616566,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 2,,,Matias Magrini,Santa Clara,,,,,,,,Goal Santa Clara,,,,,,,,,,
Foul (2),1669600,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 2,,,Lucas Diaz Alberdi,Dutta Corp,Foul,Uneven Ride-Off,,,,Attacking Half,125;116,,,Penalty 5,132;118,65;118,,,,,,
Foul Received (2),1669600,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 2,,,Nachi Du Plessis,Santa Clara,Foul Received,Uneven Ride-Off,,,,Defending Half,30;177,,,Penalty 5,,,,,,,,
Throw-in (7),1672207,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 2,Throw-in,Santa Clara win throw-in,Matias Magrini,Santa Clara,,,,,,,,,,,,,,,,,,
Shot At Goal (9),1715833,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 2,,,Luis Escobar,Santa Clara,,,,Shot At Goal,Wide,Attacking 30,106;20,,,,,,,,,,,
Penalty 5 (1),1726833,30000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 2,Penalty 5,,Nachi Du Plessis,Santa Clara,,,,,,,,,,,,,,,,,,
Knock In (1),1762133,40000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 2,Knock In,,Facundo Obregon,Dutta Corp,,,,,,,,,,,,,,,,,,Mariano Obregon
Foul Received (3),1816433,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 2,,,Nachi Du Plessis,Santa Clara,Foul Received,Crossing,,,,Defending Half,128;162,,,Reversed Call,,,,,,,,
Foul (3),1817966,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 2,,,Mariano Obregon,Dutta Corp,Foul,Crossing,,,,Attacking Half,23;138,,,Reversed Call,139;158,73;158,,,,,,
Shot At Goal (10),1857966,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 2,,,Lucas Diaz Alberdi,Dutta Corp,,,,Shot At Goal,Wide,Attacking 30,60;15,,,,,,,,,,,
Throw-in (8),1868733,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 2,Throw-in,Dutta Corp win throw-in,Facundo Obregon,Dutta Corp,,,,,,,,,,,,,,,,,,
Assist (3),1872966,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 2,,,Timmy Dutta,Dutta Corp,,,,,,,,,,,,,,,,Unsuccessful,Timmy Dutta,
Foul (4),1896066,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 2,,,Lucas Diaz Alberdi,Dutta Corp,Foul,Blocking,,,,Attacking Half,25;77,,,Penalty 5B,34;7,86;106,,,,,,
Foul Received (4),1896066,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 2,,,Luis Escobar,Santa Clara,Foul Received,Blocking,,,,Defending Half,125;225,,,Penalty 5B,,,,,,,,
Knock In (2),1898500,40000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 2,Knock In,,Nachi Du Plessis,Santa Clara,,,,,,,,,,,,,,,,,,
Shot At Goal (11),2174800,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,,,Luis Escobar,Santa Clara,,,,Shot At Goal,Goal,Attacking 30,67;25,,,,,,,,,,,
Penalty 5b (1),2176366,30000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,Penalty 5b,,Nachi Du Plessis,Santa Clara,,,,,,,,,,,,,,,,,,
Goal Santa Clara (6),2177100,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,,,Luis Escobar,Santa Clara,,,,,,,,Goal Santa Clara,,,,,,,,,,
Chukka Length (2),2178993,698097,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,,,,Team,,,Chukka Length,,,,,,,,,,,,,,,
Shot At Goal (12),2228500,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,,,Lucas Diaz Alberdi,Dutta Corp,,,,Shot At Goal,Goal,Attacking 30,83;12,,,,,,,,,,,
Goal Dutta Corp (2),2229533,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,,,Lucas Diaz Alberdi,Dutta Corp,,,,,,,,Goal Dutta Corp,,,,,,,,,,
Throw-in (9),2232200,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,Throw-in,Dutta Corp win throw-in,Mariano Obregon,Dutta Corp,,,,,,,,,,,,,,,,,,
Shot At Goal (13),2273200,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,,,Luis Escobar,Santa Clara,,,,Shot At Goal,Goal,Attacking 60,56;45,,,,,,,,,,,
Goal Santa Clara (7),2276300,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,,,Luis Escobar,Santa Clara,,,,,,,,Goal Santa Clara,Goals,,,,,,,,,
Throw-in (10),2285800,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,Throw-in,Santa Clara win throw-in,Nachi Du Plessis,Santa Clara,,,,,,,,,,,,,,,,,,
Assist (4),2291300,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,,,Matias Magrini,Santa Clara,,,,,,,,,,,,,,,,Successful,Matias Magrini,
Foul (5),2321800,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,,,Luis Escobar,Santa Clara,Foul,Quick Line Change,,,,Defending Half,114;154,,,Penalty 60 yards,132;152,71;149,,,,,,
Foul Received (5),2321800,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,,,Facundo Obregon,Dutta Corp,Foul Received,Quick Line Change,,,,Attacking Half,119;140,,,Penalty 60 yards,,,,,,,,
