Name,Position,Duration,Third Umpire,Umpire 1,Match Date,Search Event,Stage,Camera Angle,Umpire 2,Tournament,Game,Instant Replay Official,Year,Chukka Length,Club,Team,Chukka,Goal,Player,Penalties,Penalty Outcome,Set Play,Throw-in Outcome,Foul,General Field Area,Location,Foul Outcome,Foul Type,Umpire Trailing,Umpire Focal,Shot At Goal,Shot At Goal Outcome,Assist Outcome,Assist,Highlight Reel,Penalty Block,Knock-in Player 2
Goal Coca Cola (8),4136366,35000,Kevin Fawcett,Julian Appleby,January 15. 2020,Search Livestream,Group,Live,Kimo Huddleston,Ylvisaker Cup,Coca-Cola vs La Indiana,Ronnie Hayes,2020,,International Polo Club,Coca-Cola,Chukka 6,Goal Coca Cola,Sugar Erskine,,,,,,Attacking 30,77;7,,,,,,,,,,,
Throw-in (17),4144733,20000,Kevin Fawcett,Julian Appleby,January 15. 2020,Search Livestream,Group,Live,Kimo Huddleston,Ylvisaker Cup,Coca-Cola vs La Indiana,Ronnie Hayes,2020,,International Polo Club,Coca-Cola,Chukka 6,,Miguel Novillo Astrada,,,Throw-in,Coca Cola win throw-in,,,,,,,,,,,,,,
Assist (4),4152933,25000,Kevin Fawcett,Julian Appleby,January 15. 2020,Search Livestream,Group,Live,Kimo Huddleston,Ylvisaker Cup,Coca-Cola vs La Indiana,Ronnie Hayes,2020,,International Polo Club,Coca-Cola,Chukka 6,,Miguel Novillo Astrada,,,,,,,,,,,,,,Successful,Miguel Novillo Astrada,,,
Throw-in (18),4205200,20000,Kevin Fawcett,Julian Appleby,January 15. 2020,Search Livestream,Group,Live,Kimo Huddleston,Ylvisaker Cup,Coca-Cola vs La Indiana,Ronnie Hayes,2020,,International Polo Club,La Indiana,Chukka 6,,Michael Bickford,,,Throw-in,La Indiana win throw-in,,,,,,,,,,,,,,
Shot At Goal (20),4234866,35000,Kevin Fawcett,Julian Appleby,January 15. 2020,Search Livestream,Group,Live,Kimo Huddleston,Ylvisaker Cup,Coca-Cola vs La Indiana,Ronnie Hayes,2020,,International Polo Club,Coca-Cola,Chukka 6,,Sugar Erskine,,,,,,Attacking 30,81;25,,,,,Shot At Goal,Goal,,,,,
Goal Coca Cola (9),4235866,35000,Kevin Fawcett,Julian Appleby,January 15. 2020,Search Livestream,Group,Live,Kimo Huddleston,Ylvisaker Cup,Coca-Cola vs La Indiana,Ronnie Hayes,2020,,International Polo Club,Coca-Cola,Chukka 6,Goal Coca Cola,Sugar Erskine,,,,,,Attacking 30,72;7,,,,,,,,,Goals,,
Throw-in (19),4295566,20000,Kevin Fawcett,Julian Appleby,January 15. 2020,Search Livestream,Group,Live,Kimo Huddleston,Ylvisaker Cup,Coca-Cola vs La Indiana,Ronnie Hayes,2020,,International Polo Club,La Indiana,Chukka 6,,Facundo Obregon,,,Throw-in,La Indiana win throw-in,,,,,,,,,,,,,,
Foul (16),4311566,25000,Kevin Fawcett,Julian Appleby,January 15. 2020,Search Livestream,Group,Live,Kimo Huddleston,Ylvisaker Cup,Coca-Cola vs La Indiana,Ronnie Hayes,2020,,International Polo Club,Coca-Cola,Chukka 6,,Miguel Novillo Astrada,,,,,Foul,Defending Half,87;163,Penalty 5,Right of Way,86;174,13;151,,,,,,,
Foul Received (16),4311566,25000,Kevin Fawcett,Julian Appleby,January 15. 2020,Search Livestream,Group,Live,Kimo Huddleston,Ylvisaker Cup,Coca-Cola vs La Indiana,Ronnie Hayes,2020,,International Polo Club,La Indiana,Chukka 6,,Jeff Hall,,,,,Foul Received,Attacking Half,58;131,Penalty 5,Right of Way,,,,,,,,,
Shot At Goal (21),4481200,35000,Kevin Fawcett,Julian Appleby,January 15. 2020,Search Livestream,Group,Live,Kimo Huddleston,Ylvisaker Cup,Coca-Cola vs La Indiana,Ronnie Hayes,2020,,International Polo Club,La Indiana,Chukka 6,,Facundo Obregon,,,,,,Attacking 30,70;18,,,,,Shot At Goal,Goal,,,,,
Goal La Indiana (11),4483833,35000,Kevin Fawcett,Julian Appleby,January 15. 2020,Search Livestream,Group,Live,Kimo Huddleston,Ylvisaker Cup,Coca-Cola vs La Indiana,Ronnie Hayes,2020,,International Polo Club,La Indiana,Chukka 6,Goal La Indiana,Facundo Obregon,,,,,,Attacking 30,78;6,,,,,,,,,,,
Penalty 5 (10),4485366,30000,Kevin Fawcett,Julian Appleby,January 15. 2020,Search Livestream,Group,Live,Kimo Huddleston,Ylvisaker Cup,Coca-Cola vs La Indiana,Ronnie Hayes,2020,,International Polo Club,La Indiana,Chukka 6,,Santiago Gomez Romero,,,Penalty 5,,,,,,,,,,,,,,,
Throw-in (20),4540700,20000,Kevin Fawcett,Julian Appleby,January 15. 2020,Search Livestream,Group,Live,Kimo Huddleston,Ylvisaker Cup,Coca-Cola vs La Indiana,Ronnie Hayes,2020,,International Polo Club,Coca-Cola,Chukka 6,,Will Johnston,,,Throw-in,Coca Cola win throw-in,,,,,,,,,,,,,,
Shot At Goal (22),4594000,35000,Kevin Fawcett,Julian Appleby,January 15. 2020,Search Livestream,Group,Live,Kimo Huddleston,Ylvisaker Cup,Coca-Cola vs La Indiana,Ronnie Hayes,2020,,International Polo Club,La Indiana,Chukka 6,,Facundo Obregon,,,,,,Attacking 60,131;52,,,,,Shot At Goal,Goal,,,,,
Goal La Indiana (12),4599433,35000,Kevin Fawcett,Julian Appleby,January 15. 2020,Search Livestream,Group,Live,Kimo Huddleston,Ylvisaker Cup,Coca-Cola vs La Indiana,Ronnie Hayes,2020,,International Polo Club,La Indiana,Chukka 6,Goal La Indiana,Facundo Obregon,,,,,,Attacking 30,73;6,,,,,,,,,,,
Non Call (2),4609533,20000,Kevin Fawcett,Julian Appleby,January 15. 2020,Search Livestream,Group,Live,Kimo Huddleston,Ylvisaker Cup,Coca-Cola vs La Indiana,Ronnie Hayes,2020,,International Polo Club,Team,Chukka 6,,,,,,,Non Call,,,,Right of Way,,,,,,,,,
Throw-in (21),4660600,20000,Kevin Fawcett,Julian Appleby,January 15. 2020,Search Livestream,Group,Live,Kimo Huddleston,Ylvisaker Cup,Coca-Cola vs La Indiana,Ronnie Hayes,2020,,International Polo Club,La Indiana,Chukka 6,,Facundo Obregon,,,Throw-in,La Indiana win throw-in,,,,,,,,,,,,,,
