Name,Position,Duration,Umpire 1,Umpire 2,Stage,Match Date,Game,Tournament,Chukka,Set Play,Third Umpire,Year,Club,Search Event,Camera Angle,Instant Replay Official,Throw-in Outcome,Player,Team,Chukka Length,Shot At Goal,Shot At Goal Outcome,Location,General Field Area,Goal,Foul,Foul Type,Assist Outcome,Assist,Foul Outcome,Umpire Trailing,Umpire Focal,Penalties,Penalty Outcome,Knock-in Player 2,Penalty Block,Highlight Reel,Collision
Foul (20),5800266,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 5,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Benjamin Avendano,Patagones,,,,65;174,Defending Half,,Foul,Dangerous Riding,,,Penalty 40 yards,78;174,16;148,,,,,,
Foul Received (19),5800266,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 5,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Alfonso Pieres,Pilot,,,,80;130,Attacking Half,,Foul Received,Dangerous Riding,,,Penalty 40 yards,,,,,,,,
Yellow Card (4),6013733,10000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 6,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Benjamin Avendano,Patagones,,,,,,,Yellow Card,Dangerous Riding,,,Penalty 40 yards,,,,,,,,
Chukka Length (5),6016800,904538,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 6,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,,Team,Chukka Length,,,,,,,,,,,,,,,,,,
Goal Pilot (8),6050733,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 6,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalito Pieres,Pilot,,,,,,Goal Pilot,,,,,,,,,,,,,
Penalty 40 yards (2),6068633,15000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 6,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,Penalty 40 yards,Goal,,,,
Throw-in (18),6101624,20000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 6,Throw-in,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,Patagones win throw-in,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,,
Foul (21),6137066,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 6,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalo de la Fuente,Pilot,,,,56;27,Attacking 30,,Foul,Right of Way,,,Penalty 5B,82;52,16;92,,,,,,
Foul Received (20),6137066,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 6,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,95;267,Defending 30,,Foul Received,Right of Way,,,Penalty 5B,,,,,,,,
Penalty 5b (4),6213200,30000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 6,Penalty 5b,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,,
Foul (22),6217633,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 6,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,69;75,Attacking 60,,Foul,Right of Way,,,Penalty 40 yards,106;52,74;86,,,,,,
Foul Received (21),6217633,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 6,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalito Pieres,Pilot,,,,69;221,Defending Half,,Foul Received,Right of Way,,,Penalty 40 yards,,,,,,,,
Goal Pilot (9),6273233,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 6,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalito Pieres,Pilot,,,,,,Goal Pilot,,,,,,,,,,,,,
Penalty 40 yards (3),6290299,15000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 6,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,Penalty 40 yards,Goal,,,,
Throw-in (19),6324700,20000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 6,Throw-in,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,Patagones win throw-in,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,,
Shot At Goal (15),6358800,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 6,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,Shot At Goal,Wide,99;18,Attacking 30,,,,,,,,,,,,,,
Knock In (10),6403613,40000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 6,Knock In,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,,,,,,
Free Hit (1),6426033,20000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 6,Free Hit,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,,
Knock In (11),6453550,40000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 6,Knock In,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,,,,,,
Shot At Goal (16),6457866,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 6,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalito Pieres,Pilot,,Shot At Goal,Wide,8;89,Attacking Half,,,,,,,,,,,,,,
Knock In (12),6509433,40000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 6,Knock In,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,,
Shot At Goal (17),6526766,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 6,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,Shot At Goal,Wide,78;22,Attacking 30,,,,,,,,,,,,,,
Knock In (13),6714933,40000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 6,Knock In,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,,,Alfonso Pieres,,,
Foul (23),6718266,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 6,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Alfonso Pieres,Pilot,,,,1;244,Defending 60,,Foul,Turning,,,Penalty 5,139;193,71;198,,,,,,
Foul Received (22),6718266,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 6,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Santiago Wulff,Patagones,,,,143;47,Attacking 60,,Foul Received,Turning,,,Penalty 5,,,,,,,,
Shot At Goal (18),6789833,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 6,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,Shot At Goal,Wide,91;111,Attacking Half,,,,,,,,,,,,,,
Penalty 5 (7),6811566,30000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 6,Penalty 5,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,,
Knock In (14),6836100,40000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 6,Knock In,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,,,,,,
Shot At Goal (19),6855733,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 6,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Joaquin Avendano,Patagones,,Shot At Goal,Goal,78;52,Attacking 60,,,,,,,,,,,,,,
Goal Patagones (9),6856900,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 6,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Joaquin Avendano,Patagones,,,,71;4,Attacking 30,Goal Patagones,,,,,,,,,,,,Goals,
Assist (7),6872400,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 6,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Santiago Wulff,Patagones,,,,,,,,,Successful,Santiago Wulff,,,,,,,,,
Throw-in (20),7302500,20000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 7,Throw-in,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,Pilot win throw-in,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,,,,,,
Chukka Length (6),7303200,236133,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 7,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,,Team,Chukka Length,,,,,,,,,,,,,,,,,,
Shot At Goal (20),7345500,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 7,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalito Pieres,Pilot,,Shot At Goal,Wide,110;31,Attacking 30,,,,,,,,,,,,,,
Non Call (3),7353600,20000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 7,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,,Team,,,,,,,Non Call,Right of Way,,,,,,,,,,,
Knock In (15),7393000,40000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 7,Knock In,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,,
Shot At Goal (21),7418366,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 7,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalito Pieres,Pilot,,Shot At Goal,Wide,94;58,Attacking 60,,,,,,,,,,,,,,
Free Hit (2),7421521,20000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 7,Free Hit,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,,,,,,
Shot At Goal (22),7468600,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 7,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Joaquin Avendano,Patagones,,Shot At Goal,Goal,130;49,Attacking 60,,,,,,,,,,,,,,
Knock In (16),7469785,40000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 7,Knock In,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Santiago Wulff,Patagones,,,,,,,,,,,,,,,,Tomas Garcia Del Rio,,,
Goal Patagones (10),7471866,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 7,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Joaquin Avendano,Patagones,,,,73;4,Attacking 30,Goal Patagones,,,,,,,,,,,,Goals,
