Name,Position,Duration,Tournament,Game,Umpire 2,Third Umpire,Stage,Umpire 1,Match Date,Instant Replay Official,Year,Team,Chukka,Chukka Length,Search Event,Camera Angle,Club,Set Play,Throw-in Outcome,Player,Shot At Goal,General Field Area,Location,Shot At Goal Outcome,Goal,Highlight Reel,Assist Outcome,Assist,Penalty Block,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Knock-in Player 2
Chukka Length (2),80914,232932,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Team,Chukka 1,Chukka Length,Search Livestream,Live,International Polo Club,,,,,,,,,,,,,,,,,,,,
Injury Time (1),313846,62796,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Team,Chukka 1,Injury Time,Search Livestream,Live,International Polo Club,,,,,,,,,,,,,,,,,,,,
Chukka Length (3),376809,282482,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Team,Chukka 1,Chukka Length,Search Livestream,Live,International Polo Club,,,,,,,,,,,,,,,,,,,,
Throw-in,817366,20000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Old Hickory Bourbon,Chukka 1,,Search Livestream,Live,International Polo Club,Throw-in,Old Hickory Bourbon win throw-in,Miguel Novillo Astrada,,,,,,,,,,,,,,,,,
Shot At Goal,835466,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Park Place,Chukka 1,,Search Livestream,Live,International Polo Club,,,Andrey Borodin,Shot At Goal,Attacking 30,85;35,Goal,,,,,,,,,,,,,
Goal Park Place,838633,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Park Place,Chukka 1,,Search Livestream,Live,International Polo Club,,,Andrey Borodin,,Attacking 30,73;7,,Goal Park Place,,,,,,,,,,,,
Throw-in (1),891800,20000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Park Place,Chukka 1,,Search Livestream,Live,International Polo Club,Throw-in,Park Place win throw-in,Alfredo Bigatti,,,,,,,,,,,,,,,,,
Shot At Goal (1),940266,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Old Hickory Bourbon,Chukka 1,,Search Livestream,Live,International Polo Club,,,Miguel Novillo Astrada,Shot At Goal,Attacking 60,15;62,Goal,,,,,,,,,,,,,
Goal Old Hickory Bourbon,945566,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Old Hickory Bourbon,Chukka 1,,Search Livestream,Live,International Polo Club,,,Miguel Novillo Astrada,,Attacking 30,69;4,,Goal Old Hickory Bourbon,Goals,,,,,,,,,,,
Shot At Goal (2),995500,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Old Hickory Bourbon,Chukka 1,,Search Livestream,Live,International Polo Club,,,Toro Ruiz,Shot At Goal,Attacking 30,66;27,Goal,,,,,,,,,,,,,
Goal Old Hickory Bourbon (1),997533,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Old Hickory Bourbon,Chukka 1,,Search Livestream,Live,International Polo Club,,,Toro Ruiz,,Attacking 30,70;6,,Goal Old Hickory Bourbon,Goals,,,,,,,,,,,
Throw-in (2),1009166,20000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Old Hickory Bourbon,Chukka 1,,Search Livestream,Live,International Polo Club,Throw-in,Old Hickory Bourbon win throw-in,Toro Ruiz,,,,,,,,,,,,,,,,,
Throw-in (3),1113166,20000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Park Place,Chukka 1,,Search Livestream,Live,International Polo Club,Throw-in,Park Place win throw-in,Alfredo Bigatti,,,,,,,,,,,,,,,,,
Shot At Goal (3),1116633,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Park Place,Chukka 1,,Search Livestream,Live,International Polo Club,,,Alfredo Bigatti,Shot At Goal,Attacking 30,80;38,Blocked,,,,,,,,,,,,,
Shot At Goal (4),1118966,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Park Place,Chukka 1,,Search Livestream,Live,International Polo Club,,,Andrey Borodin,Shot At Goal,Attacking 30,62;34,Wide,,,,,,,,,,,,,
Assist,1131500,25000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Park Place,Chukka 1,,Search Livestream,Live,International Polo Club,,,Joaouin Panelo,,,,,,,Unsuccessful,Joaouin Panelo,,,,,,,,,
Shot Block,1143433,10000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Old Hickory Bourbon,Chukka 1,,Search Livestream,Live,International Polo Club,,,Stephen Orthwein,,,,,,,,,Shot Block,,,,,,,,
Knock In,1163469,40000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Old Hickory Bourbon,Chukka 1,,Search Livestream,Live,International Polo Club,Knock In,,Stephen Orthwein,,,,,,,,,,,,,,,,,
Shot At Goal (5),1174733,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Park Place,Chukka 1,,Search Livestream,Live,International Polo Club,,,Alfredo Bigatti,Shot At Goal,Attacking 30,69;18,Goal,,,,,,,,,,,,,
Goal Park Place (1),1176066,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Park Place,Chukka 1,,Search Livestream,Live,International Polo Club,,,Alfredo Bigatti,,Attacking 30,71;1,,Goal Park Place,,,,,,,,,,,,
Throw-in (4),1231200,20000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Old Hickory Bourbon,Chukka 1,,Search Livestream,Live,International Polo Club,Throw-in,Old Hickory Bourbon win throw-in,Miguel Novillo Astrada,,,,,,,,,,,,,,,,,
Foul Received,1237266,25000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Old Hickory Bourbon,Chukka 1,,Search Livestream,Live,International Polo Club,,,Miguel Novillo Astrada,,Attacking Half,146;120,,,,,,,Foul Received,Reaching,Penalty 5,,,,,
Foul,1237266,25000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Park Place,Chukka 1,,Search Livestream,Live,International Polo Club,,,Alfredo Bigatti,,Defending Half,3;168,,,,,,,Foul,Reaching,Penalty 5,11;163,78;197,,,
Shot At Goal (6),1287600,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Old Hickory Bourbon,Chukka 1,,Search Livestream,Live,International Polo Club,,,Toro Ruiz,Shot At Goal,Attacking 30,86;21,Goal,,,,,,,,,,,,,
Goal Old Hickory Bourbon (2),1289066,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Old Hickory Bourbon,Chukka 1,,Search Livestream,Live,International Polo Club,,,Toro Ruiz,,Attacking 30,75;2,,Goal Old Hickory Bourbon,Goals,,,,,,,,,,,
Assist (1),1304066,25000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Old Hickory Bourbon,Chukka 1,,Search Livestream,Live,International Polo Club,,,Miguel Novillo Astrada,,,,,,,Successful,Miguel Novillo Astrada,,,,,,,,,
Penalty 5,1307766,30000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Old Hickory Bourbon,Chukka 1,,Search Livestream,Live,International Polo Club,Penalty 5,,Miguel Novillo Astrada,,,,,,,,,,,,,,,,,
Throw-in (5),1342766,20000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Park Place,Chukka 1,,Search Livestream,Live,International Polo Club,Throw-in,Park Place win throw-in,Alfredo Bigatti,,,,,,,,,,,,,,,,,
Shot At Goal (7),1345033,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Old Hickory Bourbon,Chukka 1,,Search Livestream,Live,International Polo Club,,,Toro Ruiz,Shot At Goal,Attacking 30,62;29,Blocked,,,,,,,,,,,,,
Shot Block (1),1372733,10000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Park Place,Chukka 1,,Search Livestream,Live,International Polo Club,,,Andrey Borodin,,,,,,,,,Shot Block,,,,,,,,
Foul (1),1379166,25000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Old Hickory Bourbon,Chukka 1,,Search Livestream,Live,International Polo Club,,,Miguel Novillo Astrada,,Attacking 30,73;29,,,,,,,Foul,Right of Way,Penalty 5B,80;121,135;65,,,
Foul Received (1),1379166,25000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Park Place,Chukka 1,,Search Livestream,Live,International Polo Club,,,Juan Britos,,Defending Half,73;233,,,,,,,Foul Received,Right of Way,Penalty 5B,,,,,
Shot At Goal,0,34066,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Old Hickory Bourbon,Chukka 2,,Search Livestream,Live,International Polo Club,,,Toro Ruiz,Shot At Goal,Attacking 30,64;29,Miss Hit,,,,,,,,,,,,,
Non Call,0,15733,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Team,Chukka 2,,Search Livestream,Live,International Polo Club,,,,,,,,,,,,,Non Call,Riding Into Shot,,,,,,
Penalty 5b (1),2707,30000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Park Place,Chukka 2,,Search Livestream,Live,International Polo Club,Penalty 5b,,Joaouin Panelo,,,,,,,,,,,,,,,,,
Shot At Goal (25),5268,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Park Place,Chukka 2,,Search Livestream,Live,International Polo Club,,,Juan Britos,Shot At Goal,Attacking 30,75;25,Miss Hit,,,,,,,,,,,,,
Chukka Length,7040,255989,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Team,Chukka 2,Chukka Length,Search Livestream,Live,International Polo Club,,,,,,,,,,,,,,,,,,,,
Assist (11),21536,25000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Park Place,Chukka 2,,Search Livestream,Live,International Polo Club,,,Alfredo Bigatti,,,,,,,Unsuccessful,Alfredo Bigatti,,,,,,,,,
Foul (9),40020,25000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Old Hickory Bourbon,Chukka 2,,Search Livestream,Live,International Polo Club,,,Will Johnston,,Attacking Half,132;107,,,,,,,Foul,Riding Into Shot,Penalty 5,45;107,120;133,,,
Foul Received (9),40888,25000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Park Place,Chukka 2,,Search Livestream,Live,International Polo Club,,,Alfredo Bigatti,,Defending Half,23;198,,,,,,,Foul Received,Riding Into Shot,Penalty 5,,,,,
Penalty 5 (4),81152,30000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Park Place,Chukka 2,,Search Livestream,Live,International Polo Club,Penalty 5,,Joaouin Panelo,,,,,,,,,,,,,,,,,
Shot At Goal (1),90600,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Old Hickory Bourbon,Chukka 2,,Search Livestream,Live,International Polo Club,,,Miguel Novillo Astrada,Shot At Goal,Attacking 60,3;65,Deflected,,,,,,,,,,,,,
Free Hit,115300,20000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Old Hickory Bourbon,Chukka 2,,Search Livestream,Live,International Polo Club,Free Hit,,Miguel Novillo Astrada,,,,,,,,,,,,,,,,,
Shot At Goal (26),129159,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Old Hickory Bourbon,Chukka 2,,Search Livestream,Live,International Polo Club,,,Will Johnston,Shot At Goal,Attacking 30,67;9,Goal,,,,,,,,,,,,,
Goal Old Hickory Bourbon (3),130727,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Old Hickory Bourbon,Chukka 2,,Search Livestream,Live,International Polo Club,,,Will Johnston,,Attacking 30,69;4,,Goal Old Hickory Bourbon,,,,,,,,,,,,
Assist (12),145727,25000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Old Hickory Bourbon,Chukka 2,,Search Livestream,Live,International Polo Club,,,Stephen Orthwein,,,,,,,Successful,Stephen Orthwein,,,,,,,,,
Safety 60,165966,15000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Old Hickory Bourbon,Chukka 2,,Search Livestream,Live,International Polo Club,,,Toro Ruiz,,,,,,,,,,,,,,,Safety 60,Wide,
Knock In,187833,40000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Park Place,Chukka 2,,Search Livestream,Live,International Polo Club,Knock In,,Joaouin Panelo,,,,,,,,,,,,,,,,,Juan Britos
Throw-in (10),194599,20000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Park Place,Chukka 2,,Search Livestream,Live,International Polo Club,Throw-in,Park Place win throw-in,Juan Britos,,,,,,,,,,,,,,,,,
Shot At Goal (2),230366,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Park Place,Chukka 2,,Search Livestream,Live,International Polo Club,,,Alfredo Bigatti,Shot At Goal,Attacking 60,78;57,Goal,,,,,,,,,,,,,
Goal Park Place,233400,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Park Place,Chukka 2,,Search Livestream,Live,International Polo Club,,,Alfredo Bigatti,,Attacking 30,78;4,,Goal Park Place,,,,,,,,,,,,
Injury Time,263029,73106,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Team,Chukka 2,Injury Time,Search Livestream,Live,International Polo Club,,,,,,,,,,,,,,,,,,,,
Foul Received,289400,25000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Old Hickory Bourbon,Chukka 2,,Search Livestream,Live,International Polo Club,,,Will Johnston,,Defending Half,47;158,,,,,,,Foul Received,Blocking,Penalty 5,,,,,
Foul,289400,25000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Park Place,Chukka 2,,Search Livestream,Live,International Polo Club,,,Juan Britos,,Attacking Half,101;147,,,,,,,Foul,Blocking,Penalty 5,73;135,136;147,,,
Throw-in,292033,20000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Park Place,Chukka 2,,Search Livestream,Live,International Polo Club,Throw-in,Park Place win throw-in,Juan Britos,,,,,,,,,,,,,,,,,
Chukka Length (1),336135,294119,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Team,Chukka 2,Chukka Length,Search Livestream,Live,International Polo Club,,,,,,,,,,,,,,,,,,,,
Penalty 5,339600,30000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Old Hickory Bourbon,Chukka 2,,Search Livestream,Live,International Polo Club,Penalty 5,,Stephen Orthwein,,,,,,,,,,,,,,,,,
Shot At Goal (3),342133,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Park Place,Chukka 2,,Search Livestream,Live,International Polo Club,,,Alfredo Bigatti,Shot At Goal,Attacking 30,78;26,Blocked,,,,,,,,,,,,,
Shot At Goal (4),350633,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Park Place,Chukka 2,,Search Livestream,Live,International Polo Club,,,Juan Britos,Shot At Goal,Attacking 60,51;42,Wide,,,,,,,,,,,,,
Assist,359466,25000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Park Place,Chukka 2,,Search Livestream,Live,International Polo Club,,,Joaouin Panelo,,,,,,,Unsuccessful,Joaouin Panelo,,,,,,,,,
Shot Block,367133,10000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Old Hickory Bourbon,Chukka 2,,Search Livestream,Live,International Polo Club,,,Stephen Orthwein,,,,,,,,,Shot Block,,,,,,,,
Knock In (1),645733,40000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Old Hickory Bourbon,Chukka 3,,Search Livestream,Live,International Polo Club,Knock In,,Miguel Novillo Astrada,,,,,,,,,,,,,,,,,
Chukka Length (4),648775,323824,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Team,Chukka 3,Chukka Length,Search Livestream,Live,International Polo Club,,,,,,,,,,,,,,,,,,,,
Non Call (1),665233,20000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Team,Chukka 3,,Search Livestream,Live,International Polo Club,,,,,,,,,,,,,Non Call,Right of Way,,,,,,
Shot At Goal (5),684000,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Park Place,Chukka 3,,Search Livestream,Live,International Polo Club,,,Juan Britos,Shot At Goal,Attacking 60,94;45,Miss Hit,,,,,,,,,,,,,
Shot At Goal (6),688100,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Park Place,Chukka 3,,Search Livestream,Live,International Polo Club,,,Joaouin Panelo,Shot At Goal,Attacking 30,89;31,Wide,,,,,,,,,,,,,
Assist (1),699000,25000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Park Place,Chukka 3,,Search Livestream,Live,International Polo Club,,,Alfredo Bigatti,,,,,,,Unsuccessful,Alfredo Bigatti,,,,,,,,,
Knock In (2),830866,40000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Old Hickory Bourbon,Chukka 3,,Search Livestream,Live,International Polo Club,Knock In,,Miguel Novillo Astrada,,,,,,,,,,,,,,,,,Stephen Orthwein
Shot At Goal (7),841333,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Old Hickory Bourbon,Chukka 3,,Search Livestream,Live,International Polo Club,,,Miguel Novillo Astrada,Shot At Goal,Attacking 30,42;20,Wide,,,,,,,,,,,,,
Non Call (2),852600,20000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Team,Chukka 3,,Search Livestream,Live,International Polo Club,,,,,,,,,,,,,Non Call,Right of Way,,,,,,
Knock In (3),892000,40000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Park Place,Chukka 3,,Search Livestream,Live,International Polo Club,Knock In,,Joaouin Panelo,,,,,,,,,,,,,,,,,Juan Britos
Injury Time (2),972600,125200,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Team,Chukka 3,Injury Time,Search Livestream,Live,International Polo Club,,,,,,,,,,,,,,,,,,,,
Safety 60 (1),1091633,15000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Park Place,Chukka 3,,Search Livestream,Live,International Polo Club,,,Juan Britos,,,,,,,,,,,,,,,Safety 60,Wide,
Chukka Length (5),1097800,226461,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Team,Chukka 3,Chukka Length,Search Livestream,Live,International Polo Club,,,,,,,,,,,,,,,,,,,,
Knock In (4),1116966,40000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Old Hickory Bourbon,Chukka 3,,Search Livestream,Live,International Polo Club,Knock In,,Miguel Novillo Astrada,,,,,,,,,,,,,,,,,
Shot At Goal (8),1164100,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Park Place,Chukka 3,,Search Livestream,Live,International Polo Club,,,Juan Britos,Shot At Goal,Attacking Half,60;98,Wide,,,,,,,,,,,,,
Assist (2),1179100,25000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Park Place,Chukka 3,,Search Livestream,Live,International Polo Club,,,Alfredo Bigatti,,,,,,,Unsuccessful,Alfredo Bigatti,,,,,,,,,
Shot At Goal (9),1210466,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Old Hickory Bourbon,Chukka 3,,Search Livestream,Live,International Polo Club,,,Toro Ruiz,Shot At Goal,Attacking 60,17;62,Goal,,,,,,,,,,,,,
Goal Old Hickory Bourbon,1213700,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Old Hickory Bourbon,Chukka 3,,Search Livestream,Live,International Polo Club,,,Toro Ruiz,,Attacking 30,72;4,,Goal Old Hickory Bourbon,Goals,,,,,,,,,,,
