Name,Position,Duration,Game,Camera Angle,Search Event,Club,Instant Replay Official,Chukka,Tournament,Umpire 1,Third Umpire,Umpire 2,Year,Stage,Match Date,Shot At Goal,Location,General Field Area,Team,Player,Shot At Goal Outcome,Set Play,Throw-in Outcome,Chukka Length,Assist Outcome,Assist,Knock-in Player 2,Goal,Highlight Reel,Penalty Block,Foul,Foul Type,Foul Outcome,Umpire Trailing,Umpire Focal,Penalties,Penalty Outcome
Shot At Goal (35),4107233,35000,Old Hickory Bourbon vs Pilot,Live,Search Livestream,International Polo Club,Martin,Chukka 6,USPA Gold Cup,George Olivas,Ronnie Hayes,Horton Schwartz,2020,Group,March 10. 2020,Shot At Goal,82;16,Attacking 30,Old Hickory Bourbon,Will Johnston,Goal,,,,,,,,,,,,,,,,
Goal Old Hickory Bourbon (7),4108400,35000,Old Hickory Bourbon vs Pilot,Live,Search Livestream,International Polo Club,Martin,Chukka 6,USPA Gold Cup,George Olivas,Ronnie Hayes,Horton Schwartz,2020,Group,March 10. 2020,,82;2,Attacking 30,Old Hickory Bourbon,Will Johnston,,,,,,,,Goal Old Hickory Bourbon,,,,,,,,,
Assist (23),4126766,25000,Old Hickory Bourbon vs Pilot,Live,Search Livestream,International Polo Club,Martin,Chukka 6,USPA Gold Cup,George Olivas,Ronnie Hayes,Horton Schwartz,2020,Group,March 10. 2020,,,,Old Hickory Bourbon,Miguel Novillo Astrada,,,,,Successful,Miguel Novillo Astrada,,,,,,,,,,,
Throw-in (18),4160500,20000,Old Hickory Bourbon vs Pilot,Live,Search Livestream,International Polo Club,Martin,Chukka 6,USPA Gold Cup,George Olivas,Ronnie Hayes,Horton Schwartz,2020,Group,March 10. 2020,,,,Pilot,Curtis Pilot,,Throw-in,Pilot win throw-in,,,,,,,,,,,,,,
Shot At Goal (37),4161866,35000,Old Hickory Bourbon vs Pilot,Live,Search Livestream,International Polo Club,Martin,Chukka 6,USPA Gold Cup,George Olivas,Ronnie Hayes,Horton Schwartz,2020,Group,March 10. 2020,Shot At Goal,89;21,Attacking 30,Pilot,Lucas Escobar,Miss Hit,,,,,,,,,,,,,,,,
Assist (24),4176866,25000,Old Hickory Bourbon vs Pilot,Live,Search Livestream,International Polo Club,Martin,Chukka 6,USPA Gold Cup,George Olivas,Ronnie Hayes,Horton Schwartz,2020,Group,March 10. 2020,,,,Pilot,Facundo Pieres,,,,,Unsuccessful,Facundo Pieres,,,,,,,,,,,
Shot At Goal (38),4178300,35000,Old Hickory Bourbon vs Pilot,Live,Search Livestream,International Polo Club,Martin,Chukka 6,USPA Gold Cup,George Olivas,Ronnie Hayes,Horton Schwartz,2020,Group,March 10. 2020,Shot At Goal,55;21,Attacking 30,Pilot,Lucas Escobar,Short,,,,,,,,,,,,,,,,
Shot At Goal (39),4197666,35000,Old Hickory Bourbon vs Pilot,Live,Search Livestream,International Polo Club,Martin,Chukka 6,USPA Gold Cup,George Olivas,Ronnie Hayes,Horton Schwartz,2020,Group,March 10. 2020,Shot At Goal,101;45,Attacking 60,Pilot,Gonzalito Pieres,Wide,,,,,,,,,,,,,,,,
Knock In (16),4239569,40000,Old Hickory Bourbon vs Pilot,Live,Search Livestream,International Polo Club,Martin,Chukka 6,USPA Gold Cup,George Olivas,Ronnie Hayes,Horton Schwartz,2020,Group,March 10. 2020,,,,Old Hickory Bourbon,Miguel Novillo Astrada,,Knock In,,,,,,,,,,,,,,,
Shot At Goal (40),4255600,35000,Old Hickory Bourbon vs Pilot,Live,Search Livestream,International Polo Club,Martin,Chukka 6,USPA Gold Cup,George Olivas,Ronnie Hayes,Horton Schwartz,2020,Group,March 10. 2020,Shot At Goal,82;13,Attacking 30,Pilot,Lucas Escobar,Goal,,,,,,,,,,,,,,,,
Goal Pilot (9),4256500,35000,Old Hickory Bourbon vs Pilot,Live,Search Livestream,International Polo Club,Martin,Chukka 6,USPA Gold Cup,George Olivas,Ronnie Hayes,Horton Schwartz,2020,Group,March 10. 2020,,,,Pilot,Lucas Escobar,,,,,,,,Goal Pilot,,,,,,,,,
Assist (25),4271500,25000,Old Hickory Bourbon vs Pilot,Live,Search Livestream,International Polo Club,Martin,Chukka 6,USPA Gold Cup,George Olivas,Ronnie Hayes,Horton Schwartz,2020,Group,March 10. 2020,,,,Pilot,Gonzalito Pieres,,,,,Successful,Gonzalito Pieres,,,,,,,,,,,
Throw-in (19),4312866,20000,Old Hickory Bourbon vs Pilot,Live,Search Livestream,International Polo Club,Martin,Chukka 6,USPA Gold Cup,George Olivas,Ronnie Hayes,Horton Schwartz,2020,Group,March 10. 2020,,,,Pilot,Lucas Escobar,,Throw-in,Pilot win throw-in,,,,,,,,,,,,,,
Shot At Goal (41),4328733,35000,Old Hickory Bourbon vs Pilot,Live,Search Livestream,International Polo Club,Martin,Chukka 6,USPA Gold Cup,George Olivas,Ronnie Hayes,Horton Schwartz,2020,Group,March 10. 2020,Shot At Goal,58;49,Attacking 60,Old Hickory Bourbon,Will Johnston,Wide,,,,,,,,,,,,,,,,
Assist (26),4343733,25000,Old Hickory Bourbon vs Pilot,Live,Search Livestream,International Polo Club,Martin,Chukka 6,USPA Gold Cup,George Olivas,Ronnie Hayes,Horton Schwartz,2020,Group,March 10. 2020,,,,Old Hickory Bourbon,Miguel Novillo Astrada,,,,,Unsuccessful,Miguel Novillo Astrada,,,,,,,,,,,
Shot At Goal (42),4370133,35000,Old Hickory Bourbon vs Pilot,Live,Search Livestream,International Polo Club,Martin,Chukka 6,USPA Gold Cup,George Olivas,Ronnie Hayes,Horton Schwartz,2020,Group,March 10. 2020,Shot At Goal,98;70,Attacking 60,Old Hickory Bourbon,Toro Ruiz,Wide,,,,,,,,,,,,,,,,
Knock In (17),4371733,40000,Old Hickory Bourbon vs Pilot,Live,Search Livestream,International Polo Club,Martin,Chukka 6,USPA Gold Cup,George Olivas,Ronnie Hayes,Horton Schwartz,2020,Group,March 10. 2020,,,,Pilot,Facundo Pieres,,Knock In,,,,,,,,,,,,,,,
Non Call (3),4386866,20000,Old Hickory Bourbon vs Pilot,Live,Search Livestream,International Polo Club,Martin,Chukka 6,USPA Gold Cup,George Olivas,Ronnie Hayes,Horton Schwartz,2020,Group,March 10. 2020,,,,Team,,,,,,,,,,,,Non Call,Riding Into Shot,,,,,
Assist (27),4387066,25000,Old Hickory Bourbon vs Pilot,Live,Search Livestream,International Polo Club,Martin,Chukka 6,USPA Gold Cup,George Olivas,Ronnie Hayes,Horton Schwartz,2020,Group,March 10. 2020,,,,Old Hickory Bourbon,Will Johnston,,,,,Unsuccessful,Will Johnston,,,,,,,,,,,
