Name,Position,Duration,Camera Angle,Umpire 2,Instant Replay Official,Search Event,Club,Stage,Game,Tournament,Match Date,Umpire 1,Third Umpire,Year,Team,Chukka Length,Chukka,Set Play,Throw-in Outcome,Player,Shot At Goal,Shot At Goal Outcome,General Field Area,Location,Assist Outcome,Assist,Knock-in Player 2,Foul,Foul Type,Foul Outcome,Umpire Trailing,Umpire Focal,Penalty Block,Goal,Penalties,Penalty Outcome,Highlight Reel
Game Length,300366,5484400,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Team,Game Length,,,,,,,,,,,,,,,,,,,,,
Throw-in,300366,20000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 1,Throw-in,Park Place win throw-in,Juan Britos,,,,,,,,,,,,,,,,,
Chukka Length,300766,667400,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Team,Chukka Length,Chukka 1,,,,,,,,,,,,,,,,,,,,
Shot At Goal,394133,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 1,,,Alfredo Bigatti,Shot At Goal,Miss Hit,Attacking 60,85;47,,,,,,,,,,,,,
Shot At Goal (1),401033,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 1,,,Joaquin Panelo,Shot At Goal,Wide,Attacking 30,94;15,,,,,,,,,,,,,
Assist,419862,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 1,,,Alfredo Bigatti,,,,,Unsuccessful,Alfredo Bigatti,,,,,,,,,,,
Knock In,442700,40000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 1,Knock In,,Ignacio Toccalino,,,,,,,Sapo Caset,,,,,,,,,,
Foul,473300,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 1,,,Joaquin Panelo,,,Defending Half,26;192,,,,Foul,Right of Way,Penalty 5,121;185,50;193,,,,,
Foul Received,473300,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 1,,,Matias Gonzalez,,,Attacking Half,121;115,,,,Foul Received,Right of Way,Penalty 5,,,,,,,
Penalty 5,520433,30000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 1,Penalty 5,,Sapo Caset,,,,,,,,,,,,,,,,,
Non Call,538166,20000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Team,,Chukka 1,,,,,,,,,,,Non Call,Right of Way,,,,,,,,
Foul (1),557166,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 1,,,Juan Britos,,,Defending Half,73;179,,,,Foul,Right of Way,Penalty 5,21;117,119;158,,,,,
Foul Received (1),557166,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 1,,,Ignacio Toccalino,,,Attacking Half,74;115,,,,Foul Received,Right of Way,Penalty 5,,,,,,,
Penalty 5 (1),591466,30000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 1,Penalty 5,,Sapo Caset,,,,,,,,,,,,,,,,,
Shot At Goal (2),608066,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 1,,,Alfredo Bigatti,Shot At Goal,Wide,Attacking 60,125;59,,,,,,,,,,,,,
Knock In (1),655466,40000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 1,Knock In,,Ignacio Toccalino,,,,,,,Sapo Caset,,,,,,,,,,
Foul (2),732566,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 1,,,Sapo Caset,,,Attacking 60,74;39,,,,Foul,Right of Way,Penalty 5B,15;74,89;80,,,,,
Foul Received (2),732566,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 1,,,Joaquin Panelo,,,Defending 60,74;254,,,,Foul Received,Right of Way,Penalty 5B,,,,,,,
Penalty 5b,797833,30000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 1,Penalty 5b,,Joaquin Panelo,,,,,,,,,,,,,,,,,
Foul (3),803433,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 1,,,Andrey Borodin,,,Attacking 60,75;52,,,,Foul,Right of Way,Penalty 5,53;68,72;106,,,,,
Foul Received (3),803433,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 1,,,Sapo Caset,,,Defending 60,71;245,,,,Foul Received,Right of Way,Penalty 5,,,,,,,
Penalty 5 (2),845566,30000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 1,Penalty 5,,Sapo Caset,,,,69;159,,,,,,,,,,,,,
Foul (4),848500,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 1,,,Matias Gonzalez,,,Defending Half,75;157,,,,Foul,Right of Way,Penalty 5,103;207,16;163,,,,,
Foul Received (4),848500,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 1,,,Alfredo Bigatti,,,Attacking Half,65;135,,,,Foul Received,Right of Way,Penalty 5,,,,,,,
Penalty 5 (3),903666,30000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 1,Penalty 5,,Juan Britos,,,,,,,,,,,,,,,,,
Shot At Goal (3),924666,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 1,,,Ignacio Toccalino,Shot At Goal,Blocked,Attacking 60,101;43,,,,,,,,,,,,,
Foul (5),946000,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 1,,,Matias Gonzalez,,,Attacking 30,94;15,,,,Foul,Crossing,Penalty 5,121;58,19;67,,,,,
Foul Received (5),946000,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 1,,,Alfredo Bigatti,,,Defending 30,43;284,,,,Foul Received,Crossing,Penalty 5,,,,,,,
Shot Block,949866,10000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 1,,,Alfredo Bigatti,,,,,,,,,,,,,Shot Block,,,,
Chukka Length (1),1152333,674100,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Team,Chukka Length,Chukka 2,,,,,,,,,,,,,,,,,,,,
Penalty 5 (4),1153233,30000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 2,Penalty 5,,Joaquin Panelo,,,,,,,,,,,,,,,,,
Foul (6),1228666,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 2,,,Juan Britos,,,Attacking Half,125;108,,,,Foul,Right of Way,Penalty 5,131;163,46;153,,,,,
Foul Received (6),1228666,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 2,,,Ignacio Toccalino,,,Defending Half,19;186,,,,Foul Received,Right of Way,Penalty 5,,,,,,,
Penalty 5 (5),1279150,30000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 2,Penalty 5,,Sapo Caset,,,,,,,,,,,,,,,,,
Non Call (1),1329833,20000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Team,,Chukka 2,,,,,,,,,,,Non Call,Right of Way,,,,,,,,
Shot At Goal (4),1347866,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 2,,,Sapo Caset,Shot At Goal,Goal,Attacking 30,75;16,,,,,,,,,,,,,
Goal Tonkawa,1348633,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 2,,,Sapo Caset,,,Attacking 30,75;7,,,,,,,,,,Goal Tonkawa,,,
Assist (1),1364233,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 2,,,Ignacio Toccalino,,,,,Successful,Ignacio Toccalino,,,,,,,,,,,
Throw-in (1),1409500,20000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 2,Throw-in,Park Place win throw-in,Alfredo Bigatti,,,,,,,,,,,,,,,,,
Foul (7),1433433,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 2,,,Alfredo Bigatti,,,Attacking Half,33;120,,,,Foul,Right of Way,Penalty 60 yards,126;159,33;111,,,,,
Foul Received (7),1433433,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 2,,,Sapo Caset,,,Defending Half,121;179,,,,Foul Received,Right of Way,Penalty 60 yards,,,,,,,
Goal Tonkawa (1),1492733,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 2,,,Sapo Caset,,,Attacking 30,76;6,,,,,,,,,,Goal Tonkawa,,,
Penalty 60 yards,1510724,15000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 2,,,Sapo Caset,,,,,,,,,,,,,,,Penalty 60 yards,Goal,
Shot At Goal (5),1533766,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Team,,Chukka 2,,,,Shot At Goal,Wide,Attacking 60,56;49,,,,,,,,,,,,,
Throw-in (2),1541766,20000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 2,Throw-in,Park Place win throw-in,Juan Britos,,,,,,,,,,,,,,,,,
Assist (2),1549333,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 2,,,Juan Britos,,,,,Unsuccessful,Juan Britos,,,,,,,,,,,
Knock In (2),1577900,40000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 2,Knock In,,Sapo Caset,,,,,,,Ignacio Toccalino,,,,,,,,,,
Foul (8),1598000,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 2,,,Sapo Caset,,,Defending Half,114;174,,,,Foul,Riding Into Shot,Penalty 5,105;167,14;172,,,,,
Foul Received (8),1598000,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 2,,,Juan Britos,,,Attacking Half,25;122,,,,Foul Received,Riding Into Shot,Penalty 5,,,,,,,
Penalty 5 (6),1643150,30000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 2,Penalty 5,,Joaquin Panelo,,,,,,,,,,,,,,,,,
Foul (9),1646800,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 2,,,Jeff Hildebrand,,,Defending 60,110;251,,,,Foul,Right of Way,Penalty 40 yards,132;229,76;201,,,,,
Foul Received (9),1646800,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 2,,,Alfredo Bigatti,,,Attacking 60,28;47,,,,Foul Received,Right of Way,Penalty 40 yards,,,,,,,
Goal Park Place,1704366,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 2,,,Juan Britos,,,Attacking 30,71;7,,,,,,,,,,Goal Park Place,,,
Penalty 40 yards,1723406,15000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 2,,,Juan Britos,,,,,,,,,,,,,,,Penalty 40 yards,Goal,
Shot At Goal (6),1752600,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 3,,,Ignacio Toccalino,Shot At Goal,Wide,Attacking 60,121;52,,,,,,,,,,,,,
Throw-in (3),1754766,20000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 2,Throw-in,Tonkawa win throw-in,Sapo Caset,,,,,,,,,,,,,,,,,
Chukka Length (2),2056233,810800,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Team,Chukka Length,Chukka 3,,,,,,,,,,,,,,,,,,,,
Knock In (3),2056251,40000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 3,Knock In,,Joaquin Panelo,,,,,,,Alfredo Bigatti,,,,,,,,,,
Shot At Goal (7),2108533,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 3,,,Juan Britos,Shot At Goal,Goal,Attacking 60,35;54,,,,,,,,,,,,,
Goal Park Place (1),2114700,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 3,,,Juan Britos,,,Attacking 30,80;6,,,,,,,,,,Goal Park Place,,,
Throw-in (4),2173700,20000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 3,Throw-in,Park Place win throw-in,Alfredo Bigatti,,,,,,,,,,,,,,,,,
Foul (10),2203933,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 3,,,Jeff Hildebrand,,,Attacking Half,55;97,,,,Foul,Dangerous Riding,Penalty 5,120;157,26;122,,,,,
Foul Received (10),2203933,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 3,,,Alfredo Bigatti,,,Defending Half,85;213,,,,Foul Received,Dangerous Riding,Penalty 5,,,,,,,
Shot At Goal (8),2229333,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 3,,,Alfredo Bigatti,Shot At Goal,Short,Attacking 60,135;52,,,,,,,,,,,,,
Penalty 5 (7),2242933,30000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 3,Penalty 5,,Joaquin Panelo,,,,,,,,,,,,,,,,,
Foul (11),2318500,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 3,,,Alfredo Bigatti,,,Defending Half,132;189,,,,Foul,Right of Way,Reversed Call,67;188,147;193,,,,,
Foul Received (11),2318500,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 3,,,Sapo Caset,,,Attacking Half,19;97,,,,Foul Received,Right of Way,Reversed Call,,,,,,,
Shot At Goal (9),2559233,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 3,,,Sapo Caset,Shot At Goal,Goal,Attacking 30,51;12,,,,,,,,,,,,,
Goal Tonkawa (2),2561100,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 3,,,Sapo Caset,,,Attacking 30,79;4,,,,,,,,,,Goal Tonkawa,,,Goals
Throw-in (5),2576100,20000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 3,Throw-in,Tonkawa win throw-in,Sapo Caset,,,,,,,,,,,,,,,,,
Throw-in (6),2618000,20000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 3,Throw-in,Tonkawa win throw-in,Ignacio Toccalino,,,,,,,,,,,,,,,,,
Shot At Goal (10),2619166,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 3,,,Sapo Caset,Shot At Goal,Miss Hit,Attacking 30,95;25,,,,,,,,,,,,,
Foul (12),2636300,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 3,,,Alfredo Bigatti,,,Defending 30,55;274,,,,Foul,Dangerous Riding,Penalty 30 yards,94;215,10;213,,,,,
Foul Received (12),2636300,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 3,,,Sapo Caset,,,Attacking 30,96;25,,,,Foul Received,Dangerous Riding,Penalty 30 yards,,,,,,,
Penalty 30 yards,2702613,15000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 3,,,Sapo Caset,,,,,,,,,,,,,,,Penalty 30 yards,Wide,
Knock In (4),2721966,40000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 3,Knock In,,Joaquin Panelo,,,,,,,Juan Britos,,,,,,,,,,
