Name,Position,Duration,Camera Angle,Umpire 2,Instant Replay Official,Search Event,Club,Stage,Game,Tournament,Match Date,Umpire 1,Third Umpire,Year,Team,Chukka Length,Chukka,Set Play,Throw-in Outcome,Player,Shot At Goal,Shot At Goal Outcome,General Field Area,Location,Assist Outcome,Assist,Knock-in Player 2,Foul,Foul Type,Foul Outcome,Umpire Trailing,Umpire Focal,Penalty Block,Goal,Penalties,Penalty Outcome,Highlight Reel
Shot At Goal (14),3880833,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 4,,,Joaquin Panelo,Shot At Goal,Goal,Attacking 30,71;22,,,,,,,,,,,,,
Goal Park Place (3),3882333,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 4,,,Joaquin Panelo,,,Attacking 30,79;6,,,,,,,,,,Goal Park Place,,,Goals
Throw-in (8),3947133,20000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 4,Throw-in,Park Place win throw-in,Joaquin Panelo,,,,,,,,,,,,,,,,,
Foul (15),3981466,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 4,,,Alfredo Bigatti,,,Defending 60,143;238,,,,Foul,Right of Way,Penalty 5,147;242,14;197,,,,,
Foul Received (15),3981466,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 4,,,Matias Gonzalez,,,Attacking 60,5;59,,,,Foul Received,Right of Way,Penalty 5,,,,,,,
Chukka Length (4),4289866,662213,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Team,Chukka Length,Chukka 5,,,,,,,,,,,,,,,,,,,,
Penalty 5 (10),4291066,30000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 5,Penalty 5,,Sapo Caset,,,,,,,,,,,,,,,,,
Foul (16),4325800,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 5,,,Alfredo Bigatti,,,Attacking Half,80;122,,,,Foul,Right of Way,Penalty 5,123;158,18;159,,,,,
Foul Received (16),4325800,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 5,,,Sapo Caset,,,Defending Half,57;176,,,,Foul Received,Right of Way,Penalty 5,,,,,,,
Penalty 5 (11),4375400,30000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 5,Penalty 5,,Sapo Caset,,,,,,,,,,,,,,,,,
