Name,Position,Duration,Chukka,Team,Player,Foul,Foul Outcome,Foul Type,General Field Area,Location,Umpire Focal,Umpire Trailing,Goal,Throw-in Outcome,Set Play,Highlight Reel,Assist,Assist Outcome,Camera Angle,Club,Collision,Country,Game,Instant Replay Official,Knock-in Player 2,Match Date,Penalties,Penalty Block,Penalty Outcome,Search Event,Shot At Goal,Shot At Goal Outcome,Stage,Third Umpire,Tournament,Tournament Handicap,Umpire 1,Umpire 2,Year
Foul Received (12),4492333,25000,Chukka 4,Palm Beach Equine,Gringo Colombres,Foul Received,Reversed Call,Blocking,Defending Half,104;176,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Throw-in (10),4496866,20000,Chukka 4,Aspen,Keko Magrini,,,,,,,,,Aspen win throw-in,Throw-in,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Throw-in (11),4563602,20000,Chukka 4,Palm Beach Equine,Robbie Bilbao,,,,,,,,,Palm Beach Equine win throw-in,Throw-in,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Foul (15),4605066,25000,Chukka 4,Aspen,Lucas James,Foul,Penalty 30 yards,1 Meeting 2,Defending 30,119;281,128;271,91;256,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Foul Received (13),4605066,25000,Chukka 4,Palm Beach Equine,Gringo Colombres,Foul Received,Penalty 30 yards,1 Meeting 2,Defending 30,120;283,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Goal Palm Beach Equine (4),4644966,35000,Chukka 4,Palm Beach Equine,Costi Caset,,,,Attacking 30,76;2,,,Goal Palm Beach Equine,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Penalty 30 yards (2),4662766,15000,Chukka 4,Palm Beach Equine,Costi Caset,,,,,,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,Penalty 30 yards,,Goal,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Throw-in (12),4704266,20000,Chukka 4,Palm Beach Equine,Gringo Colombres,,,,,,,,,Palm Beach Equine win throw-in,Throw-in,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Shot At Goal (11),4727333,35000,Chukka 4,Palm Beach Equine,Gringo Colombres,,,,Attacking 60,87;48,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,Shot At Goal,Miss Hit,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Non Call (5),4731466,20000,Chukka 4,Team,,Non Call,,Right of Way,,,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Assist (5),4739667,25000,Chukka 4,Palm Beach Equine,Costi Caset,,,,,,,,,,,,Costi Caset,Unsuccessful,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Shot At Goal (12),4766366,35000,Chukka 4,Aspen,Keko Magrini,,,,Attacking 60,106;58,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,Shot At Goal,Goal,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Goal Aspen (4),4768566,35000,Chukka 4,Aspen,Keko Magrini,,,,Attacking 30,76;2,,,Goal Aspen,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Non Call (6),4778466,20000,Chukka 4,Team,,Non Call,,Right of Way,,,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Shot At Goal (13),4813406,35000,Chukka 4,Aspen,Keko Magrini,,,,,,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,Shot At Goal,Goal,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Goal Aspen (5),4814166,35000,Chukka 4,Aspen,Keko Magrini,,,,Attacking 30,73;2,,,Goal Aspen,,,Goals,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Throw-in (13),4824506,20000,Chukka 4,Aspen,Keko Magrini,,,,,,,,,Aspen win throw-in,Throw-in,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Throw-in (14),4874866,20000,Chukka 4,Aspen,Keko Magrini,,,,,,,,,Aspen win throw-in,Throw-in,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Shot At Goal (14),4881833,35000,Chukka 4,Aspen,Stewart Armstrong,,,,Attacking 60,43;43,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,Shot At Goal,Blocked,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Non Call (7),4899366,20000,Chukka 4,Team,,Non Call,,Right of Way,,,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Shot Block (3),4907900,10000,Chukka 4,Palm Beach Equine,Scott Swerdlin,,,,,,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,Shot Block,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Foul (16),4912033,25000,Chukka 4,Aspen,Lucas James,Foul,Penalty 5B,Right of Way,Attacking Half,25;79,32;20,75;62,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Foul Received (14),4912033,25000,Chukka 4,Palm Beach Equine,Costi Caset,Foul Received,Penalty 5B,Right of Way,Defending Half,121;215,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Penalty 5b (3),5036912,30000,Chukka 4,Palm Beach Equine,Gringo Colombres,,,,,,,,,,Penalty 5b,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Foul (17),5092200,25000,Chukka 4,Aspen,Lucas James,Foul,Penalty 60 yards,Right of Way,Attacking Half,30;130,116;101,49;92,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Foul Received (15),5092200,25000,Chukka 4,Palm Beach Equine,Costi Caset,Foul Received,Penalty 60 yards,Right of Way,Defending Half,116;163,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Penalty 60 yards (3),5320333,15000,Chukka 5,Palm Beach Equine,Gringo Colombres,,,,,,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,Penalty 60 yards,,Blocked,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Penalty Block (1),5327533,10000,Chukka 5,Aspen,Keko Magrini,,,,,,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,Penalty Block,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Safety 60,5371600,15000,Chukka 5,Palm Beach Equine,Gringo Colombres,,,,,,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,Safety 60,,Wide,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Knock In (6),5391833,40000,Chukka 5,Aspen,Lucas James,,,,,,,,,,Knock In,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Shot At Goal (15),5394133,35000,Chukka 5,Palm Beach Equine,Costi Caset,,,,Attacking 30,76;22,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,Shot At Goal,Goal,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Goal Palm Beach Equine (5),5396633,35000,Chukka 5,Palm Beach Equine,Costi Caset,,,,Attacking 30,76;3,,,Goal Palm Beach Equine,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Throw-in (15),5450237,20000,Chukka 5,Palm Beach Equine,Gringo Colombres,,,,,,,,,Palm Beach Equine win throw-in,Throw-in,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Shot At Goal (16),5478266,35000,Chukka 5,Palm Beach Equine,Robbie Bilbao,,,,Attacking Half,102;94,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,Shot At Goal,Wide,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Assist (6),5494966,25000,Chukka 5,Palm Beach Equine,Costi Caset,,,,,,,,,,,,Costi Caset,Unsuccessful,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Shot At Goal (17),5527500,35000,Chukka 5,Palm Beach Equine,Costi Caset,,,,Attacking 30,71;22,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,Shot At Goal,Goal,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Knock In (7),5528933,40000,Chukka 5,Aspen,Stewart Armstrong,,,,,,,,,,Knock In,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Goal Palm Beach Equine (6),5530700,35000,Chukka 5,Palm Beach Equine,Costi Caset,,,,Attacking 30,74;3,,,Goal Palm Beach Equine,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Throw-in (16),5655233,20000,Chukka 5,Aspen,Keko Magrini,,,,,,,,,Aspen win throw-in,Throw-in,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Shot At Goal (18),5690300,35000,Chukka 5,Aspen,Ignacio Arlbervide,,,,Attacking 60,111;40,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,Shot At Goal,Miss Hit,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Foul (18),5735833,25000,Chukka 5,Palm Beach Equine,Costi Caset,Foul,Penalty 1,Dangerous Riding,Defending 30,69;277,107;252,52;227,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Foul Received (16),5735833,25000,Chukka 5,Aspen,Lucas James,Foul Received,Penalty 1,Dangerous Riding,Attacking 30,72;16,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Collision (1),5743800,15000,Chukka 5,Palm Beach Equine,Costi Caset,,,,,,,,,,,,,,Live,International Polo Club Palm Beach,Collision,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Goal Aspen (6),5886600,35000,Chukka 5,Aspen,Lucas James,,,,Attacking 30,77;3,,,Goal Aspen,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Yellow Card,5906566,10000,Chukka 5,Palm Beach Equine,Costi Caset,Yellow Card,Penalty 60 yards,Dangerous Riding,,,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Penalty 1,5911366,10000,Chukka 5,Aspen,Lucas James,,,,,,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,Penalty 1,,Goal,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Shot At Goal (19),5986000,35000,Chukka 5,Aspen,Ignacio Arlbervide,,,,Attacking 30,84;25,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,Shot At Goal,Miss Hit,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Shot At Goal (20),5990100,35000,Chukka 5,Aspen,Stewart Armstrong,,,,Attacking 30,105;11,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,Shot At Goal,Wide,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Penalty 60 yards (4),5998833,15000,Chukka 5,Aspen,Keko Magrini,,,,,,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,Penalty 60 yards,,Blocked,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Penalty Block (2),6009166,10000,Chukka 5,Palm Beach Equine,Gringo Colombres,,,,,,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,Penalty Block,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Knock In (8),6036465,40000,Chukka 5,Palm Beach Equine,Gringo Colombres,,,,,,,,,,Knock In,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Shot At Goal (21),6048466,35000,Chukka 5,Aspen,Ignacio Arlbervide,,,,Attacking 30,85;16,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,Shot At Goal,Goal,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Goal Aspen (7),6050166,35000,Chukka 5,Aspen,Ignacio Arlbervide,,,,Attacking 30,73;2,,,Goal Aspen,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Assist (7),6065166,25000,Chukka 5,Aspen,Keko Magrini,,,,,,,,,,,,Keko Magrini,Successful,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Throw-in (17),6104066,20000,Chukka 5,Aspen,Keko Magrini,,,,,,,,,Aspen win throw-in,Throw-in,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Foul (19),6113166,25000,Chukka 5,Aspen,Keko Magrini,Foul,Penalty 60 yards,Turning,Defending Half,107;185,110;170,51;142,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Foul Received (17),6113166,25000,Chukka 5,Palm Beach Equine,Gringo Colombres,Foul Received,Penalty 60 yards,Turning,Attacking Half,44;102,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Goal Palm Beach Equine (7),6186833,35000,Chukka 5,Palm Beach Equine,Gringo Colombres,,,,Attacking 30,78;2,,,Goal Palm Beach Equine,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Penalty 60 yards (5),6203066,15000,Chukka 5,Palm Beach Equine,Gringo Colombres,,,,,,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,Penalty 60 yards,,Goal,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Throw-in (18),6442600,20000,Chukka 6,Palm Beach Equine,Gringo Colombres,,,,,,,,,Palm Beach Equine win throw-in,Throw-in,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Foul (20),6447700,25000,Chukka 6,Palm Beach Equine,Robbie Bilbao,Foul,Penalty 40 yards,Right of Way,Defending Half,101;201,87;170,114;190,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Foul Received (18),6447700,25000,Chukka 6,Aspen,Ignacio Arlbervide,Foul Received,Penalty 40 yards,Right of Way,Attacking Half,51;102,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Penalty 40 yards (2),6511533,15000,Chukka 6,Aspen,Lucas James,,,,,,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,Penalty 40 yards,,Wide,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Knock In (9),6530091,40000,Chukka 6,Palm Beach Equine,Gringo Colombres,,,,,,,,,,Knock In,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,Robbie Bilbao,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Shot At Goal (22),6535166,35000,Chukka 6,Palm Beach Equine,Robbie Bilbao,,,,Attacking 60,38;65,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,Shot At Goal,Miss Hit,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Foul (21),6560500,25000,Chukka 6,Palm Beach Equine,Costi Caset,Foul,Penalty 5B,Cross/High Hook,Attacking 60,23;63,143;90,74;57,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Foul Received (19),6560500,25000,Chukka 6,Aspen,Ignacio Arlbervide,Foul Received,Penalty 5B,Cross/High Hook,Defending 60,123;229,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Penalty 5b (4),6623766,30000,Chukka 6,Aspen,Lucas James,,,,,,,,,,Penalty 5b,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Foul (22),6633000,25000,Chukka 6,Palm Beach Equine,Costi Caset,Foul,Penalty 60 yards,Right of Way,Defending Half,48;206,47;209,111;252,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Foul Received (20),6633000,25000,Chukka 6,Aspen,Ignacio Arlbervide,Foul Received,Penalty 60 yards,Right of Way,Attacking Half,101;92,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Goal Aspen (8),6688200,35000,Chukka 6,Aspen,Lucas James,,,,Attacking 30,74;1,,,Goal Aspen,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Penalty 60 yards (6),6705333,15000,Chukka 6,Aspen,Lucas James,,,,,,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,Penalty 60 yards,,Goal,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Throw-in (19),6737893,20000,Chukka 6,Palm Beach Equine,Robbie Bilbao,,,,,,,,,Palm Beach Equine win throw-in,Throw-in,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Foul (23),6750533,25000,Chukka 6,Aspen,Ignacio Arlbervide,Foul,Penalty 40 yards,Cross/High Hook,Defending 60,123;229,141;215,92;175,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Foul Received (21),6750533,25000,Chukka 6,Palm Beach Equine,Gringo Colombres,Foul Received,Penalty 40 yards,Cross/High Hook,Attacking 60,21;67,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Penalty 40 yards (3),6803433,15000,Chukka 6,Palm Beach Equine,Costi Caset,,,,,,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,Penalty 40 yards,,Wide,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Shot At Goal (23),6820933,35000,Chukka 6,Palm Beach Equine,Gringo Colombres,,,,Attacking 30,81;24,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,Shot At Goal,Blocked,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Knock In (10),6824233,40000,Chukka 6,Aspen,Lucas James,,,,,,,,,,Knock In,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
