Name,Position,Duration,Chukka,Team,Player,Game,Set Play,Stage,Tournament,Umpire 2,Search Event,Match Date,Camera Angle,Club,Throw-in Outcome,Umpire 1,Third Umpire,Instant Replay Official,Year,Shot At Goal,Shot At Goal Outcome,General Field Area,Location,Knock-in Player 2,Foul,Foul Outcome,Foul Type,Penalties,Penalty Outcome,Goal,Assist,Assist Outcome,Penalty Block,Collision,Chukka Length,Highlight Reel,Umpire Focal,Umpire Trailing
Throw-in (14),3667200,20000,Chukka 4,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,Cessna vs Dutta Corp,Throw-in,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,Cessna win throw-in,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,,
Foul (8),3711166,25000,Chukka 4,Cessna,Nicolas ‘Nico’ Saenz,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,Attacking Half,25;102,,Foul,Penalty 5B,Right of Way,,,,,,,,,,11;86,65;122
Foul Received (8),3711166,25000,Chukka 4,Dutta Corp,Mariano Obregon,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,Defending Half,130;202,,Foul Received,Penalty 5B,Right of Way,,,,,,,,,,,
Shot At Goal (22),3767300,35000,Chukka 4,Dutta Corp,Lucas Diaz Alberdi,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,Shot At Goal,Goal,Attacking 30,95;26,,,,,,,,,,,,,,,
Goal Dutta Corp (10),3770233,35000,Chukka 4,Dutta Corp,Lucas Diaz Alberdi,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,Attacking 30,72;4,,,,,,,Goal Dutta Corp,,,,,,,,
Penalty 5b (1),3779900,30000,Chukka 4,Dutta Corp,Facundo Obregon,Cessna vs Dutta Corp,Penalty 5b,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,,
Throw-in (15),3976266,20000,Chukka 5,Dutta Corp,Facundo Obregon,Cessna vs Dutta Corp,Throw-in,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,Dutta Corp win throw-in,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,,
Chukka Length (5),3979700,698537,Chukka 5,Team,,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,,,Chukka Length,,,
Foul (9),3994733,25000,Chukka 5,Cessna,Felipe Marquez,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,Attacking Half,101;83,,Foul,Penalty 5,Right of Way,,,,,,,,,,77;99,124;66
Foul Received (9),3994733,25000,Chukka 5,Dutta Corp,Timmy Dutta,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,Defending Half,51;217,,Foul Received,Penalty 5,Right of Way,,,,,,,,,,,
Penalty 5 (4),4026600,30000,Chukka 5,Dutta Corp,Facundo Obregon,Cessna vs Dutta Corp,Penalty 5,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,,
Foul (10),4047333,25000,Chukka 5,Dutta Corp,Timmy Dutta,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,Attacking Half,82;95,,Foul,Reversed Call,Riding Into Shot,,,,,,,,,,37;109,117;77
Foul Received (10),4047333,25000,Chukka 5,Cessna,Felipe Marquez,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,Defending Half,59;215,,Foul Received,Reversed Call,Riding Into Shot,,,,,,,,,,,
Shot At Goal (23),4181466,35000,Chukka 5,Dutta Corp,Mariano Obregon,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,Shot At Goal,Blocked,Attacking 30,133;22,,,,,,,,,,,,,,,
Throw-in (16),4181833,20000,Chukka 5,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,Cessna vs Dutta Corp,Throw-in,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,Cessna win throw-in,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,,
Shot At Goal (24),4190033,35000,Chukka 5,Dutta Corp,Mariano Obregon,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,Shot At Goal,Wide,Attacking 30,37;11,,,,,,,,,,,,,,,
Assist (7),4206633,25000,Chukka 5,Dutta Corp,Timmy Dutta,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,Timmy Dutta,Unsuccessful,,,,,,
Shot Block (1),4208166,10000,Chukka 5,Cessna,Nicolas ‘Nico’ Saenz,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,Shot Block,,,,,
Non Call (2),4231233,20000,Chukka 5,Team,,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,Non Call,,Right of Way,,,,,,,,,,,
Knock In (8),4232000,40000,Chukka 5,Cessna,Nicolas ‘Nico’ Saenz,Cessna vs Dutta Corp,Knock In,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,,
Foul Received (11),4239966,25000,Chukka 5,Cessna,Nicolas ‘Nico’ Saenz,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,Defending 60,82;270,,Foul Received,Penalty 5B,Dangerous Riding,,,,,,,,,,,
Foul (11),4239966,25000,Chukka 5,Dutta Corp,Lucas Diaz Alberdi,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,Attacking 30,66;30,,Foul,Penalty 5B,Dangerous Riding,,,,,,,,,,40;53,127;83
Shot At Goal (25),4294200,35000,Chukka 5,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,Shot At Goal,Goal,Attacking 30,82;22,,,,,,,,,,,,,,,
Goal Cessna (2),4296133,35000,Chukka 5,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,Attacking 30,74;4,,,,,,,Goal Cessna,,,,,,,,
Penalty 5b (2),4297766,30000,Chukka 5,Cessna,Nicolas ‘Nico’ Saenz,Cessna vs Dutta Corp,Penalty 5b,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,,
Throw-in (17),4348200,20000,Chukka 5,Cessna,Felipe Marquez,Cessna vs Dutta Corp,Throw-in,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,Cessna win throw-in,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,,
Shot At Goal (26),4399366,35000,Chukka 5,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,Shot At Goal,Short,Attacking 60,53;58,,,,,,,,,,,,,,,
Shot At Goal (27),4437433,35000,Chukka 5,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,Shot At Goal,Blocked,Attacking 60,82;70,,,,,,,,,,,,,,,
Shot Block (2),4467433,10000,Chukka 5,Dutta Corp,Facundo Obregon,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,Shot Block,,,,,
Shot At Goal (28),4479633,35000,Chukka 5,Cessna,Chip Campbell,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,Shot At Goal,Goal,Attacking 30,88;20,,,,,,,,,,,,,,,
Goal Cessna (3),4481866,35000,Chukka 5,Cessna,Chip Campbell,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,Attacking 30,70;1,,,,,,,Goal Cessna,,,,,,,,
Assist (8),4496866,25000,Chukka 5,Cessna,Felipe Marquez,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,Felipe Marquez,Successful,,,,,,
Throw-in (18),4541633,20000,Chukka 5,Dutta Corp,Facundo Obregon,Cessna vs Dutta Corp,Throw-in,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,Dutta Corp win throw-in,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,,
Foul Received (12),4561233,25000,Chukka 5,Cessna,Felipe Marquez,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,Defending 30,9;275,,Foul Received,Penalty 5B,Riding Into Shot,,,,,,,,,,,
Foul (12),4561233,25000,Chukka 5,Dutta Corp,Facundo Obregon,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,Attacking 30,139;29,,Foul,Penalty 5B,Riding Into Shot,,,,,,,,,,148;24,105;59
Shot At Goal (29),4594300,35000,Chukka 5,Cessna,Felipe Marquez,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,Shot At Goal,Wide,Attacking 30,110;29,,,,,,,,,,,,,,,
Penalty 5b (3),4609666,30000,Chukka 5,Cessna,Felipe Marquez,Cessna vs Dutta Corp,Penalty 5b,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,,
Foul (13),4637700,25000,Chukka 5,Cessna,Felipe Marquez,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,Attacking 30,91;34,,Foul,Penalty 5B,Improper Procedure,,,,,,,,,,112;18,45;47
Foul Received (13),4637700,25000,Chukka 5,Dutta Corp,Mariano Obregon,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,Defending 60,91;268,,Foul Received,Penalty 5B,Improper Procedure,,,,,,,,,,,
Knock In (9),4638034,40000,Chukka 5,Dutta Corp,Facundo Obregon,Cessna vs Dutta Corp,Knock In,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,,
Penalty 5b (4),4862933,30000,Chukka 6,Dutta Corp,Facundo Obregon,Cessna vs Dutta Corp,Penalty 5b,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,,
Chukka Length (6),4867800,710566,Chukka 6,Team,,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,,,Chukka Length,,,
Shot At Goal (30),4905891,35000,Chukka 6,Cessna,Nicolas ‘Nico’ Saenz,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,Shot At Goal,Miss Hit,Attacking 60,45;66,,,,,,,,,,,,,,,
Foul (14),4935133,25000,Chukka 6,Dutta Corp,Facundo Obregon,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,Defending 30,85;275,,Foul,Penalty 30 yards,Riding Into Shot,,,,,,,,,,110;248,25;257
Foul Received (14),4935133,25000,Chukka 6,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,Attacking 30,62;22,,Foul Received,Penalty 30 yards,Riding Into Shot,,,,,,,,,,,
Penalty 30 yards Spot,4975100,10000,Chukka 6,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,Penalty 30 yards Spot,Wide,,,,,,,,,
Knock In (10),4994600,40000,Chukka 6,Dutta Corp,Facundo Obregon,Cessna vs Dutta Corp,Knock In,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,,
Shot At Goal (31),4997533,35000,Chukka 6,Cessna,Nicolas ‘Nico’ Saenz,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,Shot At Goal,Blocked,Attacking 60,77;67,,,,,,,,,,,,,,,
Shot At Goal (32),5019666,35000,Chukka 6,Cessna,Felipe Marquez,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,Shot At Goal,Miss Hit,Attacking 30,96;35,,,,,,,,,,,,,,,
Shot Block (3),5029966,10000,Chukka 6,Dutta Corp,Facundo Obregon,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,Shot Block,,,,,
Shot At Goal (33),5047466,35000,Chukka 6,Dutta Corp,Facundo Obregon,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,Shot At Goal,Wide,Attacking 30,55;34,,,,,,,,,,,,,,,
Knock In (11),5092500,40000,Chukka 6,Cessna,Nicolas ‘Nico’ Saenz,Cessna vs Dutta Corp,Knock In,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,Ezequiel ‘Gallego’ Martinez Ferrario,,,,,,,,,,,,,,
Foul (15),5119066,25000,Chukka 6,Dutta Corp,Mariano Obregon,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,Attacking 60,76;74,,Foul,Penalty 5,Right of Way,,,,,,,,,,,
Foul Received (15),5119066,25000,Chukka 6,Cessna,Felipe Marquez,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,Defending Half,65;220,,Foul Received,Penalty 5,Right of Way,,,,,,,,,,,
Penalty 5 (5),5334400,30000,Chukka 6,Cessna,Nicolas ‘Nico’ Saenz,Cessna vs Dutta Corp,Penalty 5,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,,
Shot At Goal (34),5376533,35000,Chukka 6,Cessna,Felipe Marquez,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,Shot At Goal,Goal,Attacking 30,80;8,,,,,,,,,,,,,,,
Goal Cessna (4),5378566,35000,Chukka 6,Cessna,Felipe Marquez,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,Attacking 30,76;4,,,,,,,Goal Cessna,,,,,,,,
Shot At Goal (35),5424466,35000,Chukka 6,Dutta Corp,Facundo Obregon,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,Shot At Goal,Blocked,Attacking 30,74;12,,,,,,,,,,,,,,,
Throw-in (19),5435591,20000,Chukka 6,Dutta Corp,Facundo Obregon,Cessna vs Dutta Corp,Throw-in,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,Dutta Corp win throw-in,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,,
Shot At Goal (36),5442433,35000,Chukka 6,Dutta Corp,Lucas Diaz Alberdi,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,Shot At Goal,Wide,Attacking 60,101;61,,,,,,,,,,,,,,,
Shot Block (4),5449466,10000,Chukka 6,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,Shot Block,,,,,
Knock In (12),5485424,40000,Chukka 6,Cessna,Nicolas ‘Nico’ Saenz,Cessna vs Dutta Corp,Knock In,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,Felipe Marquez,,,,,,,,,,,,,,
Non Call (3),5496833,20000,Chukka 6,Team,,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,Non Call,,Shading,,,,,,,,,,,
Shot At Goal (37),5507733,35000,Chukka 6,Cessna,Felipe Marquez,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,Shot At Goal,Blocked,Attacking 60,78;45,,,,,,,,,,,,,,,
Shot At Goal (38),5535166,35000,Chukka 6,Dutta Corp,Timmy Dutta,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,Shot At Goal,Wide,Attacking 30,103;34,,,,,,,,,,,,,,,
Shot Block (5),5536566,10000,Chukka 6,Dutta Corp,Lucas Diaz Alberdi,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,Shot Block,,,,,
Assist (9),5550166,25000,Chukka 6,Dutta Corp,Lucas Diaz Alberdi,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,Lucas Diaz Alberdi,Unsuccessful,,,,,,
