Name,Position,Duration,Camera Angle,Chukka,Club,Game,Instant Replay Official,Match Date,Player,Search Event,Set Play,Stage,Team,Third Umpire,Throw-in Outcome,Tournament,Umpire 1,Umpire 2,Year,General Field Area,Location,Shot At Goal,Shot At Goal Outcome,Goal,Assist,Assist Outcome,Penalties,Penalty Outcome,Foul,Foul Outcome,Foul Type,Knock-in Player 2,Penalty Block,Highlight Reel
Shot At Goal (28),1892987,35000,Live,Chukka 5,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Alfredo Bigatti,Search Livestream,,Group,Park Place,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,Attacking 30,83;22,Shot At Goal,Goal,,,,,,,,,,,
Goal Park Place (11),1893755,35000,Live,Chukka 5,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Alfredo Bigatti,Search Livestream,,Group,Park Place,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,Attacking 30,75;9,,,Goal Park Place,,,,,,,,,,Goals
Throw-in (25),1926863,20000,Live,Chukka 5,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Steve Krueger,Search Livestream,Throw-in,Group,Coca-Cola,Unknown,Coca-Cola win throw-in,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,
Foul (12),1986498,25000,Live,Chukka 5,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Alfredo Bigatti,Search Livestream,,Group,Park Place,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,Defending Half,30;193,,,,,,,,Foul,Penalty 30 yards,Right of Way,,,
Foul Received (12),1986498,25000,Live,Chukka 5,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Julian de Lusarreta,Search Livestream,,Group,Coca-Cola,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,Attacking Half,122;94,,,,,,,,Foul Received,Penalty 30 yards,Right of Way,,,
Goal Coca-Cola (10),1997625,35000,Live,Chukka 6,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Nico Pieres,Search Livestream,,Group,Coca-Cola,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,Attacking 30,76;9,,,Goal Coca-Cola,,,,,,,,,,
Penalty 30 yards (4),2015523,15000,Live,Chukka 6,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Nico Pieres,Search Livestream,,Group,Coca-Cola,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,Penalty 30 yards,Goal,,,,,,
Throw-in (26),2029465,20000,Live,Chukka 6,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Alfredo Bigatti,Search Livestream,Throw-in,Group,Park Place,Unknown,Park Place win throw-in,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,
Goal Coca-Cola (11),2033361,35000,Live,Chukka 6,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Nico Pieres,Search Livestream,,Group,Coca-Cola,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,Attacking 30,79;8,,,Goal Coca-Cola,,,,,,,,,,
Foul (13),2033745,25000,Live,Chukka 6,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Alejandro Muzzio,Search Livestream,,Group,Park Place,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,Defending Half,5;177,,,,,,,,Foul,Penalty 60 yards,Right of Way,,,
Foul Received (13),2033745,25000,Live,Chukka 6,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Nico Pieres,Search Livestream,,Group,Coca-Cola,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,Attacking Half,143;125,,,,,,,,Foul Received,Penalty 60 yards,Right of Way,,,
Penalty 60 yards (3),2051292,15000,Live,Chukka 6,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Nico Pieres,Search Livestream,,Group,Coca-Cola,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,Penalty 60 yards,Goal,,,,,,
Throw-in (27),2066502,20000,Live,Chukka 6,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Alejandro Muzzio,Search Livestream,Throw-in,Group,Park Place,Unknown,Park Place win throw-in,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,
Foul (14),2152164,25000,Live,Chukka 6,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Julian de Lusarreta,Search Livestream,,Group,Coca-Cola,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,Defending Half,55;186,,,,,,,,Foul,Penalty 60 yards,Riding Into Shot,,,
Foul Received (14),2152164,25000,Live,Chukka 6,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Alejandro Muzzio,Search Livestream,,Group,Park Place,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,Attacking Half,95;127,,,,,,,,Foul Received,Penalty 60 yards,Riding Into Shot,,,
Penalty 60 yards (4),2169911,15000,Live,Chukka 6,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Felipe Viana,Search Livestream,,Group,Park Place,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,Penalty 60 yards,Wide,,,,,,
Knock In (10),2183618,40000,Live,Chukka 6,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Julian de Lusarreta,Search Livestream,Knock In,Group,Coca-Cola,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,Steve Krueger,,
Non Call (5),2207017,20000,Live,Chukka 6,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,,Search Livestream,,Group,Team,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,Non Call,,Right of Way,,,
Shot At Goal (29),2211839,35000,Live,Chukka 6,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Steve Krueger,Search Livestream,,Group,Coca-Cola,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,Attacking 60,87;52,Shot At Goal,Wide,,,,,,,,,,,
Assist (11),2227473,25000,Live,Chukka 6,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Gillian Johnston,Search Livestream,,Group,Coca-Cola,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,Gillian Johnston,Unsuccessful,,,,,,,,
Knock In (11),2245714,40000,Live,Chukka 6,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Felipe Viana,Search Livestream,Knock In,Group,Park Place,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,
Foul (15),2303882,25000,Live,Chukka 6,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Gillian Johnston,Search Livestream,,Group,Coca-Cola,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,Attacking 30,127;24,,,,,,,,Foul,Penalty 5,Right of Way,,,
Foul Received (15),2303882,25000,Live,Chukka 6,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Alfredo Bigatti,Search Livestream,,Group,Park Place,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,Defending 30,18;266,,,,,,,,Foul Received,Penalty 5,Right of Way,,,
Penalty 5 (4),2318754,30000,Live,Chukka 6,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Felipe Viana,Search Livestream,Penalty 5,Group,Park Place,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,
Shot At Goal (30),2359720,35000,Live,Chukka 6,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Nico Pieres,Search Livestream,,Group,Coca-Cola,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,Attacking 30,66;20,Shot At Goal,Goal,,,,,,,,,,,
Goal Coca-Cola (12),2361255,35000,Live,Chukka 6,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Nico Pieres,Search Livestream,,Group,Coca-Cola,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,Attacking 30,79;8,,,Goal Coca-Cola,,,,,,,,,,Goals
Assist (12),2376555,25000,Live,Chukka 6,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Julian de Lusarreta,Search Livestream,,Group,Coca-Cola,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,Julian de Lusarreta,Successful,,,,,,,,
Shot At Goal (31),2389984,35000,Live,Chukka 6,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Julian de Lusarreta,Search Livestream,,Group,Coca-Cola,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,Attacking 30,62;20,Shot At Goal,Goal,,,,,,,,,,,
Goal Coca-Cola (13),2391852,35000,Live,Chukka 6,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Julian de Lusarreta,Search Livestream,,Group,Coca-Cola,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,Attacking 30,80;9,,,Goal Coca-Cola,,,,,,,,,,Goals
Throw-in (28),2394997,20000,Live,Chukka 6,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Nico Pieres,Search Livestream,Throw-in,Group,Coca-Cola,Unknown,Coca-Cola win throw-in,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,
Assist (13),2407787,25000,Live,Chukka 6,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Nico Pieres,Search Livestream,,Group,Coca-Cola,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,Nico Pieres,Successful,,,,,,,,
