Name,Position,Duration,Match Date,Tournament,Game,Stage,Search Event,Umpire 1,Umpire 2,Club,Chukka Length,Year,Chukka,Instant Replay Official,Third Umpire,Camera Angle,Team,Set Play,Throw-in Outcome,Player,Shot At Goal,General Field Area,Location,Shot At Goal Outcome,Goal,Assist Outcome,Assist,Foul,Foul Type,Foul Outcome,Umpire Trailing,Umpire Focal,Knock-in Player 2,Highlight Reel,Penalties,Penalty Outcome,Penalty Block
Goal Daily Racing Form (6),4437166,35000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 5,Unknown,Unknown,Live,Daily Racing Form,,,Costi Caset,,Attacking 30,80;6,,Goal Daily Racing Form,,,,,,,,,Goals,,,
Throw-in (13),4510630,20000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 5,Unknown,Unknown,Live,Daily Racing Form,Throw-in,Daily Racing Form win throw-in,Costi Caset,,,,,,,,,,,,,,,,,
Shot At Goal (27),4795900,35000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Santa Clara,,,Nachi Du Plessis,Shot At Goal,Attacking 30,67;26,Goal,,,,,,,,,,,,,
Goal Santa Clara (7),4797033,35000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Santa Clara,,,Nachi Du Plessis,,Attacking 30,73;4,,Goal Santa Clara,,,,,,,,,,,,
Chukka Length (5),4809966,1435200,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,Chukka Length,2020,Chukka 6,Unknown,Unknown,Live,Team,,,,,,,,,,,,,,,,,,,,
Throw-in (14),4809966,20000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Santa Clara,Throw-in,Santa Clara win throw-in,Nachi Du Plessis,,,,,,,,,,,,,,,,,
Throw-in (15),4850966,20000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Santa Clara,Throw-in,Santa Clara win throw-in,Luis Escobar,,,,,,,,,,,,,,,,,
Foul (8),4881666,25000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Santa Clara,,,Nachi Du Plessis,,Defending 60,94;271,,,,,Foul,Right of Way,Penalty 30 yards,56;199,138;198,,,,,
Foul Received (8),4881666,25000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Daily Racing Form,,,Costi Caset,,Attacking 30,53;25,,,,,Foul Received,Right of Way,Penalty 30 yards,,,,,,,
Goal Daily Racing Form (7),4906833,35000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Daily Racing Form,,,Jared Zenni,,Attacking 30,76;4,,Goal Daily Racing Form,,,,,,,,,,,,
Penalty 30 yards Spot,4929700,10000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Daily Racing Form,,,Jared Zenni,,,,,,,,,,,,,,,Penalty 30 yards Spot,Goal,
Throw-in (16),4959000,20000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Daily Racing Form,Throw-in,Daily Racing Form win throw-in,Costi Caset,,,,,,,,,,,,,,,,,
Foul (9),4992100,25000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Daily Racing Form,,,Jared Zenni,,Attacking 60,123;53,,,,,Foul,Right of Way,Penalty 5B,79;84,12;40,,,,,
Foul Received (9),4992100,25000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Santa Clara,,,Luis Escobar,,Defending 60,25;240,,,,,Foul Received,Right of Way,Penalty 5B,,,,,,,
Penalty 5b (1),5047500,30000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Santa Clara,Penalty 5b,,Matias Magrini,,,,,,,,,,,,,,,,,
Foul (10),5058433,25000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Santa Clara,,,Henry Porter,,Attacking 30,57;27,,,,,Foul,Right of Way,Penalty 5,89;83,32;113,,,,,
Foul Received (10),5058433,25000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Daily Racing Form,,,Agustin Obregon,,Defending 60,95;272,,,,,Foul Received,Right of Way,Penalty 5,,,,,,,
Penalty 5 (3),5096533,30000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Daily Racing Form,Penalty 5,,Tommy Collingwood,,,145;193,,,,,,,,,,,,,,
Foul (11),5104366,25000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Daily Racing Form,,,Costi Caset,,Defending Half,145;203,,,,,Foul,1 Meeting 2,Penalty 60 yards,138;201,83;243,,,,,
Foul Received (11),5104366,25000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Santa Clara,,,Nachi Du Plessis,,Attacking Half,5;97,,,,,Foul Received,1 Meeting 2,Penalty 60 yards,,,,,,,
Penalty 60 yards (2),5179390,15000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Santa Clara,,,Nachi Du Plessis,,,,,,,,,,,,,,,Penalty 60 yards,Wide,
Knock In (14),5196966,40000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Daily Racing Form,Knock In,,Jared Zenni,,,,,,,,,,,,,Agustin Obregon,,,,
Foul (12),5263800,25000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Santa Clara,,,Henry Porter,,Attacking 60,66;59,,,,,Foul,Cross/High Hook,Penalty 5,123;107,58;118,,,,,
Foul Received (12),5263800,25000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Daily Racing Form,,,Jared Zenni,,Defending 60,73;242,,,,,Foul Received,Cross/High Hook,Penalty 5,,,,,,,
Penalty 5 (4),5458466,30000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Daily Racing Form,Penalty 5,,Jared Zenni,,,,,,,,,,,,,,,,,
Foul (13),5478933,25000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Santa Clara,,,Luis Escobar,,Defending Half,71;185,,,,,Foul,Dangerous Riding,Penalty 5,26;174,129;198,,,,,
Foul Received (13),5478933,25000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Daily Racing Form,,,Agustin Obregon,,Attacking Half,73;101,,,,,Foul Received,Dangerous Riding,Penalty 5,,,,,,,
Penalty 5 (5),5570866,30000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Daily Racing Form,Penalty 5,,Jared Zenni,,,,,,,,,,,,,,,,,
Foul (14),5576600,25000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Daily Racing Form,,,Tommy Collingwood,,Attacking Half,78;86,,,,,Foul,Right of Way,Penalty 5B,132;93,69;121,,,,,
Foul Received (14),5576600,25000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Santa Clara,,,Matias Magrini,,Defending Half,67;216,,,,,Foul Received,Right of Way,Penalty 5B,,,,,,,
Penalty 5b (2),5627366,30000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Santa Clara,Penalty 5b,,Matias Magrini,,,,,,,,,,,,,,,,,
Foul (15),5635466,25000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Daily Racing Form,,,Agustin Obregon,,Defending 30,53;281,,,,,Foul,Meeting the Ball,Penalty 1,35;218,82;185,,,,,
Foul Received (15),5635466,25000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Santa Clara,,,Matias Magrini,,Attacking 30,91;25,,,,,Foul Received,Meeting the Ball,Penalty 1,,,,,,,
Goal Santa Clara (8),5648166,35000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Santa Clara,,,Matias Magrini,,Attacking 30,79;4,,Goal Santa Clara,,,,,,,,,,,,
Penalty 1,5673166,10000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Santa Clara,,,Matias Magrini,,,,,,,,,,,,,,,Penalty 1,Goal,
Penalty 5b (3),5717400,30000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Santa Clara,Penalty 5b,,Nachi Du Plessis,,,,,,,,,,,,,,,,,
Non Call (6),5737166,20000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Team,,,,,,,,,,,Non Call,Dangerous Riding,,,,,,,,
Foul (16),5751300,25000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Santa Clara,,,Luis Escobar,,Defending 30,61;275,,,,,Foul,Dangerous Riding,Penalty 30 yards,126;208,17;239,,,,,
Foul Received (16),5751300,25000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Daily Racing Form,,,Jared Zenni,,Attacking 30,87;26,,,,,Foul Received,Dangerous Riding,Penalty 30 yards,,,,,,,
Yellow Card,5887333,10000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Daily Racing Form,,,Jared Zenni,,,,,,,,Yellow Card,Technical,,,,,,,,
Yellow Card (1),5896966,10000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Santa Clara,,,Luis Escobar,,,,,,,,Yellow Card,Dangerous Riding,,,,,,,,
Goal Daily Racing Form (8),5935300,35000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Daily Racing Form,,,Jared Zenni,,Attacking 30,75;7,,Goal Daily Racing Form,,,,,,,,,,,,
Penalty 30 yards (1),5953300,15000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Daily Racing Form,,,Jared Zenni,,,,,,,,,,,,,,,Penalty 30 yards,Goal,
Throw-in (17),5984233,20000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Santa Clara,Throw-in,Santa Clara win throw-in,Luis Escobar,,,44;215,,,,,,,,,,,,,,
Foul (17),6008766,25000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Santa Clara,,,Nachi Du Plessis,,Defending Half,39;199,,,,,Foul,Dangerous Riding,Penalty 40 yards,16;174,126;198,,,,,
Foul Received (17),6008766,25000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Daily Racing Form,,,Jared Zenni,,Attacking Half,107;106,,,,,Foul Received,Dangerous Riding,Penalty 40 yards,,,,,,,
Goal Daily Racing Form (9),6179233,35000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Daily Racing Form,,,Jared Zenni,,Attacking 30,72;4,,Goal Daily Racing Form,,,,,,,,,,,,
Penalty 40 yards (1),6195800,15000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 6,Unknown,Unknown,Live,Daily Racing Form,,,Jared Zenni,,,,,,,,,,,,,,,Penalty 40 yards,Goal,
