Name,Position,Duration,Umpire 2,Stage,Club,Third Umpire,Tournament,Country,Umpire 1,Instant Replay Official,Search Event,Match Date,Game,Camera Angle,Tournament Handicap,Set Play,Chukka,Year,Throw-in Outcome,Player,Team,Shot At Goal,Location,General Field Area,Shot At Goal Outcome,Goal,Highlight Reel,Assist Outcome,Assist,Foul,Foul Type,Penalty Block,Knock-in Player 2,Foul Outcome,Penalties,Penalty Outcome
Assist (1),206831,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 1,2021,,Tommy Alberdi,Cavallo Ranch,,,,,,,Successful,Tommy Alberdi,,,,,,,
Throw-in (3),220984,20000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Throw-in,Chukka 1,2021,Cavallo Ranch win throw-in,John Bickford,Cavallo Ranch,,,,,,,,,,,,,,,
Shot At Goal (5),232858,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 1,2021,,Will Busch,JC Polo/Folded Hills,Shot At Goal,76;20,Attacking 30,Short,,,,,,,,,,,
Assist (2),249526,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 1,2021,,Jesse Bray,JC Polo/Folded Hills,,,,,,,Unsuccessful,Jesse Bray,,,,,,,
Shot At Goal (6),260227,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 1,2021,,Jesse Bray,JC Polo/Folded Hills,Shot At Goal,70;43,Attacking 60,Wide,,,,,,,,,,,
Assist (3),276644,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 1,2021,,Bayne Bossom,JC Polo/Folded Hills,,,,,,,Unsuccessful,Bayne Bossom,,,,,,,
Knock In,289595,40000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Knock In,Chukka 1,2021,,Tommy Alberdi,Cavallo Ranch,,,,,,,,,,,,Remy Muller,,,
Shot At Goal (7),316514,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 1,2021,,Ben Soleimani,Cavallo Ranch,Shot At Goal,83;102,Attacking Half,Wide,,,,,,,,,,,
Assist (4),329219,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 1,2021,,John Bickford,Cavallo Ranch,,,,,,,Unsuccessful,John Bickford,,,,,,,
Goal Cavallo Ranch (3),329973,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 2,2021,,Remy Muller,Cavallo Ranch,,75;1,Attacking 30,,Goal Cavallo Ranch,Goals,,,,,,,,,
Shot At Goal (8),330000,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 2,2021,,Remy Muller,Cavallo Ranch,Shot At Goal,78;21,Attacking 30,Goal,,,,,,,,,,,
