Name,Position,Duration,Game,Match Date,Third Umpire,Instant Replay Official,Search Event,Tournament,Camera Angle,Stage,Umpire 1,Umpire 2,Year,Team,Chukka Length,Club,Chukka,Set Play,Throw-in Outcome,Player,Goal,Location,General Field Area,Shot At Goal,Shot At Goal Outcome,Foul,Foul Outcome,Foul Type,Umpire Focal,Umpire Trailing,Knock-in Player 2,Penalties,Penalty Outcome,Highlight Reel,Assist Outcome,Assist,Collision,Penalty Block
Shot At Goal (17),3858500,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 4,,,Peke Gonzalez,,81;30,Attacking 30,Shot At Goal,Goal,,,,,,,,,,,,,
Goal Postage Stamp Farm (8),3860933,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 4,,,Peke Gonzalez,Goal Postage Stamp Farm,76;8,Attacking 30,,,,,,,,,,,Goals,,,,
Throw-in (16),3917966,20000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 4,Throw-in,Postage Stamp Farm win throw-in,Peke Gonzalez,,,,,,,,,,,,,,,,,,
Shot At Goal (18),3935066,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 4,,,Nachi Du Plessis,,77;22,Attacking 30,Shot At Goal,Goal,,,,,,,,,,,,,
Goal Santa Clara (5),3936433,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 4,,,Nachi Du Plessis,Goal Santa Clara,73;2,Attacking 30,,,,,,,,,,,,,,,
Throw-in (17),4172813,20000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 5,Throw-in,Santa Clara win throw-in,Nachi Du Plessis,,,,,,,,,,,,,,,,,,
Foul (10),4173800,25000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 5,,,Lerin Zubiaurre,,48;172,Defending Half,,,Foul,Penalty 60 yards,Dangerous Riding,90;112,116;165,,,,,,,,
Foul Received (10),4173800,25000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 5,,,Henry Porter,,99;122,Attacking Half,,,Foul Received,Penalty 60 yards,Dangerous Riding,,,,,,,,,,
Chukka Length (5),4176833,849336,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Team,Chukka Length,International Polo Club,Chukka 5,,,,,,,,,,,,,,,,,,,,,
Penalty 60 yards (3),4256528,15000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 5,,,Nachi Du Plessis,,,,,,,,,,,,Penalty 60 yards,Wide,,,,,
Knock In (7),4279733,40000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 5,Knock In,,Peke Gonzalez,,,,,,,,,,,Lerin Zubiaurre,,,,,,,
Shot At Goal (19),4279900,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 5,,,Felipe Tro,,106;11,Attacking 30,Shot At Goal,Miss Hit,,,,,,,,,,,,,
Non Call (2),4318079,20000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Team,,International Polo Club,Chukka 5,,,,,,,,,Non Call,,Dangerous Riding,,,,,,,,,,
Foul (11),4338833,25000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 5,,,Nachi Du Plessis,,67;222,Defending Half,,,Foul,Penalty 40 yards,Right of Way,64;195,39;245,,,,,,,,
Foul Received (11),4338833,25000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 5,,,Peke Gonzalez,,83;77,Attacking Half,,,Foul Received,Penalty 40 yards,Right of Way,,,,,,,,,,
Goal Postage Stamp Farm (9),4464233,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 5,,,Peke Gonzalez,Goal Postage Stamp Farm,,,,,,,,,,,,,,,,,
Penalty 40 yards,4482100,15000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 5,,,Peke Gonzalez,,,,,,,,,,,,Penalty 40 yards,Goal,,,,,
Throw-in (18),4516291,20000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 5,Throw-in,Postage Stamp Farm win throw-in,Mariano Aguerre,,,,,,,,,,,,,,,,,,
Safety 60,4597575,15000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 5,,,Peke Gonzalez,,,,,,,,,,,,Safety 60,Wide,,,,,
Knock In (8),4617422,40000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 5,Knock In,,Nachi Du Plessis,,,,,,,,,,,,,,,,,,
Shot At Goal (20),4663033,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 5,,,Luis Escobar,,46;33,Attacking 30,Shot At Goal,Wide,,,,,,,,,,,,,
Assist (4),4679433,25000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 5,,,Matias Magrini,,,,,,,,,,,,,,,Unsuccessful,Matias Magrini,,
Knock In (9),4757666,40000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 5,Knock In,,Peke Gonzalez,,,,,,,,,,,Lerin Zubiaurre,,,,,,,
Foul (12),4757733,25000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 5,,,Nachi Du Plessis,,91;72,Attacking 60,,,Foul,Penalty 5,Crossing,103;20,63;56,,,,,,,,
Foul Received (12),4758000,25000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 5,,,Lerin Zubiaurre,,66;229,Defending Half,,,Foul Received,Penalty 5,Crossing,,,,,,,,,,
Shot At Goal (21),4802366,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Team,,International Polo Club,Chukka 5,,,,,64;88,Attacking Half,Shot At Goal,Wide,,,,,,,,,,,,,
Penalty 5 (3),4809400,30000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 5,Penalty 5,,Peke Gonzalez,,,,,,,,,,,,,,,,,,
Assist (5),4823766,25000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 5,,,Luis Escobar,,,,,,,,,,,,,,,Unsuccessful,Luis Escobar,,
Knock In (10),4853116,40000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 5,Knock In,,Peke Gonzalez,,,,,,,,,,,Mariano Aguerre,,,,,,,
Shot At Goal (22),4856900,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 5,,,Mariano Aguerre,,78;24,Attacking 30,Shot At Goal,Goal,,,,,,,,,,,,,
Goal Postage Stamp Farm (10),4858933,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 5,,,Mariano Aguerre,Goal Postage Stamp Farm,77;6,Attacking 30,,,,,,,,,,,,,,,
Shot At Goal (23),4915933,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 5,,,Mariano Aguerre,,88;61,Attacking 60,Shot At Goal,Miss Hit,,,,,,,,,,,,,
Throw-in (19),4917966,20000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 5,Throw-in,Postage Stamp Farm win throw-in,Mariano Aguerre,,,,,,,,,,,,,,,,,,
Shot At Goal (24),4944500,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 5,,,Nachi Du Plessis,,76;8,Attacking 30,Shot At Goal,Blocked,,,,,,,,,,,,,
Shot At Goal (25),4950400,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 5,,,Luis Escobar,,73;24,Attacking 30,Shot At Goal,Goal,,,,,,,,,,,,,
Goal Santa Clara (6),4951833,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 5,,,Luis Escobar,Goal Santa Clara,77;4,Attacking 30,,,,,,,,,,,,,,,
Shot Block,4970300,10000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 5,,,Lerin Zubiaurre,,,,,,,,,,,,,,,,,,Shot Block
Shot At Goal (26),5174966,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 6,,,Matias Magrini,,91;42,Attacking 60,Shot At Goal,Goal,,,,,,,,,,,,,
Chukka Length (6),5177100,968677,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Team,Chukka Length,International Polo Club,Chukka 6,,,,,,,,,,,,,,,,,,,,,
Goal Santa Clara (7),5178733,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 6,,,Matias Magrini,Goal Santa Clara,68;7,Attacking 30,,,,,,,,,,,,,,,
Throw-in (20),5183433,20000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 6,Throw-in,Santa Clara win throw-in,Nachi Du Plessis,,,,,,,,,,,,,,,,,,
Assist (6),5193733,25000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 6,,,Nachi Du Plessis,,,,,,,,,,,,,,,Successful,Nachi Du Plessis,,
Throw-in (21),5246833,20000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 6,Throw-in,Postage Stamp Farm win throw-in,Peke Gonzalez,,,,,,,,,,,,,,,,,,
Foul (13),5258366,25000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 6,,,Matias Magrini,,57;236,Defending 60,,,Foul,Penalty 30 yards,Blocking,132;251,85;221,,,,,,,,
Foul Received (13),5258366,25000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 6,,,Peke Gonzalez,,87;51,Attacking 60,,,Foul Received,Penalty 30 yards,Blocking,,,,,,,,,,
Yellow Card,5338400,10000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 6,,,Nachi Du Plessis,,,,,,Yellow Card,,Technical,,,,,,,,,,
Yellow Card (1),5338400,10000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 6,,,Nachi Du Plessis,,,,,,Yellow Card,,Technical,,,,,,,,,,
Goal Postage Stamp Farm (11),5391333,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 6,,,Peke Gonzalez,Goal Postage Stamp Farm,,,,,,,,,,,,,,,,,
Penalty 30 yards (1),5408132,15000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 6,,,Peke Gonzalez,,,,,,,,,,,,Penalty 30 yards,Goal,,,,,
Penalty 60 yards (4),5487175,15000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 6,,,Peke Gonzalez,,,,,,,,,,,,Penalty 60 yards,Blocked,,,,,
Foul (14),5491133,25000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 6,,,Lerin Zubiaurre,,80;20,Attacking 30,,,Foul,Penalty 5B,Dangerous Riding,66;47,68;49,,,,,,,,
Foul Received (14),5491133,25000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 6,,,Luis Escobar,,66;283,Defending 30,,,Foul Received,Penalty 5B,Dangerous Riding,,,,,,,,,,
Penalty Block (1),5506000,10000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 6,,,Luis Escobar,,,,,,,,,,,,,,,,,,Penalty Block
Penalty 5b (2),5542050,30000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 6,Penalty 5b,,Luis Escobar,,,,,,,,,,,,,,,,,,
Foul (15),5546483,25000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 6,,,Mariano Aguerre,,67;221,Defending Half,,,Foul,Penalty 30 yards,Blocking,22;211,64;248,,,,,,,,
Foul Received (15),5546483,25000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 6,,,Matias Magrini,,81;84,Attacking Half,,,Foul Received,Penalty 30 yards,Blocking,,,,,,,,,,
Penalty 30 yards (2),5633733,15000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 6,,,Luis Escobar,,,,,,,,,,,,Penalty 30 yards,Wide,,,,,
Knock In (11),5659833,40000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 6,Knock In,,Peke Gonzalez,,,,,,,,,,,Mariano Aguerre,,,,,,,
Non Call (3),5674533,20000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Team,,International Polo Club,Chukka 6,,,,,,,,,Non Call,,Cross/High Hook,,,,,,,,,,
Shot At Goal (27),5708833,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 6,,,Felipe Tro,,78;22,Attacking 30,Shot At Goal,Goal,,,,,,,,,,,,,
Goal Postage Stamp Farm (12),5710833,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 6,,,Felipe Tro,Goal Postage Stamp Farm,74;7,Attacking 30,,,,,,,,,,,,,,,
Assist (7),5728833,25000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 6,,,Peke Gonzalez,,,,,,,,,,,,,,,Successful,Peke Gonzalez,,
Shot At Goal (28),5759633,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 6,,,Henry Porter,,48;38,Attacking 30,Shot At Goal,Miss Hit,,,,,,,,,,,,,
Throw-in (22),5771366,20000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 6,Throw-in,Santa Clara win throw-in,Henry Porter,,,,,,,,,,,,,,,,,,
Shot At Goal (29),5795700,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 6,,,Nachi Du Plessis,,25;57,Attacking 60,Shot At Goal,Wide,,,,,,,,,,,,,
Free Hit (2),5820466,20000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 6,Free Hit,,Nachi Du Plessis,,,,,,,,,,,,,,,,,,
Knock In (12),5882133,40000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 6,Knock In,,Mariano Aguerre,,,,,,,,,,,,,,,,,,
Foul (16),5893966,25000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 6,,,Mariano Aguerre,,59;279,Defending 30,,,Foul,Penalty 30 yards,Blocking,20;240,73;240,,,,,,,,
Foul Received (16),5893966,25000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 6,,,Henry Porter,,65;20,Attacking 30,,,Foul Received,Penalty 30 yards,Blocking,,,,,,,,,,
Goal Santa Clara (8),5917833,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 6,,,Nachi Du Plessis,Goal Santa Clara,,,,,,,,,,,,,,,,,
Penalty 30 yards (3),5936766,15000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 6,,,Nachi Du Plessis,,,,,,,,,,,,Penalty 30 yards,Goal,,,,,
Throw-in (23),5975200,20000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 6,Throw-in,Santa Clara win throw-in,Luis Escobar,,,,,,,,,,,,,,,,,,
Shot At Goal (30),5989600,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 6,,,Felipe Tro,,92;22,Attacking 30,Shot At Goal,Goal,,,,,,,,,,,,,
Goal Postage Stamp Farm (13),5991166,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 6,,,Felipe Tro,Goal Postage Stamp Farm,77;7,Attacking 30,,,,,,,,,,,,,,,
Assist (8),6005333,25000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 6,,,Lerin Zubiaurre,,,,,,,,,,,,,,,Successful,Lerin Zubiaurre,,
Shot At Goal (31),6047333,35000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Santa Clara,,International Polo Club,Chukka 6,,,Nachi Du Plessis,,48;115,Attacking Half,Shot At Goal,Wide,,,,,,,,,,,,,
Throw-in (24),6047383,20000,Postage Stamp Farm vs Santa Clara,February 24. 2020,Julian Appleby,Jamie Mirikitani,Search Live stream,USPA Gold Cup,Live,Group,Kevin Fawcett,Hector Galindo,2020,Postage Stamp Farm,,International Polo Club,Chukka 6,Throw-in,Postage Stamp Farm win throw-in,Felipe Tro,,,,,,,,,,,,,,,,,,
