Name,Position,Duration,Camera Angle,Chukka,Club,Game,Instant Replay Official,Match Date,Player,Search Event,Set Play,Stage,Team,Third Umpire,Throw-in Outcome,Tournament,Umpire 1,Umpire 2,Year,Shot At Goal,Location,General Field Area,Shot At Goal Outcome,Knock-in Player 2,Foul,Foul Type,Foul Outcome,Penalties,Penalty Outcome,Goal,Assist,Assist Outcome,Penalty Block,Highlight Reel
Foul Received (16),3122800,25000,Live,Chukka 5,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Mateo Vallejos,Search Livestream,,Group,Patagones,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,13;113,Attacking Half,,,Foul Received,Dangerous Riding,Penalty 30 yards,,,,,,,
Penalty 30 yards (2),3212452,15000,Live,Chukka 5,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Tomas Garcia del Rio,Search Livestream,,Group,Patagones,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,,,,,Penalty 30 yards,Wide,,,,,
Knock In (10),3234435,40000,Live,Chukka 5,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Gringo Colombres,Search Livestream,Knock In,Group,Palm Beach Equine,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,Lucas Diaz Alberdi,,,,,,,,,,
Shot At Goal (18),3314274,35000,Live,Chukka 5,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Gringo Colombres,Search Livestream,,Group,Palm Beach Equine,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,Shot At Goal,62;38,Attacking 30,Wide,,,,,,,,,,,
Knock In (11),3360948,40000,Live,Chukka 5,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Santiago Toccalino,Search Livestream,Knock In,Group,Patagones,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,,,,,,,,,,,
Foul (17),3368112,25000,Live,Chukka 5,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Lucas Diaz Alberdi,Search Livestream,,Group,Palm Beach Equine,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,6;47,Attacking 60,,,Foul,Right of Way,Penalty 5B,,,,,,,
Foul Received (17),3368112,25000,Live,Chukka 5,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Tomas Garcia del Rio,Search Livestream,,Group,Patagones,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,146;252,Defending 60,,,Foul Received,,Penalty 5B,,,,,,,
Penalty 5b,3444646,30000,Live,Chukka 5,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Tomas Garcia del Rio,Search Livestream,Penalty 5b,Group,Patagones,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,,,,,,,,,,,
Throw-in (15),3691325,20000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Gringo Colombres,Search Livestream,Throw-in,Group,Palm Beach Equine,Ronnie Hayes,Palm Beach Equine win throw-in,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,,,,,,,,,,,
Foul (18),3688165,25000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Gringo Colombres,Search Livestream,,Group,Palm Beach Equine,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,141;117,Attacking Half,,,Foul,Right of Way,Penalty 5,,,,,,,
Foul Received (18),3688165,25000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Tomas Garcia del Rio,Search Livestream,,Group,Patagones,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,4;183,Defending Half,,,Foul Received,Right of Way,Penalty 5,,,,,,,
Penalty 5 (7),3727795,30000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Tomas Garcia del Rio,Search Livestream,Penalty 5,Group,Patagones,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,,,,,,,,,,,
Shot At Goal (19),3712438,35000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Mateo Vallejos,Search Livestream,,Group,Patagones,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,Shot At Goal,57;39,Attacking 60,Wide,,,,,,,,,,,
Assist (5),3728272,25000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Tomas Garcia del Rio,Search Livestream,,Group,Patagones,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,,,,,,,,Tomas Garcia del Rio,Unsuccessful,,
Knock In (12),3756423,40000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Gringo Colombres,Search Livestream,Knock In,Group,Palm Beach Equine,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,Gonzalo Ferrari,,,,,,,,,,
Shot At Goal (20),3753713,35000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Gonzalo Ferrari,Search Livestream,,Group,Palm Beach Equine,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,Shot At Goal,96;22,Attacking 30,Goal,,,,,,,,,,,
Goal Palm Beach Equine (5),3756816,35000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Gonzalo Ferrari,Search Livestream,,Group,Palm Beach Equine,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,,,,,,,Goal Palm Beach Equine,,,,
Assist (6),3773351,25000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Gringo Colombres,Search Livestream,,Group,Palm Beach Equine,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,,,,,,,,Gringo Colombres,Successful,,
Throw-in (16),3810845,20000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Mateo Vallejos,Search Livestream,Throw-in,Group,Patagones,Ronnie Hayes,Patagones win throw-in,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,,,,,,,,,,,
Non Call (4),3834176,20000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,,Search Livestream,,Group,Team,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,,Non Call,Right of Way,,,,,,,,
Foul (19),3844254,25000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Benjamin Avendano,Search Livestream,,Group,Patagones,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,108;229,Defending 60,,,Foul,Cross/High Hook,Penalty 30 yards,,,,,,,
Foul Received (19),3844254,25000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Gringo Colombres,Search Livestream,,Group,Palm Beach Equine,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,52;77,Attacking Half,,,Foul Received,Cross/High Hook,Penalty 30 yards,,,,,,,
Penalty 30 yards (3),3906979,15000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Gonzalo Ferrari,Search Livestream,,Group,Palm Beach Equine,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,,,,,Penalty 30 yards,Goal,,,,,
Goal Palm Beach Equine (6),3891384,35000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Gonzalo Ferrari,Search Livestream,,Group,Palm Beach Equine,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,,,,,,,Goal Palm Beach Equine,,,,
Throw-in (17),3940708,20000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Tomas Garcia del Rio,Search Livestream,Throw-in,Group,Patagones,Ronnie Hayes,Patagones win throw-in,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,,,,,,,,,,,
Foul (20),3938848,25000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Benjamin Avendano,Search Livestream,,Group,Patagones,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,98;112,Attacking Half,,,Foul,Reaching,Penalty 5,,,,,,,
Foul Received (20),3938848,25000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Scott Swerdlin,Search Livestream,,Group,Palm Beach Equine,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,28;185,Defending Half,,,Foul Received,Reaching,Penalty 5,,,,,,,
Penalty 5 (8),3983551,30000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Gonzalo Ferrari,Search Livestream,Penalty 5,Group,Palm Beach Equine,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,,,,,,,,,,,
Foul (21),4024534,25000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Gringo Colombres,Search Livestream,,Group,Palm Beach Equine,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,58;26,Attacking 30,,,Foul,Reaching,Penalty 5,,,,,,,
Foul Received (21),4024534,25000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Tomas Garcia del Rio,Search Livestream,,Group,Patagones,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,94;279,Defending 30,,,Foul Received,Reaching,Penalty 5,,,,,,,
Penalty 5 (9),4060528,30000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Tomas Garcia del Rio,Search Livestream,Penalty 5,Group,Patagones,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,,,,,,,,,,,
Shot At Goal (21),4083008,35000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Lucas Diaz Alberdi,Search Livestream,,Group,Palm Beach Equine,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,Shot At Goal,94;27,Attacking 30,Goal,,,,,,,,,,,
Goal Palm Beach Equine (7),4084944,35000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Lucas Diaz Alberdi,Search Livestream,,Group,Palm Beach Equine,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,,,,,,,Goal Palm Beach Equine,,,,
Throw-in (18),4142209,20000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Gringo Colombres,Search Livestream,Throw-in,Group,Palm Beach Equine,Ronnie Hayes,Palm Beach Equine win throw-in,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,,,,,,,,,,,
Foul (22),4175752,25000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Gringo Colombres,Search Livestream,,Group,Palm Beach Equine,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,80;190,Defending Half,,,Foul,Blocking,Penalty 30 yards,,,,,,,
Foul Received (22),4175752,25000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Tomas Garcia del Rio,Search Livestream,,Group,Patagones,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,82;108,Attacking Half,,,Foul Received,Blocking,Penalty 30 yards,,,,,,,
Penalty 30 yards (4),4233772,15000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Santiago Toccalino,Search Livestream,,Group,Patagones,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,,,,,Penalty 30 yards,Wide,,,,,
Knock In (13),4258558,40000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Gringo Colombres,Search Livestream,Knock In,Group,Palm Beach Equine,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,Gonzalo Ferrari,,,,,,,,,,
Shot At Goal (22),4301260,35000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Gringo Colombres,Search Livestream,,Group,Palm Beach Equine,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,Shot At Goal,72;42,Attacking 60,Wide,,,,,,,,,,,
Knock In (14),4338471,40000,Live,Chukka 6,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Tomas Garcia del Rio,Search Livestream,Knock In,Group,Patagones,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,,,,,,,,,,,
