Name,Position,Duration,Game,Tournament,Stage,Match Date,Umpire 1,Umpire 2,Third Umpire,Instant Replay Official,Search Event,Year,Camera Angle,Club,Shot At Goal,Chukka,Shot At Goal Outcome,General Field Area,Location,Team,Player,Highlight Reel,Goal,Chukka Length,Set Play,Throw-in Outcome,Foul,Foul Type,Penalty Block,Assist Outcome,Assist,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Knock-in Player 2,Collision,Search,Country
Foul Received (11),2399133,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 3,,Defending Half,139;208,Stable Door Polo,Matias Magrini,,,,,,Foul Received,Reaching,,,,Penalty 5,,,,,,,,
Penalty 5 (7),2430561,30000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 3,,,,Stable Door Polo,Unknown,,,,Penalty 5,,,,,,,,,,,,,,,
Foul (12),2441500,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 3,,Attacking Half,39;101,Stable Door Polo,Santino Magrini,,,,,,Foul,Right of Way,,,,Penalty 5,76;88,28;171,,,,,,
Foul Received (12),2441500,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 3,,Defending Half,119;198,Daily Racing Form,Jared Zenni,,,,,,Foul Received,Right of Way,,,,Penalty 5,,,,,,,,
Penalty 5 (8),2488966,30000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 3,,,,Daily Racing Form,Jared Zenni,,,,Penalty 5,,,,,,,,,,,,,,,
Shot At Goal (11),2510800,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,Shot At Goal,Chukka 3,Blocked,Attacking 30,113;35,Daily Racing Form,Jared Zenni,,,,,,,,,,,,,,,,,,,
Foul (13),2534266,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 3,,Attacking 30,101;20,Daily Racing Form,Costi Caset,,,,,,Foul,Dangerous Riding,,,,Penalty 5,86;122,142;58,,,,,,
Foul Received (13),2534266,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 3,,Defending 30,53;283,Stable Door Polo,Matias Magrini,,,,,,Foul Received,Dangerous Riding,,,,Penalty 5,,,,,,,,
Shot Block (1),2537233,10000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 3,,,,Stable Door Polo,Robert Orthwein,,,,,,,,Shot Block,,,,,,,,,,,
Penalty 5 (9),3045400,30000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 4,,,,Stable Door Polo,Matias Magrini,,,,Penalty 5,,,,,,,,,,,,,,,
Chukka Length (4),3046733,547356,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search Livestream,USA,Live,International Polo Club,,Chukka 4,,,,Team,,,,Chukka Length,,,,,,,,,,,,,,,,
Shot At Goal (12),3067833,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,Shot At Goal,Chukka 4,Wide,Attacking 30,45;17,Daily Racing Form,Agustin Obregon,,,,,,,,,,,,,,,,,,,
Free Hit (1),3075233,20000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 4,,,,Daily Racing Form,Jared Zenni,,,,Free Hit,,,,,,,,,,,,,,,
Knock In (4),3113261,40000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 4,,,,Stable Door Polo,Matias Magrini,,,,Knock In,,,,,,,,,,,,Santino Magrini,,,
Shot At Goal (13),3133033,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,Shot At Goal,Chukka 4,Wide,Attacking Half,62;80,Daily Racing Form,Agustin Obregon,,,,,,,,,,,,,,,,,,,
Free Hit (2),3146300,20000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 4,,,,Daily Racing Form,Jared Zenni,,,,Free Hit,,,,,,,,,,,,,,,
Assist (7),3148866,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 4,,,,Daily Racing Form,Jared Zenni,,,,,,,,,Unsuccessful,Jared Zenni,,,,,,,,,
Knock In (5),3176158,40000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 4,,,,Stable Door Polo,Matias Magrini,,,,Knock In,,,,,,,,,,,,Santino Magrini,,,
Shot At Goal (14),3215300,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,Shot At Goal,Chukka 4,Goal,Attacking 30,72;24,Daily Racing Form,Agustin Obregon,,,,,,,,,,,,,,,,,,,
Goal Daily Racing Form (3),3217333,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 4,,,,Daily Racing Form,Agustin Obregon,,Goal Daily Racing Form,,,,,,,,,,,,,,,,,
Throw-in (10),3274250,20000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 4,,,,Daily Racing Form,Costi Caset,,,,Throw-in,Daily Racing Form win throw-in,,,,,,,,,,,,,,
Foul (14),3373766,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 4,,Defending Half,12;186,Stable Door Polo,Matias Magrini,,,,,,Foul,Right of Way,,,,Penalty 40 yards,75;213,23;144,,,,,,
Foul Received (14),3373766,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 4,,Attacking Half,132;99,Daily Racing Form,Costi Caset,,,,,,Foul Received,Right of Way,,,,Penalty 40 yards,,,,,,,,
Penalty 40 yards,3440250,15000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 4,,,,Daily Racing Form,Agustin Obregon,,,,,,,,,,,,,,Penalty 40 yards,Wide,,,,
Shot At Goal (15),3458433,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,Shot At Goal,Chukka 4,Blocked,Attacking 60,66;39,Stable Door Polo,Matias Magrini,,,,,,,,,,,,,,,,,,,
Knock In (6),3461400,40000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 4,,,,Stable Door Polo,Santino Magrini,,,,Knock In,,,,,,,,,,,,Matias Magrini,,,
Assist (8),3474566,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 4,,,,Stable Door Polo,Santino Magrini,,,,,,,,,Unsuccessful,Henry Porter,,,,,,,,,
Shot Block (2),3483433,10000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 4,,,,Daily Racing Form,Jared Zenni,,,,,,,,Shot Block,,,,,,,,,,,
Foul (15),3511566,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 4,,Attacking 30,43;36,Stable Door Polo,Robert Orthwein,,,,,,Foul,Right of Way,,,,Penalty 5,76;61,26;148,,,,,,
Foul Received (15),3511566,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 4,,Defending 60,119;253,Daily Racing Form,Costi Caset,,,,,,Foul Received,Right of Way,,,,Penalty 5,,,,,,,,
Penalty 5 (10),3550133,30000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 4,,,,Daily Racing Form,Jared Zenni,,,,Penalty 5,,,,,,,,,,,,,,,
Foul (16),3571433,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 4,,Defending Half,12;215,Stable Door Polo,Santino Magrini,,,,,,Foul,Right of Way,,,,Penalty 40 yards,132;239,13;158,,,,,,
Foul Received (16),3572233,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 4,,Attacking Half,124;101,Daily Racing Form,Costi Caset,,,,,,Foul Received,Right of Way,,,,Penalty 40 yards,,,,,,,,
Goal Daily Racing Form (4),3794033,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,,,Daily Racing Form,Jared Zenni,,Goal Daily Racing Form,,,,,,,,,,,,,,,,,
Penalty 40 yards (1),3812233,15000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,,,Daily Racing Form,Jared Zenni,,,,,,,,,,,,,,Penalty 40 yards,Goal,,,,
Chukka Length (5),3814824,775442,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search Livestream,USA,Live,International Polo Club,,Chukka 5,,,,Team,,,,Chukka Length,,,,,,,,,,,,,,,,
Throw-in (11),3851066,20000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,,,Daily Racing Form,Jared Zenni,,,,Throw-in,Daily Racing Form win throw-in,,,,,,,,,,,,,,
Foul Received (17),3888633,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,Defending Half,132;179,Daily Racing Form,Agustin Obregon,,,,,,Foul Received,Uneven Ride-Off,,,,Penalty 5,,,,,,,,
Foul (17),3891366,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,Attacking Half,14;122,Stable Door Polo,Henry Porter,,,,,,Foul,Uneven Ride-Off,,,,Penalty 5,6;102,112;134,,,,,,
Penalty 5 (11),3929461,30000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,,,Daily Racing Form,Jared Zenni,,,,Penalty 5,,,,,,,,,,,,,,,
Foul (18),3975080,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,Defending 60,136;248,Stable Door Polo,Santino Magrini,,,,,,Foul,Dangerous Riding,,,,Penalty 30 yards,76;247,20;163,,,,,,
Foul Received (18),3975080,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,Attacking 60,18;49,Daily Racing Form,Jared Zenni,,,,,,Foul Received,Dangerous Riding,,,,Penalty 30 yards,,,,,,,,
Goal Daily Racing Form (5),4008733,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,,,Daily Racing Form,Jared Zenni,,Goal Daily Racing Form,,,,,,,,,,,,,,,,,
Penalty 30 yards,4027200,15000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,,,Daily Racing Form,Jared Zenni,,,,,,,,,,,,,,Penalty 30 yards,Goal,,,,
Shot At Goal (16),4053566,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,Shot At Goal,Chukka 5,Goal,Attacking 30,95;8,Daily Racing Form,Costi Caset,,,,,,,,,,,,,,,,,,,
Goal Daily Racing Form (6),4054133,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,,,Daily Racing Form,Costi Caset,Goals,Goal Daily Racing Form,,,,,,,,,,,,,,,,,
Throw-in (12),4060600,20000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,,,Daily Racing Form,Agustin Obregon,,,,Throw-in,Daily Racing Form win throw-in,,,,,,,,,,,,,,
Assist (9),4069133,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,,,Daily Racing Form,Agustin Obregon,,,,,,,,,Successful,Agustin Obregon,,,,,,,,,
Shot At Goal (17),4152500,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,Shot At Goal,Chukka 5,Goal,Attacking 30,86;15,Stable Door Polo,Henry Porter,Goals,,,,,,,,,,,,,,,,,,
Throw-in (13),4162333,20000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,,,Stable Door Polo,Henry Porter,,,,Throw-in,Stable Door Polo win throw-in,,,,,,,,,,,,,,
Throw-in (14),4211166,20000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,,,Stable Door Polo,Santino Magrini,,,,Throw-in,Stable Door Polo win throw-in,,,,,,,,,,,,,,
Foul (19),4223800,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,Attacking Half,30;94,Stable Door Polo,Robert Orthwein,,,,,,Foul,Riding Into Shot,,,,Penalty 5,62;183,90;138,,,,,,
Foul Received (19),4223800,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,Defending Half,125;180,Daily Racing Form,Agustin Obregon,,,,,,Foul Received,Riding Into Shot,,,,Penalty 5,,,,,,,,
Shot At Goal (18),4249533,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,Shot At Goal,Chukka 5,Short,Attacking 60,26;67,Stable Door Polo,Matias Magrini,,,,,,,,,,,,,,,,,,,
Penalty 5 (12),4261733,30000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,,,Daily Racing Form,Jared Zenni,,,,Penalty 5,,,,,,,,,,,,,,,
Shot At Goal (19),4270366,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,Shot At Goal,Chukka 5,Goal,Attacking 30,53;33,Stable Door Polo,Santino Magrini,,,,,,,,,,,,,,,,,,,
Goal Stable Door Polo (4),4272833,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,,,Stable Door Polo,Santino Magrini,,Goal Stable Door Polo,,,,,,,,,,,,,,,,,
Shot At Goal (20),4321633,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,Shot At Goal,Chukka 5,Miss Hit,Attacking 30,59;29,Stable Door Polo,Santino Magrini,,,,,,,,,,,,,,,,,,,
Throw-in (15),4329133,20000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,,,Stable Door Polo,Santino Magrini,,,,Throw-in,Stable Door Polo win throw-in,,,,,,,,,,,,,,
Assist (10),4338700,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,,,Stable Door Polo,Robert Orthwein,,,,,,,,,Unsuccessful,Robert Orthwein,,,,,,,,,
Foul (20),4343866,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,Attacking 30,119;29,Stable Door Polo,Robert Orthwein,,,,,,Foul,Right of Way,,,,Penalty 5B,62;61,128;121,,,,,,
Foul Received (20),4343866,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,Defending 30,39;268,Daily Racing Form,Jared Zenni,,,,,,Foul Received,Right of Way,,,,Penalty 5B,,,,,,,,
Penalty 5b (1),4413713,30000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,,,Daily Racing Form,Jared Zenni,,,,Penalty 5b,,,,,,,,,,,,,,,
Foul (21),4425566,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,Attacking Half,134;112,Stable Door Polo,Santino Magrini,,,,,,Foul,Cross/High Hook,,,,Penalty 60 yards,67;138,132;135,,,,,,
Foul Received (21),4425566,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,Defending Half,37;175,Daily Racing Form,Agustin Obregon,,,,,,Foul Received,Cross/High Hook,,,,Penalty 60 yards,,,,,,,,
Penalty 60 yards (2),4512333,15000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,,,Daily Racing Form,Agustin Obregon,,,,,,,,,,,,,,Penalty 60 yards,Wide,,,,
Knock In (7),4529133,40000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,,,Stable Door Polo,Matias Magrini,,,,Knock In,,,,,,,,,,,,Robert Orthwein,,,
Shot At Goal (21),4550866,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,Shot At Goal,Chukka 5,Short,Attacking Half,109;77,Stable Door Polo,Santino Magrini,,,,,,,,,,,,,,,,,,,
Assist (11),4568766,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,,,Stable Door Polo,Matias Magrini,,,,,,,,,Unsuccessful,Matias Magrini,,,,,,,,,
Foul (22),4573200,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,Defending 60,40;242,Daily Racing Form,Jared Zenni,,,,,,Foul,Right of Way,,,,Penalty 30 yards,78;253,23;157,,,,,,
Foul Received (22),4573200,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 5,,Attacking 60,100;47,Stable Door Polo,Henry Porter,,,,,,Foul Received,Right of Way,,,,Penalty 30 yards,,,,,,,,
Goal Stable Door Polo (5),4798666,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 6,,,,Stable Door Polo,Santino Magrini,,Goal Stable Door Polo,,,,,,,,,,,,,,,,,
Penalty 30 yards (1),4815366,15000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 6,,,,Stable Door Polo,Santino Magrini,,,,,,,,,,,,,,Penalty 30 yards,Goal,,,,
Chukka Length (6),4818966,509366,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search Livestream,USA,Live,International Polo Club,,Chukka 6,,,,Team,,,,Chukka Length,,,,,,,,,,,,,,,,
Throw-in (16),4850200,20000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 6,,,,Stable Door Polo,Santino Magrini,,,,Throw-in,Stable Door Polo win throw-in,,,,,,,,,,,,,,
Shot At Goal (22),4853800,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,Shot At Goal,Chukka 6,Goal,Attacking 30,97;33,Stable Door Polo,Matias Magrini,,,,,,,,,,,,,,,,,,,
Goal Stable Door Polo (6),4856333,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 6,,,,Stable Door Polo,Matias Magrini,,Goal Stable Door Polo,,,,,,,,,,,,,,,,,
