Name,Position,Duration,Chukka,Assist Outcome,Assist,Player,Team,Camera Angle,Year,Umpire 2,Instant Replay Official,Club,Third Umpire,Search Event,Tournament,Game,Stage,Match Date,Umpire 1,Chukka Length,Foul,Foul Outcome,Foul Type,General Field Area,Location,Umpire Focal,Umpire Trailing,Set Play,Goal,Highlight Reel,Knock-in Player 2,Penalties,Penalty Outcome,Penalty Block,Shot At Goal,Shot At Goal Outcome,Throw-in Outcome
Penalty 60 yards (1),1959366,15000,Chukka 3,,,Miguel Novillo Astrada,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,,,,,Penalty 60 yards,Wide,,,,
Penalty 60 yards (2),3323849,15000,Chukka 4,,,Mariano Gonzalez,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,,,,,Penalty 60 yards,Short,,,,
Penalty 60 yards (3),4077833,15000,Chukka 5,,,Mariano Gonzalez,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,,,,,Penalty 60 yards,Goal,,,,
Penalty 60 yards (4),4284100,15000,Chukka 5,,,Mariano Gonzalez,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,,,,,Penalty 60 yards,Blocked,,,,
Penalty 60 yards (5),4980648,15000,Chukka 6,,,Miguel Novillo Astrada,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,,,,,Penalty 60 yards,Wide,,,,
Penalty Block,4290466,10000,Chukka 5,,,Will Johnston,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,,,,,,,Penalty Block,,,
Shot At Goal,75000,35000,Chukka 1,,,Mariano Gonzalez,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking 30,71;15,,,,,,,,,,Shot At Goal,Goal,
Shot At Goal (1),140200,35000,Chukka 1,,,Victorino Ruiz Jobra,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking 30,96;18,,,,,,,,,,Shot At Goal,Wide,
Shot At Goal (2),138400,35000,Chukka 1,,,Will Johnston,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking 30,89;30,,,,,,,,,,Shot At Goal,Miss Hit,
Shot At Goal (3),239866,35000,Chukka 1,,,Victorino Ruiz Jobra,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking 30,140;34,,,,,,,,,,Shot At Goal,Wide,
Shot At Goal (4),298400,35000,Chukka 1,,,Miguel Novillo Astrada,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking Half,14;83,,,,,,,,,,Shot At Goal,Wide,
Shot At Goal (5),359033,35000,Chukka 1,,,Mariano Aguerre,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking 60,118;70,,,,,,,,,,Shot At Goal,Wide,
Shot At Goal (6),398133,35000,Chukka 1,,,Mariano Aguerre,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking Half,77;80,,,,,,,,,,Shot At Goal,Blocked,
Shot At Goal (7),407166,35000,Chukka 1,,,Valerio Zubiaurre,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking 30,64;16,,,,,,,,,,Shot At Goal,Goal,
Shot At Goal (8),513066,35000,Chukka 1,,,Valerio Zubiaurre,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking 60,68;47,,,,,,,,,,Shot At Goal,Wide,
Shot At Goal (9),848633,35000,Chukka 2,,,Valerio Zubiaurre,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking 60,28;71,,,,,,,,,,Shot At Goal,Short,
Shot At Goal (10),872533,35000,Chukka 2,,,Mariano Aguerre,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking 60,46;39,,,,,,,,,,Shot At Goal,Blocked,
Shot At Goal (11),902366,35000,Chukka 2,,,Mariano Gonzalez,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking 60,21;74,,,,,,,,,,Shot At Goal,Short,
Shot At Goal (12),1138033,35000,Chukka 2,,,Valerio Zubiaurre,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking 30,73;16,,,,,,,,,,Shot At Goal,,
Shot At Goal (13),1191766,35000,Chukka 2,,,Valerio Zubiaurre,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking Half,135;79,,,,,,,,,,Shot At Goal,Wide,
Shot At Goal (14),1818133,35000,Chukka 3,,,Victorino Ruiz Jobra,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking 60,75;52,,,,,,,,,,Shot At Goal,Wide,
Shot At Goal (15),2064200,35000,Chukka 3,,,Mariano Aguerre,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking 30,76;11,,,,,,,,,,Shot At Goal,Goal,
Shot At Goal (16),2124900,35000,Chukka 3,,,Miguel Novillo Astrada,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking 60,54;61,,,,,,,,,,Shot At Goal,Wide,
Shot At Goal (17),2181400,35000,Chukka 3,,,Victorino Ruiz Jobra,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking Half,57;76,,,,,,,,,,Shot At Goal,Short,
Shot At Goal (18),2876900,35000,Chukka 4,,,Victorino Ruiz Jobra,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking 30,71;12,,,,,,,,,,Shot At Goal,Goal,
Shot At Goal (19),2935400,35000,Chukka 4,,,Valerio Zubiaurre,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking 30,71;13,,,,,,,,,,Shot At Goal,Goal,
Shot At Goal (20),2991666,35000,Chukka 4,,,Victorino Ruiz Jobra,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking 30,65;15,,,,,,,,,,Shot At Goal,Goal,
Shot At Goal (21),3189333,35000,Chukka 4,,,Stephen Orthwein,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking Half,147;85,,,,,,,,,,Shot At Goal,Wide,
Shot At Goal (22),3337466,35000,Chukka 4,,,Valerio Zubiaurre,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking 60,126;53,,,,,,,,,,Shot At Goal,Wide,
Shot At Goal (23),3442466,35000,Chukka 4,,,Valerio Zubiaurre,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking 30,77;9,,,,,,,,,,Shot At Goal,Goal,
Shot At Goal (24),3675666,35000,Chukka 5,,,Miguel Novillo Astrada,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking 30,93;18,,,,,,,,,,Shot At Goal,Wide,
Shot At Goal (25),3796766,35000,Chukka 5,,,Victorino Ruiz Jobra,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking 60,39;49,,,,,,,,,,Shot At Goal,Wide,
Shot At Goal (26),3844733,35000,Chukka 5,,,Valerio Zubiaurre,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking 30,84;12,,,,,,,,,,Shot At Goal,Goal,
Shot At Goal (27),4832388,35000,Chukka 6,,,Valerio Zubiaurre,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking 30,87;17,,,,,,,,,,Shot At Goal,Goal,
Shot At Goal (28),5024033,35000,Chukka 6,,,Mariano Gonzalez,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking Half,150;97,,,,,,,,,,Shot At Goal,Goal,
Shot At Goal (29),5128197,35000,Chukka 6,,,Will Johnston,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking 30,81;16,,,,,,,,,,Shot At Goal,Goal,
Shot At Goal (30),5176366,35000,Chukka 6,,,Will Johnston,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking 30,76;9,,,,,,,,,,Shot At Goal,Miss Hit,
Shot At Goal (31),5209866,35000,Chukka 6,,,Victorino Ruiz Jobra,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,Attacking 30,70;12,,,,,,,,,,Shot At Goal,Goal,
Shot Block,423866,10000,Chukka 1,,,Miguel Novillo Astrada,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,,,,,,,Shot Block,,,
Shot Block (1),902000,10000,Chukka 2,,,Stephen Orthwein,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,,,,,,,Shot Block,,,
Throw-in,0,15000,Chukka 1,,,Unknown,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,Throw-in,,,,,,,,,Postage Stamp Farm win throw-in
Throw-in,85433,20000,Chukka 1,,,Mariano Aguerre,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,Throw-in,,,,,,,,,Postage Stamp Farm win throw-in
Throw-in (1),134700,20000,Chukka 1,,,Mariano Aguerre,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,Throw-in,,,,,,,,,Postage Stamp Farm win throw-in
Throw-in (2),519966,20000,Chukka 1,,,Valerio Zubiaurre,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,Throw-in,,,,,,,,,Postage Stamp Farm win throw-in
Throw-in (3),791933,20000,Chukka 2,,,Mariano Aguerre,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,Throw-in,,,,,,,,,Postage Stamp Farm win throw-in
Throw-in (4),1105766,20000,Chukka 2,,,Stephen Orthwein,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,Throw-in,,,,,,,,,Old Hickory Bourbon win throw-in
Throw-in (5),1197066,20000,Chukka 2,,,Mariano Aguerre,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,Throw-in,,,,,,,,,Postage Stamp Farm win throw-in
Throw-in (6),1593066,20000,Chukka 3,,,Victorino Ruiz Jobra,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,Throw-in,,,,,,,,,Old Hickory Bourbon win throw-in
Throw-in (7),1742760,20000,Chukka 3,,,Stephen Orthwein,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,Throw-in,,,,,,,,,Old Hickory Bourbon win throw-in
Throw-in (8),2120333,20000,Chukka 3,,,Victorino Ruiz Jobra,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,Throw-in,,,,,,,,,Old Hickory Bourbon win throw-in
Throw-in (9),2897333,20000,Chukka 4,,,Victorino Ruiz Jobra,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,Throw-in,,,,,,,,,Old Hickory Bourbon win throw-in
Throw-in (10),2945800,20000,Chukka 4,,,Mariano Gonzalez,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,Throw-in,,,,,,,,,Postage Stamp Farm win throw-in
Throw-in (11),2995266,20000,Chukka 4,,,Miguel Novillo Astrada,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,Throw-in,,,,,,,,,Old Hickory Bourbon win throw-in
Throw-in (12),3050266,20000,Chukka 4,,,Mariano Aguerre,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,Throw-in,,,,,,,,,Postage Stamp Farm win throw-in
Throw-in (13),3676266,20000,Chukka 5,,,Stephen Orthwein,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,Throw-in,,,,,,,,,Old Hickory Bourbon win throw-in
Throw-in (14),3904333,20000,Chukka 5,,,Mariano Aguerre,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,Throw-in,,,,,,,,,Postage Stamp Farm win throw-in
Throw-in (15),4118166,20000,Chukka 5,,,Stephen Orthwein,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,Throw-in,,,,,,,,,Old Hickory Bourbon win throw-in
Throw-in (16),4473766,20000,Chukka 5,,,Mariano Aguerre,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,Throw-in,,,,,,,,,Postage Stamp Farm win throw-in
Throw-in (17),4888586,20000,Chukka 6,,,Mariano Aguerre,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,Throw-in,,,,,,,,,Postage Stamp Farm win throw-in
Throw-in (18),5082633,20000,Chukka 6,,,Mariano Aguerre,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,Throw-in,,,,,,,,,Postage Stamp Farm win throw-in
Throw-in (19),5184383,20000,Chukka 6,,,Stephen Orthwein,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,Throw-in,,,,,,,,,Old Hickory Bourbon win throw-in
Throw-in (20),5268366,20000,Chukka 6,,,Will Johnston,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,Throw-in,,,,,,,,,Old Hickory Bourbon win throw-in
Yellow Card,1081800,10000,Chukka 2,,,Miguel Novillo Astrada,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,Yellow Card,,Technical,,,,,,,,,,,,,,
