Name,Position,Duration,Game,Stage,Match Date,Tournament,Umpire 2,Club,Year,Team,Instant Replay Official,Chukka,Umpire 1,Camera Angle,Search Event,Third Umpire,Goal,Set Play,Throw-in Outcome,Player,Chukka Length,Shot At Goal,General Field Area,Location,Shot At Goal Outcome,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Knock-in Player 2,Highlight Reel,Penalty Block,Assist Outcome,Assist,Collision
Foul Received,3573132,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 4,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Ezequiel Martinez Ferrario,,,Attacking 30,71;9,,Foul Received,Right of Way,Penalty 30 yards,,,,,,,,,,
Throw-in (3),3573666,20000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 4,Kimo Huddleston,Live,Search Livestream,George Olivas,,Throw-in,Cessna win throw-in,Chip Campbell,,,,,,,,,,,,,,,,,,
Chukka Length (7),3577133,552038,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Team,Ronnie Hayes,Chukka 4,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,,Chukka Length,,,,,,,,,,,,,,,,,
Shot Block (1),3582132,10000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 4,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Julian de Lusarreta,,,,,,,,,,,,,,,Shot Block,,,
Goal Cessna (1),3589132,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 4,Kimo Huddleston,Live,Search Livestream,George Olivas,Goal Cessna,,,Ezequiel Martinez Ferrario,,,,,,,,,,,,,,,,,,
Penalty 30 yards Spot,3612932,10000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 4,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Ezequiel Martinez Ferrario,,,,,,,,,,,Penalty 30 yards Spot,Goal,,,,,,
Throw-in (4),3643505,20000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 4,Kimo Huddleston,Live,Search Livestream,George Olivas,,Throw-in,Coca-Cola win throw-in,Julian de Lusarreta,,,,,,,,,,,,,,,,,,
Non Call,3656366,20000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Team,Ronnie Hayes,Chukka 4,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,,,,,,,Non Call,Reaching,,,,,,,,,,,
Foul (1),3670499,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 4,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Steve Krueger,,,Attacking Half,16;101,,Foul,Right of Way,Penalty 60 yards,37;154,127;117,,,,,,,,
Foul Received (1),3670499,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 4,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Nicolas Saenz,,,Defending Half,134;190,,Foul Received,Right of Way,Penalty 60 yards,,,,,,,,,,
Goal Cessna (2),3733266,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 4,Kimo Huddleston,Live,Search Livestream,George Olivas,Goal Cessna,,,Ezequiel Martinez Ferrario,,,,,,,,,,,,,,,,,,
Penalty 60 yards,3750799,15000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 4,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Ezequiel Martinez Ferrario,,,,,,,,,,,Penalty 60 yards,Goal,,,,,,
Throw-in (5),3781432,20000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 4,Kimo Huddleston,Live,Search Livestream,George Olivas,,Throw-in,Coca-Cola win throw-in,Nicolas Pieres,,,,,,,,,,,,,,,,,,
Foul (2),3788632,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 4,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Felipe Marquez,,,Attacking Half,1;122,,Foul,Cross/High Hook,Penalty 60 yards,12;157,89;127,,,,,,,,
Foul Received (2),3788632,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 4,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Nicolas Pieres,,,Defending Half,144;174,,Foul Received,Cross/High Hook,Penalty 60 yards,,,,,,,,,,
Goal Coca-Cola (1),3883432,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 4,Kimo Huddleston,Live,Search Livestream,George Olivas,Goal Coca-Cola,,,Nicolas Pieres,,,,,,,,,,,,,,,,,,
Penalty 60 yards (1),3901566,15000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 4,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Nicolas Pieres,,,,,,,,,,,Penalty 60 yards,Goal,,,,,,
Throw-in (6),3945632,20000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 4,Kimo Huddleston,Live,Search Livestream,George Olivas,,Throw-in,Coca-Cola win throw-in,Nicolas Pieres,,,,,,,,,,,,,,,,,,
Foul (3),3955299,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 4,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Felipe Marquez,,,Attacking Half,139;124,,Foul,Reaching,Penalty 40 yards,73;107,141;145,,,,,,,,
Foul Received (3),3955299,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 4,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Nicolas Pieres,,,Defending Half,8;175,,Foul Received,Reaching,Penalty 40 yards,,,,,,,,,,
Goal Coca-Cola (2),4004332,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 4,Kimo Huddleston,Live,Search Livestream,George Olivas,Goal Coca-Cola,,,Nicolas Pieres,,,,,,,,,,,,,,,,,,
Penalty 40 yards,4023899,15000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 4,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Nicolas Pieres,,,,,,,,,,,Penalty 40 yards,Goal,,,,,,
Throw-in (7),4056366,20000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 4,Kimo Huddleston,Live,Search Livestream,George Olivas,,Throw-in,Coca-Cola win throw-in,Steve Krueger,,,,,,,,,,,,,,,,,,
Shot At Goal (4),4065366,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 4,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Felipe Marquez,,Shot At Goal,Attacking 30,112;11,Goal,,,,,,,,,,,,,
Goal Cessna (3),4067432,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 4,Kimo Huddleston,Live,Search Livestream,George Olivas,Goal Cessna,,,Felipe Marquez,,,,,,,,,,,,,,Goals,,,,
Non Call (1),4069732,20000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Team,Ronnie Hayes,Chukka 4,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,,,,,,,Non Call,Right of Way,,,,,,,,,,,
Shot At Goal (5),4275467,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Gillian Johnston,,Shot At Goal,Attacking 30,59;34,Miss Hit,,,,,,,,,,,,,
Throw-in (8),4283299,20000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,Throw-in,Coca-Cola win throw-in,Steve Krueger,,,,,,,,,,,,,,,,,,
Chukka Length (8),4288666,280500,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Team,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,,Chukka Length,,,,,,,,,,,,,,,,,
Assist,4290467,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Steve Krueger,,,,,,,,,,,,,,,,Unsuccessful,Steve Krueger,
Shot At Goal (6),4315432,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Julian de Lusarreta,,Shot At Goal,Attacking 60,51;70,Goal,,,,,,,,,,,,,
Goal Coca-Cola (3),4318799,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,Goal Coca-Cola,,,Julian de Lusarreta,,,,,,,,,,,,,,Goals,,,,
Free Hit,4334066,20000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,Free Hit,,Julian de Lusarreta,,,,,,,,,,,,,,,,,,
Throw-in (9),4374832,20000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,Throw-in,Coca-Cola win throw-in,Nicolas Pieres,,,,,,,,,,,,,,,,,,
Foul (4),4375799,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Chip Campbell,,,Defending Half,62;231,,Foul,Right of Way,Penalty 60 yards,136;186,71;156,,,,,,,,
Foul Received (4),4375799,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Gillian Johnston,,,Attacking Half,93;77,,Foul Received,Right of Way,Penalty 60 yards,,,,,,,,,,
Penalty 60 yards (2),4482732,15000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Nicolas Pieres,,,,,,,,,,,Penalty 60 yards,Wide,,,,,,
Knock In,4504266,40000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,Knock In,,Felipe Marquez,,,,,,,,,,,,,Ezequiel Martinez Ferrario,,,,,
Shot At Goal (7),4527466,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Nicolas Saenz,,Shot At Goal,Attacking 30,76;22,Blocked,,,,,,,,,,,,,
Assist (1),4543566,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Ezequiel Martinez Ferrario,,,,,,,,,,,,,,,,Unsuccessful,Ezequiel Martinez Ferrario,
Shot Block (2),4553566,10000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Steve Krueger,,,,,,,,,,,,,,,Shot Block,,,
Injury Time (4),4569166,1593300,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Team,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,,Injury Time,,,,,,,,,,,,,,,,,
Shot At Goal (1),6138999,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Ezequiel Martinez Ferrario,,Shot At Goal,Attacking 30,66;13,Goal,,,,,,,,,,,,,
Goal Cessna,6140332,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,Goal Cessna,,,Ezequiel Martinez Ferrario,,,,,,,,,,,,,,,,,,
Throw-in,6156532,20000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,Throw-in,Cessna win throw-in,Felipe Marquez,,,,,,,,,,,,,,,,,,
Chukka Length (9),6162466,159945,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Team,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,,Chukka Length,,,,,,,,,,,,,,,,,
Shot At Goal,6187899,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Nicolas Saenz,,Shot At Goal,Attacking 30,35;36,Wide,,,,,,,,,,,,,
Throw-in (1),6196932,20000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,Throw-in,Cessna win throw-in,Nicolas Saenz,,,,,,,,,,,,,,,,,,
Shot At Goal (2),6228166,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Gillian Johnston,,Shot At Goal,Attacking 60,30;61,Wide,,,,,,,,,,,,,
Knock In,6236260,40000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,Knock In,,Julian de Lusarreta,,,,,,,,,,,,,Nicolas Pieres,,,,,
Assist,6244699,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Nicolas Pieres,,,,,,,,,,,,,,,,Unsuccessful,Nicolas Pieres,
Foul,6280832,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Steve Krueger,,,Attacking Half,3;113,,Foul,Riding Into Shot,Penalty 5B,4;43,60;104,,,,,,,,
Foul Received,6280832,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Chip Campbell,,,Defending Half,144;195,,Foul Received,Riding Into Shot,Penalty 5B,,,,,,,,,,
Knock In (1),6281366,40000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,Knock In,,Felipe Marquez,,,,,,,,,,,,,,,,,,
Challenge,6322412,120854,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Team,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,,Challenge,,,,,,,,,,,,,,,,,
Shot At Goal (3),6428479,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Ezequiel Martinez Ferrario,,Shot At Goal,Attacking 30,76;13,Goal,,,,,,,,,,,,,
Goal Cessna (1),6429932,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,Goal Cessna,,,Ezequiel Martinez Ferrario,,,,,,,,,,,,,,,,,,
Penalty 5b,6437866,30000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,Penalty 5b,,Felipe Marquez,,,,,,,,,,,,,,,,,,
Chukka Length (10),6443266,153500,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Team,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,,Chukka Length,,,,,,,,,,,,,,,,,
Throw-in (2),6483132,20000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,Throw-in,Coca-Cola win throw-in,Julian de Lusarreta,,,,,,,,,,,,,,,,,,
Non Call,6518032,20000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Team,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,,,,,,,Non Call,Riding Into Shot,,,,,,,,,,,
Shot At Goal (4),6533332,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Chip Campbell,,Shot At Goal,Attacking 30,89;13,Miss Hit,,,,,,,,,,,,,
Shot At Goal (5),6534566,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Ezequiel Martinez Ferrario,,Shot At Goal,Attacking 30,80;12,Goal,,,,,,,,,,,,,
Goal Cessna (2),6535566,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 5,Kimo Huddleston,Live,Search Livestream,George Olivas,Goal Cessna,,,Ezequiel Martinez Ferrario,,,,,,,,,,,,,,,,,,
Throw-in (3),6750566,20000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,Throw-in,Cessna win throw-in,Felipe Marquez,,,,,,,,,,,,,,,,,,
Chukka Length (11),6756000,104057,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Team,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,,Chukka Length,,,,,,,,,,,,,,,,,
Foul (1),6819766,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Nicolas Pieres,,,Defending Half,82;204,,Foul,Dangerous Riding,Penalty 40 yards,117;292,31;211,,,,,,,,
Foul Received (1),6819899,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Felipe Marquez,,,Attacking Half,75;80,,Foul Received,Dangerous Riding,Penalty 40 yards,,,,,,,,,,
Knock In (2),6822832,40000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,Knock In,,Julian de Lusarreta,,,,,,,,,,,,,,,,,,
Challenge (1),6860057,157162,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Team,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,,Challenge,,,,,,,,,,,,,,,,,
Goal Cessna (3),6994466,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,Goal Cessna,,,Ezequiel Martinez Ferrario,,,,,,,,,,,,,,,,,,
Penalty 40 yards,7010866,15000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Ezequiel Martinez Ferrario,,,,,,,,,,,Penalty 40 yards,Goal,,,,,,
Chukka Length (12),7017219,250447,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Team,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,,Chukka Length,,,,,,,,,,,,,,,,,
Throw-in (4),7045099,20000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,Throw-in,Coca-Cola win throw-in,Julian de Lusarreta,,,,,,,,,,,,,,,,,,
Foul (2),7064566,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Julian de Lusarreta,,,Attacking Half,9;109,,Foul,Dangerous Riding,Penalty 5B,5;67,75;117,,,,,,,,
Foul Received (2),7065432,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Ezequiel Martinez Ferrario,,,Defending Half,141;176,,Foul Received,Dangerous Riding,Penalty 5B,,,,,,,,,,
Penalty 5b (1),7141099,30000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,Penalty 5b,,Felipe Marquez,,,,,,,,,,,,,,,,,,
Shot At Goal (6),7157999,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Gillian Johnston,,Shot At Goal,Attacking 30,96;20,Miss Hit,,,,,,,,,,,,,
Shot At Goal (7),7159566,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Steve Krueger,,Shot At Goal,Attacking 30,88;18,Wide,,,,,,,,,,,,,
Assist (1),7172999,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Steve Krueger,,,,,,,,,,,,,,,,Unsuccessful,Steve Krueger,
Knock In (3),7206299,40000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,Knock In,,Felipe Marquez,,,,,,,,,,,,,Nicolas Saenz,,,,,
Shot At Goal (8),7224199,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Ezequiel Martinez Ferrario,,Shot At Goal,Attacking 60,122;63,Wide,,,,,,,,,,,,,
Injury Time (5),7267666,130266,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Team,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,,Injury Time,,,,,,,,,,,,,,,,,
Shot At Goal (9),7380366,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Nicolas Pieres,,Shot At Goal,Attacking 30,125;29,Blocked,,,,,,,,,,,,,
Knock In (4),7392474,40000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,Knock In,,Julian de Lusarreta,,,,,,,,,,,,,Steve Krueger,,,,,
Chukka Length (13),7397933,456466,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Team,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,,Chukka Length,,,,,,,,,,,,,,,,,
