Name,Position,Duration,Search Event,Camera Angle,Club,Stage,Umpire 2,Third Umpire,Game,Tournament,Match Date,Instant Replay Official,Umpire 1,Team,Chukka Length,Year,Set Play,Chukka,Throw-in Outcome,Player,Foul,Foul Type,Foul Outcome,General Field Area,Location,Umpire Trailing,Umpire Focal,Goal,Penalties,Penalty Outcome,Shot At Goal,Shot At Goal Outcome,Highlight Reel,Assist Outcome,Assist,Knock-in Player 2,Penalty Block,Collision
Throw-in (21),5675400,20000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Aliano Realty/Horseware,,2020,Throw-in,Chukka 6,Aliano Realty/Horseware win throw-in,Joaquin Panelo,,,,,,,,,,,,,,,,,,
Shot At Goal (21),5681000,35000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Aliano Realty/Horseware,,2020,,Chukka 6,,Mariano Obregon,,,,Attacking 30,92;4,,,,,,Shot At Goal,Wide,,,,,,
Knock In (13),5723833,40000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Palm Beach Equine,,2020,Knock In,Chukka 6,,Gringo Colombres,,,,,,,,,,,,,,,,,,
Shot At Goal (22),5748833,35000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Aliano Realty/Horseware,,2020,,Chukka 6,,Joaquin Panelo,,,,Attacking 60,94;52,,,,,,Shot At Goal,Wide,,,,,,
Knock In (14),5799333,40000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Palm Beach Equine,,2020,Knock In,Chukka 6,,Lucas Diaz Alberdi,,,,,,,,,,,,,,,,Gringo Colombres,,
Non Call (3),5812066,20000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Team,,2020,,Chukka 6,,,Non Call,Dangerous Riding,,,,,,,,,,,,,,,,
Collision,5829366,15000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Palm Beach Equine,,2020,,Chukka 6,,Gonzalo Ferrari,,,,Defending Half,78;208,,,,,,,,,,,,,Collision
Injury Time (1),5837266,142233,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Team,Injury Time,2020,,Chukka 6,,,,,,,,,,,,,,,,,,,,
Shot At Goal (23),5971466,35000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Aliano Realty/Horseware,,2020,,Chukka 6,,Joaquin Panelo,,,,Attacking 30,51;16,,,,,,Shot At Goal,Short,,,,,,
Chukka Length (7),5979500,240554,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Team,Chukka Length,2020,,Chukka 6,,,,,,,,,,,,,,,,,,,,
Throw-in (22),5979700,20000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Aliano Realty/Horseware,,2020,Throw-in,Chukka 6,Aliano Realty/Horseware win throw-in,Joaquin Panelo,,,,,,,,,,,,,,,,,,
Shot At Goal (24),6061933,35000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Palm Beach Equine,,2020,,Chukka 6,,Lucas Diaz Alberdi,,,,Attacking 30,73;38,,,,,,Shot At Goal,Miss Hit,,,,,,
Knock In (15),6067166,40000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Palm Beach Equine,,2020,Knock In,Chukka 6,,Gringo Colombres,,,,,,,,,,,,,,,,Lucas Diaz Alberdi,,
Safety 60,6151566,15000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Palm Beach Equine,,2020,,Chukka 6,,Gringo Colombres,,,,,,,,,Safety 60,Wide,,,,,,,,
Shot At Goal (25),6163500,35000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Aliano Realty/Horseware,,2020,,Chukka 6,,Mariano Obregon,,,,Attacking 60,76;52,,,,,,Shot At Goal,Wide,,,,,,
Knock In (16),6172900,40000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Aliano Realty/Horseware,,2020,Knock In,Chukka 6,,Joaquin Panelo,,,,,,,,,,,,,,,,Mariano Obregon,,
