Name,Position,Duration,Tournament,Third Umpire,Umpire 2,Instant Replay Official,Match Date,Stage,Search Event,Game,Club,Chukka,Camera Angle,Set Play,Year,Throw-in Outcome,Team,Player,Umpire 1,Foul,Location,General Field Area,Foul Outcome,Foul Type,Penalties,Penalty Outcome,Goal,Collision,Assist Outcome,Assist,Shot At Goal,Shot At Goal Outcome,Knock-in Player 2,Penalty Block,Highlight Reel
Throw-in,224045,20000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,Throw-in,2020,Tonkawa win throw-in,Tonkawa,Ignacio Toccalino,Unknown,,,,,,,,,,,,,,,,
Foul,230276,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Tonkawa,Sapo Caset,Unknown,Foul,135;184,Defending Half,Penalty 30 yards,Crossing,,,,,,,,,,,
Foul Received,230276,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Old Hickory Bourbon,Stephen Orthwein,Unknown,Foul Received,16;106,Attacking Half,Penalty 30 yards,Crossing,,,,,,,,,,,
Penalty 30 yards,312554,15000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Old Hickory Bourbon,Victorino Ruiz Jorba,Unknown,,73;34,Attacking 30,,,Penalty 30 yards,Goal,,,,,,,,,
Goal Old Hickory Bourbon,294173,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Old Hickory Bourbon,Victorino Ruiz Jorba,Unknown,,72;6,Attacking 30,,,,,Goal Old Hickory Bourbon,,,,,,,,
Throw-in (1),348969,20000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,Throw-in,2020,Tonkawa win throw-in,Tonkawa,Sapo Caset,Unknown,,,,,,,,,,,,,,,,
Foul (1),349362,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Old Hickory Bourbon,Stephen Orthwein,Unknown,Foul,77;77,Attacking Half,Penalty 5B,Dangerous Use of Mallet,,,,,,,,,,,
Foul Received (1),349362,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Tonkawa,Sapo Caset,Unknown,Foul Received,73;215,Defending Half,Penalty 5B,Dangerous Use of Mallet,,,,,,,,,,,
Collision,365736,15000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Old Hickory Bourbon,Stephen Orthwein,Unknown,,14;190,Defending Half,,,,,,Collision,,,,,,,
Penalty 5b,444831,30000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,Penalty 5b,2020,,Tonkawa,Sapo Caset,Unknown,,,,,,,,,,,,,,,,
Assist,478542,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Tonkawa,Ignacio Toccalino,Unknown,,,,,,,,,,Unsuccessful,Ignacio Toccalino,,,,,
Shot At Goal,485263,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Tonkawa,Sapo Caset,Unknown,,64;34,Attacking 30,,,,,,,,,Shot At Goal,Goal,,,
Goal Tonkawa,487499,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Tonkawa,Sapo Caset,Unknown,,74;4,Attacking 30,,,,,Goal Tonkawa,,,,,,,,
Throw-in (2),543380,20000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,Throw-in,2020,Old Hickory Bourbon win throw-in,Old Hickory Bourbon,Miguel Novillo Astrada,Unknown,,,,,,,,,,,,,,,,
Knock In,606341,40000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,Knock In,2020,,Tonkawa,Ignacio Toccalino,Unknown,,,,,,,,,,,,,,Sapo Caset,,
Shot At Goal (1),615510,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Tonkawa,Sapo Caset,Unknown,,133;45,Attacking 60,,,,,,,,,Shot At Goal,Wide,,,
Knock In (1),664332,40000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,Knock In,2020,,Old Hickory Bourbon,Stephen Orthwein,Unknown,,,,,,,,,,,,,,Miguel Novillo Astrada,,
Foul (2),698093,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Old Hickory Bourbon,Miguel Novillo Astrada,Unknown,Foul,110;89,Attacking Half,Penalty 60 yards,Cross/High Hook,,,,,,,,,,,
Foul Received (2),698093,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Tonkawa,Sapo Caset,Unknown,Foul Received,27;213,Defending Half,Penalty 60 yards,Cross/High Hook,,,,,,,,,,,
Penalty 60 yards,773581,15000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Tonkawa,Sapo Caset,Unknown,,73;74,Attacking 60,,,Penalty 60 yards,Goal,,,,,,,,,
Goal Tonkawa (1),756367,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Tonkawa,Sapo Caset,Unknown,,76;7,Attacking 30,,,,,Goal Tonkawa,,,,,,,,
Throw-in (3),808928,20000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,Throw-in,2020,Tonkawa win throw-in,Tonkawa,Ignacio Toccalino,Unknown,,,,,,,,,,,,,,,,
Foul (3),801746,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Tonkawa,Ignacio Toccalino,Unknown,Foul,72;154,Defending Half,Penalty 5,Turning,,,,,,,,,,,
Foul Received (3),801746,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Old Hickory Bourbon,Will Johnston,Unknown,Foul Received,75;145,Attacking Half,Penalty 5,Turning,,,,,,,,,,,
Penalty 5,867936,30000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,Penalty 5,2020,,Old Hickory Bourbon,Stephen Orthwein,Unknown,,,,,,,,,,,,,,,,
Foul (4),875303,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Old Hickory Bourbon,Miguel Novillo Astrada,Unknown,Foul,126;94,Attacking Half,Reversed Call,Right of Way,,,,,,,,,,,
Foul Received (4),875303,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Tonkawa,Sapo Caset,Unknown,Foul Received,14;198,Defending Half,Reversed Call,Right of Way,,,,,,,,,,,
Throw-in (4),956108,20000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,Throw-in,2020,Tonkawa win throw-in,Tonkawa,Sapo Caset,Unknown,,,,,,,,,,,,,,,,
Shot At Goal (2),972099,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Tonkawa,Ignacio Toccalino,Unknown,,38;38,Attacking 30,,,,,,,,,Shot At Goal,Blocked,,,
Shot Block,997099,10000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Old Hickory Bourbon,Miguel Novillo Astrada,Unknown,,,,,,,,,,,,,,,Shot Block,
Assist (1),982594,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Tonkawa,Sapo Caset,Unknown,,,,,,,,,,Unsuccessful,Sapo Caset,,,,,
Non Call,990583,20000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Team,,Unknown,Non Call,,,,Right of Way,,,,,,,,,,,
Shot At Goal (3),975268,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Tonkawa,Ignacio Toccalino,Unknown,,99;27,Attacking 30,,,,,,,,,Shot At Goal,Goal,,,
Goal Tonkawa (2),976586,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Tonkawa,Ignacio Toccalino,Unknown,,71;9,Attacking 30,,,,,Goal Tonkawa,,,,,,,,
Throw-in (5),1066067,20000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 2,Live,Throw-in,2020,Old Hickory Bourbon win throw-in,Old Hickory Bourbon,Victorino Ruiz Jorba,Unknown,,,,,,,,,,,,,,,,
Foul (5),1142319,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 2,Live,,2020,,Old Hickory Bourbon,Victorino Ruiz Jorba,Unknown,Foul,97;292,Defending 30,Penalty 30 yards,Blocking,,,,,,,,,,,
Foul Received (5),1142319,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 2,Live,,2020,,Tonkawa,Sapo Caset,Unknown,Foul Received,54;11,Attacking 30,Penalty 30 yards,Blocking,,,,,,,,,,,
Penalty 30 yards Spot,1194712,10000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 2,Live,,2020,,Tonkawa,Sapo Caset,Unknown,,51;17,Attacking 30,,,Penalty 30 yards Spot,Goal,,,,,,,,,
Goal Tonkawa (3),1171347,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 2,Live,,2020,,Tonkawa,Sapo Caset,Unknown,,75;8,Attacking 30,,,,,Goal Tonkawa,,,,,,,,
Throw-in (6),1225076,20000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 2,Live,Throw-in,2020,Old Hickory Bourbon win throw-in,Old Hickory Bourbon,Stephen Orthwein,Unknown,,,,,,,,,,,,,,,,
Shot At Goal (4),1232391,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 2,Live,,2020,,Tonkawa,Ignacio Toccalino,Unknown,,24;66,Attacking 60,,,,,,,,,Shot At Goal,Blocked,,,
Shot Block (1),1261896,10000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 2,Live,,2020,,Old Hickory Bourbon,Miguel Novillo Astrada,Unknown,,,,,,,,,,,,,,,Shot Block,
Shot At Goal (5),1286595,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 2,Live,,2020,,Tonkawa,Matt Coppola,Unknown,,32;18,Attacking 30,,,,,,,,,Shot At Goal,Blocked,,,
Shot Block (2),1311595,10000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 2,Live,,2020,,Old Hickory Bourbon,Will Johnston,Unknown,,26;38,Attacking 30,,,,,,,,,,,,Shot Block,
Shot At Goal (6),1293252,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 2,Live,,2020,,Tonkawa,Matt Coppola,Unknown,,73;6,Attacking 30,,,,,,,,,Shot At Goal,Goal,,,
Goal Tonkawa (4),1293252,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 2,Live,,2020,,Tonkawa,Matt Coppola,Unknown,,73;2,Attacking 30,,,,,Goal Tonkawa,,,,,,,,
Throw-in (7),1350384,20000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 2,Live,Throw-in,2020,Tonkawa win throw-in,Tonkawa,Ignacio Toccalino,Unknown,,,,,,,,,,,,,,,,
Free Hit,1372072,20000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 2,Live,Free Hit,2020,,Tonkawa,Ignacio Toccalino,Unknown,,,,,,,,,,,,,,,,
Shot At Goal (7),1376452,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 2,Live,,2020,,Tonkawa,Matt Coppola,Unknown,,128;38,Attacking 30,,,,,,,,,Shot At Goal,Wide,,,
Foul (6),1444704,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 2,Live,,2020,,Old Hickory Bourbon,Stephen Orthwein,Unknown,Foul,2;248,Defending 60,Penalty 30 yards,Right of Way,,,,,,,,,,,
Foul Received (6),1445254,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 2,Live,,2020,,Tonkawa,Sapo Caset,Unknown,Foul Received,134;49,Attacking 60,Penalty 30 yards,Right of Way,,,,,,,,,,,
Penalty 30 yards (1),1511600,15000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 2,Live,,2020,,Tonkawa,Sapo Caset,Unknown,,76;35,Attacking 30,,,Penalty 30 yards,Goal,,,,,,,,,
Goal Tonkawa (5),1493318,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 2,Live,,2020,,Tonkawa,Sapo Caset,Unknown,,77;7,Attacking 30,,,,,Goal Tonkawa,,,,,,,,
Throw-in (8),1544461,20000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 2,Live,Throw-in,2020,Old Hickory Bourbon win throw-in,Old Hickory Bourbon,Miguel Novillo Astrada,Unknown,,,,,,,,,,,,,,,,
Foul (7),1570162,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 2,Live,,2020,,Tonkawa,Matt Coppola,Unknown,Foul,122;284,Defending 30,Penalty 30 yards,Dangerous Riding,,,,,,,,,,,
Foul Received (7),1570963,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 2,Live,,2020,,Old Hickory Bourbon,Victorino Ruiz Jorba,Unknown,Foul Received,41;17,Attacking 30,Penalty 30 yards,Dangerous Riding,,,,,,,,,,,
Penalty 30 yards (2),1642430,15000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 2,Live,,2020,,Old Hickory Bourbon,Victorino Ruiz Jorba,Unknown,,80;30,Attacking 30,,,Penalty 30 yards,Goal,,,,,,,,,
Goal Old Hickory Bourbon (1),1623765,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 2,Live,,2020,,Old Hickory Bourbon,Victorino Ruiz Jorba,Unknown,,75;4,Attacking 30,,,,,Goal Old Hickory Bourbon,,,,,,,,
Throw-in (9),1733132,20000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,Throw-in,2020,Old Hickory Bourbon win throw-in,Old Hickory Bourbon,Victorino Ruiz Jorba,Unknown,,,,,,,,,,,,,,,,
Foul (8),1769111,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,,2020,,Tonkawa,Ignacio Toccalino,Unknown,Foul,53;230,Defending 60,Penalty 60 yards,Right of Way,,,,,,,,,,,
Foul Received (8),1769111,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,,2020,,Old Hickory Bourbon,Miguel Novillo Astrada,Unknown,Foul Received,73;75,Attacking 60,Penalty 60 yards,Right of Way,,,,,,,,,,,
Penalty 60 yards (1),1838809,15000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,,2020,,Old Hickory Bourbon,Victorino Ruiz Jorba,Unknown,,58;67,Attacking 60,,,Penalty 60 yards,Wide,,,,,,,,,
Knock In (2),1856438,40000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,Knock In,2020,,Tonkawa,Sapo Caset,Unknown,,,,,,,,,,,,,,,,
Foul (9),1866675,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,,2020,,Old Hickory Bourbon,Victorino Ruiz Jorba,Unknown,Foul,14;95,Attacking Half,Penalty 5,Sandwich,,,,,,,,,,,
Foul Received (9),1866675,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,,2020,,Tonkawa,Sapo Caset,Unknown,Foul Received,134;188,Defending Half,Penalty 5,Sandwich,,,,,,,,,,,
Penalty 5 (1),1988721,30000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,Penalty 5,2020,,Tonkawa,Sapo Caset,Unknown,,,,,,,,,,,,,,,,
Shot At Goal (8),1980854,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,,2020,,Tonkawa,Sapo Caset,Unknown,,76;11,Attacking 30,,,,,,,,,Shot At Goal,Goal,,,
Goal Tonkawa (6),1980854,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,,2020,,Tonkawa,Sapo Caset,Unknown,,74;6,Attacking 30,,,,,Goal Tonkawa,,,,,,,,Goals
Assist (2),1995854,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,,2020,,Tonkawa,Ignacio Toccalino,Unknown,,,,,,,,,,Successful,Ignacio Toccalino,,,,,
Throw-in (10),2038287,20000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,Throw-in,2020,Old Hickory Bourbon win throw-in,Old Hickory Bourbon,Miguel Novillo Astrada,Unknown,,,,,,,,,,,,,,,,
Shot At Goal (9),2035926,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,,2020,,Old Hickory Bourbon,Will Johnston,Unknown,,43;16,Attacking 30,,,,,,,,,Shot At Goal,Wide,,,
Assist (3),2051343,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,,2020,,Old Hickory Bourbon,Victorino Ruiz Jorba,Unknown,,,,,,,,,,Unsuccessful,Victorino Ruiz Jorba,,,,,
Knock In (3),2080161,40000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,Knock In,2020,,Tonkawa,Sapo Caset,Unknown,,,,,,,,,,,,,,,,
Foul (10),2085710,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,,2020,,Tonkawa,Matt Coppola,Unknown,Foul,13;235,Defending 60,Penalty 60 yards,Right of Way,,,,,,,,,,,
Foul Received (10),2085710,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,,2020,,Old Hickory Bourbon,Miguel Novillo Astrada,Unknown,Foul Received,137;47,Attacking 60,Penalty 60 yards,Right of Way,,,,,,,,,,,
Penalty 60 yards (2),2201121,15000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,,2020,,Old Hickory Bourbon,Victorino Ruiz Jorba,Unknown,,85;72,Attacking 60,,,Penalty 60 yards,Goal,,,,,,,,,
Goal Old Hickory Bourbon (2),2184457,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,,2020,,Old Hickory Bourbon,Victorino Ruiz Jorba,Unknown,,76;9,Attacking 30,,,,,Goal Old Hickory Bourbon,,,,,,,,
Throw-in (11),2233148,20000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,Throw-in,2020,Tonkawa win throw-in,Tonkawa,Sapo Caset,Unknown,,,,,,,,,,,,,,,,
Foul (11),2269493,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,,2020,,Tonkawa,Sapo Caset,Unknown,Foul,87;74,Attacking 60,Penalty 5B,Dangerous Riding,,,,,,,,,,,
Foul Received (11),2269493,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,,2020,,Old Hickory Bourbon,Stephen Orthwein,Unknown,Foul Received,76;231,Defending 60,Penalty 5B,Dangerous Riding,,,,,,,,,,,
Non Call (1),2267273,20000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,,2020,,Team,,Unknown,Non Call,,,,Right of Way,,,,,,,,,,,
Penalty 5b (1),2474872,30000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,Penalty 5b,2020,,Old Hickory Bourbon,Victorino Ruiz Jorba,Unknown,,,,,,,,,,,,,,,,
Assist (4),2513304,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,,2020,,Tonkawa,Ignacio Toccalino,Unknown,,,,,,,,,,Unsuccessful,Ignacio Toccalino,,,,,
Free Hit (1),2548195,20000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,Free Hit,2020,,Tonkawa,Sapo Caset,Unknown,,,,,,,,,,,,,,,,
Shot At Goal (10),2533205,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,,2020,,Tonkawa,Matt Coppola,Unknown,,117;40,Attacking 60,,,,,,,,,Shot At Goal,Wide,,,
Assist (5),2548205,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,,2020,,Tonkawa,Ignacio Toccalino,Unknown,,,,,,,,,,Unsuccessful,Ignacio Toccalino,,,,,
