Name,Position,Duration,Chukka,Player,Team,Foul,Foul Outcome,Foul Type,Goal,Location,General Field Area,Umpire Focal,Umpire Trailing,Set Play,Throw-in Outcome,Assist,Assist Outcome,Camera Angle,Chukka Length,Club,Game,Highlight Reel,Instant Replay Official,Knock-in Player 2,Match Date,Penalties,Penalty Outcome,Search Event,Shot At Goal,Shot At Goal Outcome,Stage,Third Umpire,Tournament,Umpire 1,Umpire 2,Year
Foul (12),4641866,25000,Chukka 5,David Stirling,Las Monjitas,Foul,Penalty 5,Blocking,,33;192,Defending Half,16;167,62;206,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Foul Received (12),4641866,25000,Chukka 5,Julian de Lusarreta,Coca-Cola,Foul Received,Penalty 5,Blocking,,112;109,Attacking Half,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Shot At Goal (30),4953066,35000,Chukka 5,Julian de Lusarreta,Coca-Cola,,,,,81;31,Attacking 30,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,Shot At Goal,Goal,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Goal Coca-Cola (5),4955500,35000,Chukka 5,Julian de Lusarreta,Coca-Cola,,,,Goal Coca-Cola,76;11,Attacking 30,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Penalty 5 (6),4973496,30000,Chukka 5,Nicolas Pieres,Coca-Cola,,,,,,,,,Penalty 5,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Assist (10),4975866,25000,Chukka 5,Nicolas Pieres,Coca-Cola,,,,,,,,,,,Nicolas Pieres,Successful,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Throw-in (16),5007500,20000,Chukka 5,David Stirling,Las Monjitas,,,,,,,,,Throw-in,Las Monjitas win throw-in,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Foul (13),5051966,25000,Chukka 5,David Stirling,Las Monjitas,Foul,Penalty 60 yards,Blocking,,25;204,Defending Half,18;197,76;211,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Foul Received (13),5051966,25000,Chukka 5,Julian de Lusarreta,Coca-Cola,Foul Received,Penalty 60 yards,Blocking,,116;113,Attacking Half,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Goal Coca-Cola (6),5269766,35000,Chukka 5,Nicolas Pieres,Coca-Cola,,,,Goal Coca-Cola,,,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Penalty 60 yards,5287100,15000,Chukka 5,Nicolas Pieres,Coca-Cola,,,,,,,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,Penalty 60 yards,Goal,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Throw-in (17),5319100,20000,Chukka 5,Julian de Lusarreta,Coca-Cola,,,,,,,,,Throw-in,Las Monjitas win throw-in,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Foul (14),5352466,25000,Chukka 5,Francisco Elizalde,Las Monjitas,Foul,Penalty 30 yards,Right of Way,,115;195,Defending Half,138;226,82;195,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Foul Received (14),5352466,25000,Chukka 5,Nicolas Pieres,Coca-Cola,Foul Received,Penalty 30 yards,Right of Way,,28;111,Attacking Half,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Goal Coca-Cola (7),5488000,35000,Chukka 6,Nicolas Pieres,Coca-Cola,,,,Goal Coca-Cola,,,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Penalty 30 yards (3),5505618,15000,Chukka 6,Nicolas Pieres,Coca-Cola,,,,,,,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,Penalty 30 yards,Goal,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Chukka Length (5),5514086,459613,Chukka 6,,Team,,,,,,,,,,,,,Live,Chukka Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Shot At Goal (31),5531933,35000,Chukka 6,Gillian Johnston,Coca-Cola,,,,,48;7,Attacking 30,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,Shot At Goal,Wide,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Throw-in (18),5542266,20000,Chukka 6,Julian de Lusarreta,Coca-Cola,,,,,,,,,Throw-in,Coca-Cola win throw-in,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Assist (11),5546933,25000,Chukka 6,Julian de Lusarreta,Coca-Cola,,,,,,,,,,,Julian de Lusarreta,Unsuccessful,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Knock In (11),5578433,40000,Chukka 6,David Stirling,Las Monjitas,,,,,,,,,Knock In,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,Francisco Elizalde,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Shot At Goal (32),5584800,35000,Chukka 6,David Stirling,Las Monjitas,,,,,72;72,Attacking 60,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,Shot At Goal,Wide,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Assist (12),5605333,25000,Chukka 6,Francisco Elizalde,Las Monjitas,,,,,,,,,,,Francisco Elizalde,Unsuccessful,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Knock In (12),5628033,40000,Chukka 6,Julian de Lusarreta,Coca-Cola,,,,,,,,,Knock In,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,Nicolas Pieres,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Foul (15),5690166,25000,Chukka 6,Nicolas Pieres,Coca-Cola,Foul,Penalty 30 yards,Right of Way,,126;220,Defending Half,23;240,83;208,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Foul Received (15),5690166,25000,Chukka 6,Francisco Elizalde,Las Monjitas,Foul Received,Penalty 30 yards,Right of Way,,23;86,Attacking Half,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Goal Las Monjitas (11),5720966,35000,Chukka 6,Francisco Elizalde,Las Monjitas,,,,Goal Las Monjitas,,,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Penalty 30 yards (4),5739700,15000,Chukka 6,Francisco Elizalde,Las Monjitas,,,,,,,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,Penalty 30 yards,Goal,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Throw-in (19),5772283,20000,Chukka 6,Camilo Bautista,Las Monjitas,,,,,,,,,Throw-in,Las Monjitas win throw-in,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Shot At Goal (33),5774266,35000,Chukka 6,Camilo Bautista,Las Monjitas,,,,,56;13,Attacking 30,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,Shot At Goal,Miss Hit,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Shot At Goal (34),5776333,35000,Chukka 6,David Stirling,Las Monjitas,,,,,57;12,Attacking 30,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,Shot At Goal,Short,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Shot At Goal (35),5779400,35000,Chukka 6,Mackenzie Weisz,Las Monjitas,,,,,101;6,Attacking 30,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,Shot At Goal,Wide,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Shot At Goal (36),5806066,35000,Chukka 6,Gillian Johnston,Coca-Cola,,,,,91;56,Attacking 60,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,Shot At Goal,Goal,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Goal Coca-Cola (8),5810800,35000,Chukka 6,Gillian Johnston,Coca-Cola,,,,Goal Coca-Cola,73;2,Attacking 30,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Knock In (13),5815500,40000,Chukka 6,Julian de Lusarreta,Coca-Cola,,,,,,,,,Knock In,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Assist (13),5829333,25000,Chukka 6,Steve Krueger,Coca-Cola,,,,,,,,,,,Steve Krueger,Successful,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Shot At Goal (37),5854666,35000,Chukka 6,David Stirling,Las Monjitas,,,,,106;112,Attacking Half,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,Shot At Goal,Wide,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Throw-in (20),5870700,20000,Chukka 6,David Stirling,Las Monjitas,,,,,,,,,Throw-in,Las Monjitas win throw-in,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Knock In (14),5899866,40000,Chukka 6,Julian de Lusarreta,Coca-Cola,,,,,,,,,Knock In,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,Nicolas Pieres,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Injury Time,5973700,106966,Chukka 6,,Team,,,,,,,,,,,,,Live,Injury Time,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Throw-in (21),6083966,20000,Chukka 6,Francisco Elizalde,Las Monjitas,,,,,,,,,Throw-in,Las Monjitas win throw-in,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Chukka Length (6),6088866,78060,Chukka 6,,Team,,,,,,,,,,,,,Live,Chukka Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
