Name,Position,Duration,Game,Tournament,Stage,Search Event,Match Date,Umpire 2,Third Umpire,Umpire 1,Instant Replay Official,Club,Shot At Goal,Camera Angle,Chukka,Year,Location,General Field Area,Player,Team,Shot At Goal Outcome,Chukka Length,Set Play,Throw-in Outcome,Assist Outcome,Assist,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Goal,Penalties,Penalty Outcome,Knock-in Player 2,Collision,Highlight Reel
Foul Received (15),5364800,25000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 5,2020,12;79,Attacking Half,Mariano Obregon,Dutta Corp,,,,,,,Foul Received,Right of Way,Penalty 5,,,,,,,,
Chukka Length (5),5628733,512200,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 6,2020,,,,Team,,Chukka Length,,,,,,,,,,,,,,,
Penalty 5 (5),5628733,30000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 6,2020,,,Facundo Obregon,Dutta Corp,,,Penalty 5,,,,,,,,,,,,,,
Free Hit (2),5700166,20000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 6,2020,,,Mariano Gonzalez,Equuleus,,,Free Hit,,,,,,,,,,,,,,
Foul (17),5734033,25000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 6,2020,112;48,Attacking 60,Aiden Meeker,Equuleus,,,,,,,Foul,Right of Way,Penalty 5,41;103,119;102,,,,,,
Foul Received (16),5734033,25000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 6,2020,30;239,Defending 60,Facundo Obregon,Dutta Corp,,,,,,,Foul Received,Right of Way,Penalty 5,,,,,,,,
Penalty 5 (6),5804000,30000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 6,2020,,,Facundo Obregon,Dutta Corp,,,Penalty 5,,,,,,,,,,,,,,
Shot At Goal (21),5831800,35000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,Shot At Goal,Live,Chukka 6,2020,75;11,Attacking 30,Timmy Dutta,Dutta Corp,Goal,,,,,,,,,,,,,,,,
Goal Dutta Corp (10),5834233,35000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 6,2020,74;6,Attacking 30,Timmy Dutta,Dutta Corp,,,,,,,,,,,,Goal Dutta Corp,,,,,Goals
Assist (4),5849333,25000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 6,2020,,,Facundo Obregon,Dutta Corp,,,,,Successful,Facundo Obregon,,,,,,,,,,,
Throw-in (17),5892950,20000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 6,2020,,,Lucas Diaz Alberdi,Dutta Corp,,,Throw-in,Dutta Corp win throw-in,,,,,,,,,,,,,
Shot At Goal (22),5942033,35000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,Shot At Goal,Live,Chukka 6,2020,93;47,Attacking 60,Inaki Laprida,Equuleus,Wide,,,,,,,,,,,,,,,,
Knock In (9),5990500,40000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 6,2020,,,Lucas Diaz Alberdi,Dutta Corp,,,Knock In,,,,,,,,,,,,Timmy Dutta,,
Shot At Goal (23),5995766,35000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,Shot At Goal,Live,Chukka 6,2020,92;29,Attacking 30,Magoo Laprida,Equuleus,Wide,,,,,,,,,,,,,,,,
Assist (5),6013933,25000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 6,2020,,,Inaki Laprida,Equuleus,,,,,Unsuccessful,Inaki Laprida,,,,,,,,,,,
Shot At Goal (24),6036433,35000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,Shot At Goal,Live,Chukka 6,2020,91;39,Attacking 60,Magoo Laprida,Equuleus,Wide,,,,,,,,,,,,,,,,
Knock In (10),6044600,40000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 6,2020,,,Facundo Obregon,Dutta Corp,,,Knock In,,,,,,,,,,,,,,
Assist (6),6052333,25000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 6,2020,,,Mariano Gonzalez,Equuleus,,,,,Unsuccessful,Mariano Gonzalez,,,,,,,,,,,
Shot At Goal (25),6073100,35000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,Shot At Goal,Live,Chukka 6,2020,74;31,Attacking 30,Magoo Laprida,Equuleus,Goal,,,,,,,,,,,,,,,,
Knock In (11),6075100,40000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 6,2020,,,Facundo Obregon,Dutta Corp,,,Knock In,,,,,,,,,,,,,,
Goal Equuleus (5),6076666,35000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 6,2020,77;8,Attacking 30,Magoo Laprida,Equuleus,,,,,,,,,,,,Goal Equuleus,,,,,
Assist (7),6092333,25000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 6,2020,,,Mariano Gonzalez,Equuleus,,,,,Successful,Mariano Gonzalez,,,,,,,,,,,
