Name,Position,Duration,Chukka,Player,Team,General Field Area,Camera Angle,Club,Game,Instant Replay Official,Location,Match Date,Search Event,Shot At Goal,Shot At Goal Outcome,Tournament,Umpire 1,Umpire 2,Year,Stage,Third Umpire,Set Play,Foul,Foul Outcome,Foul Type,Umpire Trailing,Umpire Focal,Goal,Assist,Assist Outcome,Throw-in Outcome,Penalties,Penalty Outcome,Chukka Length,Knock-in Player 2,Penalty Block,Highlight Reel,Collision
Penalty 40 yards (2),4477666,15000,Chukka 6,Mariano Gonzalez,Equuleus,,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,,,,,,,,,,,Penalty 40 yards,Goal,,,,,
Throw-in (15),4512666,20000,Chukka 6,Francisco Elizalde,Las Monjitas,,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,Throw-in,,,,,,,,,Las Monjitas win throw-in,,,,,,,
Foul (10),4554300,25000,Chukka 6,Francisco Elizalde,Las Monjitas,Attacking Half,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,76;99,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,,Foul,Penalty 5,Right of Way,114;98,19;124,,,,,,,,,,,
Foul Received (10),4554300,25000,Chukka 6,Ignacio Laprida,Equuleus,Defending Half,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,64;199,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,,Foul Received,Penalty 5,Right of Way,,,,,,,,,,,,,
Shot At Goal (27),4609566,35000,Chukka 6,Mackenzie Weisz,Las Monjitas,Attacking 60,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,41;44,February 09. 2020,Search Livestream,Shot At Goal,Wide,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,,,,,,,,,,,,,,,,,
Penalty 5 (2),4619957,30000,Chukka 6,Mariano Gonzalez,Equuleus,,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,Penalty 5,,,,,,,,,,,,,,,,
Knock In (13),4656166,40000,Chukka 6,Mariano Gonzalez,Equuleus,,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,Knock In,,,,,,,,,,,,,,,,
Foul (11),4675200,25000,Chukka 6,Christian Laprida,Equuleus,Defending Half,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,3;159,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,,Foul,Penalty 5,Right of Way,141;161,89;130,,,,,,,,,,,
Foul Received (11),4675200,25000,Chukka 6,David Stirling,Las Monjitas,Attacking Half,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,146;139,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,,Foul Received,Penalty 5,Right of Way,,,,,,,,,,,,,
Penalty 5 (3),4707266,30000,Chukka 6,David Stirling,Las Monjitas,,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,Penalty 5,,,,,,,,,,,,,,,,
Collision (1),4715000,15000,Chukka 6,Mackenzie Weisz,Las Monjitas,,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,,,,,,,,,,,,,,,,,Collision
Injury Time (1),4720033,239700,Chukka 6,,Team,,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,,,,,,,,,,,,,Injury Time,,,,
Shot At Goal (28),4952866,35000,Chukka 6,Francisco Elizalde,Las Monjitas,Attacking 30,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,70;15,February 09. 2020,Search Livestream,Shot At Goal,Goal,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,,,,,,,,,,,,,,,,,
Goal Las Monjitas (8),4954133,35000,Chukka 6,Francisco Elizalde,Las Monjitas,Attacking 30,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,73;7,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,,,,,,,Goal Las Monjitas,,,,,,,,,,
Throw-in (16),4955266,20000,Chukka 6,Ignacio Laprida,Equuleus,,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,Throw-in,,,,,,,,,Equuleus win throw-in,,,,,,,
Assist (10),4970666,25000,Chukka 6,Mackenzie Weisz,Las Monjitas,,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,,,,,,,,Mackenzie Weisz,Successful,,,,,,,,
Shot At Goal (29),4996333,35000,Chukka 6,Francisco Elizalde,Las Monjitas,Attacking 30,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,70;25,February 09. 2020,Search Livestream,Shot At Goal,Goal,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,,,,,,,,,,,,,,,,,
Goal Las Monjitas (9),4998466,35000,Chukka 6,Francisco Elizalde,Las Monjitas,Attacking 30,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,75;7,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,,,,,,,Goal Las Monjitas,,,,,,,,,Goals,
Throw-in (17),5010366,20000,Chukka 6,Francisco Elizalde,Las Monjitas,,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,Throw-in,,,,,,,,,Las Monjitas win throw-in,,,,,,,
Throw-in (18),5052033,20000,Chukka 6,David Stirling,Las Monjitas,,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,Throw-in,,,,,,,,,Las Monjitas win throw-in,,,,,,,
Foul (12),5085333,25000,Chukka 6,Francisco Elizalde,Las Monjitas,Attacking Half,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,126;107,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,,Foul,Penalty 60 yards,Right of Way,140;179,71;203,,,,,,,,,,,
Foul Received (12),5085333,25000,Chukka 6,Ignacio Laprida,Equuleus,Defending Half,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,18;188,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,,Foul Received,Penalty 60 yards,Right of Way,,,,,,,,,,,,,
Penalty 60 yards (3),5209100,15000,Chukka 6,Mariano Gonzalez,Equuleus,,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,,,,,,,,,,,Penalty 60 yards,Blocked,,,,,
Penalty Block,5216833,10000,Chukka 6,David Stirling,Las Monjitas,,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,,,,,,,,,,,,,,,Penalty Block,,
Safety 60,5264658,15000,Chukka 6,Mariano Gonzalez,Equuleus,,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,,,,,,,,,,,Safety 60,Wide,,,,,
Knock In (14),5290733,40000,Chukka 6,David Stirling,Las Monjitas,,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,Knock In,,,,,,,,,,,,,Mackenzie Weisz,,,
