Name,Position,Duration,Tournament,Umpire 1,Umpire 2,Third Umpire,Camera Angle,Club,Instant Replay Official,Search Event,Year,Chukka,Game,Match Date,Stage,Team,Chukka Length,Set Play,Throw-in Outcome,Player,Shot At Goal,Location,General Field Area,Shot At Goal Outcome,Penalty Block,Knock-in Player 2,Goal,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Highlight Reel,Assist Outcome,Assist,Collision
Penalty Block,2589517,10000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 4,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,,,Jeff Hall,,,,,Penalty Block,,,,,,,,,,,,,
Knock In (10),2622749,40000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 4,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,Knock In,,Pablo Polito Pieres,,,,,,,,,,,,,,,,,,
Shot At Goal (16),2626245,35000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 4,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,,,Pablo Polito Pieres,Shot At Goal,64;47,Attacking 60,Goal,,,,,,,,,,,,,,
Goal La Indiana (7),2628347,35000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 4,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,,,Pablo Polito Pieres,,66;36,Attacking 30,,,,Goal La Indiana,,,,,,,,Goals,,,
Assist (4),2643714,25000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 4,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,,,Michael Bickford,,,,,,,,,,,,,,,,Successful,Michael Bickford,
Chukka Length (5),2674908,754754,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 5,La Indiana vs Park Place,February 08. 2020,Group,Team,Chukka Length,,,,,,,,,,,,,,,,,,,,,
Throw-in (9),2674913,20000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 5,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,Throw-in,La Indiana win throw-in,Jeff Hall,,,,,,,,,,,,,,,,,,
Foul (10),2707054,25000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 5,La Indiana vs Park Place,February 08. 2020,Group,Park Place,,,,Hilario Ulloa,,133;54,Attacking 60,,,,,Foul,Crossing,Penalty 5B,26;118,147;90,,,,,,
Foul Received (10),2707054,25000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 5,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,,,Jeff Hall,,10;247,Defending 60,,,,,Foul Received,Crossing,Penalty 5B,,,,,,,,
Penalty 5b (3),2780652,30000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 5,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,Penalty 5b,,Pablo Polito Pieres,,,,,,,,,,,,,,,,,,
Foul (11),2843791,25000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 5,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,,,Jeff Hall,,80;193,Defending Half,,,,,Foul,Crossing,Penalty 30 yards,8;167,89;167,,,,,,
Foul Received (11),2843791,25000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 5,La Indiana vs Park Place,February 08. 2020,Group,Park Place,,,,Alfredo Bigatti,,69;108,Attacking Half,,,,,Foul Received,Crossing,Penalty 30 yards,,,,,,,,
Goal Park Place (4),2876873,35000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 5,La Indiana vs Park Place,February 08. 2020,Group,Park Place,,,,Alfredo Bigatti,,,,,,,Goal Park Place,,,,,,,,,,,
Penalty 30 yards (3),2895071,15000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 5,La Indiana vs Park Place,February 08. 2020,Group,Park Place,,,,Alfredo Bigatti,,,,,,,,,,,,,Penalty 30 yards,Goal,,,,
Throw-in (11),2947319,20000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 5,La Indiana vs Park Place,February 08. 2020,Group,Park Place,,Throw-in,Park Place win throw-in,Sterling Giannico,,,,,,,,,,,,,,,,,,
Shot At Goal (18),2956686,35000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 5,La Indiana vs Park Place,February 08. 2020,Group,Park Place,,,,Alfredo Bigatti,Shot At Goal,57;47,Attacking 60,Wide,,,,,,,,,,,,,,
Assist (5),2973855,25000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 5,La Indiana vs Park Place,February 08. 2020,Group,Park Place,,,,Hilario Ulloa,,,,,,,,,,,,,,,,Unsuccessful,Hilario Ulloa,
Shot At Goal (19),2999763,35000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 5,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,,,Santiago Gomez Romero,Shot At Goal,91;13,Attacking 30,Goal,,,,,,,,,,,,,,
Goal La Indiana (8),3002265,35000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 5,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,,,Santiago Gomez Romero,,73;6,Attacking 30,,,,Goal La Indiana,,,,,,,,Goals,,,
Knock In (11),3003807,40000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 5,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,Knock In,,Jeff Hall,,,,,,Pablo Polito Pieres,,,,,,,,,,,,
Assist (6),3017832,25000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 5,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,,,Pablo Polito Pieres,,,,,,,,,,,,,,,,Successful,Pablo Polito Pieres,
Foul (12),3057838,25000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 5,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,,,Michael Bickford,,71;163,Defending Half,,,,,Foul,Turning,Penalty 5,14;151,114;167,,,,,,
Foul Received (12),3057838,25000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 5,La Indiana vs Park Place,February 08. 2020,Group,Park Place,,,,Hilario Ulloa,,59;131,Attacking Half,,,,,Foul Received,Turning,Penalty 5,,,,,,,,
Throw-in (13),3061132,20000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 5,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,Throw-in,La Indiana win throw-in,Pablo Polito Pieres,,,,,,,,,,,,,,,,,,
Penalty 5 (1),3097802,30000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 5,La Indiana vs Park Place,February 08. 2020,Group,Park Place,,Penalty 5,,Hilario Ulloa,,,,,,,,,,,,,,,,,,
Shot At Goal (20),3133897,35000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 5,La Indiana vs Park Place,February 08. 2020,Group,Park Place,,,,Hilario Ulloa,Shot At Goal,91;51,Attacking 60,Goal,,,,,,,,,,,,,,
Goal Park Place (5),3137100,35000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 5,La Indiana vs Park Place,February 08. 2020,Group,Park Place,,,,Hilario Ulloa,,73;7,Attacking 30,,,,Goal Park Place,,,,,,,,,,,
Assist (7),3152767,25000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 5,La Indiana vs Park Place,February 08. 2020,Group,Park Place,,,,Sterling Giannico,,,,,,,,,,,,,,,,Successful,Sterling Giannico,
Throw-in (15),3198403,20000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 5,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,Throw-in,La Indiana win throw-in,Pablo Polito Pieres,,,,,,,,,,,,,,,,,,
Goal La Indiana (9),3217895,35000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 5,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,,,Pablo Polito Pieres,,,,,,,Goal La Indiana,,,,,,,,,,,
Foul (13),3217998,25000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 5,La Indiana vs Park Place,February 08. 2020,Group,Park Place,,,,Sterling Giannico,,11;252,Defending 60,,,,,Foul,Dangerous Riding,Penalty 60 yards,2;243,86;206,,,,,,
Foul Received (13),3217998,25000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 5,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,,,Pablo Polito Pieres,,137;48,Attacking 60,,,,,Foul Received,Dangerous Riding,Penalty 60 yards,,,,,,,,
Penalty 60 yards (3),3235860,15000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 5,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,,,Pablo Polito Pieres,,,,,,,,,,,,,Penalty 60 yards,Goal,,,,
Throw-in (17),3266219,20000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 5,La Indiana vs Park Place,February 08. 2020,Group,Park Place,,Throw-in,Park Place win throw-in,Sterling Giannico,,,,,,,,,,,,,,,,,,
Chukka Length (7),3313549,356756,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 6,La Indiana vs Park Place,February 08. 2020,Group,Team,Chukka Length,,,,,,,,,,,,,,,,,,,,,
Throw-in (18),3313554,20000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 6,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,Throw-in,La Indiana win throw-in,Santiago Gomez Romero,,,,,,,,,,,,,,,,,,
Non Call (5),3315063,20000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 6,La Indiana vs Park Place,February 08. 2020,Group,Team,,,,,,,,,,,,Non Call,Right of Way,,,,,,,,,
Shot At Goal (21),3356188,35000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 6,La Indiana vs Park Place,February 08. 2020,Group,Park Place,,,,Hilario Ulloa,Shot At Goal,95;61,Attacking 60,Blocked,,,,,,,,,,,,,,
Shot At Goal (22),3381980,35000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 6,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,,,Pablo Polito Pieres,Shot At Goal,62;20,Attacking 30,Goal,,,,,,,,,,,,,,
Shot Block,3383290,10000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 6,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,,,Pablo Polito Pieres,,,,,Shot Block,,,,,,,,,,,,,
Goal La Indiana (10),3385851,35000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 6,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,,,Pablo Polito Pieres,,80;6,Attacking 30,,,,Goal La Indiana,,,,,,,,,,,
Throw-in (19),3446620,20000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 6,La Indiana vs Park Place,February 08. 2020,Group,Park Place,,Throw-in,Park Place win throw-in,Andrey Borodin,,,,,,,,,,,,,,,,,,
Shot At Goal (23),3469101,35000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 6,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,,,Michael Bickford,Shot At Goal,,,Goal,,,,,,,,,,,,,,
Goal La Indiana (11),3470335,35000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 6,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,,,Michael Bickford,,72;4,Attacking 30,,,,Goal La Indiana,,,,,,,,Goals,,,
Assist (8),3485669,25000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 6,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,,,Jeff Hall,,,,,,,,,,,,,,,,Successful,Jeff Hall,
Throw-in (20),3523163,20000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 6,La Indiana vs Park Place,February 08. 2020,Group,Park Place,,Throw-in,Park Place win throw-in,Hilario Ulloa,,,,,,,,,,,,,,,,,,
Foul (14),3525875,25000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 6,La Indiana vs Park Place,February 08. 2020,Group,Park Place,,,,Hilario Ulloa,,112;109,Attacking Half,,,,,Foul,Appealing,Penalty 5,22;131,130;135,,,,,,
Yellow Card (1),3555696,10000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 6,La Indiana vs Park Place,February 08. 2020,Group,Park Place,,,,Hilario Ulloa,,,,,,,,Yellow Card,Appealing,Penalty 5,,,,,,,,
Penalty 5 (2),3583824,30000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 6,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,Penalty 5,,Pablo Polito Pieres,,,,,,,,,,,,,,,,,,
Chukka Length (9),3605072,227060,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 6,La Indiana vs Park Place,February 08. 2020,Group,Team,Chukka Length,,,,,,,,,,,,,,,,,,,,,
Knock In (12),3637176,40000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 6,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,Knock In,,Jeff Hall,,,,,,Pablo Polito Pieres,,,,,,,,,,,,
Goal Park Place (6),3642206,35000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 6,La Indiana vs Park Place,February 08. 2020,Group,Park Place,,,,Alfredo Bigatti,,,,,,,Goal Park Place,,,,,,,,,,,
Foul (15),3642625,25000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 6,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,,,Santiago Gomez Romero,,67;171,Defending Half,,,,,Foul,Dangerous Riding,Penalty 40 yards,21;86,128;118,,,,,,
Foul Received (14),3642625,25000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 6,La Indiana vs Park Place,February 08. 2020,Group,Park Place,,,,Hilario Ulloa,,78;120,Attacking Half,,,,,Foul Received,Dangerous Riding,Penalty 40 yards,,,,,,,,
Injury Time (1),3655039,231130,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 6,La Indiana vs Park Place,February 08. 2020,Group,Team,Injury Time,,,,,,,,,,,,,,,,,,,,,
Yellow Card (2),3656029,10000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 6,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,,,Santiago Gomez Romero,,,,,,,,Yellow Card,Dangerous Riding,Penalty 40 yards,,,,,,,,
Penalty 40 yards (1),3660604,15000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 6,La Indiana vs Park Place,February 08. 2020,Group,Park Place,,,,Alfredo Bigatti,,,,,,,,,,,,,Penalty 40 yards,Goal,,,,
Throw-in (21),3698137,20000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 6,La Indiana vs Park Place,February 08. 2020,Group,Park Place,,Throw-in,Park Place win throw-in,Sterling Giannico,,,,,,,,,,,,,,,,,,
Knock In (13),3734172,40000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 6,La Indiana vs Park Place,February 08. 2020,Group,La Indiana,,Knock In,,Pablo Polito Pieres,,,,,,,,,,,,,,,,,,
Free Hit,3773679,20000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,,Chukka 6,La Indiana vs Park Place,February 08. 2020,Group,Park Place,,Free Hit,,Hilario Ulloa,,,,,,,,,,,,,,,,,,
