Name,Position,Duration,Chukka,Team,Player,Foul,Foul Type,Foul Outcome,Goal,Set Play,General Field Area,Location,Assist,Assist Outcome,Camera Angle,Chukka Length,Club,Game,Highlight Reel,Instant Replay Official,Knock-in Player 2,Match Date,Penalties,Penalty Outcome,Search Event,Shot At Goal,Shot At Goal Outcome,Stage,Third Umpire,Throw-in Outcome,Tournament,Umpire 1,Umpire 2,Umpire Focal,Umpire Trailing,Year,Penalty Block
Penalty 40 yards,5373633,15000,Chukka 5,La Indiana,Facundo Obregon,,,,,,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,Penalty 40 yards,Goal,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Shot At Goal (30),5400600,35000,Chukka 5,Pilot,Facundo Pieres,,,,,,Defending Half,23;209,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,Shot At Goal,Miss Hit,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Throw-in (18),5405433,20000,Chukka 5,La Indiana,Facundo Obregon,,,,,Throw-in,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,La Indiana win throw-in,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Foul (20),5425500,25000,Chukka 5,La Indiana,Facundo Obregon,Foul,Right of Way,Penalty 5,,,Attacking Half,3;92,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,7;83,89;115,2020,
Foul Received (20),5425500,25000,Chukka 5,Pilot,Gonzalito Pieres,Foul Received,Right of Way,Penalty 5,,,Defending Half,145;186,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Shot At Goal (31),5457033,35000,Chukka 5,Pilot,Facundo Pieres,,,,,,Attacking 30,55;38,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,Shot At Goal,Short,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Penalty 5 (8),5459385,30000,Chukka 5,Pilot,Facundo Pieres,,,,,Penalty 5,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Foul Received (21),5478666,25000,Chukka 5,Pilot,Facundo Pieres,Foul Received,Crossing,Penalty 1,,,Defending 30,93;283,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Foul (21),5478666,25000,Chukka 5,La Indiana,Michael Bickford,Foul,Crossing,Penalty 1,,,Attacking 30,58;16,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,34;34,84;52,2020,
Goal Pilot (7),5487966,35000,Chukka 5,Pilot,Facundo Pieres,,,,Goal Pilot,,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Penalty 1,5512966,10000,Chukka 5,Pilot,Facundo Pieres,,,,,,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,Penalty 1,Goal,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Shot At Goal (32),5541133,35000,Chukka 5,Pilot,Facundo Pieres,,,,,,Attacking Half,112;85,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,Shot At Goal,Blocked,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Penalty 5b (2),5553700,30000,Chukka 5,Pilot,Facundo Pieres,,,,,Penalty 5b,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Shot At Goal (33),5560900,35000,Chukka 5,Pilot,Facundo Pieres,,,,,,Attacking 30,100;20,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,Shot At Goal,Goal,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Goal Pilot (8),5563700,35000,Chukka 5,Pilot,Facundo Pieres,,,,Goal Pilot,,Attacking 30,71;4,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Shot Block (3),5572066,10000,Chukka 5,La Indiana,Santiago Gomez Romero,,,,,,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,Shot Block
Throw-in (19),5895666,20000,Chukka 6,La Indiana,Facundo Obregon,,,,,Throw-in,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,La Indiana win throw-in,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Chukka Length (6),5898300,1104360,Chukka 6,Team,,,,,,,,,,,Live,Chukka Length,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Shot At Goal (34),5972100,35000,Chukka 6,La Indiana,Michael Bickford,,,,,,Attacking 30,103;36,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,Shot At Goal,Miss Hit,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Foul (22),5999766,25000,Chukka 6,Pilot,Facundo Pieres,Foul,Dangerous Riding,Penalty 40 yards,,,Defending 60,44;272,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,12;242,47;263,2020,
Foul Received (22),5999766,25000,Chukka 6,La Indiana,Polito Pieres,Foul Received,Dangerous Riding,Penalty 40 yards,,,Attacking 30,107;24,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Goal La Indiana (11),6233000,35000,Chukka 6,La Indiana,Facundo Obregon,,,,Goal La Indiana,,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Penalty 40 yards (1),6249933,15000,Chukka 6,La Indiana,Facundo Obregon,,,,,,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,Penalty 40 yards,Goal,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Foul (23),6282200,25000,Chukka 6,Pilot,Facundo Pieres,Foul,Right of Way,Penalty 60 yards,,,Defending Half,26;176,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,19;124,46;175,2020,
Foul Received (23),6282200,25000,Chukka 6,La Indiana,Facundo Obregon,Foul Received,Right of Way,Penalty 60 yards,,,Attacking Half,117;125,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Throw-in (20),6284266,20000,Chukka 6,La Indiana,Facundo Obregon,,,,,Throw-in,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,La Indiana win throw-in,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Penalty 60 yards (5),6369815,15000,Chukka 6,La Indiana,Polito Pieres,,,,,,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,Penalty 60 yards,Blocked,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Foul (24),6372366,25000,Chukka 6,La Indiana,Santiago Gomez Romero,Foul,Cross/High Hook,Penalty 5B,,,Attacking 30,93;8,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,98;4,89;80,2020,
Foul Received (24),6372366,25000,Chukka 6,Pilot,Facundo Pieres,Foul Received,Cross/High Hook,Penalty 5B,,,Defending 30,56;288,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Penalty Block (1),6378466,10000,Chukka 6,Pilot,Facundo Pieres,,,,,,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,Penalty Block
Penalty 5b (3),6430933,30000,Chukka 6,Pilot,Facundo Pieres,,,,,Penalty 5b,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Foul (25),6470066,25000,Chukka 6,La Indiana,Facundo Obregon,Foul,Blocking,Penalty 5B,,,Attacking 60,139;56,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,133;99,96;88,2020,
Foul Received (25),6470066,25000,Chukka 6,Pilot,Gonzalito Pieres,Foul Received,Blocking,Penalty 5B,,,Defending Half,10;233,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Shot At Goal (35),6539466,35000,Chukka 6,Pilot,Facundo Pieres,,,,,,Attacking 60,66;48,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,Shot At Goal,Deflected,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Penalty 5b (4),6541790,30000,Chukka 6,Pilot,Facundo Pieres,,,,,Penalty 5b,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Goal Pilot (9),6609866,35000,Chukka 6,Pilot,Facundo Pieres,,,,Goal Pilot,,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Safety 60 (1),6627366,15000,Chukka 6,Pilot,Facundo Pieres,,,,,,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,Safety 60,Goal,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Shot At Goal (36),6648266,35000,Chukka 6,La Indiana,Facundo Obregon,,,,,,Attacking 30,45;36,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,Shot At Goal,Wide,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Throw-in (21),6662866,20000,Chukka 6,La Indiana,Polito Pieres,,,,,Throw-in,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,La Indiana win throw-in,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Knock In (12),6689400,40000,Chukka 6,Pilot,Gonzalito Pieres,,,,,Knock In,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,Facundo Pieres,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Shot At Goal (37),6726500,35000,Chukka 6,Pilot,Gonzalito Pieres,,,,,,Attacking 60,53;51,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,Shot At Goal,Miss Hit,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Shot At Goal (38),6745433,35000,Chukka 6,La Indiana,Facundo Obregon,,,,,,Attacking 60,82;68,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,Shot At Goal,Short,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Shot At Goal (39),6760733,35000,Chukka 6,La Indiana,Facundo Obregon,,,,,,Attacking 30,5;15,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,Shot At Goal,Wide,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Shot At Goal (40),6798066,35000,Chukka 6,La Indiana,Santiago Gomez Romero,,,,,,Attacking 30,107;35,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,Shot At Goal,Wide,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Knock In (13),6799870,40000,Chukka 6,Pilot,Facundo Pieres,,,,,Knock In,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,Gonzalito Pieres,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Shot At Goal (41),6921900,35000,Chukka 6,La Indiana,Polito Pieres,,,,,,Attacking 60,83;47,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,Shot At Goal,Wide,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Knock In (14),6940178,40000,Chukka 6,Pilot,Facundo Pieres,,,,,Knock In,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
