Name,Position,Duration,Tournament,Game,Stage,Match Date,Umpire 2,Umpire 1,Third Umpire,Instant Replay Official,Search Event,Camera Angle,Team,Chukka,Club,Year,Set Play,Player,Throw-in Outcome,Foul,Foul Outcome,Location,General Field Area,Foul Type,Umpire Focal,Umpire Trailing,Chukka Length,Goal,Penalties,Penalty Outcome,Shot At Goal,Shot At Goal Outcome,Highlight Reel,Knock-in Player 2,Assist,Assist Outcome,Penalty Block
Shot At Goal (8),6133800,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 5,International Polo Club,2020,,Nick Aliano,,,,79;47,Attacking 60,,,,,,,,Shot At Goal,Wide,,,,,
Assist (6),6151733,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 5,International Polo Club,2020,,Joaquin Panelo,,,,,,,,,,,,,,,,,Joaquin Panelo,Unsuccessful,
Knock In (3),6459333,40000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 6,International Polo Club,2020,Knock In,Santiago Gomez Romero,,,,,,,,,,,,,,,,Facundo Obregon,,,
Chukka Length (2),6463333,943333,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Team,Chukka 6,International Polo Club,2020,,,,,,,,,,,Chukka Length,,,,,,,,,,
Shot At Goal (9),6470866,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 6,International Polo Club,2020,,Facundo Obregon,,,,83;58,Attacking 60,,,,,,,,Shot At Goal,Wide,,,,,
Knock In (4),6513266,40000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 6,International Polo Club,2020,Knock In,Joaquin Panelo,,,,,,,,,,,,,,,,Mariano Obregon,,,
Shot At Goal (10),6519166,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 6,International Polo Club,2020,,Hugo Lloret,,,,80;11,Attacking 30,,,,,,,,Shot At Goal,Goal,,,,,
Goal Aliano Realty/Horseware (4),6520866,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 6,International Polo Club,2020,,Hugo Lloret,,,,78;3,Attacking 30,,,,,Goal Aliano Realty/Horseware,,,,,,,,,
Assist (7),6536766,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 6,International Polo Club,2020,,Mariano Obregon,,,,,,,,,,,,,,,,,Mariano Obregon,Successful,
Throw-in (8),6575033,20000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 6,International Polo Club,2020,Throw-in,Mariano Obregon,Aliano Realty/Horseware win throw-in,,,,,,,,,,,,,,,,,,
Shot At Goal (11),6582166,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 6,International Polo Club,2020,,Mariano Obregon,,,,80;53,Attacking 60,,,,,,,,Shot At Goal,Wide,,,,,
Assist (8),6600066,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 6,International Polo Club,2020,,Hugo Lloret,,,,,,,,,,,,,,,,,Hugo Lloret,Successful,
Knock In (5),6631500,40000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 6,International Polo Club,2020,Knock In,Santiago Gomez Romero,,,,,,,,,,,,,,,,Jeff Hall,,,
Foul (7),6677566,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 6,International Polo Club,2020,,Michael Bickford,,Foul,Penalty 30 yards,85;248,Defending 60,Crossing,23;95,91;99,,,,,,,,,,,
Foul Received (7),6677566,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 6,International Polo Club,2020,,Mariano Obregon,,Foul Received,Penalty 30 yards,64;45,Attacking 60,Crossing,,,,,,,,,,,,,
Goal Aliano Realty/Horseware (5),6712800,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 6,International Polo Club,2020,,Mariano Obregon,,,,75;4,Attacking 30,,,,,Goal Aliano Realty/Horseware,,,,,,,,,
Penalty 30 yards (1),6731433,15000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 6,International Polo Club,2020,,Mariano Obregon,,,,,,,,,,,Penalty 30 yards,Goal,,,,,,,
Shot At Goal (12),7109700,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 6,International Polo Club,2020,,Jeff Hall,,,,58;21,Attacking 30,,,,,,,,Shot At Goal,Blocked,,,,,
Throw-in (9),7119666,20000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 6,International Polo Club,2020,Throw-in,Unknown,La Indiana win throw-in,,,,,,,,,,,,,,,,,,
Assist (9),7126324,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 6,International Polo Club,2020,,Facundo Obregon,,,,,,,,,,,,,,,,,Facundo Obregon,Unsuccessful,
Shot Block,7134700,10000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 6,International Polo Club,2020,,Mariano Obregon,,,,,,,,,,,,,,,,,,,Shot Block
Foul (8),7138166,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 6,International Polo Club,2020,,Facundo Obregon,,Foul,Penalty 5B,60;47,Attacking 60,Dangerous Riding,14;59,130;86,,,,,,,,,,,
Foul Received (8),7138166,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 6,International Polo Club,2020,,Joaquin Panelo,,Foul Received,Penalty 5B,63;251,Defending 60,Dangerous Riding,,,,,,,,,,,,,
Penalty 5b (2),7205333,30000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 6,International Polo Club,2020,Penalty 5b,Joaquin Panelo,,,,,,,,,,,,,,,,,,,
Non Call (2),7217100,20000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Team,Chukka 6,International Polo Club,2020,,,,Non Call,,,,Reaching,,,,,,,,,,,,,
Throw-in (10),7310566,20000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 6,International Polo Club,2020,Throw-in,Joaquin Panelo,Aliano Realty/Horseware win throw-in,,,,,,,,,,,,,,,,,,
Shot At Goal (13),7313166,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 6,International Polo Club,2020,,Jeff Hall,,,,72;11,Attacking 30,,,,,,,,Shot At Goal,Goal,,,,,
Goal La Indiana (3),7315833,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 6,International Polo Club,2020,,Jeff Hall,,,,76;3,Attacking 30,,,,,Goal La Indiana,,,,,Goals,,,,
Assist (10),7331600,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 6,International Polo Club,2020,,Santiago Gomez Romero,,,,,,,,,,,,,,,,,Santiago Gomez Romero,Successful,
Shot At Goal (14),7364433,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 6,International Polo Club,2020,,Michael Bickford,,,,62;21,Attacking 30,,,,,,,,Shot At Goal,Wide,,,,,
Throw-in (11),7367766,20000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 6,International Polo Club,2020,Throw-in,Facundo Obregon,La Indiana win throw-in,,,,,,,,,,,,,,,,,,
Assist (11),7384103,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 6,International Polo Club,2020,,Facundo Obregon,,,,,,,,,,,,,,,,,Facundo Obregon,Unsuccessful,
