Name,Position,Duration,Stage,Search Event,Camera Angle,Year,Chukka,Club,Game,Goal,Instant Replay Official,Match Date,Team,Third Umpire,Tournament,Umpire 1,Umpire 2,Player,Foul,Foul Outcome,General Field Area,Location,Foul Type,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Set Play,Shot At Goal,Shot At Goal Outcome,Assist Outcome,Assist,Knock-in Player 2,Collision,Throw-in Outcome,Highlight Reel,Penalty Block,Chukka Length
Goal Dutta Corp,0,5000,Group,Search LiveStream,Live,2020,Chukka 1,International Polo Club,Dutta Corp vs Pilot,Goal Dutta Corp,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Unknown,,,,,,,,,,,,,,,,,,,,
Foul,189600,25000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Gonzalito Pieres,Foul,Penalty 1,Defending 30,70;289,Right of Way,94;44,60;244,,,,,,,,,,,,,
Foul Received,189600,25000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Timmy Dutta,Foul Received,Penalty 1,Attacking 30,78;8,Right of Way,,,,,,,,,,,,,,,
Penalty 1,200800,10000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Timmy Dutta,,,,,,,,Penalty 1,Goal,,,,,,,,,,,
Goal Dutta Corp (1),175800,35000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,Goal Dutta Corp,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Timmy Dutta,,,,,,,,,,,,,,,,,,,,
Penalty 5b,270366,30000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Obregon,,,,,,,,,,Penalty 5b,,,,,,,,,,
Foul (1),276000,25000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Lucaz Diaz Alberdi,Foul,Penalty 5B,Defending Half,146;220,Crossing,112;190,142;163,,,,,,,,,,,,,
Foul Received (1),276000,25000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Gonzalito Pieres,Foul Received,Penalty 5B,Attacking 60,7;75,Crossing,,,,,,,,,,,,,,,
Penalty 5b (1),328933,30000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Pieres,,,,,,,,,,Penalty 5b,,,,,,,,,,
Shot At Goal,375966,35000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Timmy Dutta,,,Attacking 60,72;44,,,,,,,Shot At Goal,Wide,,,,,,,,
Assist,388333,25000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Obregon,,,,,,,,,,,,,Unsuccessful,Facundo Obregon,,,,,,
Knock In,425466,40000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Pieres,,,,,,,,,,Knock In,,,,,Gonzalito Pieres,,,,,
Collision,442033,15000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Lucas Escobar,,,,,,,,,,,,,,,,Collision,,,,
Throw-in (1),605400,20000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Mariano Obregon,,,,,,,,,,Throw-in,,,,,,,Dutta Corp win throw-in,,,
Shot At Goal (1),595066,35000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Mariano Obregon,,,Attacking 30,74;11,,,,,,,Shot At Goal,Goal,,,,,,,,
Goal Dutta Corp (2),597333,35000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,Goal Dutta Corp,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Mariano Obregon,,,Attacking 30,73;7,,,,,,,,,,,,,,Goals,,
Throw-in (2),650299,20000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Pieres,,,,,,,,,,Throw-in,,,,,,,Pilot win throw-in,,,
Shot At Goal (2),636300,35000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Gonzalito Pieres,,,Attacking 30,89;35,,,,,,,Shot At Goal,Goal,,,,,,,,
Goal Pilot,639233,35000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,Goal Pilot,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Gonzalito Pieres,,,Attacking 30,76;4,,,,,,,,,,,,,,,,
Assist (1),657000,25000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Pieres,,,,,,,,,,,,,Successful,Facundo Pieres,,,,,,
Throw-in (3),699666,20000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Obregon,,,,,,,,,,Throw-in,,,,,,,Dutta Corp win throw-in,,,
Foul (2),703833,25000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Obregon,Foul,Penalty 60 yards,Defending Half,107;162,Reaching,37;163,114;133,,,,,,,,,,,,,
Foul Received (2),694333,25000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Pieres,Foul Received,Penalty 60 yards,Attacking Half,44;135,Reaching,,,,,,,,,,,,,,,
Penalty 60 yards,787033,15000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Pieres,,,,,,,,Penalty 60 yards,Wide,,,,,,,,,,,
Knock In (1),812633,40000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Obregon,,,,,,,,,,Knock In,,,,,,,,,,
Foul (3),843033,25000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Timmy Dutta,Foul,Penalty 5,Attacking 30,51;26,Crossing,7;107,73;93,,,,,,,,,,,,,
Foul Received (3),843033,25000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Pieres,Foul Received,Penalty 5,Defending 30,100;275,Crossing,,,,,,,,,,,,,,,
Penalty 5,1076133,30000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Pieres,,,,,,,,,,Penalty 5,,,,,,,,,,
Shot At Goal (3),1079533,35000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Gonzalito Pieres,,,Attacking 30,65;34,,,,,,,Shot At Goal,Goal,,,,,,,,
Goal Pilot (1),1081800,35000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,Goal Pilot,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Gonzalito Pieres,,,Attacking 30,73;6,,,,,,,,,,,,,,,,
Assist (2),1099400,25000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Pieres,,,,,,,,,,,,,Successful,Facundo Pieres,,,,,,
Throw-in (4),1139933,20000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Mariano Obregon,,,,,,,,,,Throw-in,,,,,,,Dutta Corp win throw-in,,,
Throw-in,183533,20000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Obregon,,,,,,,,,,Throw-in,,,,,,,Dutta Corp win throw-in,,,
Goal Pilot (2),1122594,35000,Group,Search LiveStream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,Goal Pilot,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Unknown,,,,,,,,,,,,,,,,,,,,
Throw-in (5),1712894,20000,Group,Search Livestream,Live,2020,Chukka 3,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Lucaz Diaz Alberdi,,,,,,,,,,Throw-in,,,,,,,Dutta Corp win throw-in,,,
Foul (4),1732033,25000,Group,Search Livestream,Live,2020,Chukka 3,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Timmy Dutta,Foul,Penalty 30 yards,Defending 30,89;280,Right of Way,23;224,139;247,,,,,,,,,,,,,
Foul Received (4),1732033,25000,Group,Search Livestream,Live,2020,Chukka 3,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Pieres,Foul Received,Penalty 30 yards,Attacking 30,58;17,Right of Way,,,,,,,,,,,,,,,
Penalty 30 yards Spot,1787333,10000,Group,Search Livestream,Live,2020,Chukka 3,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Pieres,,,,,,,,Penalty 30 yards Spot,Goal,,,,,,,,,,,
Goal Pilot (4),1769366,35000,Group,Search Livestream,Live,2020,Chukka 3,International Polo Club,Dutta Corp vs Pilot,Goal Pilot,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Pieres,,,,,,,,,,,,,,,,,,,,
Throw-in (6),1816760,20000,Group,Search Livestream,Live,2020,Chukka 3,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Obregon,,,,,,,,,,Throw-in,,,,,,,Dutta Corp win throw-in,,,
Shot At Goal (4),1827500,35000,Group,Search Livestream,Live,2020,Chukka 3,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Lucas Escobar,,,Attacking 30,46;24,,,,,,,Shot At Goal,Wide,,,,,,,,
Assist (3),1846400,25000,Group,Search Livestream,Live,2020,Chukka 3,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Pieres,,,,,,,,,,,,,Unsuccessful,Facundo Pieres,,,,,,
Knock In (2),1876476,40000,Group,Search Livestream,Live,2020,Chukka 3,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Obregon,,,,,,,,,,Knock In,,,,,Timmy Dutta,,,,,
Shot At Goal (5),1894533,35000,Group,Search Livestream,Live,2020,Chukka 3,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Mariano Obregon,,,Attacking 30,83;25,,,,,,,Shot At Goal,Blocked,,,,,,,,
Shot Block,1923166,10000,Group,Search Livestream,Live,2020,Chukka 3,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Pieres,,,,,,,,,,,,,,,,,,,Shot Block,
Penalty 60 yards (1),1676366,15000,Group,Search Livestream,Live,2020,Chukka 3,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Pieres,,,,,,,,Penalty 60 yards,Goal,,,,,,,,,,,
Shot At Goal (6),2126933,35000,Group,Search Livestream,Live,2020,Chukka 3,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Lucaz Diaz Alberdi,,,Attacking 30,102;25,,,,,,,Shot At Goal,Wide,,,,,,,,
Knock In (4),2171590,40000,Group,Search Livestream,Live,2020,Chukka 3,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Pieres,,,,,,,,,,Knock In,,,,,Gonzalito Pieres,,,,,
Foul (5),2266033,25000,Group,Search Livestream,Live,2020,Chukka 3,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Obregon,Foul,Penalty 30 yards,Defending 30,54;277,Dangerous Riding,53;238,127;236,,,,,,,,,,,,,
Foul Received (5),2266033,25000,Group,Search Livestream,Live,2020,Chukka 3,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Lucas Escobar,Foul Received,Penalty 30 yards,Attacking 30,94;21,Dangerous Riding,,,,,,,,,,,,,,,
Yellow Card,2326533,10000,Group,Search Livestream,Live,2020,Chukka 3,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Obregon,Yellow Card,Penalty 30 yards,,,Dangerous Riding,,,,,,,,,,,,,,,
Penalty 30 yards,2367233,15000,Group,Search Livestream,Live,2020,Chukka 3,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Pieres,,,,,,,,Penalty 30 yards,Goal,,,,,,,,,,,
Knock In (3),2118791,40000,Group,Search Livestream,Live,2020,Chukka 3,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Pieres,,,,,,,,,,Knock In,,,,,Gonzalito Pieres,,,,,
Penalty 5b (2),2416166,30000,Group,Search Livestream,Live,2020,Chukka 3,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Pieres,,,,,,,,,,Penalty 5b,,,,,,,,,,
Foul (6),2430333,25000,Group,Search Livestream,Live,2020,Chukka 3,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Curtis Pilot,Foul,Penalty 30 yards,Defending 60,57;227,Crossing,41;209,125;161,,,,,,,,,,,,,
Foul Received (6),2430333,25000,Group,Search Livestream,Live,2020,Chukka 3,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Timmy Dutta,Foul Received,Penalty 30 yards,Attacking 60,89;74,Crossing,,,,,,,,,,,,,,,
Penalty 30 yards (1),2486013,15000,Group,Search Livestream,Live,2020,Chukka 3,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Obregon,,,,,,,,Penalty 30 yards,Goal,,,,,,,,,,,
Goal Dutta Corp (3),2468200,35000,Group,Search Livestream,Live,2020,Chukka 3,International Polo Club,Dutta Corp vs Pilot,Goal Dutta Corp,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Obregon,,,,,,,,,,,,,,,,,,,,
Goal Pilot (3),1660066,35000,Group,Search Livestream,Live,2020,Chukka 3,International Polo Club,Dutta Corp vs Pilot,Goal Pilot,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Pieres,,,,,,,,,,,,,,,,,,,,
