Name,Position,Duration,Umpire 2,Match Date,Umpire 1,Stage,Tournament,Game,Third Umpire,Instant Replay Official,Search Event,Camera Angle,Chukka,Year,Club,Location,General Field Area,Team,Player,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Chukka Length,Set Play,Throw-in Outcome,Shot At Goal,Shot At Goal Outcome,Goal,Highlight Reel,Assist Outcome,Assist,Penalty Block,Penalties,Penalty Outcome,Collision,Knock-in Player 2
Goal La Indiana (4),3263233,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 3,2020,International Polo Club,76;6,Attacking 30,La Indiana,Polito Pieres,,,,,,,,,,,Goal La Indiana,,,,,,,,
Penalty 30 yards (2),3281941,15000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 3,2020,International Polo Club,,,La Indiana,Polito Pieres,,,,,,,,,,,,,,,,Penalty 30 yards,Goal,,
Throw-in (10),3316597,20000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 3,2020,International Polo Club,,,La Indiana,Jeff Hall,,,,,,,Throw-in,La Indiana win throw-in,,,,,,,,,,,
Foul Received (12),3390400,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 3,2020,International Polo Club,6;251,Defending 60,La Indiana,Jeff Hall,Foul Received,Right of Way,Penalty 5B,,,,,,,,,,,,,,,,
Foul (12),3390400,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 3,2020,International Polo Club,142;52,Attacking 60,Postage Stamp Farm,Lerin Zubiaurre,Foul,Right of Way,Penalty 5B,105;102,144;18,,,,,,,,,,,,,,
Penalty 5b (2),3467800,30000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 3,2020,International Polo Club,,,La Indiana,Jeff Hall,,,,,,,Penalty 5b,,,,,,,,,,,,
Shot At Goal (8),3471533,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 3,2020,International Polo Club,82;49,Attacking 60,Postage Stamp Farm,Lerin Zubiaurre,,,,,,,,,Shot At Goal,Short,,,,,,,,,
Foul Received (13),3495800,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 3,2020,International Polo Club,46;290,Defending 30,La Indiana,Jeff Hall,Foul Received,Right of Way,Penalty 5,,,,,,,,,,,,,,,,
Foul (13),3495800,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 3,2020,International Polo Club,97;12,Attacking 30,Postage Stamp Farm,Lerin Zubiaurre,Foul,Right of Way,Penalty 5,35;71,108;92,,,,,,,,,,,,,,
Penalty 5 (5),3536333,30000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 3,2020,International Polo Club,,,La Indiana,Jeff Hall,,,,,,,Penalty 5,,,,,,,,,,,,
Chukka Length (3),4168697,320987,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,,,Team,,,,,,,Chukka Length,,,,,,,,,,,,,
Throw-in (11),4168700,20000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,,,La Indiana,Jeff Hall,,,,,,,Throw-in,La Indiana win throw-in,,,,,,,,,,,
Foul Received (14),4194966,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,73;29,Attacking 30,La Indiana,Jeff Hall,Foul Received,Right of Way,Penalty 30 yards,,,,,,,,,,,,,,,,
Foul (14),4194966,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,76;268,Defending 60,Postage Stamp Farm,Peke Gonzalez,Foul,Right of Way,Penalty 30 yards,39;211,123;201,,,,,,,,,,,,,,
Goal La Indiana (5),4225200,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,73;4,Attacking 30,La Indiana,Polito Pieres,,,,,,,,,,,Goal La Indiana,,,,,,,,
Penalty 30 yards Spot (1),4249433,10000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,,,La Indiana,Polito Pieres,,,,,,,,,,,,,,,,Penalty 30 yards Spot,Goal,,
Shot At Goal (10),4269433,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,61;17,Attacking 30,Postage Stamp Farm,Lerin Zubiaurre,,,,,,,,,Shot At Goal,Goal,,,,,,,,,
Goal Postage Stamp Farm (6),4270066,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,73;7,Attacking 30,Postage Stamp Farm,Lerin Zubiaurre,,,,,,,,,,,Goal Postage Stamp Farm,Goals,,,,,,,
Throw-in (12),4281633,20000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,,,Postage Stamp Farm,Lerin Zubiaurre,,,,,,,Throw-in,Postage Stamp Farm win throw-in,,,,,,,,,,,
Throw-in (13),4325000,20000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,,,La Indiana,Jeff Hall,,,,,,,Throw-in,La Indiana win throw-in,,,,,,,,,,,
Shot At Goal (11),4327333,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,60;25,Attacking 30,La Indiana,Polito Pieres,,,,,,,,,Shot At Goal,Goal,,,,,,,,,
Goal La Indiana (6),4328633,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,78;6,Attacking 30,La Indiana,Polito Pieres,,,,,,,,,,,Goal La Indiana,,,,,,,,
Foul (15),4381800,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,84;133,Attacking Half,La Indiana,Polito Pieres,Foul,Right of Way,Penalty 5,44;130,107;159,,,,,,,,,,,,,,
Foul Received (15),4381800,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,57;159,Defending Half,Postage Stamp Farm,Peke Gonzalez,Foul Received,Right of Way,Penalty 5,,,,,,,,,,,,,,,,
Throw-in (14),4382400,20000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,,,La Indiana,Polito Pieres,,,,,,,Throw-in,La Indiana win throw-in,,,,,,,,,,,
Shot At Goal (12),4428166,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,55;31,Attacking 30,Postage Stamp Farm,Lerin Zubiaurre,,,,,,,,,Shot At Goal,Short,,,,,,,,,
Penalty 5 (6),4428366,30000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,,,Postage Stamp Farm,Peke Gonzalez,,,,,,,Penalty 5,,,,,,,,,,,,
Injury Time (1),4486400,78808,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,,,Team,,,,,,,Injury Time,,,,,,,,,,,,,
Throw-in (15),4568233,20000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,,,Postage Stamp Farm,Mariano Aguerre,,,,,,,Throw-in,Postage Stamp Farm win throw-in,,,,,,,,,,,
Shot At Goal (13),4574600,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,55;39,Attacking 60,La Indiana,Michael Bickford,,,,,,,,,Shot At Goal,Deflected,,,,,,,,,
Shot At Goal (14),4576833,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,72;45,Attacking 60,La Indiana,Polito Pieres,,,,,,,,,Shot At Goal,Goal,,,,,,,,,
Goal La Indiana (7),4578766,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,76;6,Attacking 30,La Indiana,Polito Pieres,,,,,,,,,,,Goal La Indiana,,,,,,,,
Throw-in (16),4638200,20000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,,,La Indiana,Polito Pieres,,,,,,,Throw-in,La Indiana win throw-in,,,,,,,,,,,
Chukka Length (8),4638200,443042,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,,,Team,,,,,,,Chukka Length,,,,,,,,,,,,,
Foul (16),4705533,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,29;65,Attacking 60,La Indiana,Michael Bickford,Foul,Dangerous Riding,Penalty 5,69;94,24;93,,,,,,,,,,,,,,
Foul Received (16),4705533,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,105;244,Defending 60,Postage Stamp Farm,Mariano Aguerre,Foul Received,Dangerous Riding,Penalty 5,,,,,,,,,,,,,,,,
Yellow Card (1),4806466,10000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,,,La Indiana,Michael Bickford,Yellow Card,Dangerous Riding,,,,,,,,,,,,,,,,,
Penalty 5 (7),4990666,30000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,,,Postage Stamp Farm,Mariano Aguerre,,,,,,,Penalty 5,,,,,,,,,,,,
Shot At Goal (15),5006700,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,80;22,Attacking 30,Postage Stamp Farm,Peke Gonzalez,,,,,,,,,Shot At Goal,Goal,,,,,,,,,
Goal Postage Stamp Farm (7),5009166,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,73;4,Attacking 30,Postage Stamp Farm,Peke Gonzalez,,,,,,,,,,,Goal Postage Stamp Farm,,,,,,,,
Assist (4),5024866,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 4,2020,International Polo Club,,,Postage Stamp Farm,Annabelle Gundlach,,,,,,,,,,,,,Successful,Annabelle Gundlach,,,,,
Throw-in (17),5246606,20000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 5,2020,International Polo Club,,,La Indiana,Michael Bickford,,,,,,,Throw-in,La Indiana win throw-in,,,,,,,,,,,
Chukka Length (4),5246608,559392,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 5,2020,International Polo Club,,,Team,,,,,,,Chukka Length,,,,,,,,,,,,,
Foul (17),5252066,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 5,2020,International Polo Club,22;113,Attacking Half,La Indiana,Polito Pieres,Foul,Right of Way,Penalty 5B,33;113,125;109,,,,,,,,,,,,,,
Foul Received (17),5252066,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 5,2020,International Polo Club,114;179,Defending Half,Postage Stamp Farm,Mariano Aguerre,Foul Received,Right of Way,Penalty 5B,,,,,,,,,,,,,,,,
Penalty 5b (3),5308033,30000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 5,2020,International Polo Club,,,Postage Stamp Farm,Peke Gonzalez,,,,,,,Penalty 5b,,,,,,,,,,,,
Foul Received (18),5405466,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 5,2020,International Polo Club,51;26,Attacking 30,La Indiana,Jeff Hall,Foul Received,Crossing,Penalty 30 yards,,,,,,,,,,,,,,,,
Foul (18),5405466,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 5,2020,International Polo Club,101;271,Defending 60,Postage Stamp Farm,Peke Gonzalez,Foul,Crossing,Penalty 30 yards,57;220,132;243,,,,,,,,,,,,,,
Goal La Indiana (8),5450666,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 5,2020,International Polo Club,73;3,Attacking 30,La Indiana,Polito Pieres,,,,,,,,,,,Goal La Indiana,,,,,,,,
Penalty 30 yards (4),5469066,15000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 5,2020,International Polo Club,,,La Indiana,Polito Pieres,,,,,,,,,,,,,,,,Penalty 30 yards,Goal,,
Shot At Goal (16),5494400,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 5,2020,International Polo Club,63;22,Attacking 30,La Indiana,Michael Bickford,,,,,,,,,Shot At Goal,Goal,,,,,,,,,
Goal La Indiana (9),5495566,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 5,2020,International Polo Club,75;4,Attacking 30,La Indiana,Michael Bickford,,,,,,,,,,,Goal La Indiana,Goals,,,,,,,
Throw-in (18),5502900,20000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 5,2020,International Polo Club,,,La Indiana,Jeff Hall,,,,,,,Throw-in,La Indiana win throw-in,,,,,,,,,,,
Assist (5),5511400,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 5,2020,International Polo Club,,,La Indiana,Polito Pieres,,,,,,,,,,,,,Successful,Polito Pieres,,,,,
Shot At Goal (17),5545833,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 5,2020,International Polo Club,89;44,Attacking 60,La Indiana,Jeff Hall,,,,,,,,,Shot At Goal,Goal,,,,,,,,,
Goal La Indiana (10),5548533,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 5,2020,International Polo Club,79;4,Attacking 30,La Indiana,Jeff Hall,,,,,,,,,,,Goal La Indiana,Goals,,,,,,,
Throw-in (19),5559866,20000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 5,2020,International Polo Club,,,La Indiana,Jeff Hall,,,,,,,Throw-in,La Indiana win throw-in,,,,,,,,,,,
Throw-in (20),5605300,20000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 5,2020,International Polo Club,,,La Indiana,Polito Pieres,,,,,,,Throw-in,La Indiana win throw-in,,,,,,,,,,,
Shot At Goal (18),5676866,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 5,2020,International Polo Club,46;44,Attacking 60,La Indiana,Jeff Hall,,,,,,,,,Shot At Goal,Wide,,,,,,,,,
Knock In (5),5721033,40000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 5,2020,International Polo Club,,,Postage Stamp Farm,Mariano Aguerre,,,,,,,Knock In,,,,,,,,,,,,
Knock In (6),6005933,40000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,,,Postage Stamp Farm,Peke Gonzalez,,,,,,,Knock In,,,,,,,,,,,,
Chukka Length (5),6005933,640006,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,,,Team,,,,,,,Chukka Length,,,,,,,,,,,,,
Non Call (2),6030566,20000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,,,Team,,Non Call,Blocking,,,,,,,,,,,,,,,,,
Foul (19),6068866,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,79;157,Defending Half,La Indiana,Jeff Hall,Foul,Dangerous Riding,Penalty 5,123;174,25;185,,,,,,,,,,,,,,
Foul Received (19),6068866,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,80;136,Attacking Half,Postage Stamp Farm,Lerin Zubiaurre,Foul Received,Dangerous Riding,Penalty 5,,,,,,,,,,,,,,,,
Non Call (3),6115633,20000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,,,Team,,Non Call,Right of Way,,,,,,,,,,,,,,,,,
Foul (20),6128099,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,116;239,Defending 60,La Indiana,Jeff Hall,Foul,Right of Way,Penalty 30 yards,59;193,132;186,,,,,,,,,,,,,,
Foul Received (20),6128099,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,29;43,Attacking 60,Postage Stamp Farm,Peke Gonzalez,Foul Received,Right of Way,Penalty 30 yards,,,,,,,,,,,,,,,,
Goal Postage Stamp Farm (8),6167699,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,78;4,Attacking 30,Postage Stamp Farm,Peke Gonzalez,,,,,,,,,,,Goal Postage Stamp Farm,,,,,,,,
Penalty 30 yards,6186566,15000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,,,Postage Stamp Farm,Peke Gonzalez,,,,,,,,,,,,,,,,Penalty 30 yards,Goal,,
Foul Received (21),6221566,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,55;161,Defending Half,La Indiana,Polito Pieres,Foul Received,Reaching,Penalty 5,,,,,,,,,,,,,,,,
Foul (21),6221566,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,93;133,Attacking Half,Postage Stamp Farm,Mariano Aguerre,Foul,Reaching,Penalty 5,123;127,28;171,,,,,,,,,,,,,,
Throw-in (21),6222866,20000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,,,La Indiana,Michael Bickford,,,,,,,Throw-in,La Indiana win throw-in,,,,,,,,,,,
Shot At Goal,6264033,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,55;25,Attacking 30,La Indiana,Polito Pieres,,,,,,,,,Shot At Goal,Goal,,,,,,,,,
Goal La Indiana (11),6265966,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,78;7,Attacking 30,La Indiana,Polito Pieres,,,,,,,,,,,Goal La Indiana,Goals,,,,,,,
Penalty 5 (8),6278866,30000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,,,La Indiana,Jeff Hall,,,,,,,Penalty 5,,,,,,,,,,,,
Assist,6281333,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,,,La Indiana,Jeff Hall,,,,,,,,,,,,,Successful,Jeff Hall,,,,,
Throw-in (22),6322794,20000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,,,Postage Stamp Farm,Lerin Zubiaurre,,,,,,,Throw-in,Postage Stamp Farm win throw-in,,,,,,,,,,,
Foul (22),6360299,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,93;224,Defending Half,La Indiana,Santiago Gomez Romero,Foul,Crossing,Penalty 60 yards,91;215,16;208,,,,,,,,,,,,,,
