Name,Position,Duration,Tournament,Game,Stage,Umpire 2,Club,Year,Match Date,Third Umpire,Instant Replay Official,Umpire 1,Camera Angle,Search Event,Team,Goal,Chukka,Set Play,Throw-in Outcome,Player,Shot At Goal,Shot At Goal Outcome,Location,General Field Area,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Assist Outcome,Assist,Knock-in Player 2,Highlight Reel,Penalty Block
Goal Cessna (5),2856750,35000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Cessna,Goal Cessna,Chukka 5,,,Ezequiel Martinez Ferrario,,,73;4,Attacking 30,,,,,,,,,,,Goals,
Throw-in (13),2916785,20000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Cessna,,Chukka 5,Throw-in,Cessna win throw-in,Felipe Marquez,,,,,,,,,,,,,,,,
Foul (8),2933377,25000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Cessna,,Chukka 5,,,Felipe Marquez,,,32;198,Defending Half,Foul,Crossing,Penalty 40 yards,35;190,99;138,,,,,,,
Foul Received (8),2933377,25000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Tonkawa,,Chukka 5,,,Sapo Caset,,,111;104,Attacking Half,Foul Received,Crossing,Penalty 40 yards,,,,,,,,,
Goal Tonkawa (7),2989983,35000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Tonkawa,Goal Tonkawa,Chukka 5,,,Sapo Caset,,,76;2,Attacking 30,,,,,,,,,,,,
Penalty 40 yards (1),3007350,15000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Tonkawa,,Chukka 5,,,Sapo Caset,,,,,,,,,,Penalty 40 yards,Goal,,,,,
Throw-in (14),3044980,20000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Tonkawa,,Chukka 5,Throw-in,Tonkawa win throw-in,Matias Gonzalez,,,,,,,,,,,,,,,,
Foul (9),3059437,25000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Tonkawa,,Chukka 5,,,Ignacio Toccalino,,,73;26,Attacking 30,Foul,Crossing,Penalty 5,16;74,71;107,,,,,,,
Foul Received (9),3059437,25000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Cessna,,Chukka 5,,,Felipe Marquez,,,70;275,Defending 30,Foul Received,Crossing,Penalty 5,,,,,,,,,
Penalty 5 (3),3154122,30000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Cessna,,Chukka 6,Penalty 5,,Felipe Marquez,,,,,,,,,,,,,,,,
Foul (10),3177955,25000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Cessna,,Chukka 6,,,Felipe Marquez,,,3;222,Defending Half,Foul,Turning,Penalty 60 yards,4;183,46;208,,,,,,,
Foul Received (10),3177955,25000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Tonkawa,,Chukka 6,,,Matias Gonzalez,,,147;80,Attacking Half,Foul Received,Turning,Penalty 60 yards,,,,,,,,,
Penalty 60 yards (1),3281759,15000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Tonkawa,,Chukka 6,,,Sapo Caset,,,,,,,,,,Penalty 60 yards,Blocked,,,,,
Penalty Block,3286759,10000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Cessna,,Chukka 6,,,Ezequiel Martinez Ferrario,,,,,,,,,,,,,,,,Penalty Block
Shot At Goal (31),3304130,35000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Tonkawa,,Chukka 6,,,Matias Gonzalez,Shot At Goal,Short,54;13,Attacking 30,,,,,,,,,,,,
Free Hit (4),3318353,20000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Tonkawa,,Chukka 6,Free Hit,,Sapo Caset,,,,,,,,,,,,,,,,
Shot At Goal (32),3341501,35000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Cessna,,Chukka 6,,,Nicolas Saenz,Shot At Goal,Short,50;21,Attacking 30,,,,,,,,,,,,
Non Call (3),3394437,20000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Team,,Chukka 6,,,,,,,,Non Call,Blocking,,,,,,,,,,
Shot At Goal (33),3435361,35000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Tonkawa,,Chukka 6,,,Sapo Caset,Shot At Goal,Short,132;99,Attacking Half,,,,,,,,,,,,
Shot At Goal (34),3500260,35000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Tonkawa,,Chukka 6,,,Ignacio Toccalino,Shot At Goal,Blocked,117;38,Attacking 30,,,,,,,,,,,,
Shot Block (3),3526794,10000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Cessna,,Chukka 6,,,Felipe Marquez,,,,,,,,,,,,,,,,Shot Block
Shot At Goal (35),3603763,35000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Tonkawa,,Chukka 6,,,Sapo Caset,Shot At Goal,Wide,107;49,Attacking 60,,,,,,,,,,,,
Knock In (12),3605005,40000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Cessna,,Chukka 6,Knock In,,Felipe Marquez,,,,,,,,,,,,,,,,
Shot At Goal (36),3635261,35000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Tonkawa,,Chukka 6,,,Sapo Caset,Shot At Goal,Wide,38;48,Attacking 60,,,,,,,,,,,,
Knock In (13),3647646,40000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Cessna,,Chukka 6,Knock In,,Felipe Marquez,,,,,,,,,,,,,,,,
Knock In (14),3681381,40000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Cessna,,Chukka 6,Knock In,,Felipe Marquez,,,,,,,,,,,,,,Ezequiel Martinez Ferrario,,
Shot At Goal (37),3684644,35000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Cessna,,Chukka 6,,,Felipe Marquez,Shot At Goal,Short,126;22,Attacking 30,,,,,,,,,,,,
Non Call (4),3752928,20000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Team,,Chukka 6,,,,,,,,Non Call,Cross/High Hook,,,,,,,,,,
