Name,Position,Duration,Chukka,Team,Player,Foul,Foul Outcome,Foul Type,Umpire Focal,Umpire Trailing,General Field Area,Location,Goal,Set Play,Throw-in Outcome,Match Date,Umpire 1,Game,Third Umpire,Tournament,Stage,Country,Umpire 2,Search Event,Year,Tournament Handicap,Club,Camera Angle,Instant Replay Official,Shot At Goal,Shot At Goal Outcome,Highlight Reel,Assist,Assist Outcome,Penalties,Penalty Outcome,Knock-in Player 2,Penalty Block,Collision
Shot Block,6096500,10000,Chukka 6,Santa Clara,Lucas Escobar,,,,,,,,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,Shot Block,
Knock In (14),6152666,40000,Chukka 6,Santa Clara,Matias Magrini,,,,,,,,,Knock In,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,Luis Escobar,,
Shot At Goal (25),6156566,35000,Chukka 6,Santa Clara,Matias Magrini,,,,,,Attacking 30,66;21,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,Shot At Goal,Miss Hit,,,,,,,,
Shot At Goal (26),6173433,35000,Chukka 6,Beverly Polo,Peke Gonzalez,,,,,,Attacking 30,35;11,,,,January 17. 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,Shot At Goal,Short,,,,,,,,
Shot At Goal (27),6178000,35000,Chukka 6,Beverly Polo,Hilario Figueras,,,,,,Attacking 30,81;15,,,,January 17. 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,Shot At Goal,Wide,,,,,,,,
Knock In (15),6268933,40000,Chukka 6,Santa Clara,Matias Magrini,,,,,,,,,Knock In,,January 17. 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,Luis Escobar,,
Foul (16),6290900,25000,Chukka 6,Santa Clara,Luis Escobar,Foul,Penalty 60 yards,Riding Into Shot,44;203,110;192,Defending Half,68;222,,,,January 17. 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Foul Received (16),6290900,25000,Chukka 6,Beverly Polo,Hilario Figueras,Foul Received,Penalty 60 yards,Riding Into Shot,,,Attacking 60,69;75,,,,January 17. 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Goal Beverly Polo (5),6397033,35000,Chukka 6,Beverly Polo,Tolito Ocampo,,,,,,Attacking 30,74;3,Goal Beverly Polo,,,January 17. 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Penalty 60 yards (4),6413966,15000,Chukka 6,Beverly Polo,Tolito Ocampo,,,,,,,,,,,January 17. 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,Penalty 60 yards,Goal,,,
Throw-in (19),6450366,20000,Chukka 6,Beverly Polo,Hilario Figueras,,,,,,,,,Throw-in,Beverly Polo win throw-in,January 17. 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Foul (17),6461633,25000,Chukka 6,Santa Clara,Luis Escobar,Foul,Penalty 40 yards,Right of Way,31;206,100;236,Defending Half,53;225,,,,January 17. 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Foul Received (17),6461633,25000,Chukka 6,Beverly Polo,Tolito Ocampo,Foul Received,Penalty 40 yards,Right of Way,,,Attacking Half,82;80,,,,January 17. 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Goal Beverly Polo (6),6507200,35000,Chukka 6,Beverly Polo,Hilario Figueras,,,,,,Attacking 30,72;2,Goal Beverly Polo,,,January 17. 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Penalty 40 yards (1),6523266,15000,Chukka 6,Beverly Polo,Hilario Figueras,,,,,,,,,,,January 17. 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,Penalty 40 yards,Goal,,,
Throw-in (20),6558500,20000,Chukka 6,Santa Clara,Lucas Escobar,,,,,,,,,Throw-in,Santa Clara win throw-in,January 17. 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Shot At Goal (28),6608866,35000,Chukka 6,Santa Clara,Keko Magrini,,,,,,Attacking Half,136;99,,,,January 17. 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,Shot At Goal,Wide,,,,,,,,
Knock In (16),6613824,40000,Chukka 6,Santa Clara,Matias Magrini,,,,,,,,,Knock In,,January 17. 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,Keko Magrini,,
