Name,Position,Duration,Camera Angle,Chukka,Game,Instant Replay Official,Match Date,Player,Search Event,Set Play,Stage,Team,Third Umpire,Throw-in Outcome,Tournament,Umpire 1,Umpire 2,Year,Club,Country,Tournament Handicap,Foul,Foul Outcome,Foul Type,General Field Area,Location,Shot At Goal,Shot At Goal Outcome,Knock-in Player 2,Goal,Assist,Assist Outcome,Penalty Block,Penalties,Penalty Outcome,Highlight Reel
Shot At Goal (23),3347240,35000,Live,Chukka 5,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Peco Polledo,Search Livestream,,Group,SD Farms,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,Attacking 30,81;9,Shot At Goal,Goal,,,,,,,,
Goal SD Farms (7),3348541,35000,Live,Chukka 5,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Peco Polledo,Search Livestream,,Group,SD Farms,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,Attacking 30,79;1,,,,Goal SD Farms,,,,,,
Shot At Goal (24),3407400,35000,Live,Chukka 5,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Sayyu Dantata,Search Livestream,,Group,SD Farms,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,Attacking 30,71;13,Shot At Goal,Goal,,,,,,,,
Goal SD Farms (8),3408435,35000,Live,Chukka 5,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Sayyu Dantata,Search Livestream,,Group,SD Farms,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,Attacking 30,72;6,,,,Goal SD Farms,,,,,,
Throw-in (14),3408763,20000,Live,Chukka 5,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Juan Mujica,Search Livestream,Throw-in,Group,Cacheko Polo,Kevin Fawcett,Cacheko Polo win throw-in,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,,,,,,
Assist (12),3423435,25000,Live,Chukka 5,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Carlitos Gracida,Search Livestream,,Group,SD Farms,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,Carlitos Gracida,Successful,,,,
Foul (14),3462339,25000,Live,Chukka 5,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Ignacio Arbelbide,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Foul,Penalty 30 yards,Crossing,Defending Half,111;181,,,,,,,,,,
Foul Received (13),3462339,25000,Live,Chukka 5,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Peco Polledo,Search Livestream,,Group,SD Farms,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Foul Received,Penalty 30 yards,Crossing,Attacking Half,45;118,,,,,,,,,,
Throw-in (15),3463631,20000,Live,Chukka 5,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Sayyu Dantata,Search Livestream,Throw-in,Group,SD Farms,Kevin Fawcett,SD Farms win throw-in,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,,,,,,
Penalty 30 yards (3),3529488,15000,Live,Chukka 5,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Carlitos Gracida,Search Livestream,,Group,SD Farms,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,,,,Penalty 30 yards,Wide,
Knock In (12),3547381,40000,Live,Chukka 5,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Matias Magrini,Search Livestream,Knock In,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,Ignacio Arbelbide,,,,,,,
Shot At Goal (25),3568328,35000,Live,Chukka 5,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Ignacio Arbelbide,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,Attacking 30,71;13,Shot At Goal,Goal,,,,,,,,
Goal Cacheko Polo (6),3569862,35000,Live,Chukka 5,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Ignacio Arbelbide,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,Attacking 30,76;6,,,,Goal Cacheko Polo,,,,,,Goals
Foul,3637014,25000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Streling Giannico,Search Livestream,,Group,SD Farm,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Foul,Penalty 5,Right of Way,Defending Half,118;171,,,,,,,,,,
Foul Received,3637014,25000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Matias Magrini,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Foul Received,Penalty 5,Right of Way,Attacking Half,33;125,,,,,,,,,,
Throw-in,3642967,20000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Streling Giannico,Search Livestream,Throw-in,Group,SD Farm,Kevin Fawcett,SD Farm win throw-in,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,,,,,,
Penalty 5,3667225,30000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Matias Magrini,Search Livestream,Penalty 5,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,,,,,,
Foul (1),3675952,25000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Peco Polledo,Search Livestream,,Group,SD Farm,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Foul,Penalty 30 yards,Riding Into Shot,Defending 30,110;276,,,,,,,,,,
Foul Received (1),3675952,25000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Keko Magrini,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Foul Received,Penalty 30 yards,Riding Into Shot,Attacking 30,49;17,,,,,,,,,,
Goal Cacheko Polo,3718845,35000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Keko Magrini,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,Attacking 30,72;3,,,,Goal Cacheko Polo,,,,,,
Penalty 30 yards,3736809,15000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Keko Magrini,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,,,,Penalty 30 yards,Goal,
Foul (2),3768211,25000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Juan Mujica,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Foul,Penalty 5,Right of Way,Defending Half,118;176,,,,,,,,,,
Foul Received (2),3768211,25000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Streling Giannico,Search Livestream,,Group,SD Farm,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Foul Received,Penalty 5,Right of Way,Attacking Half,34;124,,,,,,,,,,
Throw-in (1),3771706,20000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Streling Giannico,Search Livestream,Throw-in,Group,SD Farm,Kevin Fawcett,SD Farm win throw-in,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,,,,,,
Penalty 5 (1),3829936,30000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Streling Giannico,Search Livestream,Penalty 5,Group,SD Farm,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,,,,,,
Foul (3),3854931,25000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Peco Polledo,Search Livestream,,Group,SD Farm,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Foul,Penalty 5,Riding Into Shot,Defending Half,98;194,,,,,,,,,,
Foul Received (3),3854931,25000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Matias Magrini,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Foul Received,Penalty 5,Riding Into Shot,Attacking Half,59;99,,,,,,,,,,
Shot At Goal,3901093,35000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Keko Magrini,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,Attacking 30,55;12,Shot At Goal,Wide,,,,,,,,
Penalty 5 (2),3910645,30000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Keko Magrini,Search Livestream,Penalty 5,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,,,,,,
Knock In,4128895,40000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Streling Giannico,Search Livestream,Knock In,Group,SD Farm,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,Carlitos Gracida,,,,,,,
Foul (4),4162839,25000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Streling Giannico,Search Livestream,,Group,SD Farm,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Foul,Penalty 30 yards,Blocking,Defending Half,107;201,,,,,,,,,,
Foul Received (4),4162839,25000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Keko Magrini,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Foul Received,Penalty 30 yards,Blocking,Attacking Half,48;103,,,,,,,,,,
Penalty 40 yards,4230469,15000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Ignacio Arbelbide,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,,,,Penalty 40 yards,Wide,
Shot At Goal (1),4243302,35000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Matias Magrini,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,Attacking 30,71;20,Shot At Goal,Goal,,,,,,,,
Goal Cacheko Polo (1),4245904,35000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Matias Magrini,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,Attacking 30,78;2,,,,Goal Cacheko Polo,,,,,,
Knock In (1),4250717,40000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Streling Giannico,Search Livestream,Knock In,Group,SD Farm,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,,,,,,
Throw-in (2),4298529,20000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Peco Polledo,Search Livestream,Throw-in,Group,SD Farm,Kevin Fawcett,SD Farm win throw-in,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,,,,,,
Shot At Goal (2),4341266,35000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Carlitos Gracida,Search Livestream,,Group,SD Farm,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,Attacking 30,66;24,Shot At Goal,Blocked,,,,,,,,
Foul (5),4362605,25000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Juan Mujica,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Foul,Penalty 30 yards,Blocking,Defending 30,66;275,,,,,,,,,,
Foul Received (5),4362605,25000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Peco Polledo,Search Livestream,,Group,SD Farm,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Foul Received,Penalty 30 yards,Blocking,Attacking 30,85;25,,,,,,,,,,
Shot Block,4367401,10000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Keko Magrini,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,,,Shot Block,,,
Goal SD Farm,4396488,35000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Carlitos Gracida,Search Livestream,,Group,SD Farm,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,Attacking 30,73;1,,,,Goal SD Farm,,,,,,
Penalty 30 yards Spot,4418152,10000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Carlitos Gracida,Search Livestream,,Group,SD Farm,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,,,,Penalty 30 yards Spot,Goal,
Shot At Goal (3),4545704,35000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Matias Magrini,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,Attacking 30,69;26,Shot At Goal,Goal,,,,,,,,
Goal Cacheko Polo (2),4548173,35000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Matias Magrini,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,Attacking 30,75;3,,,,Goal Cacheko Polo,,,,,,Goals
Throw-in (3),4554655,20000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Streling Giannico,Search Livestream,Throw-in,Group,SD Farm,Kevin Fawcett,SD Farm win throw-in,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,,,,,,
Assist,4563173,25000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Keko Magrini,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,Keko Magrini,Successful,,,,
Shot At Goal (4),4609134,35000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Peco Polledo,Search Livestream,,Group,SD Farm,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,Attacking 30,79;21,Shot At Goal,Goal,,,,,,,,
Throw-in (4),4612846,20000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Keko Magrini,Search Livestream,Throw-in,Group,Cacheko Polo,Kevin Fawcett,Cacheko Polo win throw-in,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,,,,,,
Goal SD Farm (1),4612904,35000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Peco Polledo,Search Livestream,,Group,SD Farm,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,Attacking 30,78;2,,,,Goal SD Farm,,,,,,
Assist (1),4627904,25000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Carlitos Gracida,Search Livestream,,Group,SD Farm,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,Carlitos Gracida,Successful,,,,
Throw-in (5),4667734,20000,Live,Chukka 6,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Juan Mujica,Search Livestream,Throw-in,Group,Cacheko Polo,Kevin Fawcett,Cacheko Polo win throw-in,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,,,,,,
