Name,Position,Duration,Club,Umpire 1,Third Umpire,Search Event,Camera Angle,Match Date,Chukka,Set Play,Game,Stage,Umpire 2,Instant Replay Official,Tournament,Throw-in Outcome,Team,Player,Year,Chukka Length,Shot At Goal,Shot At Goal Outcome,Location,General Field Area,Goal,Foul,Foul Type,Foul Outcome,Umpire Trailing,Umpire Focal,Knock-in Player 2,Assist Outcome,Assist,Highlight Reel,Penalties,Penalty Outcome,Collision,Penalty Block
Throw-in (3),5336699,20000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 4,Throw-in,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,Daily Racing Farm win throw-in,Daily Racing Form,Agustin Obregon,2020,,,,,,,,,,,,,,,,,,,
Shot At Goal (4),5360632,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 4,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santiago Wulff,2020,,Shot At Goal,Miss Hit,78;52,Attacking 60,,,,,,,,,,,,,,
Assist (1),5376666,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 4,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santi Toccalino,2020,,,,,,,,,,,,,Unsuccessful,Santi Toccalino,,,,,
Foul (4),5384432,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 4,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santiago Wulff,2020,,,,11;53,Attacking 60,,Foul,Blocking,Penalty 5,62;76,5;84,,,,,,,,
Foul Received (3),5384432,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 4,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Agustin Obregon,2020,,,,132;261,Defending 60,,Foul Received,Blocking,Penalty 5,,,,,,,,,,
Shot At Goal (5),5410299,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 4,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Hope Arellano,2020,,Shot At Goal,Goal,78;18,Attacking 30,,,,,,,,,,,,,,
Goal Daily Racing Farm,5411666,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 4,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Hope Arellano,2020,,,,,,Goal Daily Racing Farm,,,,,,,,,Goals,,,,
Penalty 5,5418366,30000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 4,Penalty 5,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Tommy Collingwood,2020,,,,,,,,,,,,,,,,,,,
Assist (2),5426666,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 4,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Tommy Collingwood,2020,,,,,,,,,,,,,Successful,Tommy Collingwood,,,,,
Throw-in (4),5657399,20000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,Throw-in,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,Patagones win throw-in,Patagones,Santiago Wulff,2020,,,,,,,,,,,,,,,,,,,
Chukka Length (8),5662233,644366,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Team,,2020,Chukka Length,,,,,,,,,,,,,,,,,,
Foul (5),5699666,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Joaquin Avendano,2020,,,,118;136,Attacking Half,,Foul,Right of Way,Penalty 5,51;121,114;124,,,,,,,,
Foul Received (4),5699666,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Tommy Collingwood,2020,,,,32;159,Defending Half,,Foul Received,Right of Way,Penalty 5,,,,,,,,,,
Shot At Goal (6),5756932,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Agustin Obregon,2020,,Shot At Goal,Goal,37;61,Attacking 60,,,,,,,,,,,,,,
Goal Daily Racing Farm (1),5759432,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Agustin Obregon,2020,,,,,,Goal Daily Racing Farm,,,,,,,,,Goals,,,,
Penalty 5 (1),5771932,30000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,Penalty 5,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Tommy Collingwood,2020,,,,,,,,,,,,,,,,,,,
Assist (3),5774432,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Jared Zenni,2020,,,,,,,,,,,,,Successful,Jared Zenni,,,,,
Throw-in (5),5811199,20000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,Throw-in,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,Daily Racing Farm win throw-in,Daily Racing Form,Jared Zenni,2020,,,,,,,,,,,,,,,,,,,
Shot At Goal (7),5824432,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santiago Wulff,2020,,Shot At Goal,Miss Hit,68;34,Attacking 30,,,,,,,,,,,,,,
Assist (4),5839432,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Benjamin Avendano,2020,,,,,,,,,,,,,Unsuccessful,Benjamin Avendano,,,,,
Foul (6),5864132,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Jared Zenni,2020,,,,76;197,Defending Half,,Foul,Riding Into Shot,Penalty 40 yards,124;175,74;194,,,,,,,,
Foul Received (5),5864132,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Joaquin Avendano,2020,,,,69;104,Attacking Half,,Foul Received,Riding Into Shot,Penalty 40 yards,,,,,,,,,,
Goal Patagones (3),5908732,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santi Toccalino,2020,,,,,,Goal Patagones,,,,,,,,,,,,,
Penalty 40 yards (1),5924766,15000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santi Toccalino,2020,,,,,,,,,,,,,,,,Penalty 40 yards,Goal,,
Throw-in (6),5963932,20000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,Throw-in,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,Daily Racing Farm win throw-in,Daily Racing Form,Agustin Obregon,2020,,,,,,,,,,,,,,,,,,,
Shot At Goal (8),5985866,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Agustin Obregon,2020,,Shot At Goal,Goal,71;17,Attacking 30,,,,,,,,,,,,,,
Goal Daily Racing Farm (2),5988132,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Agustin Obregon,2020,,,,,,Goal Daily Racing Farm,,,,,,,,,,,,,
Assist (5),6003132,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Tommy Collingwood,2020,,,,,,,,,,,,,Successful,Tommy Collingwood,,,,,
Foul (7),6044399,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Joaquin Avendano,2020,,,,135;165,Defending Half,,Foul,Blocking,Penalty 60 yards,29;118,110;136,,,,,,,,
Foul Received (6),6044399,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Jared Zenni,2020,,,,15;130,Attacking Half,,Foul Received,Blocking,Penalty 60 yards,,,,,,,,,,
Throw-in (7),6045666,20000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,Throw-in,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,Daily Racing Farm win throw-in,Daily Racing Form,Jared Zenni,2020,,,,,,,,,,,,,,,,,,,
Goal Daily Racing Farm (3),6103399,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Agustin Obregon,2020,,,,,,Goal Daily Racing Farm,,,,,,,,,,,,,
Penalty 60 yards (2),6120399,15000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Agustin Obregon,2020,,,,,,,,,,,,,,,,Penalty 60 yards,Goal,,
Shot At Goal (9),6151166,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santi Toccalino,2020,,Shot At Goal,Goal,78;24,Attacking 30,,,,,,,,,,,,,,
Goal Patagones (4),6153166,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santi Toccalino,2020,,,,,,Goal Patagones,,,,,,,,,,,,,
Throw-in (8),6154132,20000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,Throw-in,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,Patagones win throw-in,Patagones,Santi Toccalino,2020,,,,,,,,,,,,,,,,,,,
Shot At Goal (10),6192999,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Hope Arellano,2020,,Shot At Goal,Wide,91;74,Attacking 60,,,,,,,,,,,,,,
Assist (6),6210332,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Tommy Collingwood,2020,,,,,,,,,,,,,Unsuccessful,Tommy Collingwood,,,,,
Throw-in (9),6210432,20000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,Throw-in,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,Daily Racing Farm win throw-in,Daily Racing Form,Tommy Collingwood,2020,,,,,,,,,,,,,,,,,,,
Knock In (4),6241166,40000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,Knock In,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santi Toccalino,2020,,,,,,,,,,,,,,,,,,,
Shot At Goal (11),6262332,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Benjamin Avendano,2020,,Shot At Goal,Goal,80;22,Attacking 30,,,,,,,,,,,,,,
Goal Patagones (5),6263532,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Benjamin Avendano,2020,,,,,,Goal Patagones,,,,,,,,,Goals,,,,
Assist (7),6278532,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 5,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santiago Wulff,2020,,,,,,,,,,,,,Successful,Santiago Wulff,,,,,
Throw-in (10),6511732,20000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,Throw-in,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,Daily Racing Farm win throw-in,Daily Racing Form,Agustin Obregon,2020,,,,,,,,,,,,,,,,,,,
Chukka Length (9),6516233,204733,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Team,,2020,Chukka Length,,,,,,,,,,,,,,,,,,
Shot At Goal (12),6521432,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santi Toccalino,2020,,Shot At Goal,Goal,134;72,Attacking 60,,,,,,,,,,,,,,
Goal Patagones (6),6524999,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santi Toccalino,2020,,,,,,Goal Patagones,,,,,,,,,Goals,,,,
Throw-in (11),6588599,20000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,Throw-in,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,Daily Racing Farm win throw-in,Daily Racing Form,Tommy Collingwood,2020,,,,,,,,,,,,,,,,,,,
Shot At Goal (13),6661035,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santiago Wulff,2020,,Shot At Goal,Goal,76;25,Attacking 30,,,,,,,,,,,,,,
Goal Patagones (7),6662832,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santiago Wulff,2020,,,,,,Goal Patagones,,,,,,,,,,,,,
Assist (8),6677832,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santi Toccalino,2020,,,,,,,,,,,,,Successful,Santi Toccalino,,,,,
Injury Time (4),6720966,123200,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Team,,2020,Injury Time,,,,,,,,,,,,,,,,,,
Shot At Goal (14),6825199,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santiago Wulff,2020,,Shot At Goal,Short,62;103,Attacking Half,,,,,,,,,,,,,,
Throw-in (12),6839866,20000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,Throw-in,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,Patagones win throw-in,Patagones,Santiago Wulff,2020,,,,,,,,,,,,,,,,,,,
Chukka Length (10),6844166,438433,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Team,,2020,Chukka Length,,,,,,,,,,,,,,,,,,
Foul (8),6858466,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Joaquin Avendano,2020,,,,23;31,Attacking 30,,Foul,Riding Into Shot,Penalty 5,124;53,37;56,,,,,,,,
Foul Received (7),6858466,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Jared Zenni,2020,,,,123;267,Defending 30,,Foul Received,Riding Into Shot,Penalty 5,,,,,,,,,,
Penalty 5 (2),6895799,30000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,Penalty 5,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Tommy Collingwood,2020,,,,,,,,,,,,,,,,,,,
Free Hit,6920532,20000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,Free Hit,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santi Toccalino,2020,,,,,,,,,,,,,,,,,,,
Foul (9),6950999,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Agustin Obregon,2020,,,,134;22,Attacking 30,,Foul,Right of Way,Penalty 5B,116;53,30;62,,,,,,,,
Foul Received (8),6950999,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santi Toccalino,2020,,,,26;285,Defending 30,,Foul Received,Right of Way,Penalty 5B,,,,,,,,,,
Shot At Goal (15),7013566,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santi Toccalino,2020,,Shot At Goal,Blocked,77;151,Attacking Half,,,,,,,,,,,,,,
Penalty 5b,7038565,30000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,Penalty 5b,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santi Toccalino,2020,,,,,,,,,,,,,,,,,,,
Shot Block (1),7044599,10000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Tommy Collingwood,2020,,,,,,,,,,,,,,,,,,,Shot Block
Foul (10),7061432,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Hope Arellano,2020,,,,33;21,Attacking 30,,Foul,Right of Way,Penalty 5,78;89,12;66,,,,,,,,
Foul Received (9),7061432,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santi Toccalino,2020,,,,135;285,Defending 30,,Foul Received,Right of Way,Penalty 5,,,,,,,,,,
Penalty 5 (3),7111866,30000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,Penalty 5,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santi Toccalino,2020,,,,,,,,,,,,,,,,,,,
Foul (11),7137999,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Hope Arellano,2020,,,,56;233,Defending 60,,Foul,Blocking,Penalty 30 yards,94;233,19;245,,,,,,,,
Foul Received (10),7137999,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santi Toccalino,2020,,,,100;71,Attacking 60,,Foul Received,Blocking,Penalty 30 yards,,,,,,,,,,
Goal Patagones (8),7171799,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santi Toccalino,2020,,,,,,Goal Patagones,,,,,,,,,,,,,
Penalty 30 yards (2),7189532,15000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santi Toccalino,2020,,,,,,,,,,,,,,,,Penalty 30 yards,Goal,,
Shot At Goal (16),7211199,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Tommy Collingwood,2020,,Shot At Goal,Goal,71;17,Attacking 30,,,,,,,,,,,,,,
Goal Daily Racing Farm (4),7213299,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Tommy Collingwood,2020,,,,,,Goal Daily Racing Farm,,,,,,,,,Goals,,,,
Throw-in (13),7223499,20000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,Throw-in,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,Daily Racing Farm win throw-in,Daily Racing Form,Agustin Obregon,2020,,,,,,,,,,,,,,,,,,,
Assist (9),7228299,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Agustin Obregon,2020,,,,,,,,,,,,,Successful,Agustin Obregon,,,,,
Throw-in (14),7266232,20000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 6,Throw-in,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,Patagones win throw-in,Patagones,Benjamin Avendano,2020,,,,,,,,,,,,,,,,,,,
