Name,Position,Duration,Chukka,Set Play,Match Date,Umpire 2,Third Umpire,Camera Angle,Search Event,Club,Tournament,Game,Stage,Umpire 1,Instant Replay Official,Year,Throw-in Outcome,Team,Player,Foul,Foul Type,General Field Area,Location,Foul Outcome,Umpire Focal,Umpire Trailing,Shot At Goal,Shot At Goal Outcome,Goal,Highlight Reel,Assist Outcome,Assist,Penalties,Penalty Outcome,Knock-in Player 2,Chukka Length
Shot At Goal (6),1158866,35000,Chukka 2,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Francisco Elizalde,,,Attacking 30,85;33,,,,Shot At Goal,Goal,,,,,,,,
Goal Las Monjitas (3),1161466,35000,Chukka 2,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Francisco Elizalde,,,,,,,,,,Goal Las Monjitas,,,,,,,
Assist (4),1176466,25000,Chukka 2,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,David Stirling,,,,,,,,,,,,Successful,David Stirling,,,,
Throw-in (5),1219500,20000,Chukka 2,Throw-in,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,Patagones win throw-in,Patagones,Santiago Toccalino,,,,,,,,,,,,,,,,,
Shot At Goal (7),1210266,35000,Chukka 2,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Tomas Garcia del Rio,,,Attacking 30,114;21,,,,Shot At Goal,Goal,,,,,,,,
Goal Patagones (1),1212633,35000,Chukka 2,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Tomas Garcia del Rio,,,,,,,,,,Goal Patagones,Goals,,,,,,
Throw-in (6),1270900,20000,Chukka 2,Throw-in,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,Las Monjitas win throw-in,Las Monjitas,Francisco Elizalde,,,,,,,,,,,,,,,,,
Non Call (1),1276966,20000,Chukka 2,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Team,,Non Call,Dangerous Riding,,,,,,,,,,,,,,,
Foul (3),1302633,25000,Chukka 2,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Camilo Bautista,Foul,Crossing,Defending Half,109;201,Penalty 40 yards,35;249,85;211,,,,,,,,,,
Foul Received (3),1302633,25000,Chukka 2,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Santiago Toccalino,Foul Received,Crossing,Attacking Half,55;92,Penalty 40 yards,,,,,,,,,,,,
Penalty 40 yards,1376366,15000,Chukka 2,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Tomas Garcia del Rio,,,,,,,,,,,,,,Penalty 40 yards,Goal,,
Goal Patagones (2),1359033,35000,Chukka 2,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Tomas Garcia del Rio,,,,,,,,,,Goal Patagones,,,,,,,
Foul (4),1410600,25000,Chukka 2,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Francisco Elizalde,Foul,Quick Line Change,Attacking Half,28;145,Penalty 5,77;151,137;147,,,,,,,,,,
Penalty 5,1462566,30000,Chukka 2,Penalty 5,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Tomas Garcia del Rio,,,,,,,,,,,,,,,,,
Shot At Goal (8),1484200,35000,Chukka 2,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Francisco Elizalde,,,Attacking 30,99;33,,,,Shot At Goal,Miss Hit,,,,,,,,
Assist (5),1500066,25000,Chukka 2,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,David Stirling,,,,,,,,,,,,Unsuccessful,David Stirling,,,,
Shot At Goal (9),1529333,35000,Chukka 2,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,David Stirling,,,Attacking 30,76;8,,,,Shot At Goal,Goal,,,,,,,,
Goal Las Monjitas (4),1530066,35000,Chukka 2,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,David Stirling,,,,,,,,,,Goal Las Monjitas,,,,,,,
Assist (6),1539013,25000,Chukka 2,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Francisco Elizalde,,,,,,,,,,,,Successful,Francisco Elizalde,,,,
Throw-in (7),1594933,20000,Chukka 2,Throw-in,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,Patagones win throw-in,Patagones,Geronimo Obregon,,,,,,,,,,,,,,,,,
Non Call (2),1613300,20000,Chukka 2,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Team,,Non Call,Near Side,,,,,,,,,,,,,,,
Chukka Length (1),1065000,573466,Chukka 2,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Team,,,,,,,,,,,,,,,,,,Chukka Length
Throw-in (8),1864666,20000,Chukka 3,Throw-in,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,Patagones win throw-in,Patagones,Tomas Garcia del Rio,,,,,,,,,,,,,,,,,
Shot At Goal (10),1890133,35000,Chukka 3,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,David Stirling,,,Attacking Half,121;94,,,,Shot At Goal,Wide,,,,,,,,
Knock In (4),1938133,40000,Chukka 3,Knock In,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Tomas Garcia del Rio,,,,,,,,,,,,,,,,Santiago Toccalino,
Shot At Goal (11),1958100,35000,Chukka 3,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Francisco Elizalde,,,Attacking 30,71;26,,,,Shot At Goal,Goal,,,,,,,,
Goal Las Monjitas (5),1960133,35000,Chukka 3,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Francisco Elizalde,,,,,,,,,,Goal Las Monjitas,Goals,,,,,,
Throw-in (9),2018966,20000,Chukka 3,Throw-in,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,Las Monjitas win throw-in,Las Monjitas,Mackenzie Weisz,,,,,,,,,,,,,,,,,
Shot At Goal (12),2010466,35000,Chukka 3,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Francisco Elizalde,,,Attacking 30,49;12,,,,Shot At Goal,Wide,,,,,,,,
Assist (7),2026466,25000,Chukka 3,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Mackenzie Weisz,,,,,,,,,,,,Unsuccessful,Mackenzie Weisz,,,,
Knock In (5),2058500,40000,Chukka 3,Knock In,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Tomas Garcia del Rio,,,,,,,,,,,,,,,,Santiago Toccalino,
Shot At Goal (13),2065066,35000,Chukka 3,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Geronimo Obregon,,,Attacking 30,74;15,,,,Shot At Goal,Goal,,,,,,,,
Goal Patagones (3),2065966,35000,Chukka 3,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Geronimo Obregon,,,,,,,,,,Goal Patagones,Goals,,,,,,
Assist (8),2080966,25000,Chukka 3,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Tomas Garcia del Rio,,,,,,,,,,,,Successful,Tomas Garcia del Rio,,,,
Throw-in (10),2125100,20000,Chukka 3,Throw-in,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,Patagones win throw-in,Patagones,Santiago Toccalino,,,,,,,,,,,,,,,,,
Foul (5),2132033,25000,Chukka 3,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Geronimo Obregon,Foul,Right of Way,Attacking 30,93;4,Penalty 5,9;26,26;26,,,,,,,,,,
Foul Received (4),2132033,25000,Chukka 3,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,David Stirling,Foul Received,Right of Way,Defending 30,56;293,Penalty 5,,,,,,,,,,,,
Penalty 5 (1),2166841,30000,Chukka 3,Penalty 5,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,David Stirling,,,,,,,,,,,,,,,,,
Shot At Goal (14),2227433,35000,Chukka 3,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,David Stirling,,,Attacking 30,78;20,,,,Shot At Goal,Goal,,,,,,,,
Goal Las Monjitas (6),2228233,35000,Chukka 3,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,David Stirling,,,,,,,,,,Goal Las Monjitas,,,,,,,
Assist (9),2243233,25000,Chukka 3,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Francisco Elizalde,,,,,,,,,,,,Successful,Francisco Elizalde,,,,
Throw-in (11),2400366,20000,Chukka 3,Throw-in,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,Las Monjitas win throw-in,Las Monjitas,Francisco Elizalde,,,,,,,,,,,,,,,,,
Shot At Goal (15),2437900,35000,Chukka 3,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Francisco Elizalde,,,Attacking 60,82;45,,,,Shot At Goal,Wide,,,,,,,,
Chukka Length (2),1869533,420266,Chukka 3,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Team,,,,,,,,,,,,,,,,,,Chukka Length
Injury Time,2289800,114366,Chukka 3,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Team,,,,,,,,,,,,,,,,,,Injury Time
Chukka Length (3),2404166,78525,Chukka 3,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Team,,,,,,,,,,,,,,,,,,Chukka Length
Knock In (6),3032900,40000,Chukka 4,Knock In,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Tomas Garcia del Rio,,,,,,,,,,,,,,,,Santiago Toccalino,
