Name,Position,Duration,Match Date,Camera Angle,Umpire 1,Tournament,Game,Stage,Third Umpire,Umpire 2,Instant Replay Official,Search Event,Chukka,Year,Shot At Goal,Club,Shot At Goal Outcome,Location,General Field Area,Player,Team,Set Play,Throw-in Outcome,Chukka Length,Penalty Block,Goal,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Assist Outcome,Assist,Knock-in Player 2,Highlight Reel,Collision
Foul Received (11),3363800,25000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 4,2020,,International Polo Club,,85;13,Attacking 30,Esteban Panelo,La Indiana,,,,,,Foul Received,Reaching,Penalty 1,,,,,,,,,
Foul (11),3363800,25000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 4,2020,,International Polo Club,,64;286,Defending 30,Gonzalo Ferrari,Palm Beach Equine,,,,,,Foul,Reaching,Penalty 1,122;288,59;184,,,,,,,
Goal La Indiana (3),3366433,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 4,2020,,International Polo Club,,,,Esteban Panelo,La Indiana,,,,,Goal La Indiana,,,,,,,,,,,,
Penalty 1 (1),3391433,10000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 4,2020,,International Polo Club,,,,Esteban Panelo,La Indiana,,,,,,,,,,,Penalty 1,Goal,,,,,
Shot At Goal (18),3422666,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 4,2020,Shot At Goal,International Polo Club,Wide,96;15,Attacking 30,Jeff Hall,La Indiana,,,,,,,,,,,,,,,,,
Penalty 5b (3),3433566,30000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 4,2020,,International Polo Club,,,,Esteban Panelo,La Indiana,Penalty 5b,,,,,,,,,,,,,,,,
Assist (6),3433766,25000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 4,2020,,International Polo Club,,,,Esteban Panelo,La Indiana,,,,,,,,,,,,,Unsuccessful,Santiago Gomez Romero,,,
Knock In (10),3464733,40000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 4,2020,,International Polo Club,,,,Gringo Colombres,Palm Beach Equine,Knock In,,,,,,,,,,,,,,Lucas Diaz Alberdi,,
Foul (12),3486866,25000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 4,2020,,International Polo Club,,77;97,Attacking Half,Facundo Obregon,La Indiana,,,,,,Foul,Right of Way,Penalty 5,132;117,82;189,,,,,,,
Foul Received (12),3486866,25000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 4,2020,,International Polo Club,,70;195,Defending Half,Gringo Colombres,Palm Beach Equine,,,,,,Foul Received,Right of Way,Penalty 5,,,,,,,,,
Penalty 5 (3),3524533,30000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 4,2020,,International Polo Club,,,,Gringo Colombres,Palm Beach Equine,Penalty 5,,,,,,,,,,,,,,,,
Shot At Goal (19),3569766,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 4,2020,Shot At Goal,International Polo Club,Wide,135;94,Attacking Half,Lucas Diaz Alberdi,Palm Beach Equine,,,,,,,,,,,,,,,,,
Knock In (11),3623400,40000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 4,2020,,International Polo Club,,,,Facundo Obregon,La Indiana,Knock In,,,,,,,,,,,,,,Jeff Hall,,
Shot At Goal (20),3629366,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 4,2020,Shot At Goal,International Polo Club,Goal,85;24,Attacking 30,Facundo Obregon,La Indiana,,,,,,,,,,,,,,,,,
Goal La Indiana (4),3630933,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 4,2020,,International Polo Club,,,,Facundo Obregon,La Indiana,,,,,Goal La Indiana,,,,,,,,,,,Goals,
Injury Time (1),3692266,117766,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 4,2020,,International Polo Club,,,,,Team,,,Injury Time,,,,,,,,,,,,,,
Throw-in (11),3806533,20000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 4,2020,,International Polo Club,,,,Facundo Obregon,La Indiana,Throw-in,La Indiana win throw-in,,,,,,,,,,,,,,,
Chukka Length (5),3810033,107000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 4,2020,,International Polo Club,,,,,Team,,,Chukka Length,,,,,,,,,,,,,,
Shot At Goal (21),3822033,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 4,2020,Shot At Goal,International Polo Club,Blocked,99;40,Attacking 60,Esteban Panelo,La Indiana,,,,,,,,,,,,,,,,,
Non Call (3),3827966,20000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 4,2020,,International Polo Club,,,,,Team,,,,,,Non Call,Right of Way,,,,,,,,,,
Shot Block (2),3847900,10000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 4,2020,,International Polo Club,,,,Scott Swerdlin,Palm Beach Equine,,,,Shot Block,,,,,,,,,,,,,
Shot At Goal (22),3877933,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 4,2020,Shot At Goal,International Polo Club,Goal,76;13,Attacking 30,Facundo Obregon,La Indiana,,,,,,,,,,,,,,,,,
Goal La Indiana (5),3879133,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 4,2020,,International Polo Club,,,,Facundo Obregon,La Indiana,,,,,Goal La Indiana,,,,,,,,,,,Goals,
Shot At Goal (23),4117500,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 5,2020,Shot At Goal,International Polo Club,Wide,131;36,Attacking 30,Esteban Panelo,La Indiana,,,,,,,,,,,,,,,,,
Throw-in (12),4117733,20000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 5,2020,,International Polo Club,,,,Esteban Panelo,La Indiana,Throw-in,La Indiana win throw-in,,,,,,,,,,,,,,,
Chukka Length (6),4121800,577127,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 5,2020,,International Polo Club,,,,,Team,,,Chukka Length,,,,,,,,,,,,,,
Assist (7),4134800,25000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 5,2020,,International Polo Club,,,,Facundo Obregon,La Indiana,,,,,,,,,,,,,Unsuccessful,Facundo Obregon,,,
Knock In (12),4159600,40000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 5,2020,,International Polo Club,,,,Gringo Colombres,Palm Beach Equine,Knock In,,,,,,,,,,,,,,Gringo Colombres,,
Shot At Goal (24),4199033,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 5,2020,Shot At Goal,International Polo Club,Blocked,94;31,Attacking 30,Esteban Panelo,La Indiana,,,,,,,,,,,,,,,,,
Shot Block (3),4226100,10000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 5,2020,,International Polo Club,,,,Gonzalo Ferrari,Palm Beach Equine,,,,Shot Block,,,,,,,,,,,,,
Shot At Goal (25),4226736,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 5,2020,Shot At Goal,International Polo Club,Goal,64;29,Attacking 30,Gringo Colombres,Palm Beach Equine,,,,,,,,,,,,,,,,,
Goal Palm Beach Equine (6),4229200,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 5,2020,,International Polo Club,,,,Gringo Colombres,Palm Beach Equine,,,,,Goal Palm Beach Equine,,,,,,,,,,,,
Assist (8),4244200,25000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 5,2020,,International Polo Club,,,,Gonzalo Ferrari,Palm Beach Equine,,,,,,,,,,,,,Successful,Lucas Diaz Alberdi,,,
Throw-in (13),4285200,20000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 5,2020,,International Polo Club,,,,Facundo Obregon,La Indiana,Throw-in,La Indiana win throw-in,,,,,,,,,,,,,,,
Shot At Goal (26),4383933,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 5,2020,Shot At Goal,International Polo Club,Wide,96;81,Attacking Half,Esteban Panelo,La Indiana,,,,,,,,,,,,,,,,,
Knock In (13),4506433,40000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 5,2020,,International Polo Club,,,,Gringo Colombres,Palm Beach Equine,Knock In,,,,,,,,,,,,,,,,
Shot At Goal (27),4516166,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 5,2020,Shot At Goal,International Polo Club,Miss Hit,78;25,Attacking 30,Esteban Panelo,La Indiana,,,,,,,,,,,,,,,,,
Shot At Goal (29),4518218,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 5,2020,Shot At Goal,International Polo Club,Miss Hit,73;11,Attacking 30,Michael Bickford,La Indiana,,,,,,,,,,,,,,,,,
Shot At Goal (28),4518466,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 5,2020,Shot At Goal,International Polo Club,Goal,73;18,Attacking 30,Facundo Obregon,La Indiana,,,,,,,,,,,,,,,,,
Goal La Indiana (6),4519100,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 5,2020,,International Polo Club,,,,Facundo Obregon,La Indiana,,,,,Goal La Indiana,,,,,,,,,,,,
Assist (9),4531166,25000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 5,2020,,International Polo Club,,,,Michael Bickford,La Indiana,,,,,,,,,,,,,Unsuccessful,Michael Bickford,,,
Throw-in (14),4617800,20000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 5,2020,,International Polo Club,,,,Jeff Hall,La Indiana,Throw-in,La Indiana win throw-in,,,,,,,,,,,,,,,
Foul (13),4661900,25000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 5,2020,,International Polo Club,,5;224,Defending Half,Esteban Panelo,La Indiana,,,,,,Foul,Riding Into Shot,Penalty 60 yards,15;193,85;248,,,,,,,
Foul Received (13),4661900,25000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 5,2020,,International Polo Club,,146;80,Attacking Half,Gringo Colombres,Palm Beach Equine,,,,,,Foul Received,Riding Into Shot,Penalty 60 yards,,,,,,,,,
Goal Palm Beach Equine (7),4910766,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,,,Gringo Colombres,Palm Beach Equine,,,,,Goal Palm Beach Equine,,,,,,,,,,,,
Penalty 60 yards (3),4929009,15000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,,,Gringo Colombres,Palm Beach Equine,,,,,,,,,,,Penalty 60 yards,Goal,,,,,
Chukka Length (7),4935600,705400,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,,,,Team,,,Chukka Length,,,,,,,,,,,,,,
Shot At Goal (30),4947433,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,Shot At Goal,International Polo Club,Goal,57;22,Attacking 30,Gringo Colombres,Palm Beach Equine,,,,,,,,,,,,,,,,,
Goal Palm Beach Equine (8),4948666,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,,,Gringo Colombres,Palm Beach Equine,,,,,Goal Palm Beach Equine,,,,,,,,,,,Goals,
Throw-in (15),4960700,20000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,,,Gringo Colombres,Palm Beach Equine,Throw-in,Palm Beach Equine win throw-in,,,,,,,,,,,,,,,
Shot At Goal (31),5004966,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,Shot At Goal,International Polo Club,Wide,95;27,Attacking 30,Esteban Panelo,La Indiana,,,,,,,,,,,,,,,,,
Throw-in (16),5009300,20000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,,,Gonzalo Ferrari,Palm Beach Equine,Throw-in,Palm Beach Equine win throw-in,,,,,,,,,,,,,,,
Knock In (14),5052966,40000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,,,Gringo Colombres,Palm Beach Equine,Knock In,,,,,,,,,,,,,,,,
Foul (14),5053433,25000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,65;244,Defending 60,Gringo Colombres,Palm Beach Equine,,,,,,Foul,Riding Into Shot,Penalty 30 yards,16;257,44;166,,,,,,,
Foul Received (14),5054133,25000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,76;70,Attacking 60,Facundo Obregon,La Indiana,,,,,,Foul Received,Riding Into Shot,Penalty 30 yards,,,,,,,,,
Goal La Indiana (7),5099233,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,,,Facundo Obregon,La Indiana,,,,,Goal La Indiana,,,,,,,,,,,,
Penalty 30 yards (1),5117614,15000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,,,Facundo Obregon,La Indiana,,,,,,,,,,,Penalty 30 yards,Goal,,,,,
Throw-in (17),5160733,20000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,,,Esteban Panelo,La Indiana,Throw-in,La Indiana win throw-in,,,,,,,,,,,,,,,
Foul Received (15),5177500,25000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,68;30,Attacking 30,Facundo Obregon,La Indiana,,,,,,Foul Received,Turning,Penalty 30 yards,,,,,,,,,
Foul (15),5177500,25000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,68;276,Defending 30,Lucas Diaz Alberdi,Palm Beach Equine,,,,,,Foul,Turning,Penalty 30 yards,117;179,8;242,,,,,,,
Goal La Indiana (8),5214233,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,,,Facundo Obregon,La Indiana,,,,,Goal La Indiana,,,,,,,,,,,,
Penalty 30 yards Spot,5237637,10000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,,,Facundo Obregon,La Indiana,,,,,,,,,,,Penalty 30 yards Spot,Goal,,,,,
Throw-in (18),5268466,20000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,,,Gringo Colombres,Palm Beach Equine,Throw-in,Palm Beach Equine win throw-in,,,,,,,,,,,,,,,
Foul Received (16),5277866,25000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,135;175,Defending Half,Facundo Obregon,La Indiana,,,,,,Foul Received,Improper Procedure,Penalty 5,,,,,,,,,
Foul (16),5277866,25000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,37;124,Attacking Half,Gringo Colombres,Palm Beach Equine,,,,,,Foul,Improper Procedure,Penalty 5,5;97,57;148,,,,,,,
Penalty 5 (4),5337833,30000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,,,Esteban Panelo,La Indiana,Penalty 5,,,,,,,,,,,,,,,,
Foul Received (17),5357900,25000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,18;171,Defending Half,Facundo Obregon,La Indiana,,,,,,Foul Received,Blocking,Penalty 40 yards,,,,,,,,,
Foul (17),5357900,25000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,132;121,Attacking Half,Gonzalo Ferrari,Palm Beach Equine,,,,,,Foul,Blocking,Penalty 40 yards,71;120,139;183,,,,,,,
Goal La Indiana (9),5421966,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,,,Facundo Obregon,La Indiana,,,,,Goal La Indiana,,,,,,,,,,,,
Penalty 40 yards (1),5440233,15000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,,,Facundo Obregon,La Indiana,,,,,,,,,,,Penalty 40 yards,Goal,,,,,
Throw-in (19),5479066,20000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,,,Lucas Diaz Alberdi,Palm Beach Equine,Throw-in,Palm Beach Equine win throw-in,,,,,,,,,,,,,,,
Shot At Goal (32),5493866,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,Shot At Goal,International Polo Club,Goal,79;16,Attacking 30,Gonzalo Ferrari,Palm Beach Equine,,,,,,,,,,,,,,,,,
Goal Palm Beach Equine (9),5494866,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,,,Gonzalo Ferrari,Palm Beach Equine,,,,,Goal Palm Beach Equine,,,,,,,,,,,,
Assist (10),5510166,25000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,,,Lucas Diaz Alberdi,Palm Beach Equine,,,,,,,,,,,,,Successful,Gringo Colombres,,,
Throw-in (20),5552466,20000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,,,Gonzalo Ferrari,Palm Beach Equine,Throw-in,Palm Beach Equine win throw-in,,,,,,,,,,,,,,,
Shot At Goal (33),5562033,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,Shot At Goal,International Polo Club,Goal,82;24,Attacking 30,Esteban Panelo,La Indiana,,,,,,,,,,,,,,,,,
Goal La Indiana (10),5563000,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,,,Esteban Panelo,La Indiana,,,,,Goal La Indiana,,,,,,,,,,,,
Assist (11),5579900,25000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,,,Facundo Obregon,La Indiana,,,,,,,,,,,,,Successful,Facundo Obregon,,,
Throw-in (21),5615033,20000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 6,2020,,International Polo Club,,,,Gonzalo Ferrari,Palm Beach Equine,Throw-in,Palm Beach Equine win throw-in,,,,,,,,,,,,,,,
