Name,Position,Duration,Chukka,Player,Team,Set Play,Throw-in Outcome,Camera Angle,Club,Game,Instant Replay Official,Match Date,Search Event,Stage,Third Umpire,Tournament,Umpire 1,Umpire 2,Year,Chukka Length,Foul,Foul Outcome,Foul Type,Location,General Field Area,Umpire Focal,Umpire Trailing,Shot At Goal,Shot At Goal Outcome,Goal,Penalties,Penalty Outcome,Penalty Block,Assist,Assist Outcome,Knock-in Player 2,Highlight Reel
Throw-in (25),4007000,20000,Chukka 4,Jeff Hall,La Indiana,Throw-in,La Indiana win throw-in,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,,,,
Chukka Length (3),4011866,590633,Chukka 4,,Team,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,Chukka Length,,,,,,,,,,,,,,,,,
Throw-in (12),4046233,20000,Chukka 4,Jeff Hall,La Indiana,Throw-in,La Indiana win throw-in,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,,,,
Foul (13),4052800,25000,Chukka 4,Agustin Obregon,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,Foul,Penalty 60 yards,Crossing,114;195,Defending Half,144;211,114;235,,,,,,,,,,
Foul Received (13),4052800,25000,Chukka 4,Michael Bickford,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,Foul Received,Penalty 60 yards,Crossing,32;102,Attacking Half,,,,,,,,,,,,
Penalty 60 yards (4),4142600,15000,Chukka 4,Polito Pieres,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,Penalty 60 yards,Wide,,,,,
Knock In (7),4166127,40000,Chukka 4,Tomas Collingwood,Daily Racing Form,Knock In,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,,,Agustin Obregon,
Shot At Goal (17),4167700,35000,Chukka 4,Jeff Hall,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,57;36,Attacking 30,,,Shot At Goal,Goal,,,,,,,,
Goal La Indiana (8),4172066,35000,Chukka 4,Jeff Hall,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,76;8,Attacking 30,,,,,Goal La Indiana,,,,,,,Goals
Throw-in (13),4227466,20000,Chukka 4,Jeff Hall,La Indiana,Throw-in,La Indiana win throw-in,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,,,,
Shot At Goal (18),4232733,35000,Chukka 4,Santiago Gomez Romero,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,61;12,Attacking 30,,,Shot At Goal,Goal,,,,,,,,
Goal La Indiana (9),4234233,35000,Chukka 4,Santiago Gomez Romero,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,71;3,Attacking 30,,,,,Goal La Indiana,,,,,,,
Assist (8),4249233,25000,Chukka 4,Jeff Hall,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,Jeff Hall,Successful,,
Throw-in (14),4293100,20000,Chukka 4,Jared Zenni,Daily Racing Form,Throw-in,Daily Racing Form win throw-in,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,,,,
Foul (14),4301500,25000,Chukka 4,Jared Zenni,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,Foul,Penalty 5,Right of Way,122;25,Attacking 30,51;81,128;57,,,,,,,,,,
Foul Received (14),4301500,25000,Chukka 4,Polito Pieres,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,Foul Received,Penalty 5,Right of Way,25;279,Defending 30,,,,,,,,,,,,
Penalty 5 (4),4339133,30000,Chukka 4,Polito Pieres,La Indiana,Penalty 5,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,,,,
Shot At Goal (19),4346500,35000,Chukka 4,Costi Caset,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,81;13,Attacking 30,,,Shot At Goal,Goal,,,,,,,,
Goal Daily Racing Form (2),4347266,35000,Chukka 4,Costi Caset,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,76;3,Attacking 30,,,,,Goal Daily Racing Form,,,,,,,Goals
Assist (9),4362600,25000,Chukka 4,Jared Zenni,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,Jared Zenni,Successful,,
Shot At Goal (20),4399000,35000,Chukka 4,Agustin Obregon,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,116;34,Attacking 30,,,Shot At Goal,Wide,,,,,,,,
Throw-in (15),4406800,20000,Chukka 4,Jared Zenni,Daily Racing Form,Throw-in,Daily Racing Form win throw-in,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,,,,
Knock In (8),4445100,40000,Chukka 4,Jeff Hall,La Indiana,Knock In,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,,,,
Shot At Goal (21),4489266,35000,Chukka 4,Polito Pieres,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,103;63,Attacking 60,,,Shot At Goal,Blocked,,,,,,,,
Non Call (1),4497566,20000,Chukka 4,,Team,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,Non Call,,Right of Way,,,,,,,,,,,,,,
Shot Block (1),4514266,10000,Chukka 4,Jared Zenni,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,Shot Block,,,,
Shot At Goal (22),4543500,35000,Chukka 4,Tomas Collingwood,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,127;39,Attacking 60,,,Shot At Goal,Wide,,,,,,,,
Knock In (9),4826300,40000,Chukka 5,Polito Pieres,La Indiana,Knock In,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,,,Jeff Hall,
Chukka Length (4),4830200,114166,Chukka 5,,Team,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,Chukka Length,,,,,,,,,,,,,,,,,
Shot At Goal (23),4837233,35000,Chukka 5,Tomas Collingwood,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,105;59,Attacking 60,,,Shot At Goal,Wide,,,,,,,,
Free Hit,4858461,20000,Chukka 5,Tomas Collingwood,Daily Racing Form,Free Hit,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,,,,
Knock In (10),4886283,40000,Chukka 5,Polito Pieres,La Indiana,Knock In,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,,,,
Foul (15),4906566,25000,Chukka 5,Michael Bickford,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,Foul,Penalty 40 yards,Dangerous Use of Mallet,122;238,Defending 60,130;235,80;211,,,,,,,,,,
Foul Received (16),4906566,25000,Chukka 5,Tomas Collingwood,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,Foul Received,Penalty 40 yards,Dangerous Use of Mallet,20;57,Attacking 60,,,,,,,,,,,,
Injury Time,4928213,120152,Chukka 5,,Team,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,Injury Time,,,,,,,,,,,,,,,,,
Goal Daily Racing Form (3),5026366,35000,Chukka 5,Jared Zenni,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,Goal Daily Racing Form,,,,,,,
Penalty 40 yards (1),5040233,15000,Chukka 5,Jared Zenni,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,Penalty 40 yards,Goal,,,,,
Chukka Length (5),5050260,481906,Chukka 5,,Team,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,Chukka Length,,,,,,,,,,,,,,,,,
Shot At Goal (24),5066733,35000,Chukka 5,Jeff Hall,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,54;39,Attacking 60,,,Shot At Goal,Goal,,,,,,,,
Goal La Indiana (10),5068333,35000,Chukka 5,Jeff Hall,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,73;6,Attacking 30,,,,,Goal La Indiana,,,,,,,Goals
Throw-in (16),5073266,20000,Chukka 5,Jared Zenni,Daily Racing Form,Throw-in,Daily Racing Form win throw-in,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,,,,
Throw-in (17),5123633,20000,Chukka 5,Jared Zenni,Daily Racing Form,Throw-in,Daily Racing Form win throw-in,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,,,,
Shot At Goal (25),5127900,35000,Chukka 5,Agustin Obregon,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,55;17,Attacking 30,,,Shot At Goal,Goal,,,,,,,,
Goal Daily Racing Form (4),5130200,35000,Chukka 5,Agustin Obregon,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,73;6,Attacking 30,,,,,Goal Daily Racing Form,,,,,,,
Throw-in (18),5185633,20000,Chukka 5,Jared Zenni,Daily Racing Form,Throw-in,Daily Racing Form win throw-in,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,,,,
Non Call (2),5196333,20000,Chukka 5,,Team,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,Non Call,,Right of Way,,,,,,,,,,,,,,
Shot At Goal (26),5197100,35000,Chukka 5,Tomas Collingwood,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,52;18,Attacking 30,,,Shot At Goal,Wide,,,,,,,,
Assist (10),5216433,25000,Chukka 5,Costi Caset,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,Costi Caset,Unsuccessful,,
Knock In (11),5243233,40000,Chukka 5,Polito Pieres,La Indiana,Knock In,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,,,,
Non Call (3),5247133,20000,Chukka 5,,Team,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,Non Call,,Dangerous Riding,,,,,,,,,,,,,,
Shot At Goal (27),5277066,35000,Chukka 5,Santiago Gomez Romero,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,55;22,Attacking 30,,,Shot At Goal,Goal,,,,,,,,
Goal La Indiana (11),5277600,35000,Chukka 5,Santiago Gomez Romero,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,78;7,Attacking 30,,,,,Goal La Indiana,,,,,,,
Assist (12),5286461,25000,Chukka 5,Polito Pieres,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,Polito Pieres,Successful,,
Assist (11),5293700,25000,Chukka 5,Polito Pieres,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,Assist,Successful,,
Shot At Goal (28),5335200,35000,Chukka 5,Santiago Gomez Romero,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,98;9,Attacking 30,,,Shot At Goal,Wide,,,,,,,,
Throw-in (19),5336266,20000,Chukka 5,Tomas Collingwood,Daily Racing Form,Throw-in,Daily Racing Form win throw-in,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,,,,
Knock In (12),5469533,40000,Chukka 5,Tomas Collingwood,Daily Racing Form,Knock In,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,,,,
Shot At Goal (29),5710866,35000,Chukka 6,Jared Zenni,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,76;62,Attacking 60,,,Shot At Goal,Blocked,,,,,,,,
Chukka Length (6),5716731,583938,Chukka 6,,Team,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,Chukka Length,,,,,,,,,,,,,,,,,
Throw-in (20),5722900,20000,Chukka 6,Jared Zenni,Daily Racing Form,Throw-in,Daily Racing Form win throw-in,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,,,,
Shot At Goal (30),5730100,35000,Chukka 6,Costi Caset,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,67;27,Attacking 30,,,Shot At Goal,Miss Hit,,,,,,,,
Shot Block (2),5738500,10000,Chukka 6,Polito Pieres,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,Shot Block,,,,
Foul (16),5755733,25000,Chukka 6,Jared Zenni,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,Foul,Penalty 5B,Riding Into Shot,91;79,Attacking Half,17;43,91;56,,,,,,,,,,
Foul Received (17),5755733,25000,Chukka 6,Jeff Hall,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,Foul Received,Penalty 5B,Riding Into Shot,55;221,Defending Half,,,,,,,,,,,,
Penalty 5b (1),5828437,30000,Chukka 6,Polito Pieres,La Indiana,Penalty 5b,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,,,,
Foul (17),5865200,25000,Chukka 6,Costi Caset,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,Foul,Penalty 5,Reaching,20;20,Attacking 30,19;85,93;47,,,,,,,,,,
Foul Received (18),5865200,25000,Chukka 6,Jeff Hall,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,Foul Received,Penalty 5,Reaching,121;284,Defending 30,,,,,,,,,,,,
Penalty 5 (6),5912174,30000,Chukka 6,Polito Pieres,La Indiana,Penalty 5,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,,,,
Shot At Goal (31),5914633,35000,Chukka 6,Michael Bickford,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,41;59,Attacking 60,,,Shot At Goal,Wide,,,,,,,,
Assist (13),5931133,25000,Chukka 6,Polito Pieres,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,Polito Pieres,Unsuccessful,,
Shot At Goal (32),5948033,35000,Chukka 6,Jeff Hall,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,104;36,Attacking 30,,,Shot At Goal,Goal,,,,,,,,
Goal La Indiana (12),5953200,35000,Chukka 6,Jeff Hall,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,73;7,Attacking 30,,,,,Goal La Indiana,,,,,,,Goals
Knock In (13),5961300,40000,Chukka 6,Tomas Collingwood,Daily Racing Form,Knock In,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,,,Agustin Obregon,
Shot At Goal (33),6001066,35000,Chukka 6,Costi Caset,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,74;17,Attacking 30,,,Shot At Goal,Miss Hit,,,,,,,,
Shot At Goal (34),6004033,35000,Chukka 6,Tomas Collingwood,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,73;9,Attacking 30,,,Shot At Goal,Goal,,,,,,,,
Goal Daily Racing Form (5),6004733,35000,Chukka 6,Tomas Collingwood,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,73;3,Attacking 30,,,,,Goal Daily Racing Form,,,,,,,
Throw-in (21),6010899,20000,Chukka 6,Costi Caset,Daily Racing Form,Throw-in,Daily Racing Form win throw-in,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,,,,
Throw-in (22),6059033,20000,Chukka 6,Tomas Collingwood,Daily Racing Form,Throw-in,Daily Racing Form win throw-in,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,,,,
Non Call (4),6059466,20000,Chukka 6,,Team,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,Non Call,,Right of Way,,,,,,,,,,,,,,
Shot At Goal (35),6070433,35000,Chukka 6,Polito Pieres,La Indiana,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,140;75,Attacking 60,,,Shot At Goal,Blocked,,,,,,,,
Free Hit (1),6092366,20000,Chukka 6,Polito Pieres,La Indiana,Free Hit,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,,,,,
Shot Block (3),6098566,10000,Chukka 6,Tomas Collingwood,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,,,,,,,,,,Shot Block,,,,
Shot At Goal (36),6115266,35000,Chukka 6,Tomas Collingwood,Daily Racing Form,,,Live,International Polo Club,Daily Racing Form vs La Indiana,Kimo Huddleston,February 28. 2020,Serarch Livestream,Group,Horton Schwartz,USPA Gold Cup,Ronnie Hayes,Martin,2020,,,,,82;22,Attacking 30,,,Shot At Goal,Goal,,,,,,,,
