Name,Position,Duration,Chukka,Shot At Goal,Year,Match Date,Stage,Umpire 2,Tournament,Instant Replay Official,Search Event,Camera Angle,Umpire 1,Game,Third Umpire,Club,Location,General Field Area,Team,Player,Shot At Goal Outcome,Chukka Length,Goal,Set Play,Throw-in Outcome,Assist Outcome,Assist,Highlight Reel,Foul,Foul Type,Umpire Focal,Umpire Trailing,Foul Outcome,Knock-in Player 2,Penalties,Penalty Outcome,Penalty Block,Collision
Throw-in (18),4928233,20000,Chukka 6,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,,,Cessna,Felipe Marquez,,,,Throw-in,Cessna win throw-in,,,,,,,,,,,,,
Foul (9),4956233,25000,Chukka 6,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,94;9,Attacking 30,Cessna,Felipe Marquez,,,,,,,,,Foul,Reaching,143;16,102;108,Penalty 5,,,,,
Foul Received (9),4956233,25000,Chukka 6,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,55;286,Defending 30,Patagones,Geronimo Obregon,,,,,,,,,Foul Received,Reaching,,,Penalty 5,,,,,
Penalty 5 (4),5007800,30000,Chukka 6,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,,,Patagones,Tomas Garcia del Rio,,,,Penalty 5,,,,,,,,,,,,,,
Foul (10),5025500,25000,Chukka 6,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,135;70,Attacking 60,Cessna,Ezequiel Martinez Ferrario,,,,,,,,,Foul,Blocking,71;62,137;99,Penalty 5,,,,,
Foul Received (10),5025500,25000,Chukka 6,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,17;218,Defending Half,Patagones,Gonzalo Avendano,,,,,,,,,Foul Received,Blocking,,,Penalty 5,,,,,
Collision,5035966,15000,Chukka 6,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,,,Patagones,Gonzalo Avendano,,,,,,,,,,,,,,,,,,Collision
Injury Time (3),5043166,134633,Chukka 6,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,,,Team,,,Injury Time,,,,,,,,,,,,,,,,
Penalty 5 (5),5174066,30000,Chukka 6,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,,,Patagones,Tomas Garcia del Rio,,,,Penalty 5,,,,,,,,,,,,,,
Chukka Length (9),5177800,379605,Chukka 6,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,,,Team,,,Chukka Length,,,,,,,,,,,,,,,,
Shot At Goal (30),5218866,35000,Chukka 6,Shot At Goal,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,139;94,Attacking Half,Patagones,Tomas Garcia del Rio,Short,,,,,,,,,,,,,,,,,
Shot At Goal (31),5266100,35000,Chukka 6,Shot At Goal,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,142;85,Attacking Half,Patagones,Tomas Garcia del Rio,Wide,,,,,,,,,,,,,,,,,
Knock In (10),5308300,40000,Chukka 6,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,,,Cessna,Felipe Marquez,,,,Knock In,,,,,,,,,,Nicolas Saenz,,,,
Shot At Goal (32),5340700,35000,Chukka 6,Shot At Goal,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,67;81,Attacking Half,Cessna,Ezequiel Martinez Ferrario,Wide,,,,,,,,,,,,,,,,,
Knock In (11),5451833,40000,Chukka 6,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,,,Patagones,Tomas Garcia del Rio,,,,Knock In,,,,,,,,,,,,,,
Shot At Goal (33),5462033,35000,Chukka 6,Shot At Goal,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,139;95,Attacking Half,Patagones,Gonzalo Avendano,Blocked,,,,,,,,,,,,,,,,,
Assist (12),5479036,25000,Chukka 6,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,,,Patagones,Santiago Toccalino,,,,,,Unsuccessful,Santiago Toccalino,,,,,,,,,,,
Shot At Goal (34),5487666,35000,Chukka 6,Shot At Goal,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,71;20,Attacking 30,Cessna,Ezequiel Martinez Ferrario,Miss Hit,,,,,,,,,,,,,,,,,
Shot At Goal (35),5489500,35000,Chukka 6,Shot At Goal,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,66;15,Attacking 30,Cessna,Felipe Marquez,Goal,,,,,,,,,,,,,,,,,
Goal Cessna (7),5491233,35000,Chukka 6,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,69;3,Attacking 30,Cessna,Felipe Marquez,,,Goal Cessna,,,,,,,,,,,,,,,
Shot Block (2),5491833,10000,Chukka 6,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,,,Cessna,Felipe Marquez,,,,,,,,,,,,,,,,,Shot Block,
Assist (13),5492923,25000,Chukka 6,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,,,Cessna,Felipe Marquez,,,,,,Unsuccessful,Felipe Marquez,,,,,,,,,,,
Throw-in (19),5546062,20000,Chukka 6,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,,,Patagones,Geronimo Obregon,,,,Throw-in,Patagones win throw-in,,,,,,,,,,,,,
