Name,Position,Duration,Game,Stage,Third Umpire,Instant Replay Official,Umpire 2,Match Date,Umpire 1,Search Event,Camera Angle,Club,Year,Tournament,Set Play,Chukka,Throw-in Outcome,Player,Team,Chukka Length,Foul,Location,General Field Area,Foul Outcome,Foul Type,Umpire Trailing,Umpire Focal,Knock-in Player 2,Shot At Goal,Shot At Goal Outcome,Penalty Block,Goal,Highlight Reel,Assist Outcome,Assist,Penalties,Penalty Outcome
Shot At Goal (15),2487766,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 3,,Victorino Ruiz Jorba,Old Hickory Bourbon,,,77;38,Attacking 30,,,,,,Shot At Goal,Goal,,,,,,,
Goal Old Hickory Bourbon (4),2492100,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 3,,Victorino Ruiz Jorba,Old Hickory Bourbon,,,76;6,Attacking 30,,,,,,,,,Goal Old Hickory Bourbon,Goals,,,,
Throw-in (10),2494866,20000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Throw-in,Chukka 3,Old Hickory Bourbon win throw-in,Victorino Ruiz Jorba,Old Hickory Bourbon,,,,,,,,,,,,,,,,,,
Shot At Goal (16),3010300,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 4,,Tomas Garcia Del Rio,Patagones,,,79;24,Attacking 30,,,,,,Shot At Goal,Goal,,,,,,,
Goal Patagones (6),3011600,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 4,,Tomas Garcia Del Rio,Patagones,,,71;4,Attacking 30,,,,,,,,,Goal Patagones,,,,,
Throw-in (11),3030433,20000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Throw-in,Chukka 4,Patagones win throw-in,Unknown,Patagones,,,,,,,,,,,,,,,,,,
Chukka Length (3),3030433,147133,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 3,,,Team,Chukka Length,,,,,,,,,,,,,,,,,
Throw-in (12),3071500,20000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Throw-in,Chukka 4,Patagones win throw-in,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,
Shot At Goal (17),3071566,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 4,,Victorino Ruiz Jorba,Old Hickory Bourbon,,,87;54,Attacking 60,,,,,,Shot At Goal,Short,,,,,,,
Shot At Goal (18),3115766,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 4,,Stephen Orthwein,Old Hickory Bourbon,,,85;61,Attacking 60,,,,,,Shot At Goal,Wide,,,,,,,
Injury Time,3163833,259433,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 4,,,Team,Injury Time,,,,,,,,,,,,,,,,,
Chukka Length (6),3425700,423666,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 3,,,Team,Chukka Length,,,,,,,,,,,,,,,,,
Knock In (6),3426866,40000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Knock In,Chukka 4,,Tomas Garcia Del Rio,Patagones,,,,,,,,,Geronimo Obregon,,,,,,,,,
Shot At Goal (19),3441166,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 4,,Tomas Garcia Del Rio,Patagones,,,57;24,Attacking 30,,,,,,Shot At Goal,Wide,,,,,,,
Shot At Goal (20),3486500,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 4,,Victorino Ruiz Jorba,Old Hickory Bourbon,,,67;83,Attacking Half,,,,,,Shot At Goal,Short,,,,,,,
Knock In (7),3488333,40000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Knock In,Chukka 4,,Stephen Orthwein,Old Hickory Bourbon,,,,,,,,,Miguel N. Astrada,,,,,,,,,
Foul (8),3525766,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 4,,Miguel N. Astrada,Old Hickory Bourbon,,Foul,145;54,Attacking 60,Penalty 5,Riding Into Shot,143;99,60;84,,,,,,,,,,
Foul Received (7),3525766,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 4,,Tomas Garcia Del Rio,Patagones,,Foul Received,7;257,Defending 60,Penalty 5,Riding Into Shot,,,,,,,,,,,,
Penalty 5 (5),3633000,30000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Penalty 5,Chukka 4,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,
Shot At Goal (21),3640766,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 4,,Victorino Ruiz Jorba,Old Hickory Bourbon,,,53;30,Attacking 30,,,,,,Shot At Goal,Wide,,,,,,,
Assist (6),3660466,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 4,,Miguel N. Astrada,Old Hickory Bourbon,,,,,,,,,,,,,,,Unsuccessful,Miguel N. Astrada,,
Knock In (8),3686966,40000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Knock In,Chukka 4,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,
Shot At Goal (22),3688133,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 4,,Stephen Orthwein,Old Hickory Bourbon,,,96;44,Attacking 60,,,,,,Shot At Goal,Goal,,,,,,,
Goal Old Hickory Bourbon (5),3691133,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 4,,Stephen Orthwein,Old Hickory Bourbon,,,71;8,Attacking 30,,,,,,,,,Goal Old Hickory Bourbon,,,,,
Assist (7),3706433,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 4,,Miguel N. Astrada,Old Hickory Bourbon,,,,,,,,,,,,,,,Successful,Miguel N. Astrada,,
Throw-in (13),3753266,20000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Throw-in,Chukka 4,Patagones win throw-in,Geronimo Obregon,Patagones,,,,,,,,,,,,,,,,,,
Knock In (9),3790300,40000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Knock In,Chukka 4,,Stephen Orthwein,Old Hickory Bourbon,,,,,,,,,Miguel N. Astrada,,,,,,,,,
Throw-in (14),4125933,20000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Throw-in,Chukka 5,Patagones win throw-in,Santiago Toccalino,Patagones,,,,,,,,,,,,,,,,,,
Chukka Length (4),4126266,673033,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 5,,,Team,Chukka Length,,,,,,,,,,,,,,,,,
Foul (9),4131700,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 5,,Stephen Orthwein,Old Hickory Bourbon,,Foul,96;270,Defending 30,Penalty 30 yards,Crossing,109;218,144;220,,,,,,,,,,
Foul Received (8),4131700,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 5,,Gonzalo Avendano,Patagones,,Foul Received,55;29,Attacking 30,Penalty 30 yards,Crossing,,,,,,,,,,,,
Goal Patagones (7),4175366,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 5,,Santiago Toccalino,Patagones,,,,,,,,,,,,,Goal Patagones,,,,,
Penalty 30 yards (2),4194433,15000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 5,,Santiago Toccalino,Patagones,,,,,,,,,,,,,,,,,Penalty 30 yards,Goal
Throw-in (15),4228700,20000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Throw-in,Chukka 5,Old Hickory Bourbon win throw-in,Miguel N. Astrada,Old Hickory Bourbon,,,,,,,,,,,,,,,,,,
Shot At Goal (23),4232600,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 5,,Victorino Ruiz Jorba,Old Hickory Bourbon,,,97;22,Attacking 30,,,,,,Shot At Goal,Wide,,,,,,,
Assist (8),4250133,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 5,,Miguel N. Astrada,Old Hickory Bourbon,,,,,,,,,,,,,,,Unsuccessful,Miguel N. Astrada,,
Knock In (10),4281833,40000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Knock In,Chukka 5,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,
Foul Received (9),4293233,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 5,,Miguel N. Astrada,Old Hickory Bourbon,,Foul Received,43;165,Defending Half,Penalty 5,Crossing,,,,,,,,,,,,
Foul (10),4293233,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 5,,Geronimo Obregon,Patagones,,Foul,95;131,Attacking Half,Penalty 5,Crossing,122;127,65;159,,,,,,,,,,
Penalty 5 (6),4336133,30000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Penalty 5,Chukka 5,,Stephen Orthwein,Old Hickory Bourbon,,,,,,,,,,,,,,,,,,
Foul (11),4342133,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 5,,Will Johnston,Old Hickory Bourbon,,Foul,116;48,Attacking 60,Penalty 5,Right of Way,135;98,74;103,,,,,,,,,,
Foul Received (10),4342133,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 5,,Tomas Garcia Del Rio,Patagones,,Foul Received,21;258,Defending 60,Penalty 5,Right of Way,,,,,,,,,,,,
Penalty 5 (7),4386833,30000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Penalty 5,Chukka 5,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,
Shot At Goal (24),4419866,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 5,,Stephen Orthwein,Old Hickory Bourbon,,,78;44,Attacking 60,,,,,,Shot At Goal,Blocked,,,,,,,
Shot At Goal (25),4424800,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 5,,Stephen Orthwein,Old Hickory Bourbon,,,82;9,Attacking 30,,,,,,Shot At Goal,Goal,,,,,,,
Goal Old Hickory Bourbon (6),4425600,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 5,,Stephen Orthwein,Old Hickory Bourbon,,,73;6,Attacking 30,,,,,,,,,Goal Old Hickory Bourbon,,,,,
Shot Block (1),4448533,10000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 5,,Gonzalo Avendano,Patagones,,,,,,,,,,,,Shot Block,,,,,,
Throw-in (16),4488933,20000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Throw-in,Chukka 5,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,
Throw-in (17),4492633,20000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Throw-in,Chukka 5,Patagones win throw-in,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,
Foul (12),4505633,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 5,,Stephen Orthwein,Old Hickory Bourbon,,Foul,25;245,Defending 60,Penalty 60 yards,Riding Into Shot,116;180,15;194,,,,,,,,,,
Foul Received (11),4505633,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 5,,Santiago Toccalino,Patagones,,Foul Received,122;45,Attacking 60,Penalty 60 yards,Riding Into Shot,,,,,,,,,,,,
Penalty 60 yards,4596366,15000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 5,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,Penalty 60 yards,Wide
Knock In (11),4623766,40000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Knock In,Chukka 5,,Stephen Orthwein,Old Hickory Bourbon,,,,,,,,,,,,,,,,,,
Free Hit (1),4653400,20000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Free Hit,Chukka 5,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,
Knock In (12),4681233,40000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Knock In,Chukka 5,,Stephen Orthwein,Old Hickory Bourbon,,,,,,,,,Miguel N. Astrada,,,,,,,,,
Non Call (2),4730733,20000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 5,,,Team,,Non Call,,,,Right of Way,,,,,,,,,,,,
Free Hit (2),4762600,20000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Free Hit,Chukka 5,,Miguel N. Astrada,Old Hickory Bourbon,,,,,,,,,,,,,,,,,,
Foul (13),4768500,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 5,,Stephen Orthwein,Old Hickory Bourbon,,Foul,97;7,Attacking 30,Penalty 5B,Dangerous Use of Mallet,77;21,132;18,,,,,,,,,,
Foul Received (12),4768500,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 5,,Santiago Toccalino,Patagones,,Foul Received,55;290,Defending 30,Penalty 5B,Dangerous Use of Mallet,,,,,,,,,,,,
Shot At Goal (26),4989600,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 6,,Santiago Toccalino,Patagones,,,61;8,Attacking 30,,,,,,Shot At Goal,Goal,,,,,,,
Goal Patagones (8),4990166,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 6,,Santiago Toccalino,Patagones,,,73;7,Attacking 30,,,,,,,,,Goal Patagones,,,,,
Penalty 5b (1),4997766,30000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Penalty 5b,Chukka 6,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,
Chukka Length (5),4997800,689958,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 6,,,Team,Chukka Length,,,,,,,,,,,,,,,,,
Throw-in (18),5047133,20000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Throw-in,Chukka 6,Patagones win throw-in,Gonzalo Avendano,Patagones,,,,,,,,,,,,,,,,,,
Non Call (3),5081800,20000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 6,,,Team,,Non Call,,,,Right of Way,,,,,,,,,,,,
Foul Received (13),5100800,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 6,,Geronimo Obregon,Patagones,,Foul Received,135;125,Attacking Half,Penalty 60 yards,Uneven Ride-Off,,,,,,,,,,,,
Foul (14),5100966,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 6,,Miguel N. Astrada,Old Hickory Bourbon,,Foul,14;183,Defending Half,Penalty 60 yards,Uneven Ride-Off,74;189,146;192,,,,,,,,,,
Penalty 60 yards (1),5175600,15000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 6,,Santiago Toccalino,Patagones,,,,,,,,,,,,,,,,,Penalty 60 yards,Wide
Knock In (13),5199824,40000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Knock In,Chukka 6,,Stephen Orthwein,Old Hickory Bourbon,,,,,,,,,,,,,,,,,,
Free Hit (3),5231733,20000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Free Hit,Chukka 6,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,
Foul Received (14),5259433,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 6,,Miguel N. Astrada,Old Hickory Bourbon,,Foul Received,53;258,Defending 60,Penalty 5B,Blocking,,,,,,,,,,,,
Foul (15),5259433,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 6,,Geronimo Obregon,Patagones,,Foul,98;39,Attacking 60,Penalty 5B,Blocking,14;240,97;289,,,,,,,,,,
Knock In (14),5259533,40000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Knock In,Chukka 6,,Stephen Orthwein,Old Hickory Bourbon,,,,,,,,,,,,,,,,,,
Penalty 5b (2),5307466,30000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Penalty 5b,Chukka 6,,Miguel N. Astrada,Old Hickory Bourbon,,,,,,,,,,,,,,,,,,
Shot At Goal (27),5312933,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 6,,Tomas Garcia Del Rio,Patagones,,,72;15,Attacking 30,,,,,,Shot At Goal,Goal,,,,,,,
Goal Patagones (9),5313666,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 6,,Tomas Garcia Del Rio,Patagones,,,72;7,Attacking 30,,,,,,,,,Goal Patagones,Goals,,,,
Assist (9),5328966,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 6,,Santiago Toccalino,Patagones,,,,,,,,,,,,,,,Successful,Santiago Toccalino,,
Throw-in (19),5372433,20000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Throw-in,Chukka 6,Old Hickory Bourbon win throw-in,Victorino Ruiz Jorba,Old Hickory Bourbon,,,,,,,,,,,,,,,,,,
Shot At Goal (28),5414400,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 6,,Stephen Orthwein,Old Hickory Bourbon,,,86;89,Attacking Half,,,,,,Shot At Goal,Blocked,,,,,,,
Shot At Goal (29),5432366,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 6,,Miguel N. Astrada,Old Hickory Bourbon,,,65;21,Attacking 30,,,,,,Shot At Goal,Goal,,,,,,,
Goal Old Hickory Bourbon (7),5433666,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 6,,Miguel N. Astrada,Old Hickory Bourbon,,,76;4,Attacking 30,,,,,,,,,Goal Old Hickory Bourbon,,,,,
Shot Block (2),5445733,10000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 6,,Gonzalo Avendano,Patagones,,,,,,,,,,,,Shot Block,,,,,,
Assist (10),5449733,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 6,,Victorino Ruiz Jorba,Old Hickory Bourbon,,,,,,,,,,,,,,,Successful,Victorino Ruiz Jorba,,
Throw-in (20),5568666,20000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Throw-in,Chukka 6,Old Hickory Bourbon win throw-in,Will Johnston,Old Hickory Bourbon,,,,,,,,,,,,,,,,,,
Shot At Goal (30),5578833,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 6,,Victorino Ruiz Jorba,Old Hickory Bourbon,,,57;11,Attacking 30,,,,,,Shot At Goal,Wide,,,,,,,
Assist (11),5594300,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 6,,Miguel N. Astrada,Old Hickory Bourbon,,,,,,,,,,,,,,,Successful,Miguel N. Astrada,,
