Name,Position,Duration,Game,Stage,Third Umpire,Instant Replay Official,Umpire 2,Match Date,Umpire 1,Search Event,Camera Angle,Club,Year,Tournament,Set Play,Chukka,Throw-in Outcome,Player,Team,Chukka Length,Foul,Location,General Field Area,Foul Outcome,Foul Type,Umpire Trailing,Umpire Focal,Knock-in Player 2,Shot At Goal,Shot At Goal Outcome,Penalty Block,Goal,Highlight Reel,Assist Outcome,Assist,Penalties,Penalty Outcome
Knock In (1),670666,40000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Knock In,Chukka 1,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,
Shot At Goal (4),677833,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 1,,Miguel N. Astrada,Old Hickory Bourbon,,,41;33,Attacking 30,,,,,,Shot At Goal,Wide,,,,,,,
Knock In (2),725900,40000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Knock In,Chukka 1,,Tomas Garcia Del Rio,Patagones,,,,,,,,,Santiago Toccalino,,,,,,,,,
Shot At Goal (5),749800,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 1,,Miguel N. Astrada,Old Hickory Bourbon,,,68;98,Attacking Half,,,,,,Shot At Goal,Short,,,,,,,
Foul (1),797933,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 1,,Geronimo Obregon,Patagones,,Foul,48;59,Attacking 60,Penalty 5,Right of Way,123;129,23;103,,,,,,,,,,
Foul Received (1),797933,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 1,,Miguel N. Astrada,Old Hickory Bourbon,,Foul Received,101;242,Defending 60,Penalty 5,Right of Way,,,,,,,,,,,,
Penalty 5,1029833,30000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Penalty 5,Chukka 2,,Stephen Orthwein,Old Hickory Bourbon,,,,,,,,,,,,,,,,,,
Chukka Length (1),1029966,518314,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 2,,,Team,Chukka Length,,,,,,,,,,,,,,,,,
Non Call (1),1059600,20000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 2,,,Team,,Non Call,,,,Right of Way,,,,,,,,,,,,
Shot At Goal (6),1063300,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 2,,Miguel N. Astrada,Old Hickory Bourbon,,,37;52,Attacking 60,,,,,,Shot At Goal,Goal,,,,,,,
