Name,Position,Duration,Search Event,Camera Angle,Year,Chukka,Shot At Goal,Shot At Goal Outcome,Location,General Field Area,Player,Team,Game,Club,Instant Replay Official,Match Date,Stage,Third Umpire,Tournament,Umpire 1,Umpire 2,Goal,Highlight Reel,Set Play,Throw-in Outcome,Chukka Length,Assist Outcome,Assist,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Knock-in Player 2,Penalty Block,Collision
Goal La Indiana (5),3399800,35000,Search Livestream,Live`,2020,Chukka 4,,,,,Facundo Obregon,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,Goal La Indiana,,,,,,,,,,,,,,,,
Penalty 30 yards,3417691,15000,Search Livestream,Live`,2020,Chukka 4,,,,,Facundo Obregon,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,,,,,,Penalty 30 yards,Goal,,,
Throw-in (9),3449366,20000,Search Livestream,Live`,2020,Chukka 4,,,,,Henry Porter,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,Throw-in,Stable Door Polo win throw-in,,,,,,,,,,,,,
Foul (9),3486666,25000,Search Livestream,Live`,2020,Chukka 4,,,134;157,Defending Half,Espeban Panelo,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,Foul,Blocking,Penalty 60 yards,41;170,132;190,,,,,
Foul Received (9),3486666,25000,Search Livestream,Live`,2020,Chukka 4,,,123;144,Attacking Half,Matias Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,Foul Received,Blocking,Penalty 60 yards,,,,,,,
Goal Stable Door Polo (3),3536066,35000,Search Livestream,Live`,2020,Chukka 4,,,,,Santino Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,Goal Stable Door Polo,,,,,,,,,,,,,,,,
Penalty 60 yards (3),3554300,15000,Search Livestream,Live`,2020,Chukka 4,,,,,Santino Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,,,,,,Penalty 60 yards,Goal,,,
Throw-in (10),3584833,20000,Search Livestream,Live`,2020,Chukka 4,,,,,Henry Porter,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,Throw-in,Stable Door Polo win throw-in,,,,,,,,,,,,,
Non Call (3),3594233,20000,Search Livestream,Live`,2020,Chukka 4,,,,,,Team,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,Non Call,Reaching,,,,,,,,
Foul Received (10),3674666,25000,Search Livestream,Live`,2020,Chukka 4,,,57;290,Defending 30,Facundo Obregon,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,Foul Received,Dangerous Use of Mallet,Penalty 40 yards,,,,,,,
Foul (10),3674666,25000,Search Livestream,Live`,2020,Chukka 4,,,84;25,Attacking 30,Robert Orthwein,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,Foul,Dangerous Use of Mallet,Penalty 40 yards,94;30,16;49,,,,,
Yellow Card (1),3724600,10000,Search Livestream,Live`,2020,Chukka 4,,,,,Matias Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,Yellow Card,Technical,Penalty 40 yards,,,,,,,
Yellow Card (2),3725166,10000,Search Livestream,Live`,2020,Chukka 4,,,,,Matias Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,Yellow Card,Technical,Penalty 40 yards,,,,,,,
Injury Time (1),3735300,185106,Search Livestream,Live`,2020,Chukka 4,,,,,,Team,Lockton vs Archangel/Granite Bay,Empire Polo Club,Unknown,January 26  2020,Group,Unknown,Sportsmanship Cup,Unknown,Unknown,,,,,Injury Time,,,,,,,,,,,,
Goal La Indiana (6),3900133,35000,Search Livestream,Live`,2020,Chukka 4,,,,,Facundo Obregon,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,Goal La Indiana,,,,,,,,,,,,,,,,
Penalty 40 yards,3916933,15000,Search Livestream,Live`,2020,Chukka 4,,,,,Facundo Obregon,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,,,,,,Penalty 40 yards,Goal,,,
Chukka Length (5),3920406,147218,Search Livestream,Live`,2020,Chukka 4,,,,,,Team,Lockton vs Archangel/Granite Bay,Empire Polo Club,Unknown,January 26  2020,Group,Unknown,Sportsmanship Cup,Unknown,Unknown,,,,,Chukka Length,,,,,,,,,,,,
Throw-in (11),3950266,20000,Search Livestream,Live`,2020,Chukka 4,,,,,Henry Porter,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,Throw-in,Stable Door Polo win throw-in,,,,,,,,,,,,,
Shot At Goal (19),3954000,35000,Search Livestream,Live`,2020,Chukka 4,Shot At Goal,Wide,59;76,Attacking Half,Michael Bickford,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,,,,,,,,,,
Knock In (10),4001933,40000,Search Livestream,Live`,2020,Chukka 4,,,,,Santino Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,Knock In,,,,,,,,,,,,,,
Foul (11),4041466,25000,Search Livestream,Live`,2020,Chukka 4,,,50;33,Attacking 30,Jeff Hall,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,Foul,Right of Way,Penalty 5B,51;99,99;97,,,,,
Foul Received (11),4042466,25000,Search Livestream,Live`,2020,Chukka 4,,,98;272,Defending 30,Henry Porter,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,Foul Received,Right of Way,Penalty 5B,,,,,,,
Penalty 5b (1),4379933,30000,Search Livestream,Live`,2020,Chukka 5,,,,,Matias Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,Penalty 5b,,,,,,,,,,,,,,
Chukka Length (6),4383300,617579,Search Livestream,Live`,2020,Chukka 5,,,,,,Team,Lockton vs Archangel/Granite Bay,Empire Polo Club,Unknown,January 26  2020,Group,Unknown,Sportsmanship Cup,Unknown,Unknown,,,,,Chukka Length,,,,,,,,,,,,
Shot At Goal (20),4389600,35000,Search Livestream,Live`,2020,Chukka 5,Shot At Goal,Goal,71;26,Attacking 30,Santino Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,,,,,,,,,,
Goal Stable Door Polo (4),4392766,35000,Search Livestream,Live`,2020,Chukka 5,,,,,Santino Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,Goal Stable Door Polo,,,,,,,,,,,,,,,,
Assist (9),4407766,25000,Search Livestream,Live`,2020,Chukka 5,,,,,Matias Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,Successful,Matias Magrini,,,,,,,,,,
Throw-in (12),4446733,20000,Search Livestream,Live`,2020,Chukka 5,,,,,Santino Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,Throw-in,Stable Door Polo win throw-in,,,,,,,,,,,,,
Foul Received (12),4476666,25000,Search Livestream,Live`,2020,Chukka 5,,,43;66,Attacking 60,Matias Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,Foul Received,Dangerous Riding,Penalty 60 yards,,,,,,,
Foul (12),4478533,25000,Search Livestream,Live`,2020,Chukka 5,,,115;231,Defending 60,Sterling Giannico,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,Foul,Dangerous Riding,Penalty 60 yards,51;195,132;204,,,,,
Goal Stable Door Polo (5),4545166,35000,Search Livestream,Live`,2020,Chukka 5,,,,,Santino Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,Goal Stable Door Polo,,,,,,,,,,,,,,,,
Penalty 60 yards (4),4563433,15000,Search Livestream,Live`,2020,Chukka 5,,,,,Santino Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,,,,,,Penalty 60 yards,Goal,,,
Shot At Goal (21),4577300,35000,Search Livestream,Live`,2020,Chukka 5,Shot At Goal,Wide,117;70,Attacking 60,Henry Porter,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,,,,,,,,,,
Throw-in (13),4591500,20000,Search Livestream,Live`,2020,Chukka 5,,,,,Henry Porter,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,Throw-in,Stable Door Polo win throw-in,,,,,,,,,,,,,
Knock In (11),4628600,40000,Search Livestream,Live`,2020,Chukka 5,,,,,Sterling Giannico,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,Knock In,,,,,,,,,,,,Facundo Obregon,,
Shot At Goal (22),4631066,35000,Search Livestream,Live`,2020,Chukka 5,Shot At Goal,Wide,126;35,Attacking 30,Michael Bickford,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,,,,,,,,,,
Assist (10),4647866,25000,Search Livestream,Live`,2020,Chukka 5,,,,,Jeff Hall,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,Unsuccessful,Jeff Hall,,,,,,,,,,
Knock In (12),4677766,40000,Search Livestream,Live`,2020,Chukka 5,,,,,Matias Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,Knock In,,,,,,,,,,,,,,
Foul Received (13),4710166,25000,Search Livestream,Live`,2020,Chukka 5,,,123;175,Defending Half,Michael Bickford,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,Foul Received,Dangerous Riding,Penalty 5B,,,,,,,
Foul (13),4710166,25000,Search Livestream,Live`,2020,Chukka 5,,,16;125,Attacking Half,Robert Orthwein,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,Foul,Dangerous Riding,Penalty 5B,19;103,124;108,,,,,
Shot At Goal (23),4778266,35000,Search Livestream,Live`,2020,Chukka 5,Shot At Goal,Goal,71;83,Attacking Half,Facundo Obregon,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,,,,,,,,,,
Goal La Indiana (7),4783666,35000,Search Livestream,Live`,2020,Chukka 5,,,,,Facundo Obregon,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,Goal La Indiana,Goals,,,,,,,,,,,,,,,
Penalty 5b (2),4797800,30000,Search Livestream,Live`,2020,Chukka 5,,,,,Sterling Giannico,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,Penalty 5b,,,,,,,,,,,,,,
Assist (11),4798666,25000,Search Livestream,Live`,2020,Chukka 5,,,,,Sterling Giannico,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,Successful,Espeban Panelo,,,,,,,,,,
Shot At Goal (25),4815233,35000,Search Livestream,Live`,2020,Chukka 5,Shot At Goal,Blocked,145;72,Attacking 60,Facundo Obregon,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,,,,,,,,,,
Shot At Goal (24),4829233,35000,Search Livestream,Live`,2020,Chukka 5,Shot At Goal,Goal,84;20,Attacking 30,Facundo Obregon,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,,,,,,,,,,
Goal La Indiana (8),4831900,35000,Search Livestream,Live`,2020,Chukka 5,,,,,Facundo Obregon,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,Goal La Indiana,,,,,,,,,,,,,,,,
Throw-in (14),4836133,20000,Search Livestream,Live`,2020,Chukka 5,,,,,Unknown,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,Throw-in,La Indiana win throw-in,,,,,,,,,,,,,
Shot Block (2),4843933,10000,Search Livestream,Live`,2020,Chukka 5,,,,,Santino Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,,,,,,,,,Shot Block,
Shot At Goal (26),4875100,35000,Search Livestream,Live`,2020,Chukka 5,Shot At Goal,Wide,57;70,Attacking 60,Facundo Obregon,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,,,,,,,,,,
Throw-in (15),4886233,20000,Search Livestream,Live`,2020,Chukka 5,,,,,Facundo Obregon,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,Throw-in,La Indiana win throw-in,,,,,,,,,,,,,
Knock In (13),4923066,40000,Search Livestream,Live`,2020,Chukka 5,,,,,Matias Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,Knock In,,,,,,,,,,,,,,
Free Hit (3),4950533,20000,Search Livestream,Live`,2020,Chukka 5,,,,,Jeff Hall,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,Free Hit,,,,,,,,,,,,,,
Shot At Goal (27),5176066,35000,Search Livestream,Live`,2020,Chukka 6,Shot At Goal,Goal,76;16,Attacking 30,Santino Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,,,,,,,,,,
Goal Stable Door Polo (6),5177000,35000,Search Livestream,Live`,2020,Chukka 6,,,,,Santino Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,Goal Stable Door Polo,Goals,,,,,,,,,,,,,,,
Throw-in (16),5180900,20000,Search Livestream,Live`,2020,Chukka 6,,,,,Henry Porter,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,Throw-in,Stable Door Polo win throw-in,,,,,,,,,,,,,
Chukka Length (7),5183633,817766,Search Livestream,Live`,2020,Chukka 6,,,,,,Team,Lockton vs Archangel/Granite Bay,Empire Polo Club,Unknown,January 26  2020,Group,Unknown,Sportsmanship Cup,Unknown,Unknown,,,,,Chukka Length,,,,,,,,,,,,
Assist (12),5192000,25000,Search Livestream,Live`,2020,Chukka 6,,,,,Matias Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,Successful,Matias Magrini,,,,,,,,,,
Throw-in (17),5231213,20000,Search Livestream,Live`,2020,Chukka 6,,,,,Sterling Giannico,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,Throw-in,La Indiana win throw-in,,,,,,,,,,,,,
Non Call (4),5277300,20000,Search Livestream,Live`,2020,Chukka 6,,,,,,Team,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,Non Call,Right of Way,,,,,,,,
Foul Received (14),5294466,25000,Search Livestream,Live`,2020,Chukka 6,,,137;193,Defending Half,Matias Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,Foul Received,Riding Into Shot,Penalty 5,,,,,,,
Foul (14),5294466,25000,Search Livestream,Live`,2020,Chukka 6,,,23;107,Attacking Half,Sterling Giannico,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,Foul,Riding Into Shot,Penalty 5,9;130,96;112,,,,,
Shot At Goal (28),5319866,35000,Search Livestream,Live`,2020,Chukka 6,Shot At Goal,Miss Hit,78;27,Attacking 30,Santino Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,,,,,,,,,,
Penalty 5 (4),5330600,30000,Search Livestream,Live`,2020,Chukka 6,,,,,Matias Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,Penalty 5,,,,,,,,,,,,,,
Foul Received (15),5344066,25000,Search Livestream,Live`,2020,Chukka 6,,,144;34,Attacking 30,Robert Orthwein,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,Foul Received,Right of Way,Penalty 60 yards,,,,,,,
Foul (15),5344066,25000,Search Livestream,Live`,2020,Chukka 6,,,3;258,Defending 60,Sterling Giannico,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,Foul,Right of Way,Penalty 60 yards,2;240,103;248,,,,,
Penalty 60 yards (5),5429333,15000,Search Livestream,Live`,2020,Chukka 6,,,,,Santino Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,,,,,,Penalty 60 yards,Wide,,,
Foul (16),5457400,25000,Search Livestream,Live`,2020,Chukka 6,,,10;108,Attacking Half,Matias Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,Foul,Crossing,Penalty 5B,28;86,26;18,,,,,
Foul Received (16),5457400,25000,Search Livestream,Live`,2020,Chukka 6,,,137;184,Defending Half,Sterling Giannico,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,Foul Received,Crossing,Penalty 5B,,,,,,,
Knock In (14),5458500,40000,Search Livestream,Live`,2020,Chukka 6,,,,,Sterling Giannico,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,Knock In,,,,,,,,,,,,,,
Shot At Goal (29),5529578,35000,Search Livestream,Live`,2020,Chukka 6,Shot At Goal,Goal,72;16,Attacking 30,Facundo Obregon,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,,,,,,,,,,
Goal La Indiana (9),5530033,35000,Search Livestream,Live`,2020,Chukka 6,,,,,Facundo Obregon,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,Goal La Indiana,,,,,,,,,,,,,,,,
Penalty 5b (3),5530733,30000,Search Livestream,Live`,2020,Chukka 6,,,,,Sterling Giannico,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,Penalty 5b,,,,,,,,,,,,,,
Assist (13),5545033,25000,Search Livestream,Live`,2020,Chukka 6,,,,,Sterling Giannico,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,Successful,Espeban Panelo,,,,,,,,,,
Yellow Card (3),5585433,10000,Search Livestream,Live`,2020,Chukka 6,,,,,Santino Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,Yellow Card,Technical,Penalty 5B,,,,,,,
Shot At Goal (30),5600300,35000,Search Livestream,Live`,2020,Chukka 6,Shot At Goal,Goal,87;27,Attacking 30,Jeff Hall,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,,,,,,,,,,
Goal La Indiana (10),5601733,35000,Search Livestream,Live`,2020,Chukka 6,,,,,Jeff Hall,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,Goal La Indiana,,,,,,,,,,,,,,,,
Assist (14),5616733,25000,Search Livestream,Live`,2020,Chukka 6,,,,,Sterling Giannico,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,Successful,Espeban Panelo,,,,,,,,,,
Penalty 5b (4),5620400,30000,Search Livestream,Live`,2020,Chukka 6,,,,,Sterling Giannico,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,Penalty 5b,,,,,,,,,,,,,,
Shot At Goal (31),5640000,35000,Search Livestream,Live`,2020,Chukka 6,Shot At Goal,Wide,23;79,Attacking Half,Henry Porter,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,,,,,,,,,,
