Name,Position,Duration,Match Date,Game,Tournament,Stage,Umpire 2,Umpire 1,Third Umpire,Search Event,Instant Replay Official,Camera Angle,Club,Set Play,Year,Chukka,Throw-in Outcome,Player,Team,Shot At Goal,Location,General Field Area,Shot At Goal Outcome,Goal,Highlight Reel,Assist Outcome,Assist,Knock-in Player 2,Penalty Block,Foul,Foul Type,Foul Outcome,Umpire Trailing,Umpire Focal,Penalties,Penalty Outcome,Chukka Length
Assist (6),3971733,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 4,,Facundo Pieres,Pilot,,,,,,,Successful,Facundo Pieres,,,,,,,,,,
Shot At Goal (17),2973100,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 3,,Facundo Pieres,Pilot,Shot At Goal,14;62,Attacking 60,Goal,,,,,,,,,,,,,,
Goal Pilot (5),2975333,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 3,,Facundo Pieres,Pilot,,78;7,Attacking 30,,Goal Pilot,,,,,,,,,,,,,
Throw-in (13),4009933,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Throw-in,2020,Chukka 4,Pilot win throw-in,Facundo Pieres,Pilot,,,,,,,,,,,,,,,,,,
Shot At Goal (18),4003100,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 4,,Ignacio Toccalino,Tonkawa,Shot At Goal,78;11,Attacking 30,Goal,,,,,,,,,,,,,,
Goal Tonkawa (6),4003600,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 4,,Ignacio Toccalino,Tonkawa,,74;4,Attacking 30,,Goal Tonkawa,Goals,,,,,,,,,,,,
Throw-in (14),4057200,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Throw-in,2020,Chukka 4,Tonkawa win throw-in,Sapo Caset,Tonkawa,,,,,,,,,,,,,,,,,,
Shot At Goal (19),4050500,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 4,,Facundo Pieres,Pilot,Shot At Goal,56;25,Attacking 30,Goal,,,,,,,,,,,,,,
Goal Pilot (6),4052133,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 4,,Facundo Pieres,Pilot,,78;4,Attacking 30,,Goal Pilot,,,,,,,,,,,,,
Throw-in (15),4107166,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Throw-in,2020,Chukka 4,Pilot win throw-in,Facundo Pieres,Pilot,,,,,,,,,,,,,,,,,,
Shot At Goal (20),4146366,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 4,,Sapo Caset,Tonkawa,Shot At Goal,96;27,Attacking 30,Wide,,,,,,,,,,,,,,
Knock In (9),4189400,40000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Knock In,2020,Chukka 4,,Facundo Pieres,Pilot,,,,,,,,,,,,,,,,,,
Shot At Goal (21),4193100,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 4,,Facundo Pieres,Pilot,Shot At Goal,86;35,Attacking 30,Goal,,,,,,,,,,,,,,
Goal Pilot (7),4195100,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 4,,Facundo Pieres,Pilot,,77;4,Attacking 30,,Goal Pilot,Goals,,,,,,,,,,,,
Throw-in (16),4256733,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Throw-in,2020,Chukka 4,Tonkawa win throw-in,Matias Gonzalez,Tonkawa,,,,,,,,,,,,,,,,,,
Shot At Goal (22),4261533,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 4,,Ignacio Toccalino,Tonkawa,Shot At Goal,69;24,Attacking 30,Goal,,,,,,,,,,,,,,
Goal Tonkawa (7),4263900,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 4,,Ignacio Toccalino,Tonkawa,,75;6,Attacking 30,,Goal Tonkawa,,,,,,,,,,,,,
Throw-in (17),4320591,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Throw-in,2020,Chukka 4,Tonkawa win throw-in,Ignacio Toccalino,Tonkawa,,,,,,,,,,,,,,,,,,
Shot At Goal (23),4314633,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 4,,Gonzalito Pieres,Pilot,Shot At Goal,96;67,Attacking 60,Blocked,,,,,,,,,,,,,,
Shot Block (2),4340500,10000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 4,,Ignacio Toccalino,Tonkawa,,,,,,,,,,Shot Block,,,,,,,,
Shot At Goal (24),4332866,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 4,,Jeff Hildebrand,Tonkawa,Shot At Goal,59;39,Attacking 60,Goal,,,,,,,,,,,,,,
Goal Tonkawa (8),4335400,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 4,,Jeff Hildebrand,Tonkawa,,75;4,Attacking 30,,Goal Tonkawa,,,,,,,,,,,,,
Assist (7),4350933,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 4,,Matias Gonzalez,Tonkawa,,,,,,,Successful,Matias Gonzalez,,,,,,,,,,
Throw-in (18),4644200,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Throw-in,2020,Chukka 5,Tonkawa win throw-in,Sapo Caset,Tonkawa,,,,,,,,,,,,,,,,,,
Foul (8),4641800,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 5,,Sapo Caset,Tonkawa,,55;131,Attacking Half,,,,,,,,Foul,Dangerous Riding,Penalty 5,108;162,26;171,,,
Foul Received (8),4641800,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 5,,Gonzalito Pieres,Pilot,,93;161,Defending Half,,,,,,,,Foul Received,Dangerous Riding,Penalty 5,,,,,
Penalty 5 (5),4711266,30000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Penalty 5,2020,Chukka 5,,Facundo Pieres,Pilot,,,,,,,,,,,,,,,,,,
Shot At Goal (25),4699800,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 5,,Gonzalito Pieres,Pilot,Shot At Goal,59;52,Attacking 60,Goal,,,,,,,,,,,,,,
Goal Pilot (8),4704066,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 5,,Gonzalito Pieres,Pilot,,75;8,Attacking 30,,Goal Pilot,Goals,,,,,,,,,,,,
Assist (8),4720533,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 5,,Facundo Pieres,Pilot,,,,,,,Successful,Facundo Pieres,,,,,,,,,,
Throw-in (19),4757566,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Throw-in,2020,Chukka 5,Tonkawa win throw-in,Ignacio Toccalino,Tonkawa,,,,,,,,,,,,,,,,,,
Foul (9),4780233,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 5,,Gonzalito Pieres,Pilot,,106;95,Attacking Half,,,,,,,,Foul,Right of Way,Reversed Call,123;111,20;104,,,
Foul Received (9),4780233,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 5,,Sapo Caset,Tonkawa,,30;209,Defending Half,,,,,,,,Foul Received,Right of Way,Reversed Call,,,,,
Throw-in (20),5091100,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Throw-in,2020,Chukka 5,Pilot win throw-in,Facundo Pieres,Pilot,,,,,,,,,,,,,,,,,,
Shot At Goal (26),5078000,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 5,,Facundo Pieres,Pilot,Shot At Goal,57;15,Attacking 30,Blocked,,,,,,,,,,,,,,
Shot Block (3),5103733,10000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 5,,Sapo Caset,Tonkawa,,,,,,,,,,Shot Block,,,,,,,,
Knock In (10),5260366,40000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Knock In,2020,Chukka 5,,Sapo Caset,Tonkawa,,,,,,,,,Ignacio Toccalino,,,,,,,,,
Non Call (3),5278900,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 5,,,Team,,,,,,,,,,,Non Call,Right of Way,,,,,,
Shot At Goal (27),5298966,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 5,,Sapo Caset,Tonkawa,Shot At Goal,73;18,Attacking 30,Goal,,,,,,,,,,,,,,
Goal Tonkawa (9),5299900,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 5,,Sapo Caset,Tonkawa,,75;7,Attacking 30,,Goal Tonkawa,,,,,,,,,,,,,
Throw-in (21),5360966,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Throw-in,2020,Chukka 5,Tonkawa win throw-in,Matias Gonzalez,Tonkawa,,,,,,,,,,,,,,,,,,
Foul (10),5358166,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 5,,Sapo Caset,Tonkawa,,46;120,Attacking Half,,,,,,,,Foul,Right of Way,Penalty 5,25;122,121;166,,,
Foul Received (10),5358166,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 5,,Gonzalito Pieres,Pilot,,94;168,Defending Half,,,,,,,,Foul Received,Right of Way,Penalty 5,,,,,
Penalty 5 (6),5406400,30000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Penalty 5,2020,Chukka 5,,Facundo Pieres,Pilot,,,,,,,,,,,,,,,,,,
Shot At Goal (28),5400633,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 5,,Gonzalito Pieres,Pilot,Shot At Goal,95;52,Attacking 60,Miss Hit,,,,,,,,,,,,,,
Shot At Goal (29),5402666,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 5,,Gonzalito Pieres,Pilot,Shot At Goal,99;24,Attacking 30,Wide,,,,,,,,,,,,,,
Knock In (11),5443833,40000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Knock In,2020,Chukka 5,,Ignacio Toccalino,Tonkawa,,,,,,,,,Matias Gonzalez,,,,,,,,,
Shot At Goal (30),5448900,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 5,,Ignacio Toccalino,Tonkawa,Shot At Goal,73;30,Attacking 30,Goal,,,,,,,,,,,,,,
Goal Tonkawa (10),5451566,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 5,,Ignacio Toccalino,Tonkawa,,73;8,Attacking 30,,Goal Tonkawa,,,,,,,,,,,,,
Assist (9),5467733,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 5,,Sapo Caset,Tonkawa,,,,,,,Successful,Sapo Caset,,,,,,,,,,
Throw-in (22),5510486,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Throw-in,2020,Chukka 5,Tonkawa win throw-in,Ignacio Toccalino,Tonkawa,,,,,,,,,,,,,,,,,,
Foul (11),5513800,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 5,,Ignacio Toccalino,Tonkawa,,12;109,Attacking Half,,,,,,,,Foul,Right of Way,Penalty 5,123;131,4;117,,,
Foul Received (11),5513800,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 5,,Gonzalito Pieres,Pilot,,143;204,Defending Half,,,,,,,,Foul Received,Right of Way,Penalty 5,,,,,
Penalty 5 (7),5551100,30000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Penalty 5,2020,Chukka 5,,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,,,,,
Shot At Goal (31),5552666,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 5,,Sapo Caset,Tonkawa,Shot At Goal,111;85,Attacking Half,Wide,,,,,,,,,,,,,,
Knock In (12),5597366,40000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Knock In,2020,Chukka 5,,Facundo Pieres,Pilot,,,,,,,,,,,,,,,,,,
Non Call (4),5615200,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 5,,,Team,,,,,,,,,,,Non Call,Cross/High Hook,,,,,,
Shot At Goal (32),5622633,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 5,,Facundo Pieres,Pilot,Shot At Goal,50;38,Attacking 30,Blocked,,,,,,,,,,,,,,
Shot Block (4),5648233,10000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 5,,Sapo Caset,Tonkawa,,,,,,,,,,Shot Block,,,,,,,,
Knock In (13),5880133,40000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Knock In,2020,Chukka 6,,Sapo Caset,Tonkawa,,,,,,,,,Ignacio Toccalino,,,,,,,,,
Foul (12),5890233,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 6,,Ignacio Toccalino,Tonkawa,,5;183,Defending Half,,,,,,,,Foul,Dangerous Riding,Penalty 5,114;208,18;206,,,
Foul Received (12),5890233,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 6,,Gonzalito Pieres,Pilot,,139;122,Attacking Half,,,,,,,,Foul Received,Dangerous Riding,Penalty 5,,,,,
Penalty 5 (8),5922733,30000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Penalty 5,2020,Chukka 6,,Facundo Pieres,Pilot,,,,,,,,,,,,,,,,,,
Shot At Goal (33),5907166,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 6,,Gonzalito Pieres,Pilot,Shot At Goal,33;57,Attacking 60,Wide,,,,,,,,,,,,,,
Knock In (14),5957566,40000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Knock In,2020,Chukka 6,,Sapo Caset,Tonkawa,,,,,,,,,,,,,,,,,,
Shot At Goal (34),5951366,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 6,,Sapo Caset,Tonkawa,Shot At Goal,83;24,Attacking 30,Goal,,,,,,,,,,,,,,
Goal Tonkawa (11),5952566,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 6,,Sapo Caset,Tonkawa,,72;7,Attacking 30,,Goal Tonkawa,Goals,,,,,,,,,,,,
Throw-in (23),6006600,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Throw-in,2020,Chukka 6,Tonkawa win throw-in,Matias Gonzalez,Tonkawa,,,,,,,,,,,,,,,,,,
Foul (13),6004100,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 6,,Matias Gonzalez,Tonkawa,,44;170,Defending Half,,,,,,,,Foul,Turning,Penalty 40 yards,21;138,114;170,,,
Foul Received (13),6004100,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 6,,Facundo Pieres,Pilot,,89;125,Attacking Half,,,,,,,,Foul Received,Turning,Penalty 40 yards,,,,,
Penalty 40 yards,6087768,15000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 6,,Facundo Pieres,Pilot,,,,,,,,,,,,,,,,Penalty 40 yards,Wide,
Knock In (15),6107766,40000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Knock In,2020,Chukka 6,,Sapo Caset,Tonkawa,,,,,,,,,Ignacio Toccalino,,,,,,,,,
Foul (14),6134266,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 6,,Jeff Hildebrand,Tonkawa,,39;275,Defending 30,,,,,,,,Foul,Right of Way,Penalty 40 yards,3;243,67;236,,,
Foul Received (14),6134266,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 6,,Gonzalito Pieres,Pilot,,118;16,Attacking 30,,,,,,,,Foul Received,Right of Way,Penalty 40 yards,,,,,
Penalty 40 yards (1),6204900,15000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 6,,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,,,Penalty 40 yards,Goal,
Goal Pilot (9),6186233,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 6,,Gonzalito Pieres,Pilot,,76;8,Attacking 30,,Goal Pilot,,,,,,,,,,,,,
Throw-in (24),6241733,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Throw-in,2020,Chukka 6,Pilot win throw-in,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,,,,,
Foul (15),6253166,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 6,,Ignacio Toccalino,Tonkawa,,73;243,Defending 60,,,,,,,,Foul,Dangerous Use of Mallet,Penalty 30 yards,92;212,5;209,,,
Foul Received (15),6253166,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 6,,Facundo Pieres,Pilot,,71;57,Attacking 60,,,,,,,,Foul Received,Dangerous Use of Mallet,Penalty 30 yards,,,,,
Penalty 30 yards (3),6297633,15000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 6,,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,,,Penalty 30 yards,Goal,
Goal Pilot (10),6280266,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 6,,Gonzalito Pieres,Pilot,,76;7,Attacking 30,,Goal Pilot,,,,,,,,,,,,,
