Name,Position,Duration,Match Date,Game,Tournament,Stage,Umpire 2,Umpire 1,Third Umpire,Search Event,Instant Replay Official,Camera Angle,Club,Set Play,Year,Chukka,Throw-in Outcome,Player,Team,Shot At Goal,Location,General Field Area,Shot At Goal Outcome,Goal,Highlight Reel,Assist Outcome,Assist,Knock-in Player 2,Penalty Block,Foul,Foul Type,Foul Outcome,Umpire Trailing,Umpire Focal,Penalties,Penalty Outcome,Chukka Length
Knock In (5),1808266,40000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Knock In,2020,Chukka 2,,Facundo Pieres,Pilot,,,,,,,,,Gonzalito Pieres,,,,,,,,,
Shot At Goal (9),1802766,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 2,,Facundo Pieres,Pilot,Shot At Goal,34;57,Attacking 60,Wide,,,,,,,,,,,,,,
Assist (3),1822566,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 2,,Gonzalito Pieres,Pilot,,,,,,,Unsuccessful,Gonzalito Pieres,,,,,,,,,,
Knock In (6),1853000,40000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Knock In,2020,Chukka 2,,Ignacio Toccalino,Tonkawa,,,,,,,,,,,,,,,,,,
Non Call (1),1856100,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 2,,,Team,,,,,,,,,,,Non Call,Right of Way,,,,,,
Shot At Goal (10),1845900,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 2,,Facundo Pieres,Pilot,Shot At Goal,43;16,Attacking 30,Goal,,,,,,,,,,,,,,
Goal Pilot (3),1847766,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 2,,Facundo Pieres,Pilot,,78;6,Attacking 30,,Goal Pilot,,,,,,,,,,,,,
Throw-in (6),1906633,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Throw-in,2020,Chukka 2,Tonkawa win throw-in,Sapo Caset,Tonkawa,,,,,,,,,,,,,,,,,,
Shot At Goal (11),1912100,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 2,,Sapo Caset,Tonkawa,Shot At Goal,73;21,Attacking 30,Goal,,,,,,,,,,,,,,
Goal Tonkawa (2),1915033,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 2,,Sapo Caset,Tonkawa,,75;6,Attacking 30,,Goal Tonkawa,Goals,,,,,,,,,,,,
